DateTime,Entries,UniqueIPs
1490188042,102,102
1490191635,104,104
1490195250,104,104
1490198963,106,106
1490202444,106,106
1490206053,107,107
1490213253,106,106
1490216863,93,93
1490220430,106,106
1490224032,105,105
1490231216,106,106
1490234826,100,100
1490238429,78,78
1490242038,77,77
1490245609,96,96
1490249227,93,93
1490252803,105,105
1490260182,104,104
1490263841,107,107
1490267605,108,108
1490271310,106,106
1490275182,108,108
1490278510,104,104
1490282345,93,93
1490285716,99,99
1490289354,100,100
1490299971,91,91
1490303360,89,89
1490306826,86,86
1490310409,101,101
1490314072,99,99
1490317609,101,101
1490321224,99,99
1490324833,87,87
1490328435,85,85
1490332029,76,76
1490335608,75,75
1490339211,81,81
1490342830,75,75
1490346398,105,105
1490349984,109,109
1490357233,107,107
1490360811,105,105
1490364424,105,105
1490368028,103,103
1490371629,103,103
1490375229,98,98
1490378827,101,101
1490382482,105,105
1490397023,97,97
1490400451,75,75
1490404045,81,81
1490407645,80,80
1490411238,79,79
1490414832,81,81
1490418419,92,92
1490422033,101,101
1490425636,97,97
1490429208,100,100
1490436438,97,97
1490443625,77,77
1490447243,63,63
1490450856,65,65
1490454434,90,90
1490458028,99,99
1490462004,101,101
1490465273,105,105
1490469212,106,106
1490479614,103,103
1490483236,104,104
1490486872,74,74
1490490425,76,76
1490494021,96,96
1490501216,97,97
1490504827,100,100
1490508440,88,88
1490512038,90,90
1490515623,91,91
1490519237,74,74
1490522829,74,74
1490526434,74,74
1490530024,77,77
1490533619,77,77
1490537218,88,88
1490540834,78,78
1490544433,80,80
1490548037,79,79
1490551634,100,100
1490555221,103,103
1490562428,105,105
1490569615,104,104
1490573261,104,104
1490576840,100,100
1490580435,98,98
1490584025,72,72
1490587641,70,70
1490591254,71,71
1490594942,99,99
1490602015,104,104
1490605614,105,105
1490612806,105,105
1490616442,104,104
1490623642,103,103
1490627237,77,77
1490630814,101,101
1490638025,100,100
1490641637,100,100
1490645233,83,83
1490648815,101,101
1490652434,103,103
1490656029,102,102
1490659680,101,101
1490663237,89,89
1490666841,85,85
1490670424,73,73
1490674033,74,74
1490677625,89,89
1490681227,88,88
1490684817,105,105
1490688427,108,108
1490699235,100,100
1490702807,99,99
1490706420,100,100
1490710023,99,99
1490713650,102,102
1490717238,92,92
1490720809,102,102
1490724411,104,104
1490728019,107,107
1490735221,108,108
1490738840,107,107
1490742403,103,103
1490749659,104,104
1490753250,105,105
1490756845,101,101
1490760438,108,108
1490764066,106,106
1490767652,105,105
1490771288,97,97
1490774861,86,86
1490778441,100,100
1490782050,102,102
1490789304,107,107
1490792831,105,105
1490800036,107,107
1490803641,109,109
1490810860,104,104
1490814452,96,96
