DateTime,AddedIPs,RemovedIPs
1487423379,1,0
1487430569,0,1
1487448580,0,1
1487452167,1,0
1487462991,19,0
1487473787,0,21
1487477367,0,3
1487499008,0,1
1487513369,1,0
1487520576,1,0
1487527769,0,1
1487535012,1,1
1487549375,10,0
1487552969,1,0
1487560193,0,20
1487567364,0,2
1487581769,1,0
1487596161,0,1
1487599791,1,0
1487614187,0,1
1487621363,1,0
1487635767,14,0
1487639378,1,0
1487642973,0,1
1487646584,0,5
1487650170,0,2
1487653765,0,1
1487660999,1,0
1487675370,0,1
1487682576,1,0
1487693360,0,1
1487718564,1,0
1487722182,26,0
1487732970,0,20
1487750984,0,1
1487758183,1,0
1487808568,10,0
1487812159,1,0
1487819376,0,19
1487822992,0,1
1487826570,0,1
1487876966,1,0
1487887786,0,1
1487894976,22,0
1487905788,0,14
1487912987,1,0
1487949000,0,1
1487954629,1,0
1487966965,0,1
1487970590,1,0
1487981375,25,0
1487985000,2,1
1487992190,0,26
1487995789,0,7
1487999380,0,1
1488024571,1,0
1488049775,0,1
1488067769,26,0
1488078596,0,7
1488154208,13,0
1488157792,5,0
1488164978,0,19
1488172182,0,4
1488190173,1,0
1488200982,0,1
1488204585,1,0
1488229782,1,0
1488233441,1,0
1488240641,18,0
1488244212,0,1
1488247779,0,1
1488251385,0,21
1488326989,17,0
1488337783,0,22
1488366595,1,0
1488413378,16,0
1488424186,0,15
1488427791,0,1
1488460175,1,0
1488474587,0,1
1488499772,18,0
1488503367,1,0
1488510571,0,18
1488514171,0,2
1488517764,0,1
1488521376,1,0
1488550164,0,1
1488553771,1,0
1488586179,15,0
1488589774,1,1
1488593364,1,0
1488596969,0,22
1488604188,0,1
1488672574,5,0
1488676171,2,0
1488683362,0,13
1488690562,0,1
1488701363,0,2
1488704969,1,0
1488708574,1,0
1488751758,0,1
1488758971,25,0
1488762570,2,0
1488770300,1,18
1488773860,0,3
1488777413,1,1
1488784726,1,1
1488791850,0,2
1488799088,2,0
1488806393,1,0
1488810478,1,0
1488813771,0,1
1488817479,0,2
1488820835,0,1
1488828181,2,0
1488842458,0,2
1488846238,21,0
1488849758,1,0
1488853343,0,1
1488857070,0,14
1488860463,0,1
1488863904,3,0
1488878505,0,1
1488882088,1,0
1488896407,1,1
1488899939,0,1
1488903719,0,2
1488906918,3,1
1488910989,2,1
1488917677,1,0
1488921807,0,1
1488925246,0,1
1488928488,1,0
1488932160,22,1
1488935750,1,0
1488939501,1,0
1488943411,0,10
1488950486,0,1
1488953803,0,1
1488972384,1,0
1488975420,0,2
1488979512,1,0
1488990166,9,1
1488993876,2,0
1488997162,1,3
1489004707,1,1
1489008200,0,9
1489011325,1,2
1489015402,1,0
1489018666,28,1
1489026284,0,3
1489029557,0,20
1489033658,1,1
1489036667,0,1
1489044454,1,0
1489047418,0,1
1489051568,0,1
1489055003,1,0
1489069370,1,0
1489083985,0,1
1489105897,22,0
1489110492,1,0
1489115978,0,18
1489141145,0,1
1489148225,1,0
1489166680,0,1
1489170190,1,2
1489173059,1,0
1489176553,1,0
1489183806,1,0
1489191037,13,1
1489199012,0,4
1489201797,1,20
1489205419,0,1
1489241429,1,0
1489255789,0,1
1489266556,0,1
1489270189,1,0
1489277418,26,0
1489284574,0,1
1489288204,1,28
1489302598,0,1
1489309752,0,1
1489313415,1,1
1489324142,1,0
1489327819,1,0
1489331410,0,1
1489334945,0,1
1489342185,2,0
1489345799,0,1
1489363842,10,0
1489371020,1,0
1489374585,1,19
1489378155,0,2
1489381812,0,1
1489385390,1,1
1489396143,0,1
1489399783,1,0
1489403347,1,0
1489414211,0,1
1489417793,0,1
1489424979,1,0
1489446592,1,1
1489453787,16,0
1489457412,0,1
1489461018,3,0
1489464561,0,14
1489468159,0,2
1489471771,1,0
1489475372,0,1
1489479006,1,1
1489482558,1,0
1489486158,1,1
1489493352,0,1
1489500569,0,1
1489504190,1,0
1489511378,1,0
1489514969,0,1
1489522137,1,1
1489536635,21,0
1489540150,0,1
1489543749,1,1
1489547408,0,22
1489554552,0,1
1489572574,0,1
1489579797,1,0
1489623046,15,1
1489626634,2,0
1489630154,0,1
1489633809,1,9
1489637401,0,1
1489640971,1,1
1489655375,1,0
1489658961,0,1
1489677113,1,0
1489698616,1,0
1489709451,12,1
1489713036,1,1
1489720187,0,14
1489727390,0,1
1489756182,1,0
1489781395,0,1
1489784981,1,0
1489795839,16,0
1489806631,0,18
1489810230,0,1
1489828229,0,1
1489831844,0,1
1489839023,1,0
1489846241,1,0
1489864232,4,0
1489882261,11,0
1489893044,0,21
1489911041,0,1
1489918220,1,0
1489968670,21,0
1489972974,1,0
1489980125,0,13
1489983670,0,1
1489990793,1,0
1490005261,0,1
1490023259,1,0
1490055080,43,0
1490058645,2,0
1490062224,0,1
1490065845,0,17
1490123420,0,1
1490141485,14,1
1490145081,1,0
1490152230,0,9
1490155822,1,0
1490173845,0,1
1490177462,2,0
1490191825,0,1
1490195437,1,0
1490209854,0,1
1490217059,1,0
1490227870,20,0
1490238629,0,24
1490252989,0,1
1490260659,1,0
1490293726,0,1
1490310586,1,0
1490314258,27,0
1490321408,0,1
1490325023,0,42
1490328630,0,1
1490353826,0,1
1490357426,2,0
1490371812,0,1
1490400667,16,0
1490411420,0,14
1490415027,0,1
1490422221,1,0
1490436627,0,1
1490451026,1,0
1490465547,0,1
1490472595,0,1
1490476228,1,0
1490487047,23,1
1490490606,2,1
1490494211,1,0
1490497816,0,24
1490501408,1,1
1490508627,1,0
1490512217,0,1
1490519417,0,2
1490523025,1,1
1490530213,1,0
1490537422,1,1
1490544623,0,1
1490548221,0,1
1490551828,2,1
1490555401,1,0
1490573456,27,0
1490577026,1,0
1490580620,0,2
1490584217,0,26
1490587822,0,1
1490595138,1,0
1490598643,0,2
1490602205,2,0
1490612999,2,0
1490616630,0,1
1490623836,0,1
1490631019,1,0
1490634615,0,1
1490645422,1,1
1490659882,14,1
1490663419,2,0
1490667020,0,1
1490670622,0,14
1490677817,4,0
1490695832,0,1
1490699416,1,0
1490702992,1,0
1490706617,0,1
1490710199,0,1
1490728200,1,0
1490746551,6,0
1490750028,1,1
1490753452,0,1
1490757055,0,22
1490764260,0,2
1490785884,1,0
1490793039,0,1
1490802132,1,0
1490803838,0,1
1490807451,1,0
1490821847,0,1
1490825433,1,0
1490829057,0,1
1490832676,35,1
1490836222,1,0
1490843434,1,27
1490847015,1,3
1490850639,0,1
1490854205,0,1
1490857987,1,0
1490861432,1,1
1490865004,1,1
1490875836,0,1
1490883062,1,0
1490894037,0,1
1490904627,3,1
1490908239,0,1
1490911828,2,0
1490915427,0,1
1490919079,16,1
1490926232,0,1
1490929835,0,15
1490933426,0,2
1490937021,3,0
1490940629,1,0
1490951411,0,2
1490962223,0,1
1490965835,1,0
1490969428,0,1
1490980340,0,1
1490983919,1,0
1490987667,1,0
1491001894,0,2
1491005481,19,0
1491009036,4,0
1491016253,0,7
1491019837,0,1
1491023441,0,2
1491027023,0,1
1491030639,1,0
1491048638,1,0
1491059442,1,1
1491063024,0,1
1491073833,0,2
1491077421,2,0
1491092353,32,0
1491099043,0,1
1491102622,0,28
1491113466,0,1
1491160244,1,0
1491174666,0,1
1491178278,19,0
1491185436,0,1
1491189023,0,12
1491192642,0,1
1491264639,21,0
1491268220,1,0
1491275405,0,23
1491279021,0,2
1491282598,1,1
1491340220,1,0
1491351045,20,0
1491355524,1,1
1491361829,0,23
1491365420,0,2
1491369035,0,1
1491372621,1,0
1491376228,0,1
1491398608,0,1
1491416016,1,0
1491427340,2,0
1491437437,12,0
1491441048,0,2
1491444628,0,1
1491448202,1,22
1491473429,0,1
1491480614,1,0
1491505838,0,1
1491513638,1,0
1491520333,0,5
1491523876,13,0
1491527419,1,0
1491531018,0,1
1491534617,0,15
1491538230,0,1
1491542468,0,1
1491552626,1,0
1491592523,1,0
1491606633,1,1
1491611158,15,0
1491617523,0,1
1491621061,0,19
1491639040,1,0
1491653426,0,1
1491678640,1,0
1491693043,0,1
1491696667,22,0
1491700217,1,0
1491707449,0,14
1491711040,0,1
1491714608,1,1
1491725438,0,1
1491729036,1,0
1491736232,0,1
1491739817,1,0
1491743429,0,1
1491747033,1,0
1491750621,1,0
1491754231,0,1
1491765034,0,1
1491768626,1,0
1491772225,0,1
1491775840,1,0
1491783075,21,1
1491786613,1,0
1491790222,0,1
1491793794,0,13
1491801040,0,1
1491826777,0,1
1491837019,1,0
1491844233,1,0
1491847928,1,0
1491862234,0,1
1491865836,1,0
1491869502,9,0
1491876636,0,1
1491880242,0,16
1491887410,0,1
1491891011,1,0
1491927055,1,0
1491937999,0,1
1491956087,16,0
1491966630,0,20
1491980998,0,1
1492042267,17,0
1492053034,0,21
1492128735,23,0
1492139421,0,8
1492215065,26,0
1492222218,1,0
1492225806,0,14
1492229409,0,1
1492254620,0,1
1492258211,1,0
1492265407,0,1
1492269015,1,0
1492276211,1,1
1492286999,1,0
1492290655,0,1
1492301462,11,0
1492312234,0,19
