DateTime,Entries,UniqueIPs
1488499289,9,9
1488502882,10,10
1488506481,9,9
1488510081,10,10
1488513681,11,11
1488517280,11,11
1488520881,10,10
1488524480,11,11
1488528080,10,10
1488535281,10,10
1488538881,9,9
1488542481,8,8
1488549680,8,8
1488553281,10,10
1488556881,11,11
1488560482,11,11
1488564082,10,10
1488571280,11,11
1488574881,10,10
1488578481,9,9
1488582082,10,10
1488585682,10,10
1488592888,11,11
1488596487,9,9
1488600088,8,8
1488603688,9,9
1488607288,9,9
1488610887,10,10
1488618088,11,11
1488621687,9,9
1488625288,8,8
1488628887,7,7
1488632486,8,8
1488636088,8,8
1488639687,9,9
1488646887,10,10
1488650488,10,10
1488654086,11,11
1488661285,8,8
1488664888,9,9
1488675686,11,11
1488682888,10,10
1488686488,11,11
1488690089,12,12
1488693688,10,10
1488697287,9,9
1488700887,8,8
1488704488,7,7
1488708088,12,12
1488715288,13,13
1488722486,11,11
1488726088,10,10
1488729687,10,10
1488736887,8,8
1488744087,9,9
1488747687,11,11
1488751287,10,10
1488754887,9,9
1488758489,10,10
1488762087,10,10
1488772887,10,10
1488776615,8,8
1488780107,9,9
1488783709,8,8
1488787320,9,9
1488790891,11,11
1488794487,11,11
1488798093,10,10
1488801940,11,11
1488805421,11,11
1488808890,9,9
1488812746,10,10
1488816215,11,11
1488819693,11,11
1488823479,13,13
1488826894,11,11
1488830509,13,13
1488834088,11,11
1488837702,10,10
1488844909,9,9
1488848488,10,10
1488852089,9,9
1488855813,10,10
1488862897,12,12
1488866622,13,13
1488870216,14,14
1488873696,12,12
1488877414,9,9
1488881015,10,10
1488884488,10,10
1488888214,11,11
1488891817,11,11
1488895348,10,10
1488898897,9,9
1488902614,11,11
1488906089,10,10
1488909814,8,8
1488913286,9,9
1488916888,10,10
1488920615,12,12
1488931417,10,10
1488934917,8,8
1488942213,8,8
1488945697,8,8
1488949417,9,9
1488952921,10,10
1488956578,11,11
1488963695,9,9
1488967288,9,9
1488971013,8,8
1488974489,10,10
1488985294,8,8
1488989000,7,7
1488992596,5,5
1488996195,2,2
1489003522,3,3
1489017673,2,2
1489021293,3,3
1489035694,3,3
1489039492,4,4
1489043017,5,5
1489050116,4,4
1489053818,4,4
1489057290,5,5
1489060891,6,6
1489064554,5,5
1489071689,5,5
1489075420,4,4
1489082492,3,3
1489086124,2,2
1489089821,3,3
1489100493,4,4
1489104253,3,3
1489111439,2,2
1489115020,4,4
1489118491,5,5
1489125694,6,6
1489133031,5,5
1489143751,4,4
1489147323,3,3
1489150892,4,4
1489158101,5,5
1489161722,4,4
1489165418,3,3
1489172492,4,4
1489176087,5,5
1489190494,2,2
1489194097,3,3
1489197946,4,4
1489212095,4,4
1489215695,4,4
1489226495,3,3
1489230092,2,2
1489233693,3,3
1489237293,4,4
1489248095,3,3
1489251694,3,3
1489262496,4,4
1489266091,3,3
1489269693,4,4
1489273295,5,5
1489276897,4,4
1489284097,5,5
1489287690,4,4
1489298495,2,2
1489316495,3,3
1489330893,2,2
1489345296,3,3
1489356093,4,4
1489359696,5,5
1489366894,6,6
1489370491,6,6
1489374092,5,5
1489381293,4,4
1489388494,5,5
1489392095,6,6
1489395698,5,5
1489399293,6,6
1489406497,5,5
1489413695,3,3
1489424494,4,4
1489435298,5,5
1489438896,4,4
1489442494,5,5
1489453294,6,6
1489456894,4,4
1489467695,4,4
1489474898,4,4
1489478497,5,5
1489489298,4,4
1489492896,3,3
1489496496,2,2
1489500091,3,3
1489507297,4,4
1489532495,3,3
1489550493,3,3
1489554097,4,4
1489564894,4,4
1489579296,3,3
1489586493,4,4
1489597297,5,5
1489600897,4,4
1489604496,5,5
1489611697,4,4
1489618893,3,3
1489622498,5,5
1489636891,3,3
1489654887,3,3
1489665689,4,4
1489669293,3,3
1489676522,5,5
1489680089,4,4
1489683692,5,5
1489690891,4,4
1489694491,5,5
1489708851,4,4
1489712512,3,3
1489726859,4,4
1489741258,3,3
1489744861,4,4
1489759261,3,3
1489770062,2,2
1489788063,3,3
1489867302,2,2
1489870898,3,3
1489874499,4,4
1489888898,3,3
1489910504,5,5
1489921301,6,6
1489924900,5,5
1489928499,6,6
1489935696,6,6
1489939302,6,6
1489942901,5,5
1489950098,4,4
1489953702,4,4
1489968104,3,3
1489971702,4,4
1489978907,4,4
1489986243,4,4
1489993428,3,3
1490000627,4,4
1490011304,3,3
1490014938,2,2
1490022127,3,3
1490025697,4,4
1490032915,5,5
1490040099,3,3
1490047300,2,2
1490054500,3,3
1490094100,4,4
1490104900,5,5
1490108495,4,4
1490119300,3,3
1490122899,4,4
1490137302,4,4
1490148098,5,5
1490155296,4,4
1490166095,3,3
1490169701,4,4
1490184102,3,3
1490234493,4,4
1490245290,5,5
1490248891,4,4
