DateTime,AddedIPs,RemovedIPs
1491360761,6,12
1491362681,22,10
1491364610,8,5
1491366524,4,2
1491368520,1,1
1491370349,5,2
1491372271,3,5
1491374387,5,5
1491376379,2,2
1491378296,2,3
1491380239,2,5
1491382224,6,9
1491384054,5,6
1491385990,4,3
1491387944,2,7
1491389813,4,7
1491391723,1,2
1491393705,6,4
1491395561,4,2
1491397454,5,4
1491399378,5,5
1491401585,4,4
1491403475,7,3
1491405380,12,2
1491407303,10,3
1491409232,5,6
1491411154,2,7
1491413238,5,2
1491415284,7,1
1491417152,11,1
1491419073,7,3
1491420996,2,3
1491422914,5,2
1491424826,8,3
1491426741,3,3
1491428651,6,21
1491430588,4,1
1491432512,4,2
1491434445,4,3
1491436612,5,114
1491438506,2,339
1491440534,9,0
1491442363,13,0
1491444274,7,1
1491446210,9,10
1491448132,8,8
1491450028,12,16
1491451964,7,4
1491453863,3,2
1491455812,7,1
1491457721,6,5
1491459638,2,3
1491461547,6,3
1491463473,2,2
1491465398,7,1
1491467359,0,3
1491469353,3,4
1491471158,4,3
1491473096,6,6
1491475014,2,4
1491476938,5,26
1491478877,195,2
1491480764,387,3
1491482691,2,3
1491484615,12,6
1491486535,4,3
1491488451,1,2
1491490366,3,6
1491492268,5,11
1491494204,7,6
1491496134,6,8
1491498149,9,2
1491499965,3,3
1491501885,4,8
1491503812,6,7
1491505736,3,4
1491507637,5,1
1491509592,4,3
1491511455,2,7
1491513405,5,3
1491515334,5,4
1491517225,1,2
1491519144,6,3
1491521081,4,5
1491523000,3,5
1491524915,4,4
1491526933,3,6
1491528774,1,9
1491530689,5,7
1491532597,7,7
1491534544,13,10
1491536455,7,10
1491538360,5,9
1491540288,0,3
1491542186,2,7
1491544116,4,6
1491546056,6,4
1491547973,5,5
1491549870,4,2
1491551814,5,6
1491553719,4,1
1491555752,4,5
1491557570,6,7
1491559743,3,7
1491561655,3,3
1491563578,5,4
1491565464,4,265
1491567422,2,332
1491569314,7,0
1491571287,3,4
1491573167,2,3
1491575068,2,2
1491576990,6,4
1491578927,3,2
1491580929,0,11
1491582775,4,6
1491584681,1,8
1491586616,5,2
1491588541,5,3
1491590557,5,5
1491592587,2,16
1491594505,5,2
1491596443,5,3
1491598359,3,2
1491600262,1,4
1491602192,4,4
1491604105,5,2
1491606112,7,6
1491607961,4,6
1491610121,485,3
1491612034,2,5
1491613941,0,4
1491615856,3,4
1491617779,8,5
1491619698,18,12
1491621645,15,9
1491623553,3,3
1491625713,7,5
1491627766,2,1
1491629573,1,4
1491631495,5,3
1491633385,6,5
1491635356,2,3
1491637235,3,5
1491639173,3,1
1491641070,3,4
1491643018,9,3
1491644899,5,6
1491647064,4,0
1491648944,3,5
1491650916,4,6
1491652927,3,4
1491654750,4,6
1491656709,3,10
1491658630,32,2
1491660531,4,6
1491662450,3,3
1491664346,4,4
1491666280,6,2
1491668179,3,2
1491670144,2,4
1491672050,5,2
1491673973,2,1
1491675861,18,2
1491677695,5,2
1491679698,5,6
1491681717,2,5
1491683569,5,2
1491685720,0,5
1491687659,2,3
1491689574,5,4
1491691486,1,5
1491693390,7,3
1491695332,1,106
1491697232,0,380
1491699168,4,1
1491701062,7,3
1491702984,8,4
1491704904,6,13
1491706928,5,8
1491708817,8,14
1491710926,4,8
1491712829,6,3
1491714766,1,3
1491716718,5,5
1491718601,4,4
1491720553,7,6
1491722465,2,4
1491724412,6,3
1491726290,2,2
1491728237,4,5
1491730046,3,8
1491732128,6,5
1491733948,1,4
1491736166,19,8
1491738040,6,1
1491740019,3,2
