DateTime,Entries,UniqueIPs
1491374387,835,835
1491376379,835,835
1491378296,834,834
1491380239,831,831
1491382224,828,828
1491384054,827,827
1491385990,828,828
1491387944,823,823
1491389813,820,820
1491391723,819,819
1491393705,821,821
1491395561,823,823
1491397454,824,824
1491399378,824,824
1491401585,824,824
1491403475,828,828
1491405380,838,838
1491407303,845,845
1491409232,844,844
1491411154,839,839
1491413238,842,842
1491415284,848,848
1491417152,858,858
1491419073,862,862
1491420996,861,861
1491422914,864,864
1491424826,869,869
1491426741,869,869
1491428651,854,854
1491430588,857,857
1491432512,859,859
1491434445,860,860
1491436612,751,751
1491438506,414,414
1491440534,423,423
1491442363,436,436
1491444274,442,442
1491446210,441,441
1491448132,441,441
1491450028,437,437
1491451964,440,440
1491453863,441,441
1491455812,447,447
1491457721,448,448
1491459638,447,447
1491461547,450,450
1491463473,450,450
1491465398,456,456
1491467359,453,453
1491469353,452,452
1491471158,453,453
1491473096,453,453
1491475014,451,451
1491476938,430,430
1491478877,623,623
1491480764,1007,1007
1491482691,1006,1006
1491484615,1012,1012
1491486535,1013,1013
1491488451,1012,1012
1491490366,1009,1009
1491492268,1003,1003
1491494204,1004,1004
1491496134,1002,1002
1491498149,1009,1009
1491499965,1009,1009
1491501885,1005,1005
1491503812,1004,1004
1491505736,1003,1003
1491507637,1007,1007
1491509592,1008,1008
1491511455,1003,1003
1491513405,1005,1005
1491515334,1006,1006
1491517225,1005,1005
1491519144,1008,1008
1491521081,1007,1007
1491523000,1005,1005
1491524915,1005,1005
1491526933,1002,1002
1491528774,994,994
1491530689,992,992
1491532597,992,992
1491534544,995,995
1491536455,992,992
1491538360,988,988
1491540288,985,985
1491542186,980,980
1491544116,978,978
1491546056,980,980
1491547973,980,980
1491549870,982,982
1491551814,981,981
1491553719,984,984
1491555752,983,983
1491557570,982,982
1491559743,978,978
1491561655,978,978
1491563578,979,979
1491565464,718,718
1491567422,388,388
1491569314,395,395
1491571287,394,394
1491573167,393,393
1491575068,393,393
1491576990,395,395
1491578927,396,396
1491580929,385,385
1491582775,383,383
1491584681,376,376
1491586616,379,379
1491588541,381,381
1491590557,381,381
1491592587,367,367
1491594505,370,370
1491596443,372,372
1491598359,373,373
1491600262,370,370
1491602192,370,370
1491604105,373,373
1491606112,374,374
1491607961,372,372
1491610121,854,854
1491612034,851,851
1491613941,847,847
1491615856,846,846
1491617779,849,849
1491619698,855,855
1491621645,861,861
1491623553,861,861
1491625713,863,863
1491627766,864,864
1491629573,861,861
1491631495,863,863
1491633385,864,864
1491635356,863,863
1491637235,861,861
1491639173,863,863
1491641070,862,862
1491643018,868,868
1491644899,867,867
1491647064,871,871
1491648944,869,869
1491650916,867,867
1491652927,866,866
1491654750,864,864
1491656709,857,857
1491658630,887,887
1491660531,885,885
1491662450,885,885
1491664346,885,885
1491666280,889,889
1491668179,890,890
1491670144,888,888
1491672050,891,891
1491673973,892,892
1491675861,908,908
1491677695,911,911
1491679698,910,910
1491681717,907,907
1491683569,910,910
1491685720,905,905
1491687659,904,904
1491689574,905,905
1491691486,901,901
1491693390,905,905
1491695332,800,800
1491697232,420,420
1491699168,423,423
1491701062,427,427
1491702984,431,431
1491704904,424,424
1491706928,421,421
1491708817,415,415
1491710926,411,411
1491712829,414,414
1491714766,412,412
1491716718,412,412
1491718601,412,412
1491720553,413,413
1491722465,411,411
1491724412,414,414
1491726290,414,414
1491728237,413,413
1491730046,408,408
1491732128,409,409
1491733948,406,406
1491736166,417,417
1491738040,422,422
1491740019,423,423
1491741887,424,424
1491743837,413,413
1491745725,393,393
1491747690,389,389
1491749569,388,388
1491751513,389,389
1491753393,387,387
1491755337,390,390
1491757335,394,394
1491759193,391,391
1491761071,390,390
1491763018,365,365
1491765028,362,362
1491767302,360,360
1491769246,357,357
1491771195,359,359
1491773058,374,374
1491775025,372,372
1491776894,372,372
1491778962,371,371
1491780786,364,364
1491782707,369,369
1491784599,367,367
1491786568,363,363
1491788475,361,361
1491790419,355,355
1491792288,345,345
1491794243,334,334
1491796122,327,327
1491798106,328,328
1491799972,329,329
1491801904,333,333
1491803792,331,331
1491805745,319,319
1491807727,324,324
1491809602,319,319
1491811470,323,323
1491813416,328,328
1491815304,328,328
1491817297,330,330
1491819163,337,337
1491821110,331,331
1491823024,325,325
1491825217,324,324
1491827314,326,326
1491829328,334,334
1491831148,335,335
1491833029,337,337
1491835006,340,340
1491836919,341,341
1491838813,344,344
1491840695,350,350
1491842668,347,347
1491844878,348,348
1491846749,351,351
1491848678,354,354
1491850609,353,353
1491852550,356,356
1491854524,357,357
1491856368,357,357
1491858538,350,350
1491860440,354,354
1491862356,350,350
1491864271,350,350
1491866212,352,352
1491868310,352,352
1491870253,365,365
1491872223,366,366
1491874123,365,365
1491876099,366,366
1491877964,369,369
1491880161,381,381
1491882028,382,382
1491883957,390,390
1491885882,392,392
1491887841,389,389
1491889735,386,386
1491891652,388,388
1491893553,1444,1444
1491895466,2457,2457
1491897419,2454,2454
1491899338,2452,2452
1491901334,2449,2449
1491903156,2452,2452
1491905078,2451,2451
1491907035,2453,2453
1491908968,2457,2457
1491911033,2459,2459
1491912997,2713,2713
1491915181,3144,3144
1491917086,3145,3145
1491919015,3143,3143
1491920935,3148,3148
1491922965,3152,3152
1491925020,3155,3155
1491926950,3151,3151
1491928865,3149,3149
1491930770,3145,3145
1491932673,3147,3147
1491934619,3141,3141
1491936536,3142,3142
1491938441,3144,3144
1491940382,3148,3148
1491942269,3150,3150
1491944234,3152,3152
1491946118,3150,3150
1491948177,3150,3150
1491950191,3153,3153
1491952097,3158,3158
1491954036,3157,3157
1491955970,3161,3161
1491957869,3172,3172
1491959791,3172,3172
1491961722,3209,3209
1491963639,3211,3211
1491965558,3223,3223
1491967461,3222,3222
1491969372,3228,3228
1491971292,3218,3218
1491973314,3209,3209
1491975164,3210,3210
