DateTime,AddedIPs,RemovedIPs
1491436104,0,12
1491438262,0,27
1491438992,0,6
1491439720,0,4
1491440524,0,5
1491441144,0,13
1491442576,0,12
1491443313,0,8
1491444099,0,3
1491444762,0,8
1491445453,0,6
1491446200,0,2
1491446903,0,10
1491448337,0,3
1491449064,0,5
1491449784,0,14
1491451295,0,11
1491451954,0,12
1491453401,0,4
1491454097,0,2
1491454925,0,2
1491456262,0,11
1491456976,0,1
1491457712,0,5
1491458492,0,4
1491459140,0,3
1491459860,0,5
1491460583,0,4
1491461316,0,13
1491462087,0,12
1491462745,0,8
1491463457,0,8
1491464194,0,10
1491464907,0,8
1491465706,0,5
1491466346,0,9
1491467048,0,9
1491467796,0,19
1491468508,0,12
1491469337,0,10
1491469942,0,5
1491470665,0,6
1491471383,0,10
1491472120,0,4
1491472880,0,8
1491473548,0,9
1491474249,0,14
1491475004,0,15
1491475693,0,10
1491476516,0,6
1491477131,0,9
1491477862,0,4
1491478860,0,4
1491479531,0,2
1491480265,0,4
1491480987,0,7
1491481718,0,7
1491482412,0,5
1491483155,0,6
1491484121,0,4
1491484848,0,5
1491485549,2,0
1491486248,0,2
1491487695,0,7
1491490581,0,4
1491491295,0,4
1491492746,0,3
1491493469,0,3
1491494189,0,4
1491496125,0,7
1491496813,0,2
1491497568,0,6
1491498511,0,3
1491499963,0,2
1491500647,0,5
1491501407,0,7
1491502837,0,3
1491504258,0,3
1491504984,0,4
1491505733,0,1
1491507145,0,4
1491508585,0,7
1491509311,0,2
1491510745,0,3
1491512197,0,2
1491513643,0,5
1491514336,0,8
1491515060,0,1
1491515785,0,2
1491517946,0,2
1491518647,0,4
1491519391,0,1
1491520123,0,2
1491520812,0,2
1491521557,0,1
1491522248,0,3
1491522994,0,2
1491523693,0,2
1491524431,0,2
1491525147,0,1
1491525858,0,4
1491527325,0,1
1491529449,0,2
1491530181,0,2
1491530894,0,1
1491531641,0,1
1491532342,0,1
1491533063,0,1
1491534534,0,1
1491537402,0,2
1491538097,0,3
1491540275,0,2
1491541691,0,1
1491543860,0,2
1491545301,0,2
1491546047,0,2
1491546741,0,2
1491548174,0,2
1491548917,0,3
1491550354,0,4
1491551799,0,2
1491553234,0,2
1491554658,0,4
1491556838,0,2
1491557560,0,1
1491558248,0,1
1491560422,0,1
1491561155,0,4
1491561845,0,2
1491563047,0,3
1491564506,0,1
1491565956,0,1
1491568833,0,2
1491570514,0,1
1491571271,0,1076
1491579145,0,1
1491581313,0,1
1491583721,0,93
1491584500,0,1
1491585850,0,1
1491592116,0,1
1491595693,0,1
1491597863,0,1
1491607949,25,0
1491608659,80,1
1491609373,3,0
1491610110,2,0
1491611570,0,1
1491619474,83,0
1491620171,5,0
1491620893,48,0
1491621634,134,0
1491623059,75,0
1491623781,24,0
1491624519,62,0
1491625233,4,0
1491625936,5,0
1491626708,50,0
1491627384,92,0
1491628110,50,0
1491628821,2,0
1491629562,8,0
1491630247,6,0
1491630990,143,0
1491631692,37,0
1491632437,7,0
1491633148,4,2
1491633862,51,0
1491634579,4,0
1491635317,7,0
1491636024,36,0
1491638183,0,1
1491638912,0,1
1491654502,0,1
1491666970,0,1
1491669146,0,1
1491674176,0,1
1491674910,0,1
1491689558,0,1
1491690247,0,1
1491693861,0,58
1491703311,0,1
1491707565,0,1
1491708247,0,6
1491709702,0,2
1491710529,0,2
1491711151,0,1
1491712583,0,1
1491713299,0,1
1491714106,0,6
1491714748,0,3
1491715464,0,4
1491716237,0,1
1491716893,0,3
1491717731,0,2
1491718348,0,12
1491719059,0,8
1491719771,0,1
1491720509,0,2
1491721307,0,3
1491721960,0,9
1491722648,0,5
1491723389,0,4
1491724092,0,4
1491724905,0,3
1491725550,0,3
1491726272,0,8
1491726975,0,5
1491727704,0,3
1491728499,0,3
1491729169,0,2
1491729851,0,5
1491731544,0,5
1491732282,0,3
1491732980,0,1
1491733705,0,3
1491734427,0,1
1491735162,0,4
1491736119,0,10
1491736946,0,2
1491737549,0,5
1491738971,0,1
1491739710,0,6
1491740474,0,5
1491742583,0,1
1491743319,0,1
1491744027,0,4
1491744759,0,2
1491745458,0,3
1491746183,0,3
1491748354,0,4
1491750495,0,2
1491751244,0,8
1491751951,0,1
1491753383,0,5
1491754116,0,1
1491755563,0,3
1491756992,0,7
1491758460,0,6
1491759152,0,7
1491761296,0,3
1491762766,0,1
1491763459,0,2
1491764913,0,4
1491765890,0,5
1491766845,0,5
1491767568,0,1
1491768978,0,2
1491769705,0,1
1491771868,0,1
1491772574,0,3
1491773308,0,3
1491774047,0,1
1491774765,0,1
1491776434,0,1
1491777162,0,3
1491777848,0,1
1491778587,0,2
1491785061,0,2
1491785810,0,1
1491787230,0,1
1491787964,0,1
1491788646,0,2
1491790852,0,1
1491792277,0,1
1491793713,0,1
1491795172,0,1
1491797317,0,3
1491798057,0,2
1491798758,0,1
1491799476,0,1
1491802379,0,2
1491803067,0,1
1491804492,0,2
1491805244,0,1
1491805952,0,2
1491807370,0,1
1491808161,0,1
1491809562,0,1
1491810245,0,1
1491810985,0,1
1491811691,0,1
1491813158,0,5
1491814574,0,1
1491815292,0,2
1491817450,0,1
1491820380,0,7
1491821771,0,2
1491823957,0,1
1491824689,0,1
1491825373,0,4
1491827550,0,2
1491828260,0,1
1491828992,0,2
1491830469,0,2
1491831863,0,2
1491832588,0,1
1491834747,0,1
1491835447,0,1
1491836204,0,3
1491836909,0,2
1491838333,0,1
1491839795,0,1
1491841217,0,1
1491841951,0,2
1491842658,0,2
1491844865,0,1
1491848213,0,1
1491848914,0,1
1491849627,0,1
1491850332,0,1
1491851792,0,1
1491852531,0,1
1491854931,0,1
1491855615,0,1
1491856353,0,1
1491857050,0,3
1491858126,0,1
1491859016,0,2
1491860424,0,3
1491861150,0,1
1491862590,0,1
1491864016,0,4
1491865729,0,3
1491867148,0,1
1491867859,0,1
1491869310,0,1
1491870739,0,1
1491873630,0,1
1491874337,0,1
1491880141,0,3
1491884429,0,1
1491885137,0,1
1491888744,0,2
1491889447,0,1
1491890203,0,2
1491892332,0,2
1491893061,0,2
1491893794,0,1
1491895217,0,2
1491895944,0,5
1491896646,0,1
1491897409,0,2
1491898115,0,2
1491899540,0,1
1491900989,0,1
1491903138,0,3
1491905315,0,1
1491908194,0,1
1491908958,0,1
1491910355,0,1
1491910962,0,2
1491913246,0,1
1491913933,0,1
1491916134,0,1
1491917073,0,2
1491917791,0,3
1491919945,0,1
1491920652,0,1
1491921405,0,1
1491922115,0,2
1491922950,0,1
1491924534,0,1
1491926938,0,1
1491929821,0,5
1491930510,0,1
1491931932,0,2
1491932660,0,1
1491934816,0,1
1491935547,0,2
1491936247,0,1
1491937024,0,1
1491937712,0,2
1491942746,0,1
1491944222,0,1
1491945183,0,1
