DateTime,Entries,UniqueIPs
1490909546,3090,3100
1490910251,3093,3103
1490911004,3099,3109
1490911702,3103,3113
1490912435,3115,3125
1490913144,3119,3129
1490913859,3120,3130
1490930442,3119,3129
1490939071,3118,3128
1490946989,3117,3127
1490952035,3116,3126
1490957790,3115,3125
1490962093,3114,3124
1490965717,3113,3123
1490975059,3112,3122
1490977697,3111,3121
1490986117,3109,3119
1491002189,3108,3118
1491011782,3107,3117
1491038424,3106,3116
1491051400,3105,3115
1491059327,3104,3114
1491071059,3103,3113
1491075147,3102,3112
1491078022,3101,3111
1491087146,3100,3110
1491088128,3099,3109
1491089557,3098,3108
1491093934,3097,3107
1491106831,3096,3106
1491116679,3095,3105
1491125541,3026,3036
1491142573,3025,3035
1491149771,3024,3034
1491159394,3023,3033
1491165859,3022,3032
1491179788,3021,3031
1491189139,3020,3030
1491229236,3019,3029
1491230657,3005,3015
1491235312,3004,3014
1491247936,3003,3013
1491269290,3002,3012
1491292582,3001,3011
1491298335,2983,2993
1491305049,2982,2992
1491306500,2981,2991
1491311541,2980,2990
1491323062,2979,2989
1491326659,3052,3062
1491327645,3112,3122
1491328342,3113,3123
1491334352,3112,3122
1491337551,3120,3131
1491340652,3283,3296
1491342552,3377,3391
1491343965,3496,3511
1491344695,3524,3539
1491347379,3612,3628
1491349510,3674,3691
1491351183,3716,3734
1491351860,3748,3766
1491353309,3765,3783
1491354101,3785,3803
1491354742,3798,3817
1491355470,3810,3829
1491357694,3823,3842
1491358350,3858,3878
1491359050,3864,3884
1491359787,3886,3906
1491360492,3898,3918
1491361335,3901,3921
1491372975,3900,3920
1491384734,3899,3919
1491403464,3848,3868
1491404185,3847,3867
1491405632,3824,3843
1491406334,3823,3842
1491409222,3822,3841
1491412092,3821,3840
1491414992,3820,3839
1491416425,3819,3838
1491417142,3818,3837
1491417859,3817,3836
1491419299,3816,3835
1491420035,3811,3830
1491420741,3810,3829
1491421463,3807,3826
1491422182,3806,3825
1491422903,3803,3822
1491423623,3802,3821
1491424623,3797,3816
1491426097,3793,3812
1491427460,3607,3625
1491428926,3602,3620
1491430346,3598,3616
1491431794,3595,3613
1491433308,3588,3606
1491433954,3586,3604
1491435384,3582,3600
1491436902,3580,3598
1491438262,3577,3595
1491438992,3576,3594
1491439720,3575,3593
1491441859,3567,3585
1491443313,3561,3579
1491444762,3557,3575
1491446200,3553,3571
1491449064,3549,3567
1491450514,3542,3560
1491451954,3538,3556
1491453401,3534,3551
1491454925,3529,3546
1491455542,3522,3539
1491456976,3518,3535
1491457712,3516,3533
1491458492,3511,3528
1491459140,3496,3513
1491460583,3490,3507
1491462087,3482,3498
1491462745,3480,3496
1491463457,3476,3492
1491464194,3475,3491
1491465706,3465,3481
1491466346,3463,3479
1491467796,3457,3473
1491469337,3450,3466
1491470665,3447,3463
1491472880,3445,3461
1491473548,3442,3458
1491475004,3437,3453
1491476516,3436,3452
1491477862,3429,3445
1491478860,3425,3441
1491479531,3420,3436
1491480265,3416,3432
1491480987,3411,3427
1491481718,3407,3423
1491482412,3402,3418
1491483155,3401,3417
1491484848,3399,3415
1491485549,2861,2875
1491489862,2782,2796
1491492746,2781,2795
1491497568,2687,2701
1491502837,2684,2698
1491505733,2683,2697
1491507145,2681,2695
1491508585,2680,2694
1491509311,2678,2692
1491510745,2674,2688
1491512197,2668,2682
1491513643,2654,2668
1491515060,2650,2664
1491516513,2644,2658
1491517946,2634,2648
1491519391,2632,2646
1491520812,2631,2645
1491521557,2629,2643
1491522994,2628,2642
1491524431,2625,2639
1491525858,2622,2636
1491527325,2621,2635
1491528040,2620,2634
1491528771,2617,2631
1491530181,2614,2628
1491531641,2610,2624
1491533063,2606,2620
1491534534,2603,2617
1491535950,2601,2615
1491537402,2597,2611
1491538820,2594,2608
1491539545,2593,2607
1491540275,2592,2606
1491541691,2591,2605
1491542450,2587,2601
1491543159,2584,2598
1491544579,2582,2596
1491546047,2580,2593
1491547463,2575,2588
1491548917,2571,2584
1491549635,2568,2581
1491551047,2556,2569
1491551799,2554,2567
1491552494,2553,2566
1491553234,2552,2565
1491553948,2551,2564
1491555371,2550,2563
1491556124,2549,2562
1491556838,2548,2561
1491557560,2547,2560
1491561155,2546,2559
1491563047,2545,2558
1491563785,2544,2557
1491564506,2543,2556
1491566656,2542,2555
1491567404,2541,2554
1491568095,2215,2224
1491582275,2214,2223
1491583721,2213,2222
1491587299,2211,2220
1491593555,2211,2219
1491603633,2210,2218
1491607949,2219,2227
1491608659,2260,2268
1491610110,2261,2269
1491610822,2260,2268
1491611570,2259,2267
1491619474,2297,2305
1491620171,2300,2308
1491620893,2324,2332
1491621634,2383,2393
1491623059,2420,2430
1491623781,2432,2442
1491624519,2466,2476
1491625233,2467,2477
1491625936,2472,2482
1491626708,2496,2506
1491627384,2541,2551
1491628110,2573,2583
1491628821,2575,2585
1491629562,2579,2589
1491630247,2582,2592
1491630990,2663,2674
1491631692,2682,2693
1491632437,2683,2694
1491633862,2715,2726
1491634579,2716,2727
1491635317,2719,2730
1491636024,2736,2747
1491646112,2735,2746
1491652347,2734,2745
1491660521,2733,2744
1491675645,2732,2743
1491676359,2731,2742
1491678134,2730,2741
1491681699,2729,2740
1491685295,2728,2739
1491685950,2727,2738
1491724905,2726,2737
1491730863,2725,2736
1491755563,2724,2735
1491794430,2723,2734
1491824689,2722,2733
1491844865,2721,2732
1491853945,2720,2731
1491919945,2719,2730
1491931230,2679,2690
1491931932,2638,2649
1491932660,2637,2648
1491935547,2636,2647
1491939862,2633,2644
1491942746,2632,2643
1491945850,2628,2639
