DateTime,AddedIPs,RemovedIPs
1491370822,0,1
1491371556,0,5
1491372261,0,4
1491372975,0,3
1491373716,0,5
1491374372,0,4
1491375149,0,13
1491375876,0,12
1491376608,0,8
1491377298,0,8
1491378079,0,10
1491378735,0,8
1491379717,0,5
1491380430,0,9
1491381162,0,9
1491381904,0,19
1491382599,0,12
1491383297,0,10
1491384044,0,5
1491384734,0,6
1491385463,0,10
1491386179,0,4
1491386921,0,8
1491387697,0,9
1491388362,0,14
1491389046,0,15
1491389804,0,10
1491390527,0,6
1491391226,0,9
1491391954,0,4
1491392649,0,4
1491393390,0,2
1491394090,0,4
1491394852,0,7
1491395551,0,7
1491396265,0,5
1491396975,0,6
1491397710,0,2
1491398419,0,2
1491399158,0,5
1491399850,0,2
1491401294,0,2
1491402036,0,5
1491404185,0,4
1491404895,0,4
1491407065,0,3
1491407786,0,3
1491408500,0,4
1491409222,0,1
1491409933,0,6
1491410660,0,2
1491411382,0,6
1491412092,0,1
1491412870,0,2
1491413568,0,2
1491414272,0,5
1491414992,0,3
1491415700,0,4
1491417142,0,3
1491417859,0,3
1491418577,0,3
1491419299,0,1
1491420035,0,1
1491420741,0,2
1491421463,0,2
1491422182,0,3
1491422903,0,4
1491423623,0,2
1491424623,0,3
1491426097,0,2
1491427460,0,5
1491428181,0,8
1491428926,0,1
1491429689,0,2
1491431794,0,2
1491432503,0,4
1491433308,0,1
1491433954,0,2
1491434654,0,2
1491435384,0,1
1491436104,0,3
1491436902,0,2
1491437547,0,2
1491438262,0,2
1491438992,0,1
1491439720,0,4
1491441144,0,1
1491443313,0,2
1491444099,0,2
1491444762,0,1
1491445453,0,1
1491446200,0,1
1491446903,0,1
1491448337,0,1
1491451295,0,2
1491451954,0,3
1491454097,0,2
1491455542,0,1
1491457712,0,2
1491459140,0,2
1491459860,0,2
1491460583,0,2
1491462087,0,2
1491462745,0,3
1491464194,0,4
1491465706,0,2
1491467048,0,2
1491468508,0,4
1491470665,0,2
1491471383,0,1
1491472120,0,1
1491474249,0,1
1491475004,0,4
1491475693,0,2
1491476516,0,1
1491477131,0,2
1491478860,0,1
1491480265,0,1
1491483155,0,2
1491484121,0,1
1491484848,0,1
1491485549,2,1082
1491492746,0,1
1491496125,0,1
1491497568,7,93
1491498511,0,1
1491499963,0,1
1491505733,0,1
1491509311,0,1
1491511452,0,1
1491522994,0,1
1491525858,0,1
1491546741,0,2
1491551799,0,1
1491552494,0,1
1491568833,0,1
1491580572,0,1
1491582991,0,1
1491588122,0,1
1491589007,0,1
1491600761,0,1
1491603633,0,1
1491604344,0,1
1491607949,25,90
1491608659,82,0
1491609373,3,2
1491610110,5,1
1491610822,1,1
1491612254,0,1
1491612972,1,0
1491613732,0,1
1491614448,2,4
1491615160,4,4
1491615847,2,1
1491616585,1,0
1491617292,0,3
1491618037,2,0
1491618746,0,2
1491619474,86,1
1491620171,5,3
1491620893,53,0
1491621634,139,2
1491622350,0,8
1491623059,81,0
1491623781,26,3
1491624519,64,7
1491625233,4,1
1491625936,9,2
1491626708,56,2
1491627384,95,5
1491628110,56,7
1491628821,4,4
1491629562,8,4
1491630247,6,1
1491630990,146,7
1491631692,42,5
1491632437,10,18
1491633148,5,10
1491633862,59,3
1491634579,8,3
1491635317,7,3
1491636024,40,9
1491636789,2,5
1491637446,0,4
1491638183,0,4
1491638912,0,3
1491639625,0,3
1491640356,0,8
1491641060,0,5
1491641798,0,3
1491642495,0,3
1491643236,0,2
1491643947,0,5
1491645376,0,5
1491646112,0,3
1491646824,0,1
1491647543,0,3
1491648272,0,1
1491649341,0,4
1491650206,0,10
1491650901,0,2
1491651632,0,5
1491653068,0,1
1491653777,0,6
1491654502,0,5
1491656699,0,1
1491657373,0,1
1491658118,0,4
1491658822,0,2
1491659551,0,3
1491660521,0,3
1491662654,0,4
1491664097,0,2
1491664828,0,4
1491665541,0,4
1491666259,0,1
1491666970,0,2
1491667694,0,3
1491668437,0,1
1491669146,0,1
1491669859,0,2
1491670583,0,3
