DateTime,Entries,UniqueIPs
1491370126,1853,1853
1491370822,1852,1852
1491371556,1847,1847
1491372261,1843,1843
1491372975,1840,1840
1491373716,1835,1835
1491374372,1831,1831
1491375149,1818,1818
1491375876,1806,1806
1491376608,1798,1798
1491377298,1790,1790
1491378079,1780,1780
1491378735,1772,1772
1491379717,1767,1767
1491380430,1758,1758
1491381162,1749,1749
1491381904,1730,1730
1491382599,1718,1718
1491383297,1708,1708
1491384044,1703,1703
1491384734,1697,1697
1491385463,1687,1687
1491386179,1683,1683
1491386921,1675,1675
1491387697,1666,1666
1491388362,1652,1652
1491389046,1637,1637
1491389804,1627,1627
1491390527,1621,1621
1491391226,1612,1612
1491391954,1608,1608
1491392649,1604,1604
1491393390,1602,1602
1491394090,1598,1598
1491394852,1591,1591
1491395551,1584,1584
1491396265,1579,1579
1491396975,1573,1573
1491397710,1571,1571
1491398419,1569,1569
1491399158,1564,1564
1491399850,1562,1562
1491401294,1560,1560
1491402036,1555,1555
1491404185,1551,1551
1491404895,1547,1547
1491407065,1544,1544
1491407786,1541,1541
1491408500,1537,1537
1491409222,1536,1536
1491409933,1530,1530
1491410660,1528,1528
1491411382,1522,1522
1491412092,1521,1521
1491412870,1519,1519
1491413568,1517,1517
1491414272,1512,1512
1491414992,1509,1509
1491415700,1505,1505
1491417142,1502,1502
1491417859,1499,1499
1491418577,1496,1496
1491419299,1495,1495
1491420035,1494,1494
1491420741,1492,1492
1491421463,1490,1490
1491422182,1487,1487
1491422903,1483,1483
1491423623,1481,1481
1491424623,1478,1478
1491426097,1476,1476
1491427460,1471,1471
1491428181,1463,1463
1491428926,1462,1462
1491429689,1460,1460
1491431794,1458,1458
1491432503,1454,1454
1491433308,1453,1453
1491433954,1451,1451
1491434654,1449,1449
1491435384,1448,1448
1491436104,1445,1445
1491436902,1443,1443
1491437547,1441,1441
1491438262,1439,1439
1491438992,1438,1438
1491439720,1434,1434
1491441144,1433,1433
1491443313,1431,1431
1491444099,1429,1429
1491444762,1428,1428
1491445453,1427,1427
1491446200,1426,1426
1491446903,1425,1425
1491448337,1424,1424
1491451295,1422,1422
1491451954,1419,1419
1491454097,1417,1417
1491455542,1416,1416
1491457712,1414,1414
1491459140,1412,1412
1491459860,1410,1410
1491460583,1408,1408
1491462087,1406,1406
1491462745,1403,1403
1491464194,1399,1399
1491465706,1397,1397
1491467048,1395,1395
1491468508,1391,1391
1491470665,1389,1389
1491471383,1388,1388
1491472120,1387,1387
1491474249,1386,1386
1491475004,1382,1382
1491475693,1380,1380
1491476516,1379,1379
1491477131,1377,1377
1491478860,1376,1376
1491480265,1375,1375
1491483155,1373,1373
1491484121,1372,1372
1491484848,1371,1371
1491485549,291,291
1491492746,290,290
1491496125,289,289
1491497568,203,203
1491498511,202,202
1491499963,201,201
1491505733,200,200
1491509311,199,199
1491511452,198,198
1491522994,197,197
1491525858,196,196
1491546741,194,194
1491551799,193,193
1491552494,192,192
1491568833,191,191
1491580572,190,190
1491582991,189,189
1491588122,188,188
1491589007,187,187
1491600761,186,186
1491603633,185,185
1491604344,184,184
1491607949,119,119
1491608659,201,201
1491609373,202,202
1491610110,206,206
1491610822,206,206
1491612254,205,205
1491612972,206,206
1491613732,205,205
1491614448,203,203
1491615160,203,203
1491615847,204,204
1491616585,205,205
1491617292,202,202
1491618037,204,204
1491618746,202,202
1491619474,287,287
1491620171,289,289
1491620893,342,342
1491621634,479,479
1491622350,471,471
1491623059,552,552
1491623781,575,575
1491624519,632,632
1491625233,635,635
1491625936,642,642
1491626708,696,696
1491627384,786,786
1491628110,835,835
1491628821,835,835
1491629562,839,839
1491630247,844,844
1491630990,983,983
1491631692,1020,1020
1491632437,1012,1012
1491633148,1007,1007
