DateTime,Entries,UniqueIPs
1491960263,22245,22738
1491960972,22248,22741
1491961712,22247,22740
1491962544,22244,22736
1491963157,22250,22743
1491963876,22248,22741
1491964574,22246,22739
1491965315,22245,22738
1491966104,22239,22732
1491966770,22231,22724
1491967453,22231,22724
1491968196,22230,22723
1491968900,22229,22722
1491969724,22224,22717
1491970387,22222,22715
1491971067,22225,22718
1491971778,22223,22716
1491972510,22223,22716
1491973307,22221,22714
1491973973,22224,22717
1491974651,22224,22717
1491975386,22224,22717
1491976113,22227,22720
1491976946,22230,22723
1491977556,22225,22718
1491978262,22227,22720
1491978973,22228,22721
1491979717,22231,22724
1491980518,22231,22724
1491981155,22231,22724
1491981862,22233,22726
1491982574,22233,22726
1491983308,22233,22726
1491984113,22228,22721
1491984766,22230,22723
1491985460,22228,22721
1491986187,22233,22726
1491986897,22238,22731
1491987725,22240,22733
1491988361,22238,22731
1491989062,22238,22731
1491989774,22238,22731
1491990515,22234,22727
1491991351,22236,22729
1491991959,22238,22731
1491992683,22241,22734
1491993376,22243,22736
1491994110,22239,22732
1491994936,22237,22730
1491995555,22229,22722
1491996266,22229,22722
1491996973,22227,22720
1491997583,22228,22721
1491998530,22230,22723
1491999165,22231,22725
1491999861,22230,22724
1492000602,22232,22726
1492001295,22230,22724
1492002151,22234,22728
1492002756,22231,22725
1492003466,22236,22730
1492004174,22238,22732
1492004922,22239,22733
1492005706,22246,22740
1492006367,22246,22740
1492007049,22249,22743
1492007792,22264,22758
1492008495,22264,22758
1492009313,22260,22754
1492009969,22266,22760
1492010670,22266,22760
1492011405,22268,22762
1492012146,22269,22763
1492012953,22266,22760
1492013580,22269,22763
1492014255,22273,22767
1492015008,22261,22755
1492015718,22258,22752
1492016512,22265,22759
1492017168,22265,22760
1492017869,22266,22761
1492018578,22266,22761
1492019315,22264,22759
1492020099,22261,22756
1492020770,22256,22751
1492021460,22262,22757
1492022192,22262,22757
1492022899,22256,22751
1492023711,22255,22750
1492024361,22255,22750
1492025066,22257,22752
1492025774,22256,22751
1492026507,22256,22751
1492027320,22255,22750
1492027965,22257,22752
1492028650,22260,22755
1492029386,22256,22751
1492030098,22254,22749
1492031116,22248,22742
1492031774,22248,22743
1492032504,22247,22742
1492033235,22238,22733
1492033950,22246,22742
1492034946,22232,22728
1492036348,22230,22726
1492037050,22228,22724
1492037806,22224,22720
1492038515,22222,22718
1492039234,22223,22719
1492039939,22222,22718
1492040671,22219,22715
1492041413,22220,22716
1492042094,22218,22714
1492042850,22216,22712
1492043537,22211,22707
1492044261,22210,22706
1492044996,22207,22703
1492045741,22205,22701
1492046422,22208,22704
1492047149,22203,22699
1492047854,22207,22703
1492048607,22197,22693
1492049313,22204,22700
1492050280,22204,22700
1492050991,22201,22697
1492051739,22207,22703
1492052480,22207,22703
1492053166,22203,22699
1492053853,22202,22698
1492054610,22203,22699
1492055312,22200,22696
1492056114,22202,22698
1492056742,22198,22695
1492057468,22199,22696
1492058191,22195,22692
1492058931,22191,22688
1492059678,22190,22687
1492060356,22192,22689
1492061050,22193,22690
1492061805,22196,22693
1492062495,22196,22693
1492063343,22199,22696
1492063957,22198,22695
1492064662,22194,22691
1492065393,22191,22688
1492066129,22189,22686
1492066884,22189,22686
1492067536,22186,22683
1492068269,22188,22685
1492068992,22188,22685
1492069727,22192,22689
1492070501,22192,22689
1492071156,22195,22692
1492071866,22199,22696
1492072575,22199,22696
1492073312,22195,22692
1492074112,22192,22689
1492074764,22189,22686
1492075452,22189,22686
1492076187,22190,22687
1492076894,22190,22687
1492077748,22185,22682
1492078353,22186,22683
1492079068,22183,22680
1492079779,22188,22685
1492080513,22190,22687
1492081304,22192,22689
1492081973,22192,22689
1492082650,22190,22686
1492083651,22192,22688
1492084353,22187,22683
1492085116,22186,22682
1492085774,22189,22685
1492086506,22194,22690
1492087234,22192,22688
1492087978,22194,22690
1492088671,22198,22694
1492089396,22202,22698
1492090128,22205,22701
1492090815,22204,22700
1492091552,22209,22705
1492092271,22211,22707
1492092997,22211,22707
1492093728,22206,22702
1492094417,22202,22698
1492095154,22203,22699
1492095872,22204,22700
1492096857,22205,22701
1492097545,22205,22701
1492098264,22206,22702
1492099504,22208,22704
1492100192,22210,22706
1492100927,22215,22711
1492101615,22220,22716
1492102349,22218,22714
1492103339,22220,22716
1492104020,22223,22719
1492104758,22217,22713
1492105448,22220,22716
1492106195,22216,22712
1492106904,22218,22714
1492107653,22213,22709
1492108348,22216,22712
1492109065,22205,22701
1492109776,22207,22703
1492110522,22186,22682
1492111248,22161,22657
1492111961,22166,22662
1492112650,22166,22662
1492113387,22161,22657
1492114095,22165,22661
1492114847,22159,22655
1492115545,22160,22656
1492116273,22154,22650
1492116987,22159,22655
1492117740,22137,22633
1492118430,22140,22636
1492119167,22136,22632
1492119855,22134,22630
1492120586,22128,22624
1492121316,22120,22616
1492122042,22115,22611
1492122751,22108,22604
1492123462,22109,22605
1492124174,22106,22602
1492124896,22102,22598
1492125642,22095,22591
1492126356,22091,22587
