DateTime,AddedIPs,RemovedIPs
1491963876,23,26
1491964574,20,28
1491965315,23,35
1491966104,27,39
1491966770,26,25
1491967453,30,30
1491968196,23,25
1491968900,33,26
1491969724,26,34
1491970387,32,20
1491971067,20,26
1491971778,23,23
1491972510,34,24
1491973307,23,21
1491973973,27,37
1491974651,29,31
1491975386,25,32
1491976113,26,25
1491976946,30,31
1491977556,11,16
1491978262,21,37
1491978973,37,36
1491979717,33,29
1491980518,21,36
1491981155,39,31
1491981862,33,34
1491982574,24,44
1491983308,32,19
1491984113,17,21
1491984766,29,19
1491985460,20,25
1491986187,31,33
1491986897,45,31
1491987725,25,21
1491988361,15,22
1491989062,32,31
1491989774,27,22
1491990515,29,127
1491991351,85,28
1491991959,76,27
1491992683,30,27
1491993376,32,24
1491994110,24,29
1491994936,31,33
1491995555,12,20
1491996266,27,28
1491996973,28,34
1491997583,31,25
1491998530,41,34
1491999165,28,29
1491999861,31,29
1492000602,37,30
1492001295,27,27
1492002151,34,30
1492002756,20,18
1492003466,35,30
1492004174,33,30
1492004922,37,41
1492005706,38,27
1492006367,26,88
1492007049,53,16
1492007792,84,28
1492008495,28,86
1492009313,31,58
1492009969,98,47
1492010670,68,34
1492011405,44,25
1492012146,19,79
1492012953,75,27
1492013580,24,17
1492014255,31,38
1492015008,29,37
1492015718,37,35
1492016512,45,45
1492017168,40,41
1492017869,23,33
1492018578,39,27
1492019315,25,37
1492020099,59,52
1492020770,22,22
1492021460,41,27
1492022192,30,26
1492022899,30,37
1492023711,46,30
1492024361,29,24
1492025066,34,34
1492025774,33,32
1492026507,23,24
1492027320,40,35
1492027965,35,47
1492028650,49,43
1492029386,35,39
1492030098,36,30
1492031116,29,37
1492031774,34,38
1492032504,28,42
1492033235,27,35
1492033950,25,40
1492034946,32,32
1492035618,18,44
1492036348,30,28
1492037050,21,32
1492037806,27,33
1492038515,37,27
1492039234,21,40
1492039939,23,30
1492040671,31,28
1492041413,15,16
1492042094,32,30
1492042850,36,23
1492043537,21,32
1492044261,24,46
1492044996,24,22
1492045741,27,22
1492046422,25,29
1492047149,39,36
1492047854,31,36
1492048607,27,37
