DateTime,Entries,UniqueIPs
1491966770,5514,5514
1491967453,5514,5514
1491968196,5512,5512
1491968900,5519,5519
1491969724,5511,5511
1491970387,5523,5523
1491971067,5517,5517
1491971778,5517,5517
1491972510,5527,5527
1491973307,5529,5529
1491973973,5519,5519
1491974651,5517,5517
1491975386,5510,5510
1491976113,5511,5511
1491976946,5510,5510
1491977556,5505,5505
1491978262,5489,5489
1491978973,5490,5490
1491979717,5494,5494
1491980518,5479,5479
1491981155,5487,5487
1491981862,5486,5486
1491982574,5466,5466
1491983308,5479,5479
1491984113,5475,5475
1491984766,5485,5485
1491985460,5480,5480
1491986187,5478,5478
1491986897,5492,5492
1491987725,5496,5496
1491988361,5489,5489
1491989062,5490,5490
1491989774,5495,5495
1491990515,5397,5397
1491991351,5454,5454
1491991959,5503,5503
1491992683,5506,5506
1491993376,5514,5514
1491994110,5509,5509
1491994936,5507,5507
1491995555,5499,5499
1491996266,5498,5498
1491996973,5492,5492
1491997583,5498,5498
1491998530,5505,5505
1491999165,5504,5504
1491999861,5506,5506
1492000602,5513,5513
1492001295,5513,5513
1492002151,5517,5517
1492002756,5519,5519
1492003466,5524,5524
1492004174,5527,5527
1492004922,5523,5523
1492005706,5534,5534
1492006367,5472,5472
1492007049,5509,5509
1492007792,5565,5565
1492008495,5507,5507
1492009313,5480,5480
1492009969,5531,5531
1492010670,5565,5565
1492011405,5584,5584
1492012146,5524,5524
1492012953,5572,5572
1492013580,5579,5579
1492014255,5572,5572
1492015008,5564,5564
1492015718,5566,5566
1492016512,5566,5566
1492017168,5565,5565
1492017869,5555,5555
1492018578,5567,5567
1492019315,5555,5555
1492020099,5562,5562
1492020770,5562,5562
1492021460,5576,5576
1492022192,5580,5580
1492022899,5573,5573
1492023711,5589,5589
1492024361,5594,5594
1492025066,5594,5594
1492025774,5595,5595
1492026507,5594,5594
1492027320,5599,5599
1492027965,5587,5587
1492028650,5593,5593
1492029386,5589,5589
1492030098,5595,5595
1492031116,5587,5587
1492031774,5583,5583
1492032504,5569,5569
1492033235,5561,5561
1492033950,5546,5546
1492034946,5546,5546
1492035618,5520,5520
1492036348,5522,5522
1492037050,5511,5511
1492037806,5505,5505
1492038515,5515,5515
1492039234,5496,5496
1492039939,5489,5489
1492040671,5492,5492
1492041413,5491,5491
1492042094,5493,5493
1492042850,5506,5506
1492043537,5495,5495
1492044261,5473,5473
1492044996,5475,5475
1492045741,5480,5480
1492046422,5476,5476
1492047149,5479,5479
1492047854,5474,5474
1492048607,5464,5464
1492049313,5468,5468
1492050280,5466,5466
1492050991,5460,5460
1492051739,5471,5471
1492052480,5481,5481
1492053166,5470,5470
1492053853,5472,5472
1492054610,5483,5483
1492055312,5475,5475
1492056114,5478,5478
1492056742,5476,5476
1492057468,5473,5473
1492058191,5480,5480
1492058931,5473,5473
1492059678,5472,5472
1492060356,5457,5457
1492061050,5456,5456
1492061805,5460,5460
1492062495,5461,5461
1492063343,5475,5475
1492063957,5481,5481
1492064662,5474,5474
1492065393,5477,5477
1492066129,5468,5468
1492066884,5446,5446
1492067536,5477,5477
1492068269,5479,5479
1492068992,5471,5471
1492069727,5487,5487
1492070501,5487,5487
1492071156,5488,5488
1492071866,5491,5491
1492072575,5490,5490
1492073312,5481,5481
1492074112,5487,5487
1492074764,5473,5473
1492075452,5487,5487
1492076187,5481,5481
1492076894,5438,5438
1492077748,5443,5443
1492078353,5504,5504
1492079068,5502,5502
1492079779,5510,5510
1492080513,5498,5498
1492081304,5507,5507
1492081973,5519,5519
1492082650,5526,5526
1492083651,5532,5532
1492084353,5523,5523
1492085116,5510,5510
1492085774,5523,5523
1492086506,5545,5545
1492087234,5537,5537
1492087978,5548,5548
1492088671,5542,5542
1492089396,5548,5548
1492090128,5556,5556
1492090815,5549,5549
1492091552,5538,5538
1492092271,5535,5535
1492092997,5532,5532
1492093728,5547,5547
1492094417,5538,5538
1492095154,5534,5534
1492095872,5535,5535
1492096857,5526,5526
1492097545,5510,5510
1492098264,5529,5529
1492099504,5549,5549
1492100192,5549,5549
1492100927,5546,5546
1492101615,5560,5560
1492102349,5558,5558
1492103339,5534,5534
1492104020,5522,5522
1492104758,5527,5527
1492105448,5524,5524
1492106195,5533,5533
1492106904,5543,5543
1492107653,5546,5546
1492108348,5550,5550
1492109065,5562,5562
1492109776,5565,5565
1492110522,5570,5570
1492111248,5571,5571
1492111961,5579,5579
1492112650,5579,5579
1492113387,5589,5589
1492114095,5582,5582
1492114847,5588,5588
1492115545,5581,5581
1492116273,5576,5576
1492116987,5576,5576
1492117740,5552,5552
1492118430,5564,5564
1492119167,5553,5553
1492119855,5537,5537
1492120586,5515,5515
1492121316,5498,5498
1492122042,5502,5502
1492122751,5501,5501
1492123462,5513,5513
1492124174,5501,5501
1492124896,5493,5493
1492125642,5482,5482
1492126356,5472,5472
1492127067,5472,5472
1492127916,5473,5473
1492128757,5474,5474
1492129451,5470,5470
1492130206,5472,5472
1492130912,5467,5467
1492131719,5463,5463
1492132604,5468,5468
1492133309,5463,5463
1492134043,5455,5455
1492134745,5457,5457
1492135483,5454,5454
1492136176,5460,5460
1492136906,5463,5463
1492137625,5461,5461
1492138357,5452,5452
1492139331,5442,5442
1492140029,5439,5439
1492140765,5446,5446
1492141454,5449,5449
1492142187,5456,5456
1492142895,5450,5450
1492143642,5440,5440
1492144347,5448,5448
1492145074,5455,5455
1492145786,5452,5452
1492146512,5444,5444
1492147236,5441,5441
1492147945,5444,5444
1492148678,5437,5437
1492149385,5437,5437
1492150119,5432,5432
1492150837,5420,5420
1492151548,5428,5428
1492152251,5438,5438
1492152989,5453,5453
1492153705,5454,5454
1492154429,5461,5461
1492155144,5454,5454
1492155864,5455,5455
1492156585,5454,5454
1492157330,5462,5462
1492158019,5464,5464
1492158752,5457,5457
1492159448,5463,5463
1492160195,5458,5458
1492160937,5461,5461
1492161631,5454,5454
1492162357,5467,5467
1492163053,5484,5484
1492163793,5472,5472
1492164498,5461,5461
1492165249,5466,5466
1492165947,5469,5469
1492166668,5461,5461
1492167377,5456,5456
1492168631,5467,5467
1492169296,5466,5466
1492170040,5484,5484
1492170745,5490,5490
1492171624,5504,5504
1492172450,5512,5512
1492173136,5533,5533
1492173861,5530,5530
1492174583,5516,5516
1492175295,5517,5517
1492176043,5514,5514
1492176761,5525,5525
1492177474,5519,5519
1492178186,5528,5528
1492178928,5521,5521
1492179627,5527,5527
1492180359,5533,5533
1492181049,5542,5542
1492181794,5521,5521
1492182495,5525,5525
1492183243,5541,5541
1492183949,5545,5545
1492184669,5545,5545
1492185385,5528,5528
1492186105,5531,5531
1492186826,5542,5542
1492187535,5535,5535
1492188266,5549,5549
1492188986,5558,5558
1492189730,5550,5550
1492190429,5543,5543
1492191161,5545,5545
1492191849,5548,5548
1492192590,5536,5536
1492193293,5541,5541
1492194053,5544,5544
1492194748,5546,5546
1492195464,5545,5545
1492196186,5552,5552
1492196895,5539,5539
1492197631,5542,5542
1492198354,5548,5548
1492199066,5533,5533
1492199779,5543,5543
1492200521,5554,5554
1492201492,5542,5542
1492202179,5545,5545
1492202920,5542,5542
1492203698,5530,5530
1492204357,5527,5527
1492205053,5530,5530
1492205801,5522,5522
1492206508,5517,5517
1492207322,5514,5514
1492207937,5509,5509
1492208669,5527,5527
1492209388,5519,5519
1492210113,5514,5514
1492210893,5516,5516
1492211560,5513,5513
1492212269,5499,5499
1492212984,5487,5487
1492213722,5503,5503
1492214484,5494,5494
1492215158,5500,5500
1492215851,5495,5495
1492216599,5489,5489
1492217321,5494,5494
1492218096,5482,5482
1492218745,5475,5475
1492219467,5480,5480
1492220184,5469,5469
1492220912,5474,5474
1492221716,5470,5470
1492222361,5479,5479
1492223070,5473,5473
1492223773,5493,5493
1492224508,5488,5488
1492225289,5484,5484
1492225959,5487,5487
1492226665,5473,5473
1492227397,5488,5488
1492228105,5484,5484
1492228912,5490,5490
1492229544,5482,5482
1492230268,5480,5480
1492230979,5481,5481
1492231712,5476,5476
1492232512,5488,5488
1492233150,5490,5490
1492233852,5479,5479
1492234632,5481,5481
1492235296,5472,5472
1492236132,5471,5471
1492236740,5467,5467
1492237461,5471,5471
1492238184,5487,5487
1492238918,5462,5462
1492239694,5493,5493
1492240360,5480,5480
1492241051,5491,5491
1492241799,5489,5489
1492242504,5496,5496
1492243304,5493,5493
1492243943,5494,5494
1492244674,5503,5503
1492245388,5509,5509
1492246124,5512,5512
1492246903,5522,5522
1492247805,5517,5517
1492248529,5505,5505
1492249249,5526,5526
1492249943,5535,5535
1492250673,5532,5532
1492251381,5524,5524
1492252107,5541,5541
1492252821,5548,5548
1492253549,5542,5542
1492254270,5552,5552
1492255273,5549,5549
1492255939,5543,5543
1492256663,5541,5541
1492257390,5549,5549
1492258109,5559,5559
1492258749,5541,5541
1492259559,5534,5534
1492260248,5533,5533
1492260988,5537,5537
1492261724,5540,5540
1492262424,5548,5548
1492263162,5548,5548
1492263853,5551,5551
1492264586,5554,5554
1492265325,5559,5559
1492266071,5569,5569
1492266736,5564,5564
1492267465,5562,5562
1492268173,5560,5560
1492268924,5543,5543
1492269649,5560,5560
1492270370,5552,5552
1492271050,5553,5553
1492271794,5547,5547
1492272494,5571,5571
1492273233,5573,5573
1492273944,5565,5565
1492274661,5554,5554
1492275374,5554,5554
1492276125,5547,5547
1492276823,5539,5539
1492277569,5528,5528
1492278253,5531,5531
1492278990,5527,5527
1492279728,5530,5530
1492280438,5531,5531
1492281143,5528,5528
1492281864,5517,5517
1492282576,5529,5529
1492283294,5533,5533
1492284056,5527,5527
1492284736,5538,5538
1492285488,5527,5527
1492286178,5530,5530
1492286895,5520,5520
1492287636,5538,5538
1492288343,5537,5537
1492289070,5546,5546
1492289775,5544,5544
1492290513,5532,5532
1492291226,5525,5525
1492291978,5512,5512
1492292656,5513,5513
1492293387,5514,5514
1492294092,5511,5511
1492294872,5506,5506
1492295544,5507,5507
1492296261,5506,5506
1492296974,5501,5501
1492297727,5498,5498
1492298443,5490,5490
1492299148,5474,5474
1492299849,5472,5472
1492300607,5465,5465
1492301299,5474,5474
1492302034,5477,5477
1492302745,5468,5468
1492303475,5467,5467
1492304182,5459,5459
1492304904,5448,5448
1492305635,5464,5464
1492306349,5405,5405
1492307061,5428,5428
1492307777,5450,5450
1492308528,5447,5447
1492309244,5462,5462
1492309948,5458,5458
1492310663,5449,5449
1492311716,5451,5451
1492312343,5455,5455
1492313079,5457,5457
1492313788,5455,5455
1492314516,5438,5438
1492315293,5441,5441
1492315950,5448,5448
1492316653,5450,5450
1492317396,5457,5457
1492318107,5447,5447
1492318942,5458,5458
1492319799,5462,5462
1492320501,5449,5449
1492321487,5444,5444
1492322186,5445,5445
1492322913,5446,5446
1492323631,5444,5444
1492324353,5459,5459
1492325050,5471,5471
1492325795,5471,5471
1492326502,5475,5475
1492327270,5466,5466
1492327951,5460,5460
1492328655,5464,5464
1492329397,5466,5466
1492330100,5466,5466
1492330825,5478,5478
