DateTime,AddedIPs,RemovedIPs
1491778584,8,0
1491779769,9,4
1491780628,4,5
1491781367,3,1
1491783028,40,5
1491783915,9,0
1491784942,8,5
1491786330,7,6
1491787227,5,0
1491788424,5,3
1491789318,1,0
1491790222,1,3
1491791226,8,1
1491792329,12,7
1491793177,10,5
1491794056,4,0
1491795008,2,8
1491796917,16,4
1491797835,10,0
1491799011,15,2
1491799338,0,3
1491800186,9,2
1491801261,12,2
1491802098,11,0
1491803129,9,5
1491803953,23,4
1491804934,5,0
1491806044,1,2
1491806989,5,2
1491807852,3,2
1491808826,1,1
1491809918,5,5
1491811780,11,3
1491813036,7,2
1491813756,5,0
1491814770,7,3
1491815726,7,0
1491816630,13,3
1491817345,7,2
1491818278,8,0
1491819260,8,5
1491820114,2,1
1491821135,3,5
1491822060,8,4
1491822926,22,2
1491823698,6,0
1491824549,21,42
1491825381,11,3
1491826221,6,0
1491827428,10,3
1491828328,10,2
1491829206,11,4
1491830024,5,0
1491832741,19,9
1491834017,5,0
1491835019,10,6
1491835339,0,2
1491836169,4,0
1491837022,6,2
1491838097,1,1
1491838950,3,3
1491840159,11,3
1491840860,4,1
1491841829,4,3
1491842546,6,1
1491843693,13,3
1491844528,6,1
1491845426,2,5
1491846142,1,2
1491846981,5,0
1491847827,4,10
1491849029,7,2
1491850519,5,0
1491851396,4,6
1491852625,4,5
1491853340,80,4
1491854180,2,2
1491855025,7,1
1491857131,13,6
1491857941,5,2
1491858861,5,0
1491859823,15,5
1491860731,5,2
1491861925,29,2
1491862831,43,2
1491863305,15,0
1491864153,10,3
1491864989,14,2
1491866057,5,5
1491867026,5,6
1491867928,0,2
1491869128,2,4
1491870024,2,1
1491870499,2,0
1491871772,5,2
1491872724,2,5
1491873732,5,0
1491874951,6,12
1491876323,2,6
1491877226,15,0
1491877698,1,0
1491878728,23,4
1491879924,10,2
1491880827,2,2
1491881298,0,2
1491882323,2,17
1491884066,3,14
1491885027,5,4
1491885750,4,8
1491886577,3,2
1491887429,8,2
1491888260,4,9
1491889350,14,15
1491890726,44,9
1491891546,13,9
1491892519,3,10
1491892954,9,3
1491894286,6,5
1491895174,20,0
1491897606,12,13
1491898909,2,2
1491899722,13,7
1491900812,1,3
1491901833,5,6
1491902928,13,2
1491903930,4,3
1491905163,1,8
1491906031,5,2
1491907241,25,17
1491908129,10,2
1491909259,9,7
1491910228,2,5
1491911128,6,1
1491913121,11,17
1491914407,4,13
1491915325,2,5
1491916233,13,6
1491917191,17,6
1491918323,13,33
1491919533,59,12
1491920427,9,5
1491921634,4,17
1491923667,9,20
1491924654,4,26
1491926985,9,19
1491928828,2,12
1491929636,8,0
1491930623,5,7
1491931828,7,7
1491933253,3,1
1491936154,17,10
1491936984,5,3
1491938069,6,23
1491939034,4,7
1491939836,4,0
1491941129,5,15
1491941977,2,0
1491942926,2,11
1491943740,6,5
1491944834,2,5
1491946951,23,9
1491948619,11,7
1491949698,3,1
1491950731,4,9
1491953426,8,35
1491954143,1,5
1491955265,1,3
1491956065,4,3
1491956879,3,4
1491957933,3,8
1491959421,3,5
1491960626,4,10
1491961517,3,4
1491962730,1,5
1491963626,1,1
1491964945,7,10
1491966857,7,8
1491967824,2,12
1491968557,1,6
1491969690,4,9
1491970528,1,4
1491971306,2,4
1491972340,3,19
1491973140,1,22
1491974128,1,7
1491975025,3,5
1491975936,10,4
1491976900,5,3
1491977733,2,4
1491978500,5,0
1491979356,2,6
1491980231,2,1
1491981326,3,9
1491982102,2,1
1491982987,4,6
1491983802,1,0
1491984628,4,11
1491985743,0,2
1491986562,5,11
1491987380,5,0
1491988223,3,8
1491989425,4,8
1491990334,2,1
1491991826,4,9
1491992913,0,2
1491993752,3,24
1491994668,3,0
1491995467,4,12
1491996627,1,18
1491997601,0,9
1491998770,2,9
1491999639,6,1
1492000588,4,12
1492002070,11,8
1492002929,4,0
1492004119,2,9
1492005200,1,3
1492006222,2,8
1492007725,7,4
1492008619,5,2
1492009517,3,11
1492011023,3,6
1492013334,8,18
1492014215,6,0
1492015187,3,11
1492016247,3,4
1492017324,3,7
1492018795,9,10
1492019802,2,2
1492020862,2,11
1492022119,5,13
1492023378,4,5
1492024279,15,79
1492025144,4,2
1492026352,7,15
1492027861,4,6
1492028686,0,2
1492030075,5,7
1492031137,5,6
1492032103,37,3
1492032917,12,45
1492034734,11,17
1492035997,4,4
1492037342,18,5
1492038617,7,5
1492040397,18,12
1492041896,3,7
1492042822,4,0
1492044010,6,13
1492044914,1,1
1492045841,3,3
1492046765,5,1
1492047641,9,18
1492048682,13,0
1492049723,16,14
1492050958,3,3
1492052088,4,0
