DateTime,Entries,UniqueIPs
1491760300,8997,8997
1491761130,8996,8996
1491761661,9001,9001
1491763093,9001,9001
1491764184,9001,9001
1491765198,8961,8961
1491766226,8955,8955
1491767970,8950,8950
1491770252,8950,8950
1491771390,8965,8965
1491773298,8982,8982
1491774898,8979,8979
1491776073,8990,8990
1491777752,8996,8996
1491778584,9004,9004
1491779769,9009,9009
1491780628,9008,9008
1491781367,9010,9010
1491783028,9045,9045
1491783915,9054,9054
1491784942,9057,9057
1491786330,9058,9058
1491787227,9063,9063
1491788424,9065,9065
1491789318,9066,9066
1491790222,9064,9064
1491791226,9071,9071
1491792329,9076,9076
1491793177,9081,9081
1491794056,9085,9085
1491795008,9079,9079
1491796917,9091,9091
1491797835,9101,9101
1491799011,9114,9114
1491799338,9111,9111
1491800186,9118,9118
1491801261,9128,9128
1491802098,9139,9139
1491803129,9143,9143
1491803953,9162,9162
1491804934,9167,9167
1491806044,9166,9166
1491806989,9169,9169
1491807852,9170,9170
1491808826,9170,9170
1491809918,9170,9170
1491811780,9178,9178
1491813036,9183,9183
1491813756,9188,9188
1491814770,9192,9192
1491815726,9199,9199
1491816630,9209,9209
1491817345,9214,9214
1491818278,9222,9222
1491819260,9225,9225
1491820114,9226,9226
1491821135,9224,9224
1491822060,9228,9228
1491822926,9248,9248
1491823698,9254,9254
1491824549,9233,9233
1491825381,9241,9241
1491826221,9247,9247
1491827428,9254,9254
1491828328,9262,9262
1491829206,9269,9269
1491830024,9274,9274
1491832741,9284,9284
1491834017,9289,9289
1491835019,9293,9293
1491835339,9291,9291
1491836169,9295,9295
1491837022,9299,9299
1491838097,9299,9299
1491838950,9299,9299
1491840159,9307,9307
1491840860,9310,9310
1491841829,9311,9311
1491842546,9316,9316
1491843693,9326,9326
1491844528,9331,9331
1491845426,9328,9328
1491846142,9327,9327
1491846981,9332,9332
1491847827,9326,9326
1491849029,9331,9331
1491850519,9336,9336
1491851396,9334,9334
1491852625,9333,9333
1491853340,9409,9409
1491854180,9409,9409
1491855025,9415,9415
1491857131,9422,9422
1491857941,9425,9425
1491858861,9430,9430
1491859823,9440,9440
1491860731,9443,9443
1491861925,9470,9470
1491862831,9511,9511
1491863305,9526,9526
1491864153,9533,9533
1491864989,9545,9545
1491866057,9545,9545
1491867026,9544,9544
1491867928,9542,9542
1491869128,9540,9540
1491870024,9541,9541
1491870499,9543,9543
1491871772,9546,9546
1491872724,9543,9543
1491873732,9548,9548
1491874951,9542,9542
1491876323,9538,9538
1491877226,9553,9553
1491877698,9554,9554
1491878728,9573,9573
1491879924,9581,9581
1491880827,9581,9581
1491881298,9579,9579
1491882323,9564,9564
1491884066,9553,9553
1491885027,9554,9554
1491885750,9550,9550
1491886577,9551,9551
1491887429,9557,9557
1491888260,9552,9552
1491889350,9551,9551
1491890726,9586,9586
1491891546,9590,9590
1491892519,9583,9583
1491892954,9589,9589
1491894286,9590,9590
1491895174,9610,9610
1491897606,9609,9609
1491898909,9609,9609
1491899722,9615,9615
1491900812,9613,9613
1491901833,9612,9612
1491902928,9623,9623
1491903930,9624,9624
1491905163,9617,9617
1491906031,9620,9620
1491907241,9628,9628
1491908129,9636,9636
1491909259,9638,9638
1491910228,9635,9635
1491911128,9640,9640
1491913121,9634,9634
1491914407,9625,9625
1491915325,9622,9622
1491916233,9629,9629
1491917191,9640,9640
1491918323,9620,9620
1491919533,9667,9667
1491920427,9671,9671
1491921634,9658,9658
1491923667,9647,9647
1491924654,9625,9625
1491926985,9615,9615
1491928828,9605,9605
1491929636,9613,9613
1491930623,9611,9611
1491931828,9611,9611
1491933253,9613,9613
1491936154,9620,9620
1491936984,9622,9622
1491938069,9605,9605
1491939034,9602,9602
1491939836,9606,9606
1491941129,9596,9596
1491941977,9598,9598
1491942926,9589,9589
1491943740,9590,9590
1491944834,9587,9587
1491946951,9601,9601
1491948619,9605,9605
1491949698,9607,9607
1491950731,9602,9602
1491953426,9575,9575
1491954143,9571,9571
1491955265,9569,9569
1491956065,9570,9570
1491956879,9569,9569
1491957933,9564,9564
1491959421,9562,9562
1491960626,9556,9556
1491961517,9555,9555
1491962730,9551,9551
1491963626,9551,9551
1491964945,9548,9548
1491966857,9547,9547
1491967824,9537,9537
1491968557,9532,9532
1491969690,9527,9527
1491970528,9524,9524
1491971306,9522,9522
1491972340,9506,9506
1491973140,9485,9485
1491974128,9479,9479
1491975025,9477,9477
1491975936,9483,9483
1491976900,9485,9485
1491977733,9483,9483
1491978500,9488,9488
1491979356,9484,9484
1491980231,9485,9485
1491981326,9479,9479
1491982102,9480,9480
1491982987,9478,9478
1491983802,9479,9479
1491984628,9472,9472
1491985743,9470,9470
1491986562,9464,9464
1491987380,9469,9469
1491988223,9464,9464
1491989425,9460,9460
1491990334,9461,9461
1491991826,9456,9456
1491992913,9454,9454
1491993752,9433,9433
1491994668,9436,9436
1491995467,9428,9428
1491996627,9411,9411
1491997601,9402,9402
1491998770,9395,9395
1491999639,9400,9400
1492000588,9392,9392
1492002070,9395,9395
1492002929,9399,9399
1492004119,9392,9392
1492005200,9390,9390
1492006222,9384,9384
1492007725,9387,9387
1492008619,9390,9390
1492009517,9382,9382
1492011023,9379,9379
1492013334,9369,9369
1492014215,9375,9375
1492015187,9367,9367
1492016247,9366,9366
1492017324,9362,9362
1492018795,9361,9361
1492019802,9361,9361
1492020862,9352,9352
1492022119,9344,9344
1492023378,9343,9343
1492024279,9279,9279
1492025144,9281,9281
1492026352,9273,9273
1492027861,9271,9271
1492028686,9269,9269
1492030075,9267,9267
1492031137,9266,9266
1492032103,9300,9300
1492032917,9267,9267
1492034734,9261,9261
1492035997,9261,9261
1492037342,9274,9274
1492038617,9276,9276
1492040397,9282,9282
1492041896,9278,9278
1492042822,9282,9282
1492044010,9275,9275
1492044914,9275,9275
1492045841,9275,9275
