DateTime,AddedIPs,RemovedIPs
1491659169,1,0
1491660069,1,1
1491661824,0,1
1491663700,1,0
1491664527,1,0
1491666245,0,1
1491669950,243,0
1491672067,495,0
1491673276,142,0
1491674181,93,0
1491675046,61,1
1491676015,122,0
1491676992,58,1
1491678057,60,0
1491678866,71,0
1491680542,81,0
1491682540,88,2
1491683441,41,0
1491684372,34,0
1491684982,24,1
1491685838,55,0
1491687124,31,1
1491687748,35,0
1491689902,37,0
1491690926,1,1
1491693025,1,0
1491696861,2,1
1491698470,1,2
1491699366,1,0
1491700524,1,4
1491702057,0,2
1491705265,4,0
1491706233,0,1
1491709274,0,2
1491710325,2,2
1491711262,1,1
1491713421,2,0
1491714931,1,0
1491716465,2,0
1491717303,1,0
1491718226,0,1
1491720152,2,1
1491722427,2,1
1491723409,1,0
1491724283,2,0
1491725130,0,3
1491726060,1,0
1491726959,0,1
1491727840,1,0
1491729382,2,0
1491730235,2,1
1491731782,1,2
1491732625,2,0
1491733612,1,1
1491735380,1,0
1491736642,0,1
1491738194,2,3
1491739005,0,1
1491741454,4,0
1491742482,1,0
1491743609,1,1
1491744515,1,0
1491745408,0,1
1491746186,0,1
1491747001,0,1
1491748679,0,2
1491749575,1,0
1491751017,0,3
1491751832,3,0
1491754178,4,0
1491756150,1,1
1491757058,2,2
1491758242,4,1
1491759235,0,1
1491760323,1,0
1491763097,1,0
1491764187,1,0
1491765265,0,1
1491767976,1,0
1491770265,4,1
1491771394,1,1
1491773302,2,1
1491774901,2,0
1491776077,2,2
1491777755,3,1
1491780632,0,1
1491783031,3,0
1491784949,1,0
1491786334,3,1
1491787231,2,0
1491788428,0,1
1491790226,1,0
1491791230,1,0
1491792333,1,0
1491793180,1,0
1491795019,2,0
1491796920,0,1
1491797852,1,1
1491799015,1,0
1491800190,1,0
1491801264,0,1
1491802102,1,0
1491803133,1,0
1491804938,1,0
1491806065,0,2
1491806993,1,0
1491807865,1,1
1491808829,1,0
1491809921,0,2
1491811784,2,0
1491814809,3,0
1491815730,7,0
1491816635,4,3
1491817351,3,0
1491818322,2,1
1491819264,4,2
1491820120,1,1
1491821139,4,0
1491822084,1,2
1491822929,1,0
1491823702,1,1
1491824552,1,1
1491826226,1,0
1491827432,3,0
1491828332,1,1
1491829247,1,2
1491830417,1,0
1491832745,4,1
1491834024,1,0
1491835023,1,0
1491836173,1,0
1491837026,2,1
1491838101,2,0
1491840165,0,44
1491840865,1,2
1491841833,0,54
1491842555,1,30
1491843705,1,58
1491845429,1,82
1491846146,0,18
1491846985,1,0
1491847831,0,56
1491849034,3,87
1491850523,2,1
1491851400,0,134
1491853344,0,146
1491855028,2,102
1491857135,3,270
1491857965,0,256
1491858868,1,6
1491859826,1,281
1491861929,2,1
1491862837,1,0
1491864160,1,0
1491864993,0,1
1491866061,0,2
1491867029,1,1
1491867932,1,1
1491869134,0,2
1491870029,2,0
1491872727,3,0
1491873738,1,0
1491874956,1,1
1491876326,3,1
1491878731,0,3
1491879930,2,0
1491882327,1,1
1491884070,1,2
1491885032,1,0
1491885757,1,0
1491886581,1,2
1491887433,1,3
1491889234,0,3
1491890735,1,2
1491891565,2,0
1491892523,0,3
1491892963,0,1
1491895178,0,1
1491897649,1,4
1491898916,2,0
1491899726,1,1
1491900817,2,0
1491901837,2,2
1491902932,2,0
1491903936,3,1
1491905176,3,0
1491906041,1,0
1491907255,0,2
1491909263,3,1
1491910232,0,3
1491911132,1,0
1491913125,2,1
1491914427,2,2
1491915329,1,0
1491916237,1,1
1491917194,1,1
1491919544,0,3
1491921645,1,2
1491923671,1,2
1491924658,1,3
1491926988,6,1
1491927865,6,0
1491928835,1,3
1491930627,0,1
1491931832,3,2
1491933257,4,1
1491936168,2,2
1491938073,0,3
1491939039,1,2
1491941145,1,3
1491941983,2,0
1491942930,0,2
1491943744,1,0
1491944838,0,4
1491946521,1,4
1491946965,1,0
1491948622,2,2
1491949702,2,0
1491950735,0,1
1491953430,2,7
1491954152,1,0
1491955282,0,2
1491956883,2,0
1491957940,1,2
1491959425,4,3
1491960630,3,4
1491961530,1,0
1491962743,0,1
1491963634,2,0
1491964959,1,3
1491968567,2,0
1491969699,1,5
1491970532,3,0
1491971309,1,0
1491972355,3,3
1491973152,2,0
1491974131,2,0
1491975029,1,3
1491975950,0,1
1491976915,0,1
1491978504,1,0
1491979378,0,3
1491981330,2,2
1491983006,0,1
1491983805,1,0
1491984631,0,2
1491985797,3,2
1491986584,3,0
1491987388,3,0
1491988228,1,0
1491989432,3,3
1491990355,1,0
1491991829,0,2
1491992917,2,0
1491993782,0,2
1491994671,1,0
1491995471,0,2
1491997615,1,2
1491998788,2,1
1492000592,1,0
1492002086,2,3
1492004123,1,4
1492006226,1,3
1492007729,2,2
1492013357,2,1
1492014240,3,0
1492015200,2,0
1492016251,1,0
1492018799,1,2
1492020866,0,1
1492022123,2,0
1492023381,3,0
1492024283,0,3
1492026380,1,4
1492027865,0,3
1492028716,1,0
1492031152,4,3
1492032124,2,2
1492034754,2,3
1492036020,2,1
1492037369,1,3
1492038621,1,1
1492040419,2,4
1492041925,4,0
1492042841,1,0
1492044033,3,2
1492044923,2,0
1492045865,0,2
1492046789,2,0
1492047657,0,2
1492049729,0,1
1492050962,0,4
1492052092,3,0
1492053072,2,1
1492054121,2,0
1492055729,2,2
1492058452,1,2
1492062202,1,1
1492062981,1,0
1492063801,1,0
1492065627,1,0
1492066643,3,1
1492067734,1,1
1492068633,1,2
1492069575,1,0
1492071992,1,0
1492072949,1,5
1492074158,4,2
1492075227,1,0
1492076612,1,1
1492077881,0,2
1492078885,0,1
1492080035,0,4
1492080991,1,1
1492081853,2,1
1492082680,2,0
1492085167,1,4
1492087275,1,2
1492088467,1,1
1492090413,0,2
1492090946,1,0
1492091785,1,0
1492093830,4,3
1492094642,0,2
1492095382,0,1
1492096462,2,1
1492097639,1,7
1492098142,1,0
1492099889,0,1
1492101034,2,1
1492102040,1,2
1492103036,1,2
1492104033,2,0
1492106182,2,0
1492108103,0,3
1492109601,2,5
1492110935,3,0
1492112549,2,0
1492115303,3,0
1492116379,1,4
1492117834,1,2
1492119743,2,2
1492122754,0,2
1492124370,0,1
1492126946,1,3
1492129019,0,3
1492129828,1,6
1492130773,0,1
1492131932,2,0
1492132873,1,0
1492133556,1,4
1492134660,2,2
1492136431,4,0
1492136911,2,0
1492137808,1,6
1492139113,2,2
1492139935,1,1
1492140741,1,0
1492142081,3,1
1492143632,0,4
1492144530,0,6
1492146627,1,4
1492148542,4,1
1492149390,0,1
1492151309,3,4
1492152991,3,3
1492154045,1,2
1492155209,2,2
1492155743,1,0
1492156587,1,1
1492157751,1,6
1492158641,1,5
1492159589,2,0
1492160732,1,2
1492162716,4,1
1492163581,1,1
1492165133,3,2
1492165704,2,1
1492167931,2,6
1492168463,1,0
1492170029,6,2
1492170926,5,0
1492171866,6,2
1492173034,7,0
1492173813,4,0
1492175133,5,0
1492176090,1,0
1492177166,3,2
1492179483,4,0
1492180854,3,0
1492182627,1,1
1492184542,2,5
1492186680,1,0
1492187588,2,0
1492188142,0,1
1492189895,1,0
1492191030,2,0
1492193061,3,3
