DateTime,Entries,UniqueIPs
1491596438,37,37
1491605996,36,36
1491614145,36,36
1491615038,35,35
1491615965,36,36
1491626442,36,36
1491631165,35,35
1491639060,37,37
1491642868,38,38
1491645949,39,39
1491649567,38,38
1491659169,39,39
1491660069,39,39
1491661824,38,38
1491663700,39,39
1491664527,40,40
1491666245,39,39
1491669950,282,282
1491672067,777,777
1491673276,919,919
1491674181,1012,1012
1491675046,1072,1072
1491676015,1194,1194
1491676992,1251,1251
1491678057,1311,1311
1491678866,1382,1382
1491680542,1463,1463
1491682540,1549,1549
1491683441,1590,1590
1491684372,1624,1624
1491684982,1647,1647
1491685838,1702,1702
1491687124,1732,1732
1491687748,1767,1767
1491689902,1804,1804
1491690926,1804,1804
1491693025,1805,1805
1491696861,1806,1806
1491698470,1805,1805
1491699366,1806,1806
1491700524,1803,1803
1491702057,1801,1801
1491705265,1805,1805
1491706233,1804,1804
1491709274,1802,1802
1491710325,1802,1802
1491711262,1802,1802
1491713421,1804,1804
1491714931,1805,1805
1491716465,1807,1807
1491717303,1808,1808
1491718226,1807,1807
1491720152,1808,1808
1491722427,1809,1809
1491723409,1810,1810
1491724283,1812,1812
1491725130,1809,1809
1491726060,1810,1810
1491726959,1809,1809
1491727840,1810,1810
1491729382,1812,1812
1491730235,1813,1813
1491731782,1812,1812
1491732625,1814,1814
1491733612,1814,1814
1491735380,1815,1815
1491736642,1814,1814
1491738194,1813,1813
1491739005,1812,1812
1491741454,1816,1816
1491742482,1817,1817
1491743609,1817,1817
1491744515,1818,1818
1491745408,1817,1817
1491746186,1816,1816
1491747001,1815,1815
1491748679,1813,1813
1491749575,1814,1814
1491751017,1811,1811
1491751832,1814,1814
1491754178,1818,1818
1491756150,1818,1818
1491757058,1818,1818
1491758242,1821,1821
1491759235,1820,1820
1491760323,1821,1821
1491763097,1822,1822
1491764187,1823,1823
1491765265,1822,1822
1491767976,1823,1823
1491770265,1826,1826
1491771394,1826,1826
1491773302,1827,1827
1491774901,1829,1829
1491776077,1829,1829
1491777755,1831,1831
1491780632,1830,1830
1491783031,1833,1833
1491784949,1834,1834
1491786334,1836,1836
1491787231,1838,1838
1491788428,1837,1837
1491790226,1838,1838
1491791230,1839,1839
1491792333,1840,1840
1491793180,1841,1841
1491795019,1843,1843
1491796920,1842,1842
1491797852,1842,1842
1491799015,1843,1843
1491800190,1844,1844
1491801264,1843,1843
1491802102,1844,1844
1491803133,1845,1845
1491804938,1846,1846
1491806065,1844,1844
1491806993,1845,1845
1491807865,1845,1845
1491808829,1846,1846
1491809921,1844,1844
1491811784,1846,1846
1491814809,1849,1849
1491815730,1856,1856
1491816635,1857,1857
1491817351,1860,1860
1491818322,1861,1861
1491819264,1863,1863
1491820120,1863,1863
1491821139,1867,1867
1491822084,1866,1866
1491822929,1867,1867
1491823702,1867,1867
1491824552,1867,1867
1491826226,1868,1868
1491827432,1871,1871
1491828332,1871,1871
1491829247,1870,1870
1491830417,1871,1871
1491832745,1874,1874
1491834024,1875,1875
1491835023,1876,1876
1491836173,1877,1877
1491837026,1878,1878
1491838101,1880,1880
1491840165,1836,1836
1491840865,1835,1835
1491841833,1781,1781
1491842555,1752,1752
1491843705,1695,1695
1491845429,1614,1614
1491846146,1596,1596
1491846985,1597,1597
1491847831,1541,1541
1491849034,1457,1457
1491850523,1458,1458
1491851400,1324,1324
1491853344,1178,1178
1491855028,1078,1078
1491857135,811,811
1491857965,555,555
1491858868,550,550
1491859826,270,270
1491861929,271,271
1491862837,272,272
1491864160,273,273
1491864993,272,272
1491866061,270,270
1491867029,270,270
1491867932,270,270
1491869134,268,268
1491870029,270,270
1491872727,273,273
1491873738,274,274
1491874956,274,274
1491876326,276,276
1491878731,273,273
1491879930,275,275
1491882327,275,275
1491884070,274,274
1491885032,275,275
1491885757,276,276
1491886581,275,275
1491887433,273,273
1491889234,270,270
1491890735,269,269
1491891565,271,271
1491892523,268,268
1491892963,267,267
1491895178,266,266
1491897649,263,263
1491898916,265,265
1491899726,265,265
1491900817,267,267
1491901837,267,267
1491902932,269,269
1491903936,271,271
1491905176,274,274
1491906041,275,275
1491907255,273,273
1491909263,275,275
1491910232,272,272
1491911132,273,273
1491913125,274,274
1491914427,274,274
1491915329,275,275
1491916237,275,275
1491917194,275,275
1491919544,272,272
1491921645,271,271
1491923671,270,270
1491924658,268,268
1491926988,273,273
1491927865,279,279
1491928835,277,277
1491930627,276,276
1491931832,277,277
1491933257,280,280
1491936168,280,280
1491938073,277,277
1491939039,276,276
1491941145,274,274
1491941983,276,276
1491942930,274,274
1491943744,275,275
1491944838,271,271
1491946521,268,268
1491946965,269,269
1491948622,269,269
1491949702,271,271
1491950735,270,270
1491953430,265,265
1491954152,266,266
1491955282,264,264
1491956883,266,266
1491957940,265,265
1491959425,266,266
