DateTime,AddedIPs,RemovedIPs
1491727845,2,0
1491729387,5,2
1491730240,2,3
1491731786,2,1
1491732629,0,1
1491733643,1,0
1491734439,2,1
1491735384,4,0
1491736651,26,1
1491738228,1,1
1491740403,2,3
1491741459,15,2
1491742486,2,0
1491743638,2,2
1491745429,1,2
1491746190,1,0
1491747018,9,0
1491748686,23,2
1491749579,21,0
1491751023,4,9
1491754182,27,5
1491756155,52,2
1491757062,9,0
1491758247,3,4
1491759239,3,2
1491760348,3,1
1491761139,3,3
1491761671,4,0
1491763101,2,3
1491764192,1,2
1491765296,0,1
1491766235,1,6
1491767980,4,6
1491770270,2,5
1491771398,18,2
1491773308,20,4
1491774907,9,7
1491776082,13,1
1491777760,10,6
1491778592,7,0
1491779780,9,2
1491780637,3,3
1491781422,4,1
1491783036,40,4
1491783922,8,0
1491784953,8,4
1491786338,5,3
1491787235,5,0
1491788432,4,1
1491789327,1,0
1491790229,1,3
1491791234,8,1
1491792338,9,3
1491793184,8,3
1491794064,4,0
1491795025,2,3
1491796924,14,1
1491797859,10,0
1491799019,15,1
1491800194,8,2
1491801268,12,2
1491802107,9,0
1491803138,9,2
1491803976,23,2
1491804943,4,0
1491806070,0,1
1491806997,5,1
1491807873,1,1
1491808834,1,1
1491809926,1,1
1491811789,10,2
1491813767,9,0
1491814864,3,1
1491815736,4,1
1491816640,9,1
1491817355,5,2
1491818342,5,0
1491819269,7,3
1491820126,2,0
1491821145,1,4
1491822092,6,4
1491822933,22,2
1491823706,5,0
1491824556,18,9
1491825389,11,2
1491826230,5,0
1491828337,12,1
1491829254,7,2
1491830425,7,1
1491832749,11,4
1491834029,3,0
1491835034,7,5
1491836177,3,1
1491837030,5,1
1491838958,0,2
1491840170,9,3
1491840871,3,1
1491841839,3,1
1491842561,6,1
1491843711,11,0
1491844536,4,0
1491845434,2,1
1491846151,1,1
1491846989,3,0
1491847835,3,5
1491849040,6,1
1491850528,5,0
1491851404,3,3
1491853349,5,3
1491854191,2,2
1491855032,7,0
1491857140,9,4
1491857973,5,1
1491858872,4,0
1491859831,16,4
1491860740,5,1
1491861933,29,1
1491862842,44,2
1491863314,14,0
1491864165,10,2
1491864997,12,2
1491866065,5,2
1491867033,4,6
1491867937,0,2
1491869139,2,3
1491870035,2,0
1491870507,1,0
1491871781,3,0
1491872731,0,4
1491873745,3,0
1491874963,1,8
1491876330,2,3
1491877240,13,0
1491878736,20,4
1491879934,9,0
1491880841,0,2
1491881307,0,2
1491882331,2,10
1491884074,3,12
1491885037,3,2
1491885762,4,8
1491886585,2,2
1491887437,8,1
1491888271,1,9
1491889239,11,12
1491889366,1,0
1491890742,41,6
1491891570,11,9
1491892527,2,6
1491892975,10,2
1491894305,4,1
1491895182,19,0
1491897660,9,7
1491898930,1,1
1491899732,11,4
1491900822,1,2
1491901842,3,2
1491902937,12,1
1491903941,3,2
1491905185,1,8
1491906051,2,2
1491907267,22,11
1491908138,8,2
1491909268,4,3
1491910237,2,4
1491911138,5,1
1491913129,9,11
1491914435,2,9
1491915333,0,4
1491916241,11,2
1491917199,17,5
1491918332,11,26
1491919555,58,11
1491920450,6,5
1491921655,4,12
1491923675,4,16
1491924663,4,23
1491926993,5,16
1491928845,0,7
1491929645,8,0
1491930631,1,3
1491931836,6,5
1491933262,3,0
1491936181,13,4
1491936992,1,2
1491937834,3,23
1491938077,0,1
1491939044,2,3
1491939861,2,0
1491941154,4,12
1491941988,1,0
1491942934,1,7
1491943748,3,4
1491944842,1,3
1491946525,20,6
1491946976,1,1
1491948626,7,5
1491949706,2,0
1491950739,4,8
1491953435,5,34
1491954156,0,4
1491955291,1,2
1491956072,1,2
1491956887,2,4
1491957945,1,7
1491959429,2,5
1491960636,2,4
1491961537,1,3
1491962755,0,2
1491963645,1,1
1491964968,5,8
1491966865,5,5
1491967831,2,11
1491968576,1,6
1491969707,4,9
1491970537,1,4
1491971314,1,4
1491972364,2,17
1491973159,0,22
1491974136,0,7
1491975033,1,5
1491975956,6,4
1491976929,3,3
1491977746,2,3
1491978509,3,0
1491979387,1,0
1491980240,1,1
1491981334,3,7
1491982110,1,1
1491983023,0,6
1491985204,3,8
1491986104,1,8
1491986596,1,0
1491987392,3,0
1491988232,1,5
1491990372,3,8
1491991834,4,7
1491992922,0,2
1491993799,2,21
1491994676,1,0
1491995476,1,12
1491996636,0,14
1491997628,0,6
1491998804,0,6
1491999673,2,1
1492000596,4,8
1492002099,10,7
1492002937,1,0
1492004127,2,5
1492005214,1,2
1492006230,0,7
1492007734,4,1
1492008629,3,1
1492009539,3,6
1492011031,2,3
1492013374,5,15
1492014256,1,0
1492015215,2,9
1492016255,0,4
1492017332,1,5
1492018808,7,8
1492019810,0,2
1492020871,1,11
1492022127,4,9
1492023386,2,5
1492024288,12,5
1492025187,2,2
1492026404,6,13
1492027869,3,5
1492028731,0,1
1492031168,5,12
1492032137,34,4
1492033609,16,45
1492034773,1,13
1492036038,0,3
1492037379,13,4
1492038625,6,4
1492040432,16,10
1492041942,1,4
1492042856,2,0
1492044050,4,8
1492044929,2,1
1492045885,2,2
1492046808,4,1
1492047674,8,13
1492048722,13,12
1492049733,12,0
1492050968,2,1
1492052096,3,0
1492053092,3,3
1492054141,2,0
1492055733,31,6
1492056932,6,6
1492058475,0,10
1492059387,5,1
1492060294,7,19
1492061196,5,0
1492062218,5,7
1492063814,1,8
1492064802,3,0
1492065632,0,17
1492066647,6,2
1492067738,3,2
1492068637,2,2
1492069585,2,3
1492071033,6,3
1492072955,1,12
1492075232,38,2
1492076623,8,6
1492077885,1,11
1492078907,3,1
1492080040,3,12
1492080995,1,2
1492081879,2,5
1492082685,4,1
1492085181,4,13
1492086141,2,4
1492087306,2,15
1492088478,3,25
1492089332,4,0
1492090420,6,21
1492091789,5,0
1492093835,11,15
1492094661,3,3
1492095386,4,1
1492096465,7,3
1492097654,5,1
1492098146,0,1
1492098986,1,3
1492099918,2,8
1492101038,2,9
1492102063,12,4
1492103040,3,4
1492104058,4,2
1492105349,2,6
1492106186,1,0
1492108108,40,8
1492109634,1,2
1492110939,16,5
1492112553,12,3
1492115308,40,1
1492116409,1,11
1492117838,25,4
1492119747,24,5
1492120585,1,2
1492121856,2,2
1492122760,3,5
1492123438,1,0
1492124374,2,1
1492126950,5,9
1492129028,3,11
1492129834,2,5
1492130798,1,3
1492131936,0,9
1492132904,11,2
1492133582,0,8
1492134666,2,7
1492136435,3,16
1492136916,4,3
1492137829,1,8
1492139119,0,4
1492139938,2,0
1492140765,0,3
1492142085,5,2
1492143636,2,4
1492144534,2,6
1492146631,0,10
1492148546,4,5
1492149394,4,4
1492151313,2,8
1492152995,4,5
1492154050,1,2
1492155223,2,4
1492155750,0,1
1492156591,2,2
1492157784,2,2
1492158650,0,5
1492159610,3,0
1492160736,3,4
1492162720,3,1
1492163587,3,1
1492165154,6,1
1492165708,0,1
1492167936,3,3
1492168468,2,0
1492170033,3,7
1492170930,2,0
1492171907,0,3
1492173038,2,2
1492173852,1,4
1492175138,1,2
1492176106,1,0
1492177170,1,4
1492178400,0,6
1492179488,1,3
1492180889,4,3
1492182632,1,6
1492184546,3,14
1492186685,5,5
1492187620,2,3
1492188146,0,7
1492189917,2,3
1492191034,2,6
1492193064,5,7
1492194107,1,1
1492195231,2,10
1492196134,1,0
1492198106,7,3
1492199230,4,8
1492200329,1,4
1492201302,2,3
1492202553,2,39
1492204483,3,5
1492205433,0,6
1492207533,4,7
1492209253,4,9
1492210238,0,1
1492211729,2,2
1492212637,1,4
1492213613,1,2
1492214496,1,1
1492215334,1,0
1492216678,1,4
1492217935,3,11
1492219798,4,12
1492220634,1,0
1492221563,2,3
1492222519,5,0
1492223839,1,10
1492225854,3,15
1492227226,0,3
1492228893,0,6
1492230729,1,7
1492231354,1,0
1492234502,7,9
1492235053,1,2
1492236880,5,5
1492238432,2,5
1492241436,7,6
1492243526,4,11
1492244521,1,1
1492245451,3,32
1492246586,1,0
1492248508,1,2
1492251280,2,6
1492252950,0,4
1492255236,6,2
1492256132,1,4
1492257428,2,2
1492258500,1,2
1492260152,0,9
1492262262,3,7
1492263308,3,3
1492265385,2,7
1492266956,8,9
1492268606,2,2
1492269515,1,0
1492271048,4,10
1492272332,20,8
1492274549,5,6
1492276044,2,12
1492277306,4,0
1492279015,7,20
1492279834,16,0
1492280865,6,0
1492282530,4,17
1492283516,1,18
1492284439,2,0
1492285316,12,11
1492287025,7,1
1492288948,3,34
1492290410,2,1
1492291229,16,0
1492292502,15,3
1492293690,5,1
1492294536,23,0
1492296155,44,4
1492297171,6,5
1492298258,20,0
1492300311,3,4
1492301131,3,1
1492302124,3,0
1492303346,4,11
1492304185,5,0
1492305125,10,1
1492306205,20,4
1492307135,2,0
1492307964,4,2
1492308893,3,0
1492310062,2,1
1492312667,5,3
1492313304,2,0
1492315192,2,4
1492316495,24,1
1492317376,14,2
1492318225,4,1
1492319199,0,1
1492320926,2,2
1492322627,2,2
1492323272,0,1
