DateTime,AddedIPs,RemovedIPs
1491777725,253,228
1491778565,122,0
1491779749,170,235
1491780610,121,219
1491781338,106,0
1491783005,253,252
1491783902,134,0
1491784925,135,235
1491786310,207,233
1491787205,123,0
1491788405,207,331
1491789305,125,1
1491790205,126,144
1491791213,168,0
1491792305,210,259
1491793164,145,167
1491794044,145,18
1491794990,168,235
1491796904,333,214
1491797816,169,0
1491799325,272,327
1491800165,156,1
1491801245,212,214
1491802085,159,0
1491803105,219,263
1491803934,167,275
1491804907,193,21
1491806028,194,267
1491806974,187,96
1491807829,163,181
1491808805,214,1
1491809904,231,281
1491811764,380,295
1491813007,206,290
1491813727,124,0
1491814673,195,0
1491815705,241,328
1491816606,197,268
1491817326,181,0
1491818264,199,0
1491819246,253,262
1491820086,164,0
1491821106,175,444
1491822004,177,218
1491822905,201,20
1491823685,117,1
1491824526,166,448
1491825365,150,0
1491826205,161,186
1491827407,247,260
1491828306,168,1
1491829192,168,259
1491830006,187,22
1491832725,608,593
1491833522,218,21
1491834342,249,0
1491835326,248,372
1491836144,196,2
1491837005,183,224
1491838085,233,1
1491838929,212,282
1491840141,276,294
1491840846,176,1
1491841806,208,289
1491842526,175,189
1491843671,223,283
1491844505,158,0
1491845406,214,423
1491846125,147,120
1491846965,168,0
1491847806,177,256
1491849006,260,305
1491850505,305,0
1491851381,158,489
1491852597,243,402
1491853325,214,143
1491854166,166,0
1491855006,150,278
1491856207,199,421
1491857105,156,226
1491857925,131,417
1491858846,162,8
1491859806,154,579
1491860711,147,97
1491861906,188,213
1491862806,176,2
1491863286,87,0
1491864126,244,231
1491864965,241,1
1491866045,280,239
1491867005,257,240
1491867905,212,75
1491869900,486,180
1491870485,142,0
1491871743,283,322
1491872705,253,143
1491873716,260,0
1491874931,278,218
1491876305,325,223
1491877206,245,1
1491877685,114,0
1491878710,255,308
1491879905,299,165
1491880806,199,0
1491881285,95,0
1491882305,230,334
1491884045,395,187
1491885005,243,251
1491885726,170,0
1491886565,127,0
1491887405,218,280
1491888236,174,0
1491889325,193,355
1491890705,255,201
1491891531,109,1
1491892506,176,275
1491892927,95,95
1491893725,158,0
1491894606,106,188
1491895807,559,230
1491897590,390,294
1491898886,286,26
1491899706,176,297
1491900782,215,0
1491901819,222,277
1491902913,258,1
1491903906,205,396
1491905134,259,198
1491906008,188,0
1491907208,239,411
1491908106,188,0
1491909245,227,240
1491910207,202,278
1491911107,181,0
1491913105,433,326
1491914376,293,482
1491915306,245,0
1491916206,263,226
1491917178,270,0
1491918306,312,443
1491919508,353,185
1491920406,247,2
1491921606,299,448
1491923645,598,253
1491924637,286,350
1491926969,612,369
1491927820,226,0
1491928806,251,392
1491929622,212,1
1491930605,255,238
1491931806,308,279
1491933239,402,125
1491936131,824,537
1491936970,233,1
1491938045,337,223
1491939011,283,259
1491939814,266,0
1491941110,447,321
1491941956,269,0
1491942906,266,254
1491943727,141,109
1491944821,176,214
1491946927,291,371
1491948605,308,195
1491949685,168,0
1491950709,156,377
1491953406,467,435
1491954126,129,93
1491955244,179,192
1491956046,148,0
1491956865,139,0
1491957908,211,439
1491959405,258,230
