DateTime,AddedIPs,RemovedIPs
1491771392,48,16
1491773300,81,35
1491774899,61,40
1491776075,44,34
1491777753,54,28
1491778586,32,10
1491779771,55,23
1491780630,35,24
1491781375,30,5
1491783029,65,44
1491783916,41,8
1491784943,36,28
1491786332,55,30
1491787229,44,11
1491788425,48,21
1491789320,44,7
1491790224,36,15
1491791228,37,8
1491792331,51,30
1491793179,26,14
1491794058,41,5
1491795008,38,22
1491796919,76,26
1491797842,36,4
1491799013,40,23
1491799340,7,7
1491800188,30,7
1491801262,34,19
1491802100,32,8
1491803131,51,21
1491803960,31,24
1491804936,30,9
1491806047,42,26
1491806991,31,17
1491807857,38,23
1491808827,35,8
1491809919,46,27
1491811782,60,33
1491813039,37,33
1491813759,25,5
1491814775,34,25
1491815728,38,10
1491816632,25,24
1491817348,32,3
1491818280,37,5
1491819262,30,20
1491820116,37,6
1491821137,36,69
1491822065,29,56
1491822927,40,6
1491823700,25,11
1491824550,40,53
1491825383,27,8
1491826222,34,18
1491827430,44,23
1491828329,34,10
1491829243,31,32
1491830404,63,7
1491832743,112,59
1491834021,63,7
1491835021,47,19
1491835340,16,12
1491836172,48,10
1491837023,37,23
1491838099,51,11
1491838952,37,32
1491840162,69,25
1491840862,50,11
1491841831,48,25
1491842553,33,11
1491843701,43,19
1491844530,35,5
1491845427,34,31
1491846144,24,13
1491846983,34,10
1491847828,41,12
1491849031,44,27
1491850521,52,10
1491851398,39,34
1491852628,43,40
1491853341,31,11
1491854183,19,14
1491855026,31,23
1491857133,59,55
1491857950,24,31
1491858866,32,12
1491859824,26,45
1491860733,31,23
1491861927,37,37
1491862833,28,7
1491863307,14,8
1491864157,23,52
1491864991,17,4
1491866059,30,45
1491867028,25,44
1491867930,17,15
1491869130,28,32
1491870026,21,5
1491870501,8,7
1491871775,39,44
1491872725,28,33
1491873735,32,8
1491874953,22,38
1491876324,34,35
1491877227,29,10
1491877700,12,3
1491878729,28,53
1491879928,31,30
1491880830,20,10
1491881301,11,5
1491882325,29,47
1491884067,53,40
1491885029,44,62
1491885752,33,10
1491886579,36,8
