DateTime,Entries,UniqueIPs
1491763095,3793,3793
1491764185,3826,3826
1491765224,3850,3850
1491766227,3869,3869
1491767973,3884,3884
1491770254,3942,3942
1491771392,3974,3974
1491773300,4020,4020
1491774899,4041,4041
1491776075,4051,4051
1491777753,4077,4077
1491778586,4099,4099
1491779771,4131,4131
1491780630,4142,4142
1491781375,4167,4167
1491783029,4188,4188
1491783916,4221,4221
1491784943,4229,4229
1491786332,4254,4254
1491787229,4287,4287
1491788425,4314,4314
1491789320,4351,4351
1491790224,4372,4372
1491791228,4401,4401
1491792331,4422,4422
1491793179,4434,4434
1491794058,4470,4470
1491795008,4486,4486
1491796919,4536,4536
1491797842,4568,4568
1491799013,4585,4585
1491799340,4585,4585
1491800188,4608,4608
1491801262,4623,4623
1491802100,4647,4647
1491803131,4677,4677
1491803960,4684,4684
1491804936,4705,4705
1491806047,4721,4721
1491806991,4735,4735
1491807857,4750,4750
1491808827,4777,4777
1491809919,4796,4796
1491811782,4823,4823
1491813039,4827,4827
1491813759,4847,4847
1491814775,4856,4856
1491815728,4884,4884
1491816632,4885,4885
1491817348,4914,4914
1491818280,4946,4946
1491819262,4956,4956
1491820116,4987,4987
1491821137,4954,4954
1491822065,4927,4927
1491822927,4961,4961
1491823700,4975,4975
1491824550,4962,4962
1491825383,4981,4981
1491826222,4997,4997
1491827430,5018,5018
1491828329,5042,5042
1491829243,5041,5041
1491830404,5097,5097
1491832743,5150,5150
1491834021,5206,5206
1491835021,5234,5234
1491835340,5238,5238
1491836172,5276,5276
1491837023,5290,5290
1491838099,5330,5330
1491838952,5335,5335
1491840162,5379,5379
1491840862,5418,5418
1491841831,5441,5441
1491842553,5463,5463
1491843701,5487,5487
1491844530,5517,5517
1491845427,5520,5520
1491846144,5531,5531
1491846983,5555,5555
1491847828,5584,5584
1491849031,5601,5601
1491850521,5643,5643
1491851398,5648,5648
1491852628,5651,5651
1491853341,5671,5671
1491854183,5676,5676
1491855026,5684,5684
1491857133,5688,5688
1491857950,5681,5681
1491858866,5701,5701
1491859824,5682,5682
1491860733,5690,5690
1491861927,5690,5690
1491862833,5711,5711
1491863307,5717,5717
1491864157,5688,5688
1491864991,5701,5701
1491866059,5686,5686
1491867028,5667,5667
1491867930,5669,5669
1491869130,5665,5665
1491870026,5681,5681
1491870501,5682,5682
1491871775,5677,5677
1491872725,5672,5672
1491873735,5696,5696
1491874953,5680,5680
1491876324,5679,5679
1491877227,5698,5698
1491877700,5707,5707
1491878729,5682,5682
1491879928,5683,5683
1491880830,5693,5693
1491881301,5699,5699
1491882325,5681,5681
1491884067,5694,5694
1491885029,5676,5676
1491885752,5699,5699
1491886579,5727,5727
1491887430,5686,5686
1491888259,5713,5713
1491889355,5674,5674
1491890730,5672,5672
1491891548,5711,5711
1491892521,5693,5693
1491892958,5689,5689
1491894291,5671,5671
1491895176,5669,5669
1491897642,5619,5619
1491898913,5642,5642
1491899724,5606,5606
1491900815,5614,5614
1491901835,5598,5598
1491902930,5612,5612
1491903933,5564,5564
1491905167,5567,5567
1491906036,5575,5575
1491907245,5520,5520
1491908131,5528,5528
1491909261,5499,5499
1491910230,5463,5463
1491911130,5474,5474
1491913122,5460,5460
1491914414,5423,5423
1491915327,5433,5433
1491916234,5412,5412
1491917192,5431,5431
1491918325,5389,5389
1491919537,5383,5383
1491920431,5388,5388
1491921637,5348,5348
