DateTime,AddedIPs,RemovedIPs
1491643854,2,1
1491645944,1,1
1491647758,1,1
1491649563,1,0
1491651762,2,4
1491653665,2,2
1491657042,0,3
1491658126,1,0
1491659167,3,0
1491660063,3,1
1491661823,0,1
1491662572,1,1
1491663697,0,1
1491665398,3,1
1491666239,2,2
1491667066,0,1
1491668130,0,1
1491669059,0,8
1491669943,1,0
1491672060,2,0
1491673270,3,0
1491674180,2,0
1491675045,0,1
1491676013,4,0
1491676985,0,1
1491678053,0,4
1491678865,3,0
1491680541,0,1
1491682539,5,0
1491683439,3,0
1491684371,1,0
1491685837,1,1
1491687116,1,0
1491687744,2,1
1491689900,0,2
1491690925,2,2
1491693024,20,2
1491694985,3,0
1491696860,0,1
1491698469,2,5
1491699365,4,0
1491700523,1,1
1491702049,1,2
1491702920,2,0
1491703826,3,0
1491705264,1,3
1491706231,1,0
1491707270,0,1
1491709266,2,2
1491711261,3,2
1491713420,0,17
1491714930,3,1
1491716457,1,1
1491717302,1,0
1491718225,1,0
1491720151,1,3
1491722426,3,1
1491723407,1,0
1491724274,1,0
1491725129,1,1
1491726051,1,0
1491726955,1,1
1491727839,1,0
1491729380,0,1
1491731781,6,0
1491732624,3,33
1491733602,1,0
1491734433,0,1
1491735379,1,1
1491736641,1,0
1491738186,0,2
1491739004,1,0
1491739833,1,0
1491741453,0,2
1491742481,2,1
1491743599,1,0
1491744514,3,0
1491745399,0,1
1491746185,2,0
1491747000,1,0
1491748674,3,1
1491749573,3,0
1491751013,0,2
1491751831,2,1
1491754177,0,1
1491756149,1,1
1491759234,1,1
1491761133,4,2
1491761665,0,1
1491763096,1,3
1491764186,1,0
1491765254,3,60
1491766229,1,3
1491767975,2,0
1491770263,5,2
1491773301,9,2
1491774900,4,1
1491776076,1,3
1491777754,0,4
1491779775,0,2
1491780631,1,2
1491783917,1,0
1491784948,0,2
1491786333,7,1
1491787230,0,1
1491788427,2,3
1491789321,2,0
1491791229,1,0
1491792332,3,1
1491793180,0,2
1491794059,1,0
1491795016,2,0
1491796919,4,0
1491797846,1,0
1491799341,0,3
1491800189,1,0
1491801263,1,1
1491802101,1,1
1491803132,1,0
1491803969,1,2
1491806060,0,1
1491807861,0,1
1491809920,1,1
1491811783,4,1
1491813040,0,4
1491813760,1,0
1491814803,0,1
1491815729,1,0
1491816634,0,1
1491817349,1,0
1491818320,1,1
1491819263,1,0
1491820118,0,1
1491821138,3,2
1491822079,0,3
1491822928,2,0
1491824551,0,1
1491825384,1,0
1491827431,1,1
1491828331,1,0
1491829246,1,3
1491830416,3,0
1491832744,6,2
1491834023,2,1
1491835022,4,2
1491835341,0,2
1491838100,1,0
1491840164,3,1
1491840863,2,1
1491841832,1,4
1491842554,2,1
1491843705,3,2
1491844531,2,0
1491845428,0,2
1491846984,3,0
1491847829,1,0
1491849033,0,2
1491850522,4,0
1491851399,1,2
1491852632,3,4
1491853343,2,0
1491854184,2,0
1491855027,0,1
1491857134,1,1
1491857958,1,0
1491858867,0,1
1491859825,0,2
1491860734,1,3
1491861928,2,14
1491862835,1,1
1491863308,0,1
1491864158,3,2
1491864992,1,0
1491866060,1,2
1491867028,1,0
1491867931,0,1
1491869132,1,2
1491870502,1,0
1491871776,1,1
1491872726,0,2
1491874954,2,0
1491876325,1,2
1491877230,4,0
1491878730,0,2
1491879929,1,0
1491882326,2,1
1491884069,1,0
1491885031,2,0
1491887432,2,2
1491888266,1,0
1491889233,0,2
1491889358,1,0
1491890734,3,3
1491892522,0,4
1491894295,1,1
1491895177,0,1
1491897647,1,4
1491898913,0,1
1491899725,1,0
1491900816,2,0
1491901836,2,7
1491902931,1,0
1491903934,0,2
1491905173,13,1
1491906039,4,1
1491907252,0,3
1491908132,1,0
1491909262,2,1
1491910231,1,2
1491911131,1,0
1491913123,1,4
1491914423,2,3
1491915328,1,0
1491916236,0,2
1491917193,2,0
1491918326,1,2
1491919541,2,1
1491920435,0,1
1491921642,1,2
1491923670,1,1
1491924657,1,0
1491926987,4,1
1491928834,1,1
1491929638,1,0
1491930626,1,3
1491931831,2,1
1491933256,0,2
1491936164,6,6
1491936987,1,0
1491938072,4,2
1491939037,1,3
1491939845,1,0
1491941142,3,3
1491941982,2,0
1491942929,0,6
1491943743,2,0
1491944837,0,2
1491946962,1,0
1491948621,4,3
1491949701,3,0
1491950734,4,0
1491953429,1,1
1491954148,0,1
1491955278,1,0
1491957939,1,2
1491959424,0,1
1491960629,0,1
1491961529,0,1
1491962740,0,2
1491964955,0,3
1491966860,4,2
1491967827,0,3
1491968563,0,1
1491969696,0,1
1491972351,2,3
1491973147,0,4
1491975028,1,0
1491975945,2,0
1491977740,1,0
1491978503,1,0
1491979370,0,1
1491981329,2,3
1491983002,1,2
1491983804,1,1
1491984630,0,1
1491986579,1,0
1491987387,1,0
1491988227,1,2
1491989430,3,1
1491991828,0,3
1491993775,0,3
1491995470,1,1
1491996629,1,1
1491999651,1,1
1492000591,0,5
1492002081,1,2
1492002932,0,1
1492004122,2,3
1492005206,2,0
1492006225,2,3
1492007728,1,1
1492008624,1,0
1492009522,0,1
1492010061,2,0
1492011026,0,2
1492013352,1,1
1492014234,3,0
1492015198,1,3
1492016250,1,0
1492017326,4,4
1492018798,2,3
1492019805,1,0
1492020865,1,2
1492022122,1,2
1492023380,1,0
1492024282,0,5
1492025166,2,0
1492026375,0,1
1492027864,2,0
1492028704,1,0
1492031150,4,2
1492032119,3,0
1492032920,0,2
1492034748,2,3
1492036014,2,0
1492037363,2,1
1492038620,1,3
1492040413,1,2
1492041919,3,0
1492042834,1,1
1492044027,4,4
1492044922,4,1
1492046782,1,0
1492047656,0,2
1492050961,3,1
1492052091,1,1
1492053065,2,2
1492056926,1,1
1492058444,1,1
1492059381,0,1
1492060268,1,3
1492062980,2,0
1492064774,1,0
1492065626,1,1
1492066642,1,0
1492067733,1,0
1492068632,0,1
1492069567,0,1
1492071028,0,3
1492071986,1,1
1492072948,1,1
1492074148,1,6
1492075226,2,0
1492076604,0,1
1492077880,1,1
1492078876,3,0
1492080033,1,3
1492080989,2,0
1492081845,1,0
1492085159,2,2
1492087260,3,4
1492088462,0,4
1492090409,0,3
1492090945,2,0
1492091784,1,1
1492093829,2,4
1492094633,1,3
1492096461,1,1
1492097632,1,0
1492098981,1,0
1492099872,2,3
1492101033,2,3
1492102031,1,2
1492103035,0,2
1492104029,3,0
1492105343,2,3
1492106181,2,0
1492108102,3,6
1492109593,2,7
1492110934,1,0
1492112548,1,3
1492115302,5,1
1492116378,1,2
1492117833,1,1
1492119742,3,5
1492120580,1,1
1492121848,0,3
1492122753,1,1
1492124369,0,1
1492125181,0,1
1492126945,1,1
1492129018,4,0
1492129827,2,0
1492131931,1,0
1492134659,1,0
1492136430,0,1
1492137799,1,1
1492139107,1,0
1492140733,2,0
1492142080,0,2
1492143631,1,0
1492144529,0,1
1492146626,4,0
1492148541,1,2
1492149389,1,0
1492151308,1,0
1492152990,3,2
1492154044,2,1
1492155196,1,0
1492156586,1,0
1492157748,0,2
1492158639,2,5
1492159579,1,0
1492160731,1,0
1492162715,1,0
1492165132,1,0
1492165703,1,0
1492167930,3,1
1492170028,2,2
1492171857,0,1
1492173032,1,3
1492173806,1,0
1492176080,1,0
1492177165,1,2
1492178395,1,1
1492180853,1,1
1492182626,3,1
1492184541,5,7
1492186679,1,2
1492187579,4,3
1492188141,4,1
1492189887,2,2
1492191029,2,1
1492193060,3,2
1492195226,0,2
1492198100,0,2
1492199192,2,2
1492200324,1,2
1492201266,2,0
1492202114,1,3
1492202544,0,1
1492204450,1,2
1492205428,2,3
1492206622,1,0
1492207528,1,3
1492209200,0,3
1492210232,3,0
1492211723,2,3
1492212631,2,1
1492213578,1,0
1492214491,0,2
1492216665,0,1
1492217918,1,2
1492219793,2,2
1492221556,1,1
1492222507,1,0
1492223834,1,2
1492225816,4,1
1492227218,0,1
1492231348,1,0
1492234496,0,4
1492235008,0,1
1492236875,2,1
1492238427,1,1
1492241431,1,3
1492243521,5,1
1492244481,1,0
1492245754,0,5
1492248501,3,1
1492251274,7,6
1492252943,0,1
1492255231,1,2
1492257423,2,2
1492258494,1,1
1492260147,0,1
1492262245,1,0
1492263302,0,2
1492265380,6,1
1492266921,0,5
1492268563,1,0
1492271000,1,2
1492272327,4,0
1492274543,4,3
1492276003,1,4
1492279011,1,2
1492279829,1,3
1492280841,1,0
1492282525,2,0
1492283476,3,1
1492284427,2,0
1492285277,0,4
1492287020,2,1
1492288943,7,3
1492290377,4,1
1492291224,1,0
1492292469,1,1
1492293685,1,0
1492294531,1,0
1492296146,4,1
1492297162,2,3
1492298254,1,0
1492300286,4,0
1492301126,2,1
1492302085,1,0
1492303341,1,0
1492304180,1,0
1492305075,1,1
1492305891,2,0
1492307877,1,0
1492308886,1,3
1492310006,0,2
1492311021,4,0
1492312661,0,1
1492315187,2,2
1492316466,0,1
1492317333,0,1
1492319169,1,0
1492320921,2,1
1492322619,1,2
1492325134,0,3
