DateTime,AddedIPs,RemovedIPs
1491778576,50,0
1491779761,78,135
1491780619,51,121
1491781353,44,2
1491783015,110,128
1491783909,60,1
1491784932,67,127
1491786321,94,100
1491787217,54,0
1491788413,72,161
1491789312,56,3
1491790214,53,85
1491791220,55,0
1491792316,80,138
1491793172,54,76
1491794051,63,7
1491794998,63,108
1491796911,122,106
1491797824,64,0
1491799332,96,135
1491800172,58,0
1491801255,71,100
1491802092,53,1
1491803123,69,134
1491803945,46,126
1491804917,70,13
1491806036,69,121
1491806982,70,47
1491807840,60,90
1491808818,78,2
1491809912,87,132
1491811773,131,130
1491813018,84,149
1491813738,59,2
1491814681,71,0
1491815717,81,168
1491816615,70,139
1491817334,59,2
1491818272,72,3
1491819253,94,134
1491820101,59,1
1491821119,62,173
1491822050,77,88
1491822913,63,1
1491823692,45,0
1491824535,58,160
1491825373,59,0
1491826214,57,93
1491827419,88,109
1491828317,62,3
1491829200,60,110
1491830016,66,10
1491832733,196,240
1491834009,129,9
1491835011,97,108
1491835333,24,40
1491836158,82,1
1491837013,61,100
1491838092,85,0
1491838939,62,135
1491840148,107,116
1491840854,53,2
1491841818,74,103
1491842537,63,63
1491843686,89,88
1491844517,61,1
1491845413,71,127
1491846134,65,38
1491846973,72,3
1491847817,61,79
1491849019,85,103
1491850513,112,3
1491851389,59,168
1491852605,100,128
1491853333,52,42
1491854174,77,0
1491855016,56,64
1491856216,94,126
1491857119,70,58
1491857936,60,73
1491858853,81,1
1491859815,76,135
1491860719,71,49
1491861914,81,104
1491862818,71,1
1491863296,29,0
1491864137,55,116
1491864976,76,0
1491866052,72,114
1491867013,78,113
1491867916,65,34
1491869116,87,83
1491870009,57,2
1491870492,33,0
1491871762,80,160
1491872714,76,65
1491873724,68,0
1491874939,71,110
1491876314,93,112
1491877214,70,2
1491877692,31,0
1491878719,78,163
1491879912,98,83
1491880817,65,0
1491881292,28,1
1491882314,74,146
1491884055,112,69
1491885013,78,109
1491885735,54,0
1491886572,58,0
1491887418,71,115
1491888243,93,0
1491889336,92,142
1491890714,107,82
1491891539,61,0
1491892513,81,106
1491892937,35,35
1491894275,92,83
1491895168,405,0
1491897597,191,244
1491898895,115,12
1491899714,51,110
1491900791,84,2
1491901827,72,112
1491902921,97,1
1491903914,81,160
1491905147,88,84
1491906018,68,2
1491907223,94,167
1491908118,61,0
1491909253,75,98
1491910217,57,123
1491911116,69,1
1491913114,149,123
1491914389,103,163
1491915316,66,2
1491916218,87,84
1491917185,71,1
1491918314,110,155
1491919517,95,85
1491920417,59,0
1491921615,83,152
1491923658,171,90
1491924644,70,123
1491926978,174,119
1491927831,65,2
1491928813,65,153
1491929629,66,0
1491930614,82,82
1491931819,95,99
1491933247,128,49
1491936140,215,207
1491936978,59,0
1491938056,66,84
1491939020,63,102
1491939824,74,2
1491941119,115,150
1491941966,61,1
1491942916,77,102
1491943735,64,47
1491944829,90,80
1491946938,170,167
1491948613,155,78
1491949692,82,0
1491950721,78,162
1491953413,218,184
1491954137,63,42
1491955254,74,88
1491956056,69,1
1491956873,58,3
1491957919,97,164
1491959413,119,94
1491960613,69,95
1491961509,74,51
1491962718,74,81
1491963612,54,0
1491964934,99,155
1491966852,163,87
1491967814,67,110
1491968540,54,2
1491969679,72,116
1491970515,79,1
1491971293,62,2
1491972328,66,109
1491973133,67,102
1491974115,59,7
1491975013,61,117
1491975925,63,47
1491976888,76,82
1491977719,57,0
1491978493,61,1
1491979340,63,127
1491980221,58,0
1491982094,136,152
1491982974,71,106
1491983796,75,0
1491984614,60,147
1491985736,75,0
1491986546,84,123
1491987374,65,1
1491988215,62,147
1491989416,74,150
1491990318,78,1
1491991817,112,141
1491992900,86,0
1491993738,73,159
1491994661,74,1
1491995460,55,94
1491996618,91,110
1491997588,76,40
1491998756,98,118
1491999625,61,3
1492000580,75,130
1492002056,125,128
1492002916,56,1
1492004113,113,138
1492005192,80,3
1492006214,83,121
1492007716,123,138
1492008613,58,3
1492009494,58,129
1492010053,36,2
1492011014,71,140
1492013322,188,149
1492014199,76,2
1492015146,62,114
1492016241,71,48
1492017314,84,84
1492018786,107,174
1492019797,90,1
1492020855,81,99
1492022113,110,113
1492023372,117,0
1492024263,64,139
1492025128,87,0
1492026340,116,162
1492027855,121,81
1492028670,47,0
1492030057,115,153
1492031122,71,126
1492032089,70,2
1492032912,60,110
1492034720,155,124
1492035981,86,0
1492037325,89,106
1492038612,76,127
1492040381,119,147
1492041879,113,91
1492042815,57,1
1492044000,86,166
1492044904,55,1
1492045828,44,90
1492046752,52,0
1492047620,51,171
1492048676,70,1
1492049715,59,98
1492050952,78,109
1492053031,125,128
1492054085,62,1
1492055713,108,170
1492056913,94,91
1492058420,95,196
1492059373,60,4
1492060222,54,99
1492061178,69,1
1492062150,61,118
1492062972,52,0
1492063792,65,185
1492064730,71,1
1492065617,55,500
1492066632,78,1
1492067715,73,108
1492068618,51,129
1492069527,72,47
1492071015,96,101
1492071932,67,0
1492072937,74,144
1492074105,89,145
1492075215,85,2
1492076557,77,141
1492077870,108,127
1492078831,70,1
1492080019,74,166
1492080975,69,0
1492081801,48,95
1492082671,64,0
1492085125,180,307
1492086125,65,4
1492087217,83,210
1492088451,100,121
1492089312,71,2
1492090380,62,123
1492090934,51,4
1492091773,67,2
1492093818,150,288
1492094584,53,40
1492095372,69,1
1492096452,94,93
1492097577,103,126
1492098133,56,0
1492098972,61,3
1492099838,71,154
1492101017,105,153
1492101987,70,55
1492102789,69,111
1492103629,66,13
1492105333,151,122
1492106173,64,3
1492108093,158,140
1492109539,94,163
1492110917,111,114
1492112538,223,130
1492115293,321,153
1492116326,71,173
1492117817,114,118
1492119733,155,143
1492120572,43,2
1492121832,87,159
1492122735,79,127
1492123353,44,56
1492124361,60,90
1492125171,63,18
1492126934,119,196
1492129001,148,108
1492129815,57,107
1492130725,54,2
1492131915,71,130
1492132818,57,0
1492133500,47,109
1492134317,51,49
1492135149,66,83
1492136898,132,18
1492137758,48,161
1492138569,61,1
1492139417,52,88
1492140692,103,144
1492142072,177,50
1492143614,162,93
1492144519,96,129
1492146614,171,129
1492148533,185,115
1492149373,79,0
1492151295,173,133
1492152978,171,168
1492154034,101,107
1492155147,100,114
1492155733,75,1
1492156575,89,0
1492158623,180,318
1492159517,82,0
1492160715,109,161
1492161255,45,0
1492162706,119,141
1492163570,77,2
1492165110,129,164
1492165692,58,0
1492166750,87,129
1492167913,104,154
1492168453,44,0
1492170015,161,174
1492170914,78,2
1492171825,77,96
1492173016,95,147
1492173754,77,0
1492175118,111,137
1492176026,78,1
1492177336,101,139
1492178385,87,119
1492179470,98,9
1492180819,126,133
1492182614,140,138
1492184532,125,180
1492186670,151,95
1492187534,61,131
1492188132,56,48
1492189859,152,98
1492191014,96,146
1492193051,147,154
1492194025,76,1
1492195214,87,212
1492196113,85,2
1492198091,181,109
1492199131,95,123
1492200313,102,156
1492201217,59,3
1492202042,55,116
1492202533,38,38
1492204387,133,109
1492205417,94,123
