DateTime,Entries,UniqueIPs
1491770239,15161,15161
1491771378,15243,15243
1491773292,15228,15228
1491774892,15216,15216
1491776065,15146,15146
1491777737,15124,15124
1491778576,15174,15174
1491779761,15117,15117
1491780619,15047,15047
1491781353,15089,15089
1491783015,15071,15071
1491783909,15130,15130
1491784932,15070,15070
1491786321,15064,15064
1491787217,15118,15118
1491788413,15029,15029
1491789312,15082,15082
1491790214,15050,15050
1491791220,15105,15105
1491792316,15047,15047
1491793172,15025,15025
1491794051,15081,15081
1491794998,15036,15036
1491796911,15052,15052
1491797824,15116,15116
1491799332,15077,15077
1491800172,15135,15135
1491801255,15106,15106
1491802092,15158,15158
1491803123,15093,15093
1491803945,15013,15013
1491804917,15070,15070
1491806036,15018,15018
1491806982,15041,15041
1491807840,15011,15011
1491808818,15087,15087
1491809912,15042,15042
1491811773,15043,15043
1491813018,14978,14978
1491813738,15035,15035
1491814681,15106,15106
1491815717,15019,15019
1491816615,14950,14950
1491817334,15007,15007
1491818272,15076,15076
1491819253,15036,15036
1491820101,15094,15094
1491821119,14983,14983
1491822050,14972,14972
1491822913,15034,15034
1491823692,15079,15079
1491824535,14977,14977
1491825373,15036,15036
1491826214,15000,15000
1491827419,14979,14979
1491828317,15038,15038
1491829200,14988,14988
1491830016,15044,15044
1491832733,15000,15000
1491834009,15120,15120
1491835011,15109,15109
1491835333,15093,15093
1491836158,15174,15174
1491837013,15135,15135
1491838092,15220,15220
1491838939,15147,15147
1491840148,15138,15138
1491840854,15189,15189
1491841818,15160,15160
1491842537,15160,15160
1491843686,15161,15161
1491844517,15221,15221
1491845413,15165,15165
1491846134,15192,15192
1491846973,15261,15261
1491847817,15243,15243
1491849019,15225,15225
1491850513,15334,15334
1491851389,15225,15225
1491852605,15197,15197
1491853333,15207,15207
1491854174,15284,15284
1491855016,15276,15276
1491856216,15244,15244
1491857119,15256,15256
1491857936,15243,15243
1491858853,15323,15323
1491859815,15264,15264
1491860719,15286,15286
1491861914,15263,15263
1491862818,15333,15333
1491863296,15362,15362
1491864137,15301,15301
1491864976,15377,15377
1491866052,15335,15335
1491867013,15300,15300
1491867916,15331,15331
1491869116,15335,15335
1491870009,15390,15390
1491870492,15423,15423
1491871762,15343,15343
1491872714,15354,15354
1491873724,15422,15422
1491874939,15383,15383
1491876314,15364,15364
1491877214,15432,15432
1491877692,15463,15463
1491878719,15378,15378
1491879912,15393,15393
1491880817,15458,15458
1491881292,15485,15485
1491882314,15413,15413
1491884055,15456,15456
1491885013,15425,15425
1491885735,15479,15479
1491886572,15537,15537
1491887418,15493,15493
1491888243,15586,15586
1491889336,15536,15536
1491890714,15561,15561
1491891539,15622,15622
1491892513,15597,15597
1491892937,15597,15597
1491894275,15606,15606
1491895168,16011,16011
1491897597,15958,15958
1491898895,16061,16061
1491899714,16002,16002
1491900791,16084,16084
1491901827,16044,16044
1491902921,16140,16140
1491903914,16061,16061
1491905147,16065,16065
1491906018,16131,16131
1491907223,16058,16058
1491908118,16119,16119
1491909253,16096,16096
1491910217,16030,16030
1491911116,16098,16098
1491913114,16124,16124
1491914389,16064,16064
1491915316,16128,16128
1491916218,16131,16131
1491917185,16201,16201
1491918314,16156,16156
1491919517,16166,16166
1491920417,16225,16225
1491921615,16156,16156
1491923658,16237,16237
1491924644,16184,16184
1491926978,16239,16239
1491927831,16302,16302
1491928813,16214,16214
1491929629,16280,16280
1491930614,16280,16280
1491931819,16276,16276
1491933247,16355,16355
1491936140,16363,16363
1491936978,16422,16422
1491938056,16404,16404
1491939020,16365,16365
1491939824,16437,16437
1491941119,16402,16402
1491941966,16462,16462
1491942916,16437,16437
1491943735,16454,16454
1491944829,16464,16464
1491946938,16467,16467
1491948613,16544,16544
1491949692,16626,16626
1491950721,16542,16542
1491953413,16576,16576
1491954137,16597,16597
1491955254,16583,16583
1491956056,16651,16651
1491956873,16706,16706
1491957919,16639,16639
1491959413,16664,16664
1491960613,16638,16638
1491961509,16661,16661
1491962718,16654,16654
1491963612,16708,16708
1491964934,16652,16652
1491966852,16728,16728
1491967814,16685,16685
1491968540,16737,16737
1491969679,16693,16693
1491970515,16771,16771
1491971293,16831,16831
1491972328,16788,16788
1491973133,16753,16753
1491974115,16805,16805
1491975013,16749,16749
1491975925,16765,16765
1491976888,16759,16759
1491977719,16816,16816
1491978493,16876,16876
1491979340,16812,16812
1491980221,16870,16870
1491982094,16854,16854
1491982974,16819,16819
1491983796,16894,16894
1491984614,16807,16807
1491985736,16882,16882
1491986546,16843,16843
1491987374,16907,16907
1491988215,16822,16822
1491989416,16746,16746
1491990318,16823,16823
1491991817,16794,16794
1491992900,16880,16880
1491993738,16794,16794
1491994661,16867,16867
1491995460,16828,16828
1491996618,16809,16809
1491997588,16845,16845
1491998756,16825,16825
1491999625,16883,16883
1492000580,16828,16828
1492002056,16825,16825
1492002916,16880,16880
1492004113,16855,16855
1492005192,16932,16932
1492006214,16894,16894
1492007716,16879,16879
1492008613,16934,16934
1492009494,16863,16863
1492010053,16897,16897
1492011014,16828,16828
1492013322,16867,16867
1492014199,16941,16941
1492015146,16889,16889
1492016241,16912,16912
1492017314,16912,16912
1492018786,16845,16845
1492019797,16934,16934
1492020855,16916,16916
1492022113,16913,16913
1492023372,17030,17030
1492024263,16955,16955
1492025128,17042,17042
1492026340,16996,16996
1492027855,17036,17036
1492028670,17083,17083
1492030057,17045,17045
1492031122,16990,16990
1492032089,17058,17058
1492032912,17008,17008
1492034720,17039,17039
1492035981,17125,17125
1492037325,17108,17108
1492038612,17057,17057
1492040381,17029,17029
1492041879,17051,17051
1492042815,17107,17107
1492044000,17027,17027
1492044904,17081,17081
1492045828,17035,17035
1492046752,17087,17087
1492047620,16967,16967
1492048676,17036,17036
1492049715,16997,16997
1492050952,16966,16966
1492053031,16963,16963
1492054085,17024,17024
1492055713,16962,16962
1492056913,16965,16965
1492058420,16864,16864
1492059373,16920,16920
1492060222,16875,16875
1492061178,16943,16943
1492062150,16886,16886
1492062972,16938,16938
1492063792,16818,16818
1492064730,16888,16888
1492065617,16443,16443
1492066632,16520,16520
1492067715,16485,16485
1492068618,16407,16407
1492069527,16432,16432
1492071015,16427,16427
1492071932,16494,16494
1492072937,16424,16424
1492074105,16368,16368
1492075215,16451,16451
1492076557,16387,16387
1492077870,16368,16368
1492078831,16437,16437
1492080019,16345,16345
1492080975,16414,16414
1492081801,16367,16367
1492082671,16431,16431
1492085125,16304,16304
1492086125,16365,16365
1492087217,16238,16238
1492088451,16217,16217
1492089312,16286,16286
1492090380,16225,16225
1492090934,16272,16272
1492091773,16337,16337
1492093818,16199,16199
1492094584,16212,16212
1492095372,16280,16280
1492096452,16281,16281
1492097577,16258,16258
1492098133,16314,16314
1492098972,16372,16372
1492099838,16289,16289
1492101017,16241,16241
1492101987,16256,16256
1492102789,16214,16214
1492103629,16267,16267
1492105333,16296,16296
1492106173,16357,16357
1492108093,16375,16375
1492109539,16306,16306
1492110917,16303,16303
1492112538,16396,16396
1492115293,16564,16564
1492116326,16462,16462
1492117817,16458,16458
1492119733,16470,16470
1492120572,16511,16511
1492121832,16439,16439
1492122735,16391,16391
1492123353,16379,16379
1492124361,16349,16349
1492125171,16394,16394
1492126934,16317,16317
1492129001,16357,16357
1492129815,16307,16307
1492130725,16359,16359
1492131915,16300,16300
1492132818,16357,16357
1492133500,16295,16295
1492134317,16297,16297
1492135149,16280,16280
1492136898,16394,16394
1492137758,16281,16281
1492138569,16341,16341
1492139417,16305,16305
1492140692,16264,16264
1492142072,16391,16391
1492143614,16460,16460
