DateTime,AddedIPs,RemovedIPs
1492057506,10,46
1492058105,13,11
1492058704,4,15
1492059306,5,30
1492059907,3,63
1492060506,4,33
1492061105,9,27
1492061408,2,25
1492062005,27,49
1492062608,48,86
1492063209,7,101
1492063804,12,22
1492064107,29,36
1492064705,10,46
1492065306,11,23
1492065905,58,8
1492066506,41,15
1492067107,12,51
1492067705,21,17
1492068307,5,44
1492068905,4,19
1492069211,5,57
1492069807,28,89
1492070405,11,16
1492071007,23,41
1492071607,38,2289
1492072205,2176,24
1492072808,8,26
1492073405,4,59
1492074005,16,21
1492074605,15,21
1492075205,11,10
1492075805,8,55
1492076406,16,47
1492077005,7,18
1492077607,7,63
1492078205,10,120
1492078809,28,37
1492079405,36,16
1492080006,6,36
1492080604,65,36
1492081206,34,42
1492081807,7,18
1492082405,15,13
1492083005,5,14
1492083605,10,9
1492084206,14,40
1492084806,7,11
1492085405,24,14
1492086004,13,21
1492086607,11,11
1492087205,13,31
1492087810,58,102
1492088405,36,12
1492088731,3,506
1492089306,9,41
1492089905,34,26
1492090505,17,4
1492091106,25,11
1492091705,10,10
1492092303,8,1
1492092904,29,11
1492093505,79,10
1492094106,18,34
1492094706,13,7
1492095305,21,12
1492095903,26,0
1492096504,5,7
1492097103,23,8
1492097705,29,4
1492098306,45,16
1492098905,10,14
1492099504,11,6
1492100105,12,8
1492100705,7,15
1492101304,13,4
1492101906,2,28
1492102505,35,6
1492103107,31,11
1492103704,16,15
1492104304,31,14
1492105364,72,5459
1492106105,52,4053
1492106704,15,5
1492107008,3,62
1492107604,11,14
1492108206,19,9
1492108804,103,45
1492109404,35,15
1492110004,57,5
1492110606,9,10
1492111204,16,4
1492111804,64,7
1492112403,24,7
1492113003,42,3
1492113604,9,4
1492114203,15,4
1492114505,29,3
1492115103,64,7
1492115703,77,4
1492116304,54,5
1492116902,56,0
1492117207,8,26
1492117806,8,3
1492118405,16,24
1492119004,12,1
1492119604,32,14
1492120204,31,5
1492120805,4,10
1492121404,32,4
1492122004,28,15
1492122604,27,22
1492123203,24,9
1492123805,3,12
1492124406,9,17
1492125004,11,2
1492125605,9,22
1492126207,21,77
1492126803,2,5
1492127105,2,2
1492127703,14,5
1492128006,22,23
1492128606,26,55
1492129204,7,11
1492129513,1,58
1492130104,4,71
1492130703,34,4
1492131305,64,10
1492131905,35,10
1492132503,13,8
1492132807,4,61
1492133403,9,2
1492134007,44,56
1492134604,1,7
1492135204,9,6
1492135803,5,5
1492136404,2,7
1492137003,6,3
1492137603,6,2
1492138206,2,8
1492138804,7,11
1492139403,2,4
1492140005,22,14
1492140610,28,49
1492141204,54,3
1492141814,25,51
1492142404,4,13
1492143004,28,1
1492143604,2,9
1492144204,4,8
1492144506,3,8
1492145104,3,2
1492145703,2,7
1492146303,3,3
1492146904,22,3
1492147505,6,9
1492148105,4,25
1492149006,40,37
1492149604,26,9
1492150204,3,5
1492150506,9,32
1492151103,12,3
1492151408,18,12
1492152005,21,4
1492152603,4,57
1492152908,22,39
1492153504,12,13
1492154103,6,19
1492154704,37,5
1492155305,2,4
1492155905,3,25
1492156504,28,13
1492157104,30,3
1492157706,21,43
1492158304,29,16
1492158904,6,37
1492159503,2,3
1492160104,4,17
1492160704,23,3
1492161304,1,15
1492161904,3,7
1492162804,10,23
1492163405,7,5
1492164004,17,7
1492164604,2,10
1492165203,18,19
1492165808,8,35
1492166402,3,5
1492167015,7,58
1492167606,5,30
1492168204,4,8
1492168806,6,10
1492169404,4,9
1492170005,4,12
1492170604,7,16
1492171204,9,7
1492171803,6,6
1492172106,2,28
1492172705,3,9
1492173304,14,8
1492173904,4,9
1492174207,6,38
1492174805,10,28
1492175404,5,6
1492176005,2,33
1492176604,6,4
1492177203,7,16
1492177506,5,16
1492178104,6,12
1492178704,8,6
1492179305,3,19
1492179609,32,76
1492180205,6,12
1492180806,3,24
1492181405,16,14
1492182006,7,23
1492182604,0,7
1492183205,16,21
1492183803,5,3
1492184107,3,22
1492184706,3,44
1492185304,4,8
1492185906,9,12
1492186504,5,11
1492187103,14,7
1492187704,9,12
1492188303,7,3
1492188606,2,25
1492189206,4,33
1492189805,15,35
1492190404,5,24
1492191009,4,146
1492191604,8,50
1492192206,5,27
1492192810,9,144
1492193406,13,73
1492194024,4,282
1492194608,10,74
1492195210,8,115
1492195806,3,42
1492196408,17,63
1492196717,9,267
1492197308,102,71
1492197906,6,42
1492198210,36,119
1492198806,50,56
1492199408,18,102
1492200004,6,26
1492200607,23,71
1492201207,9,94
1492201804,11,24
1492202107,3,81
1492202705,2,81
1492203007,4,60
1492203607,3,33
1492204206,7,30
1492204513,7,123
1492205110,11,116
1492205709,2,50
1492206305,15,17
1492206905,2,38
1492207506,3,36
1492208106,5,23
1492208705,3,37
1492209007,10,29
1492209607,53,131
1492210204,2,69
1492210804,71,13
1492211404,1,40
1492211707,51,53
1492212307,4,70
1492212904,3,9
1492213503,14,12
1492214106,52,75
1492214413,10,73
1492215004,2,83
1492215604,8,18
1492215906,12,31
1492216505,51,27
1492217107,11,92
1492217706,34,66
1492218014,1,90
1492218606,4,63
1492219203,12,13
1492219805,56,18
1492220406,8,49
1492221006,53,61
1492221604,1,12
1492222205,4,12
1492222804,4,19
1492223404,7,13
1492224004,3,16
1492224604,100,9
1492225203,6,14
1492225804,10,17
1492226108,2,23
1492226712,3,67
1492227305,1,26
1492227904,7,46
1492228206,6,22
1492228805,3,42
1492229405,3,43
1492230003,3,19
1492230606,1,34
1492231205,4,33
1492231804,13,20
1492232108,0,87
1492232704,1,10
1492233303,1,28
1492233606,8,4
1492234204,3,10
1492234805,6,37
1492235404,3,43
1492236006,3,32
1492236604,14,30
1492236908,4,60
1492237504,18,16
1492237808,1,44
1492238405,7,31
1492239004,5,15
1492239606,4,46
1492240206,3,61
1492240804,9,10
1492241121,2,353
1492241706,18,44
1492242305,2,49
1492242608,9,35
1492243207,19,54
1492243805,0,23
1492244116,8,112
1492244704,13,39
1492245304,5,8
1492245904,59,4
1492246507,90,33
1492247104,3,39
1492247408,0,43
1492248004,4,8
1492248603,5,5
1492249204,4,13
1492249805,56,26
1492250403,21,23
1492251004,6,6
1492251603,2,21
1492252203,25,11
1492252506,3,40
1492253103,76,12
1492253704,4,7
1492254306,2,20
1492254904,17,41
1492255507,24,35
1492256103,2,12
1492256704,4,11
1492257304,6,19
1492257903,9,15
1492258504,42,8
1492258806,10,14
1492259403,35,5
1492260004,5,26
1492260603,5,8
1492261205,41,20
1492261804,6,47
1492262403,75,9
1492262705,0,6
1492263303,27,19
1492263605,2,26
1492264204,5,10
1492264804,15,11
1492265707,18,68
1492266305,8,36
1492266904,22,24
1492267804,50,90
1492268406,85,13
1492269005,134,23
1492269606,9,55
1492270204,38,8
1492270803,38,5
1492271404,41,11
1492272006,8,16
1492272604,26,18
1492273204,21,10
1492273804,19,19
1492274404,17,40
1492275005,36,16
1492275605,36,19
1492276204,13,21
1492276804,50,14
1492277404,16,6
1492278004,108,11
1492278604,11,11
1492279204,99,11
1492279805,47,14
1492280404,7,18
1492281004,39,9
1492281604,8,9
1492282206,11,8
1492282805,6,14
1492283403,37,10
1492283709,28,106
1492284303,3,8
1492284606,11,40
1492285209,87,53
1492285805,91,21
1492286404,24,26
1492287004,46,17
1492287605,57,13
1492288203,83,12
1492288804,11,5
1492289404,61,6
1492290003,10,2
1492290606,45,18
1492291205,20,17
1492291804,67,9
1492292405,55,12
1492293005,50,15
1492293603,22,3
1492294204,11,7
1492294803,60,15
1492295404,10,9
