DateTime,Entries,UniqueIPs
1492044314,27825,27825
1492044909,27731,27731
1492045509,27666,27666
1492046104,27657,27657
1492046705,27707,27707
1492047305,27693,27693
1492047905,27695,27695
1492048505,27684,27684
1492049106,27671,27671
1492049705,27668,27668
1492050304,27661,27661
1492050904,27652,27652
1492051505,27648,27648
1492052105,27638,27638
1492052408,27636,27636
1492053009,27585,27585
1492053606,27569,27569
1492053935,27514,27514
1492054507,27517,27517
1492055105,27464,27464
1492055705,27476,27476
1492056305,27458,27458
1492056905,27434,27434
1492057506,27398,27398
1492058105,27400,27400
1492058704,27389,27389
1492059306,27364,27364
1492059907,27304,27304
1492060506,27275,27275
1492061105,27257,27257
1492061408,27234,27234
1492062005,27212,27212
1492062608,27174,27174
1492063209,27080,27080
1492063804,27070,27070
1492064107,27063,27063
1492064705,27027,27027
1492065306,27015,27015
1492065905,27065,27065
1492066506,27091,27091
1492067107,27052,27052
1492067705,27056,27056
1492068307,27017,27017
1492068905,27002,27002
1492069211,26950,26950
1492069807,26889,26889
1492070405,26884,26884
1492071007,26866,26866
1492071607,24615,24615
1492072205,26767,26767
1492072808,26749,26749
1492073405,26694,26694
1492074005,26689,26689
1492074605,26683,26683
1492075205,26684,26684
1492075805,26637,26637
1492076406,26606,26606
1492077005,26595,26595
1492077607,26539,26539
1492078205,26429,26429
1492078809,26420,26420
1492079405,26440,26440
1492080006,26410,26410
1492080604,26439,26439
1492081206,26431,26431
1492081807,26420,26420
1492082405,26422,26422
1492083005,26413,26413
1492083605,26414,26414
1492084206,26388,26388
1492084806,26384,26384
1492085405,26394,26394
1492086004,26386,26386
1492086607,26386,26386
1492087205,26368,26368
1492087810,26324,26324
1492088405,26348,26348
1492088731,25845,25845
1492089306,25813,25813
1492089905,25821,25821
1492090505,25834,25834
1492091106,25848,25848
1492091705,25848,25848
1492092303,25855,25855
1492092904,25873,25873
1492093505,25942,25942
1492094106,25926,25926
1492094706,25932,25932
1492095305,25941,25941
1492095903,25967,25967
1492096504,25965,25965
1492097103,25980,25980
1492097705,26005,26005
1492098306,26034,26034
1492098905,26030,26030
1492099504,26035,26035
1492100105,26039,26039
1492100705,26031,26031
1492101304,26040,26040
1492101906,26014,26014
1492102505,26043,26043
1492103107,26063,26063
1492103704,26064,26064
1492104304,26081,26081
1492105364,20694,20694
1492106105,16693,16693
1492106704,16703,16703
1492107008,16644,16644
1492107604,16641,16641
1492108206,16651,16651
1492108804,16709,16709
1492109404,16729,16729
1492110004,16781,16781
1492110606,16780,16780
1492111204,16792,16792
1492111804,16849,16849
1492112403,16866,16866
1492113003,16905,16905
1492113604,16910,16910
1492114203,16921,16921
1492114505,16947,16947
1492115103,17004,17004
1492115703,17077,17077
1492116304,17126,17126
1492116902,17182,17182
1492117207,17164,17164
1492117806,17169,17169
1492118405,17161,17161
1492119004,17172,17172
1492119604,17190,17190
1492120204,17216,17216
1492120805,17210,17210
1492121404,17238,17238
1492122004,17251,17251
1492122604,17256,17256
1492123203,17271,17271
1492123805,17262,17262
1492124406,17254,17254
1492125004,17263,17263
1492125605,17250,17250
1492126207,17194,17194
1492126803,17191,17191
1492127105,17191,17191
1492127703,17200,17200
1492128006,17199,17199
1492128606,17170,17170
1492129204,17166,17166
1492129513,17109,17109
1492130104,17042,17042
1492130703,17072,17072
1492131305,17126,17126
1492131905,17151,17151
1492132503,17156,17156
1492132807,17099,17099
1492133403,17106,17106
1492134007,17094,17094
1492134604,17088,17088
1492135204,17091,17091
1492135803,17091,17091
1492136404,17086,17086
1492137003,17089,17089
1492137603,17093,17093
1492138206,17087,17087
1492138804,17083,17083
1492139403,17081,17081
1492140005,17089,17089
1492140610,17068,17068
1492141204,17119,17119
1492141814,17093,17093
1492142404,17084,17084
1492143004,17111,17111
1492143604,17104,17104
1492144204,17100,17100
1492144506,17095,17095
1492145104,17096,17096
1492145703,17091,17091
1492146303,17091,17091
1492146904,17110,17110
1492147505,17107,17107
1492148105,17086,17086
1492149006,17089,17089
1492149604,17106,17106
1492150204,17104,17104
1492150506,17081,17081
1492151103,17090,17090
1492151408,17096,17096
1492152005,17113,17113
1492152603,17060,17060
1492152908,17043,17043
1492153504,17042,17042
1492154103,17029,17029
