DateTime,Entries,UniqueIPs
1489604414,7100,7100
1489612084,7126,7126
1489617844,7112,7112
1489622643,7061,7061
1489630565,7061,7061
1489636322,7046,7046
1489644009,7046,7046
1489649763,7044,7044
1489653605,7044,7044
1489657682,7071,7071
1489665364,7075,7075
1489673043,7071,7071
1489679042,7067,7067
1489684803,7077,7077
1489690563,7100,7100
1489698242,7098,7098
1489702085,7106,7106
1489704003,7086,7086
1489709763,7033,7033
1489717684,7052,7052
1489721528,7036,7036
1489725603,7019,7019
1489729443,7037,7037
1489737123,7029,7029
1489740964,7048,7048
1489746723,7045,7045
1489750563,7061,7061
1489754404,7058,7058
1489758243,7060,7060
1489764009,7061,7061
1489771939,7072,7072
1489775764,7110,7110
1489779605,7101,7101
1489781524,7100,7100
1489787284,7078,7078
1489794964,7040,7040
1489800740,7074,7074
1489806483,7052,7052
1489812244,7043,7043
1489818013,7028,7028
1489823766,7030,7030
1489827617,7038,7038
1489833364,7052,7052
1489839124,7058,7058
1489844883,7060,7060
1489846813,7077,7077
1489854483,7077,7077
1489858337,7090,7090
1489862163,7091,7091
1489864084,7095,7095
1489872003,7075,7075
1489877765,7068,7068
1489881619,7023,7023
1489887605,7036,7036
1489889523,7047,7047
1489893363,7019,7019
1489899123,7018,7018
1489902965,7016,7016
1489909211,7021,7021
1489914965,7040,7040
1489918815,7057,7057
1489922646,7078,7078
1489926485,7092,7092
1489932243,7101,7101
1489939923,7098,7098
1489945686,7114,7114
1489953365,7120,7120
1489961285,7119,7119
1489965126,7063,7063
1489972809,7046,7046
1489978565,7027,7027
1489982411,7014,7014
1489988405,7002,7002
1489990324,7025,7025
1489998008,7036,7036
1490001844,7036,7036
1490009523,7049,7049
1490015286,7058,7058
1490023211,7047,7047
1490027044,7062,7062
1490030885,7072,7072
1490036883,7086,7086
1490040968,7093,7093
1490046965,7083,7083
1490052723,7050,7050
1490058483,7035,7035
1490062323,7024,7024
1490068083,6983,6983
1490075765,6994,6994
1490083444,7019,7019
1490091124,6998,6998
1490096884,7022,7022
1490102644,7027,7027
1490110563,7038,7038
1490116323,7044,7044
1490118244,7054,7054
1490122084,7054,7054
1490126164,7084,7084
1490131924,7095,7095
1490137688,7045,7045
1490143444,7040,7040
1490149204,7028,7028
1490153044,7007,7007
1490158811,6995,6995
1490164573,7018,7018
1490170323,7042,7042
1490178008,7054,7054
1490185684,7062,7062
1490189523,7069,7069
1490195765,7057,7057
1490203445,7070,7070
1490209211,7091,7091
1490216884,7109,7109
1490220724,7093,7093
1490228403,7037,7037
1490236083,7048,7048
1490239923,7033,7033
1490245924,7004,7004
1490253606,7016,7016
1490257445,7014,7014
1490263212,7033,7033
1490268963,7037,7037
1490272804,7056,7056
1490276644,7052,7052
1490284325,7067,7067
1490288165,7076,7076
1490295843,7104,7104
1490297763,7116,7116
1490299684,7108,7108
1490305444,7071,7071
1490311444,7052,7052
1490315284,7034,7034
1490321285,7041,7041
1490327044,7018,7018
1490334723,7023,7023
1490340484,7018,7018
1490346244,7037,7037
1490352009,7038,7038
1490357764,7034,7034
1490361844,7039,7039
1490367843,7051,7051
1490373607,7049,7049
1490375524,7055,7055
1490379607,7048,7048
1490385366,7069,7069
1490393284,7041,7041
1490399046,7050,7050
1490403125,7025,7025
1490406974,7045,7045
1490412734,7015,7015
1490416814,7004,7004
1490422804,7006,7006
1490426644,7013,7013
1490432408,7053,7053
1490440323,7048,7048
1490442249,7057,7057
1490444162,7061,7061
1490451842,7084,7084
1490453762,7081,7081
1490459767,7084,7084
1490467683,7064,7064
1490469604,7070,7070
1490475613,7077,7077
1490481373,7068,7068
1490483285,7039,7039
1490485209,7026,7026
1490490962,7012,7012
1490496723,6982,6982
1490502483,6984,6984
1490506577,6986,6986
1490512323,7004,7004
1490518082,7017,7017
1490523844,7021,7021
1490527683,7031,7031
1490531523,7040,7040
1490537283,7034,7034
1490539203,7036,7036
1490543042,7055,7055
1490549284,7080,7080
1490553128,7080,7080
1490558883,7100,7100
1490564643,7093,7093
1490570403,7033,7033
1490576164,7038,7038
1490581923,7023,7023
1490585762,7007,7007
1490591523,7004,7004
1490595362,7025,7025
1490601129,7047,7047
1490608807,7041,7041
1490616722,7045,7045
1490622482,7041,7041
1490624405,7047,7047
1490632083,7057,7057
1490634244,7070,7070
1490641925,7085,7085
1490649606,7051,7051
1490655363,7034,7034
1490661123,7016,7016
1490666884,7004,7004
1490674563,6977,6977
1490678404,6936,6936
1490686083,7010,7010
1490691844,7030,7030
1490697617,7037,7037
1490703365,7024,7024
1490711045,7036,7036
1490714885,7044,7044
1490720643,7048,7048
1490724482,7067,7067
1490730244,7070,7070
1490736245,7059,7059
1490740083,7038,7038
1490745843,7018,7018
1490753526,7014,7014
1490761205,6999,6999
1490766963,7016,7016
1490774883,7036,7036
1490778725,7046,7046
1490782564,7041,7041
1490788332,7050,7050
1490796012,7053,7053
1490804165,7078,7078
1490808010,7044,7044
1490811845,7083,7083
1490815685,7101,7101
1490819524,7091,7091
1490825284,7044,7044
1490829123,7033,7033
1490832963,7040,7040
1490840644,7022,7022
1490846415,7002,7002
1490852404,6994,6994
1490856245,7033,7033
1490862030,7037,7037
1490867763,7034,7034
1490875683,7053,7053
1490881464,7058,7058
1490885283,7064,7064
1490891286,7092,7092
1490897283,7087,7087
1490903043,7097,7097
1490904964,7096,7096
1490910964,7093,7093
1490912883,7058,7058
1490918883,7053,7053
1490924643,7037,7037
1490930404,7023,7023
1490936163,7022,7022
1490940014,7037,7037
1490947924,7049,7049
1490953683,7058,7058
1490959443,7063,7063
1490965214,7072,7072
1490972883,7076,7076
1490976964,7082,7082
1490984644,7084,7084
1490992324,7087,7087
1490996404,7073,7073
1491002164,7036,7036
1491009844,7044,7044
1491017523,7044,7044
1491023283,7026,7026
1491030964,7065,7065
1491036724,7060,7060
1491040565,7087,7087
1491048485,7092,7092
1491052324,7111,7111
1491058323,7112,7112
1491060245,7138,7138
1491064086,7126,7126
1491070084,7129,7129
1491077764,7136,7136
1491083764,7120,7120
1491089524,7101,7101
1491093363,7131,7131
1491097205,7100,7100
1491101054,7080,7080
1491102963,7069,7069
1491108784,7061,7061
1491114484,7069,7069
1491120504,7093,7093
1491124324,7114,7114
1491130323,7130,7130
1491136084,7151,7151
1491141854,7150,7150
1491149523,7159,7159
1491153413,7153,7153
1491159124,7158,7158
1491161044,7164,7164
1491166812,7147,7147
1491168723,7138,7138
1491174483,7073,7073
1491180258,7071,7071
1491182164,7045,7045
1491186004,7049,7049
1491191764,7021,7021
1491199684,7054,7054
1491205443,7062,7062
