DateTime,Entries,UniqueIPs
1491291157,14864,15303
1491293068,14861,15300
1491295001,14867,15305
1491296903,14872,15310
1491300734,14867,15305
1491302655,14871,15309
1491304580,14880,15318
1491306498,14884,15322
1491308422,14895,15333
1491310354,14905,15344
1491314204,14889,15327
1491316364,14883,15318
1491318283,14873,15309
1491320188,14879,15315
1491322122,14883,15319
1491324038,14878,15314
1491325948,14884,15321
1491327856,14878,15315
1491329790,14879,15316
1491331709,14874,15311
1491333622,14874,15313
1491337549,14862,15297
1491340650,14855,15289
1491342551,14868,15303
1491344694,14862,15297
1491347378,14869,15304
1491349508,14866,15301
1491351653,14867,15303
1491353560,14853,15290
1491355468,14848,15285
1491357391,14854,15291
1491359311,14873,15310
1491361333,14886,15323
1491363166,14892,15330
1491365069,14889,15327
1491366994,14895,15333
1491368914,14905,15343
1491370821,14901,15339
1491372759,14901,15339
1491374680,14905,15344
1491376607,14894,15333
1491378519,14898,15338
1491380428,14892,15335
1491382598,14868,15311
1491384517,14885,15329
1491386517,14891,15335
1491388360,14870,15314
1491390526,14891,15335
1491392442,14902,15347
1491394359,14899,15344
1491396263,14897,15343
1491398212,14901,15347
1491400116,14917,15364
1491402034,14926,15373
1491403944,14921,15368
1491405853,14929,15376
1491407785,14927,15373
1491409723,14923,15369
1491411722,14933,15379
1491413566,14932,15378
1491415471,14935,15381
1491417410,14958,15404
1491419297,14972,15418
1491421219,14976,15422
1491425065,14971,15414
1491430827,14971,15414
1491432766,14973,15417
1491434653,14990,15434
1491436606,14989,15433
1491438504,14994,15438
1491440523,14997,15439
1491444271,14985,15428
1491446198,14981,15425
1491448130,14980,15423
1491450025,14967,15410
1491451952,14955,15398
1491455809,14951,15394
1491457710,14972,15415
1491459630,14986,15430
1491463455,14976,15422
1491465390,14977,15422
1491467350,14973,15419
1491469336,14973,15418
1491471156,14968,15413
1491473077,14974,15419
1491475003,14960,15405
1491476935,14969,15415
1491478858,14965,15411
1491480756,14960,15407
1491484607,14950,15394
1491486527,14955,15399
1491488432,14967,15411
1491490357,14968,15412
1491492256,14966,15410
1491494187,14958,15401
1491496124,14970,15413
1491498128,14985,15428
1491499961,14987,15430
1491501880,14998,15441
1491503802,15005,15448
1491505732,15002,15444
1491507635,15007,15448
1491509583,15009,15450
1491511451,15015,15456
1491513402,15022,15463
1491515325,15035,15476
1491517222,15037,15479
1491519142,15033,15474
1491526915,15023,15463
1491528770,15026,15466
1491530677,15025,15466
1491532594,15033,15474
1491534533,15051,15493
1491536449,15058,15500
1491538357,15069,15511
1491542183,15072,15515
1491549868,15020,15462
1491551798,15024,15467
1491553716,15048,15491
1491555739,15038,15482
1491557559,15060,15504
1491559726,15052,15496
1491561649,15069,15513
1491563572,15076,15520
1491565461,15075,15518
1491569310,15073,15514
1491571269,15085,15527
