DateTime,AddedIPs,RemovedIPs
1491270041,36,20
1491271959,41,40
1491273862,30,37
1491275794,28,32
1491277708,54,26
1491279636,57,52
1491281569,51,54
1491283465,64,59
1491285383,60,63
1491287316,63,58
1491291157,30,69
1491293068,39,26
1491295001,43,36
1491296903,43,45
1491300734,63,39
1491302655,55,64
1491304580,46,59
1491306498,56,44
1491308422,38,59
1491310354,45,36
1491314204,44,46
1491316364,29,42
1491318283,29,29
1491320188,23,28
1491322122,27,28
1491324038,43,30
1491325948,33,39
1491327856,54,32
1491329790,29,54
1491331709,33,32
1491333622,59,31
1491337549,49,54
1491340650,51,48
1491342551,57,56
1491344694,46,49
1491347378,15,52
1491349508,45,17
1491351653,29,43
1491353560,23,30
1491355468,38,23
1491357391,53,38
1491359311,54,48
1491361333,52,57
1491363166,19,57
1491365069,27,18
1491366994,33,26
1491368914,57,32
1491370821,48,56
1491372759,46,47
1491374680,64,45
1491376607,20,63
1491378519,41,27
1491380428,63,38
1491382598,47,58
1491384517,55,46
1491386517,27,60
1491388360,31,28
1491390526,58,31
1491392442,36,60
1491394359,44,32
1491396263,49,42
1491398212,51,50
1491400116,50,52
1491402034,39,55
1491403944,23,39
1491405853,53,23
1491407785,43,51
1491409723,4,47
1491411722,56,4
1491413566,38,51
1491415471,29,36
1491417410,60,30
1491419297,46,57
1491421219,48,47
1491425065,54,50
1491430827,57,57
1491432766,52,55
1491434653,51,50
1491436606,46,47
1491438504,44,49
1491440523,47,43
1491444271,43,48
1491446198,47,43
1491448130,41,45
1491450025,42,38
1491451952,39,41
1491455809,51,45
1491457710,63,51
1491459630,48,66
1491463455,49,49
1491465390,40,51
1491467350,47,41
1491469336,39,45
1491471156,20,37
1491473077,20,21
1491475003,26,21
1491476935,32,28
1491478858,30,33
1491480756,30,29
1491484607,39,31
1491486527,29,39
1491488432,38,27
1491490357,52,39
1491492256,50,45
1491494187,26,53
1491496124,51,26
1491498128,58,46
1491499961,39,61
1491501880,48,37
1491503802,29,51
1491505732,23,27
1491507635,31,27
1491509583,37,32
1491511451,32,34
1491513402,32,35
1491515325,43,23
1491517222,44,44
1491519142,45,47
1491526915,50,47
1491528770,50,53
1491530677,55,43
1491532594,54,55
1491534533,55,57
1491536449,57,53
