DateTime,AddedIPs,RemovedIPs
1486858100,4,6
1486868978,6,9
1486879862,5,14
1486890097,6,12
1486900601,9,5
1486910434,2,4
1486921013,3,12
1486931728,7,10
1486942723,6,7
1486953783,7,6
1486964817,2,8
1486975865,3,12
1486986763,2,8
1486997776,8,7
1487008879,1,7
1487019752,8,9
1487030765,3,8
1487041169,5,6
1487050641,4,5
1487061055,6,4
1487071490,4,5
1487082386,5,11
1487093512,8,5
1487104499,7,8
1487115453,4,10
1487125899,4,6
1487136970,3,7
1487147879,4,6
1487158810,9,6
1487169696,7,4
1487180351,4,7
1487191434,8,8
1487202462,6,4
1487213176,5,6
1487224101,5,9
1487234714,2,7
1487245825,3,9
1487256715,4,8
1487267591,6,7
1487278176,5,3
1487289044,4,3
1487299547,9,9
1487310044,4,5
1487321017,3,2
1487332075,1,7
1487343101,4,7
1487353479,8,5
1487364271,2,6
1487375026,10,9
1487385931,3,8
1487396372,3,5
1487407279,5,11
1487417236,7,4
1487427843,8,6
1487438643,7,7
1487449675,1,4
1487460639,3,8
1487471746,5,4
1487482386,2,3
1487493302,1,3
1487503974,2,8
1487514516,2,4
1487525157,2,3
1487536058,7,4
1487547130,5,5
1487558043,3,10
1487568628,4,6
1487579543,5,5
1487590405,2,4
1487601349,5,5
1487612186,3,8
1487623152,7,2
1487634183,4,7
1487645281,2,7
1487656324,9,7
1487667193,5,4
1487678018,6,2
1487689072,3,6
1487700063,2,5
1487711312,4,7
1487721816,3,12
1487732865,3,5
1487743390,3,8
1487754369,5,2
1487765286,5,7
1487776278,4,8
1487787163,7,8
1487798574,5,7
1487809263,7,11
1487820245,2,4
1487831307,3,6
1487842200,9,9
1487853054,9,4
1487864096,4,8
1487874983,7,9
1487885956,5,7
1487896852,8,3
1487907808,7,10
1487918698,4,5
1487929395,5,5
1487940439,8,7
1487951526,6,5
1487962275,5,6
1487973150,5,5
1487984082,5,2
1487994648,9,4
1488005781,2,10
1488016749,5,8
1488027327,5,5
1488038466,7,4
1488048959,6,8
1488060099,7,3
1488071049,4,11
1488082038,5,3
1488092993,5,6
1488103934,4,6
1488114957,9,8
1488126102,5,11
1488136920,9,5
1488147809,4,9
1488158905,2,7
1488169865,9,8
1488180967,6,4
1488191871,5,17
1488202755,6,7
1488213820,7,4
1488224812,6,10
1488235801,5,14
1488246678,8,5
1488257637,4,8
1488268440,4,6
1488279304,2,13
1488290473,9,13
1488301456,7,4
1488312105,6,6
1488323299,11,10
1488334291,12,6
1488345359,2,8
1488356293,7,2
1488367031,6,6
1488378407,6,8
1488389044,8,11
1488400030,5,10
1488411149,1,5
1488422184,6,5
1488433092,11,3
1488443898,8,7
1488454680,9,7
1488465488,15,8
1488476293,7,4
1488487119,6,9
1488498169,7,5
1488509149,2,1
1488520076,8,3
1488531116,8,11
1488542185,10,3
1488553176,10,5
1488564369,3,6
1488575080,6,6
1488586091,3,4
1488597150,10,4
1488608177,7,3
1488619192,6,5
1488630219,5,5
1488641279,4,11
1488652313,14,5
1488663346,9,5
1488674365,4,8
1488685309,11,2
1488696139,4,5
1488707172,4,2
1488718093,3,5
1488729030,13,8
1488739905,7,5
1488750985,12,6
1488762051,6,3
1488772865,4,3
1488783725,9,3
1488794859,6,3
1488805942,9,9
1488816668,11,5
1488827664,9,8
1488838812,5,7
1488849845,6,8
1488860863,5,5
1488871771,13,7
1488882730,8,4
1488893760,6,3
1488904790,8,4
1488915799,2,6
1488926749,3,5
1488937688,9,1
1488948680,6,7
1488959672,8,6
1488970867,3,6
1488982056,5,8
1488993101,4,3
1489004133,6,4
1489015198,5,3
1489026256,6,6
1489037275,3,5
1489048336,9,2
1489059330,3,4
1489070404,4,5
1489081435,9,7
1489092476,6,6
1489103468,6,14
1489114453,7,7
1489125382,2,5
1489136453,8,3
1489147428,7,3
1489158486,9,7
