DateTime,AddedIPs,RemovedIPs
1486750576,134,0
1486761376,124,0
1486772271,130,81
1486782999,55,0
1486804644,24,0
1486815376,178,0
1486826175,108,0
1486836976,136,0
1486847775,117,0
1486858708,124,456
1486869442,46,0
1486880155,72,0
1486891093,90,0
1486901777,141,0
1486912576,112,0
1486923376,110,0
1486934176,129,0
1486945067,127,725
1486955741,62,0
1486966582,76,0
1486977328,7,0
1486988177,158,0
1486998977,105,0
1487009777,121,0
1487020576,127,0
1487027776,95,0
1487038529,52,584
1487045817,57,0
1487053088,35,0
1487063796,56,0
1487074732,157,0
1487085481,113,0
1487096279,121,0
1487107060,136,0
1487114305,78,0
1487121370,88,510
1487132197,71,0
1487151822,62,0
1487161605,113,0
1487171925,174,0
1487182716,126,0
1487193523,139,0
1487200717,171,0
1487207802,48,576
1487217467,84,0
1487225942,60,0
1487236600,52,0
1487246127,69,0
1487254747,169,0
1487265490,125,0
1487276271,137,0
1487287064,138,0
1487297844,59,536
1487319384,74,0
1487330417,58,0
1487341046,169,0
1487351905,136,0
1487362845,130,0
1487373432,153,0
1487384155,45,465
1487402251,7,0
1487409427,12,0
1487420168,11,0
1487431056,206,0
1487441850,131,0
1487452645,119,0
1487459846,87,0
1487466986,37,607
1487475825,5,0
1487485057,74,0
1487503007,95,0
1487513855,159,0
1487524686,129,0
1487535442,165,0
1487546246,148,0
1487557008,116,610
1487567809,28,0
1487578619,32,0
1487585858,65,0
1487596648,178,0
1487607465,131,0
1487618244,154,0
1487629080,151,0
1487636723,107,964
1487646996,61,0
1487657738,53,0
1487668530,45,0
1487690182,294,0
1487700981,179,0
1487711781,169,0
1487722615,174,637
1487740644,113,1
1487751427,142,0
1487762221,174,0
1487772980,245,0
1487783728,117,0
1487794579,215,0
1487805388,53,0
1487816131,245,578
1487826929,78,0
1487837830,31,0
1487848627,113,0
1487859405,68,0
1487870182,292,0
1487880984,162,0
1487891783,153,0
1487902528,52,513
1487924236,14,0
1487935005,14,0
1487945781,47,0
1487956581,210,0
1487967380,118,0
1487978206,104,0
1487989041,155,365
1488010646,35,0
1488021462,11,0
1488032219,107,0
1488042990,106,0
1488053780,185,0
1488064604,151,0
1488075343,53,581
1488086278,27,0
1488097020,16,0
1488107728,9,0
1488118582,145,0
1488129382,118,0
1488140182,142,0
1488150982,137,0
1488161754,38,1025
1488176266,326,0
1488187107,46,0
1488205108,207,0
1488215902,135,0
1488226688,117,0
1488237480,143,0
1488248128,69,678
1488274344,51,0
1488284465,50,0
1488295100,218,0
1488305881,430,1
1488316659,305,0
1488323877,146,0
1488334684,60,901
1488345509,60,0
1488363487,45,0
1488374273,85,0
1488385069,159,0
1488395876,131,0
1488406679,171,0
1488417328,104,864
1488427707,63,0
1488436773,23,0
1488467847,230,0
1488478624,147,0
1488489421,117,0
1488496615,123,0
1488507398,58,671
1488525427,67,0
1488543423,35,0
1488554212,257,0
1488565012,155,0
1488575812,145,0
1488583009,108,0
1488590177,52,705
1488598567,56,1
1488608227,26,0
1488618979,12,0
1488627551,35,0
1488637226,140,0
1488647811,133,0
1488658733,138,0
1488669412,149,0
1488680183,53,688
1488691121,81,0
1488702131,26,0
1488712551,40,0
1488723430,208,0
1488734204,144,0
1488745012,140,0
1488755819,142,0
1488762978,49,1122
1488771482,53,0
1488781064,62,0
1488800097,7,0
1488809822,179,0
1488820613,143,0
1488831387,139,0
1488842185,153,0
1488853028,40,935
1488863880,77,0
1488885419,4,0
1488896188,240,0
1488906988,163,0
1488917788,151,0
1488928587,172,0
1488939449,59,866
1488950258,99,0
1488961043,31,0
1488971849,94,0
1488982588,157,0
1488993387,151,0
1489004187,159,0
1489014987,151,0
1489025746,60,934
1489036689,62,0
1489047328,58,0
1489058272,41,0
1489068987,165,0
1489079786,143,0
1489090588,152,0
1489101387,159,0
1489112269,57,730
1489123047,43,0
1489133824,3,0
1489144645,58,0
1489155389,345,0
1489166187,208,0
1489176987,200,0
1489187787,186,0
1489198643,75,668
1489209475,2,0
1489220268,41,0
1489231039,42,0
1489241789,153,0
1489252589,173,0
1489263389,166,0
1489274189,145,0
1489285084,45,716
1489295910,64,0
1489306652,34,0
1489317481,33,0
1489328188,226,0
1489338987,135,0
1489349788,152,0
1489360588,128,0
1489371502,55,947
1489382265,56,0
1489393001,46,0
1489401601,36,0
1489411280,124,0
1489421814,188,0
1489432621,137,0
1489443426,147,0
1489454230,105,769
1489461504,25,0
1489472223,35,0
1489486608,41,0
1489497521,160,0
1489508219,144,0
1489519019,168,0
1489529819,161,0
1489540591,139,983
1489551394,11,0
1489560241,87,0
1489569396,29,0
1489587412,235,0
1489598214,176,0
1489609015,204,0
1489619818,220,0
1489626938,102,857
1489634493,72,1
1489645016,48,0
1489655844,41,0
1489663713,71,0
1489673823,256,0
1489684617,194,0
1489695416,166,0
1489706209,172,0
1489716969,65,1048
1489727869,58,0
1489756918,167,0
1489767418,262,0
1489778217,173,0
1489789019,179,0
1489799739,110,913
1489814491,135,0
1489824977,4,0
1489843166,182,0
1489853819,254,0
1489864614,146,0
1489875413,191,0
1489933016,412,924
1489943811,136,0
1489954614,138,0
1489965414,147,0
1489976196,58,1068
1489983619,56,0
1489990881,12,0
1489997820,39,0
1490005570,72,0
1490016014,65,0
1490026615,226,0
1490037415,139,0
1490048215,160,0
1490059063,113,843
1490069899,43,0
1490080655,92,0
1490091449,97,0
1490102209,112,0
1490112992,239,0
1490123792,168,0
1490134594,173,0
1490145476,110,820
1490156298,52,0
1490167148,63,0
1490177850,16,0
1490185085,92,0
1490195793,196,0
1490206591,149,0
1490217393,178,0
1490228226,111,866
1490239205,174,0
1490249886,14,0
1490271482,89,0
1490282193,229,0
1490292993,163,0
1490303793,144,0
1490310993,116,0
1490321835,60,774
1490343413,70,0
1490354252,76,0
1490364993,194,0
1490375794,148,0
1490386582,150,0
1490397370,145,0
1490408130,51,745
1490419064,21,0
1490429778,3,0
1490440647,96,0
1490451375,201,0
1490462172,128,0
1490472975,127,0
1490483776,147,0
1490494620,49,913
1490505443,66,0
1490516226,35,0
1490527020,41,0
1490537776,164,0
1490548576,121,0
1490559375,122,0
1490570176,157,0
1490580993,33,1287
1490589312,84,0
1490595403,4,0
1490610404,89,0
1490619229,28,0
1490627893,171,0
1490638672,109,0
1490649475,142,0
1490660301,148,1141
1490675807,45,0
1490681797,33,0
1490692615,69,0
1490710693,264,0
1490721472,133,0
1490732275,134,0
1490743076,149,0
1490750210,49,904
1490768266,57,0
1490778989,78,0
1490797075,169,0
1490807875,137,0
1490818678,134,0
1490829498,147,0
1490836540,43,1033
1490851126,87,0
1490868984,81,0
1490887095,256,0
1490897896,126,0
1490908693,129,0
1490915898,89,0
1490926534,43,717
1490937492,59,0
1490948207,42,0
1490966798,63,0
1490977089,168,0
1490987887,144,0
1490998688,113,0
1491006603,101,813
1491024977,315,3
1491035773,80,0
1491046279,181,0
1491056479,96,0
1491067051,177,0
1491077856,125,0
1491088655,156,0
1491095728,51,730
1491104667,58,0
1491111267,6,0
1491122293,126,0
1491133110,101,0
1491142660,160,0
1491153449,143,0
1491164252,159,0
1491175048,109,0
1491185745,97,1059
1491194321,39,0
1491204860,70,0
1491215781,78,0
1491225484,270,0
1491236246,147,0
1491247056,142,0
1491257853,139,0
1491268529,98,810
1491277623,52,9
1491288128,61,0
1491298195,80,0
1491308178,89,0
1491319078,218,0
1491329874,189,0
1491340664,184,0
1491351593,155,625
1491366091,48,0
1491373226,45,0
