DateTime,Entries,UniqueIPs
1486761376,11251,11251
1486772271,11300,11300
1486782999,11355,11355
1486804644,11379,11379
1486815376,11557,11557
1486826175,11665,11665
1486836976,11801,11801
1486847775,11918,11918
1486858708,11586,11586
1486869442,11632,11632
1486880155,11704,11704
1486891093,11794,11794
1486901777,11935,11935
1486912576,12047,12047
1486923376,12157,12157
1486934176,12286,12286
1486945067,11688,11688
1486955741,11750,11750
1486966582,11826,11826
1486977328,11833,11833
1486988177,11991,11991
1486998977,12096,12096
1487009777,12217,12217
1487020576,12344,12344
1487027776,12439,12439
1487038529,11907,11907
1487045817,11964,11964
1487053088,11999,11999
1487063796,12055,12055
1487074732,12212,12212
1487085481,12325,12325
1487096279,12446,12446
1487107060,12582,12582
1487114305,12660,12660
1487121370,12238,12238
1487132197,12309,12309
1487151822,12371,12371
1487161605,12484,12484
1487171925,12658,12658
1487182716,12784,12784
1487193523,12923,12923
1487200717,13094,13094
1487207802,12566,12566
1487217467,12650,12650
1487225942,12710,12710
1487236600,12762,12762
1487246127,12831,12831
1487254747,13000,13000
1487265490,13125,13125
1487276271,13262,13262
1487287064,13400,13400
1487297844,12923,12923
1487319384,12997,12997
1487330417,13055,13055
1487341046,13224,13224
1487351905,13360,13360
1487362845,13490,13490
1487373432,13643,13643
1487384155,13223,13223
1487402251,13230,13230
1487409427,13242,13242
1487420168,13253,13253
1487431056,13459,13459
1487441850,13590,13590
1487452645,13709,13709
1487459846,13796,13796
1487466986,13226,13226
1487475825,13231,13231
1487485057,13305,13305
1487503007,13400,13400
1487513855,13559,13559
1487524686,13688,13688
1487535442,13853,13853
1487546246,14001,14001
1487557008,13507,13507
1487567809,13535,13535
1487578619,13567,13567
1487585858,13632,13632
1487596648,13810,13810
1487607465,13941,13941
1487618244,14095,14095
1487629080,14246,14246
1487636723,13389,13389
1487646996,13450,13450
1487657738,13503,13503
1487668530,13548,13548
1487690182,13842,13842
1487700981,14021,14021
1487711781,14190,14190
1487722615,13727,13727
1487740644,13839,13839
1487751427,13981,13981
1487762221,14155,14155
1487772980,14400,14400
1487783728,14517,14517
1487794579,14732,14732
1487805388,14785,14785
1487816131,14452,14452
1487826929,14530,14530
1487837830,14561,14561
1487848627,14674,14674
1487859405,14742,14742
1487870182,15034,15034
1487880984,15196,15196
1487891783,15349,15349
1487902528,14888,14888
1487924236,14902,14902
1487935005,14916,14916
1487945781,14963,14963
1487956581,15173,15173
1487967380,15291,15291
1487978206,15395,15395
1487989041,15185,15185
1488010646,15220,15220
1488021462,15231,15231
1488032219,15338,15338
1488042990,15444,15444
1488053780,15629,15629
1488064604,15780,15780
1488075343,15252,15252
1488086278,15279,15279
1488097020,15295,15295
1488107728,15304,15304
1488118582,15449,15449
1488129382,15567,15567
1488140182,15709,15709
1488150982,15846,15846
1488161754,14859,14859
1488176266,15185,15185
1488187107,15231,15231
1488205108,15438,15438
1488215902,15573,15573
1488226688,15690,15690
1488237480,15833,15833
1488248128,15224,15224
1488274344,15275,15275
1488284465,15325,15325
1488295100,15543,15543
1488305881,15972,15972
1488316659,16277,16277
1488323877,16423,16423
1488334684,15582,15582
1488345509,15642,15642
1488363487,15687,15687
1488374273,15772,15772
1488385069,15931,15931
1488395876,16062,16062
1488406679,16233,16233
1488417328,15473,15473
1488427707,15536,15536
1488436773,15559,15559
1488467847,15789,15789
1488478624,15936,15936
1488489421,16053,16053
1488496615,16176,16176
