DateTime,AddedIPs,RemovedIPs
1491925017,2,6
1491925460,23,29
1491925968,8,5
1491926520,35,36
1491926948,4,6
1491927427,20,39
1491927905,6,8
1491928383,37,116
1491928863,7,4
1491929334,24,38
1491929832,5,4
1491930274,18,46
1491930767,9,11
1491931240,27,32
1491931735,5,0
1491932207,26,21
1491932670,5,1
1491933149,27,32
1491933737,1,12
1491934150,48,19
1491934825,7,5
1491935062,27,2
1491935795,6,5
1491936025,31,23
1491936732,3,1
1491937033,24,16
1491937722,2,6
1491937951,27,3
1491938650,8,1
1491938927,50,31
1491939613,5,4
1491939872,26,34
1491940600,3,7
1491940914,43,41
1491941534,6,7
1491941816,23,36
1491942513,6,9
1491942756,25,26
1491943460,3,9
1491944231,28,69
1491944698,2,4
1491945193,23,16
1491945656,6,6
1491946113,30,20
1491946594,5,4
1491947062,35,15
1491947583,1,1
1491948173,55,24
1491948506,5,9
1491949243,32,21
1491949470,8,7
1491950188,25,20
1491950447,11,11
1491951154,29,19
1491951383,7,10
1491952094,16,16
1491952375,10,4
1491953057,27,33
1491953304,6,5
1491954032,22,21
1491954261,13,3
1491954977,11,21
1491955333,6,6
1491955966,36,25
1491956437,9,6
1491956892,41,15
1491957382,9,2
1491957866,24,42
1491958353,13,14
1491958914,27,25
1491959318,8,0
1491960270,5,9
1491960784,60,51
1491961247,12,0
1491961719,12,16
1491962184,1,4
1491962923,38,37
1491963165,6,11
1491963885,17,17
1491964391,7,5
1491964847,33,8
1491965321,5,11
1491965785,16,25
1491966279,11,4
1491966777,32,18
1491967262,8,2
1491967702,35,17
1491968203,1,0
1491968659,19,19
1491969169,2,2
1491969731,21,27
1491970115,5,5
1491970839,47,42
1491971074,5,3
1491971785,22,15
1491972054,9,4
1491972753,24,46
1491972999,2,4
1491973694,13,2
1491973979,5,5
1491974658,29,22
1491974910,6,2
1491975636,23,39
1491975869,6,1
1491976571,19,2
1491976952,10,5
1491977563,27,63
1491978043,11,4
1491978493,19,1
1491978980,5,4
1491979455,14,19
1491979971,6,7
1491980524,21,37
1491980941,9,4
1491981641,39,30
1491981870,3,13
1491982581,21,27
1491982869,5,10
1491983565,13,21
1491983785,1,11
1491984512,25,25
1491984776,1,5
1491985469,94,23
1491985706,0,3
1491986436,44,27
1491986667,17,8
1491987385,25,18
1491987731,6,4
1491988367,43,29
1491988837,12,8
1491989300,24,23
1491989781,3,5
1491990251,25,25
1491990753,3,3
1491991358,20,28
1491991716,8,10
1491992422,45,25
1491992690,9,8
1491993382,12,6
1491993645,7,12
1491994359,24,21
1491994943,11,9
1491995321,33,41
1491996036,6,10
1491996274,12,28
1491996982,4,3
1491997246,20,43
1491997974,8,7
1491998176,17,4
1491998920,3,6
1491999172,41,23
1491999870,8,2
1492000107,33,34
1492000834,7,7
1492001066,20,19
1492002160,40,66
1492003248,34,35
1492004185,25,30
1492005159,31,25
1492006143,20,50
1492007058,26,23
1492008044,30,26
1492008994,24,45
1492009977,53,60
1492010926,31,9
1492011861,34,55
1492012962,46,17
1492014030,43,47
1492015017,31,36
1492015967,46,23
1492016899,27,56
1492017879,37,22
1492018846,35,39
1492019796,14,43
1492020785,16,31
1492021706,38,43
1492022663,62,33
1492023720,62,40
1492024838,50,42
1492025783,16,27
1492026753,55,38
1492027697,42,31
1492028659,29,26
1492029638,42,30
1492030584,23,4
1492031567,43,47
1492032514,34,55
1492033461,19,15
1492034505,21,34
1492035627,35,41
1492036601,55,66
1492037540,58,17
1492038524,66,60
1492039451,38,8
1492040440,53,59
1492041422,41,43
1492042371,76,43
1492043323,27,18
1492044272,46,28
1492045304,47,9
1492046430,29,43
1492047391,21,18
1492048341,39,41
1492049321,28,13
1492050290,44,47
1492051227,35,10
1492052210,46,57
1492053176,31,14
1492054112,31,43
1492055062,34,37
1492056123,44,5
1492057217,37,54
1492058200,23,45
1492059139,56,4
1492060119,17,47
1492061060,32,32
1492062032,34,10
1492062978,28,45
1492063966,57,38
1492064922,31,21
1492065855,25,29
1492066892,36,6
1492067809,23,40
1492068756,52,17
1492069736,40,45
1492070920,40,60
1492071875,28,66
1492072844,27,35
1492073790,28,53
1492074774,34,55
1492075708,27,22
1492076661,22,31
1492077756,16,4
1492078850,63,77
1492079787,30,25
1492080756,43,5
1492081717,30,21
1492082661,20,3
1492083661,33,77
1492084740,33,56
1492085783,22,36
1492086756,39,30
1492087697,13,28
1492088680,23,32
1492089628,27,5
1492090604,26,70
1492091562,33,15
1492092511,32,2
1492093452,36,31
1492094425,32,28
1492095404,24,47
1492096376,41,2
1492097321,37,31
1492098274,28,58
1492099514,37,28
1492100428,51,5
1492101407,21,21
1492102360,40,28
1492103348,44,56
1492104262,24,2
1492105229,35,33
1492106203,40,44
1492107165,34,6
1492108110,30,77
1492109074,31,56
1492110118,35,5
1492111257,35,72
1492112177,22,1
1492113147,49,48
1492114104,26,63
1492115050,45,1
1492116015,38,37
1492116998,30,40
1492117947,28,5
1492118895,24,35
1492119866,39,72
1492120919,38,55
1492122051,48,32
1492122997,29,1
1492123974,46,184
1492124905,21,0
1492125858,32,154
1492126826,28,4
1492127925,33,83
1492128975,33,23
1492129955,38,36
1492130920,30,22
1492132133,48,23
1492133071,17,9
1492134053,37,34
1492134990,18,26
1492135962,57,27
1492136915,39,38
1492137878,20,54
1492138921,30,42
1492140039,35,34
1492140976,25,25
1492141942,45,44
1492142903,45,30
1492143851,21,18
1492144825,27,38
1492145794,38,18
1492146750,26,39
1492147718,32,27
1492148688,21,39
1492149723,44,38
1492150845,33,25
1492151787,32,23
1492152764,35,39
1492153713,32,24
1492154652,32,29
1492155618,33,41
1492156594,27,28
1492157539,31,23
1492158510,43,31
1492159458,15,18
1492160484,49,35
1492161402,15,30
1492162365,40,19
1492163313,22,42
1492164275,37,42
1492165258,42,30
1492166193,25,49
1492167157,37,35
1492168639,47,17
1492169563,36,41
1492170516,21,39
1492171633,43,31
1492172649,39,40
1492173618,46,18
1492174593,29,16
1492175563,35,43
1492176509,41,26
1492177483,34,43
1492178507,54,34
1492179636,36,52
1492180583,29,32
1492181549,32,19
1492182505,17,32
1492183451,28,28
1492184430,32,22
1492185394,27,27
1492186350,34,28
1492187319,36,21
1492188277,18,29
1492189315,33,41
1492190437,38,32
1492191378,27,49
1492192368,41,29
1492193302,38,36
1492194257,38,40
1492195225,39,32
1492196195,44,43
1492197161,53,59
1492198128,38,28
1492199074,12,36
1492200133,20,33
1492201500,79,76
1492202437,42,35
1492203403,42,35
1492204367,41,38
1492205318,39,31
1492206263,21,2
1492207330,49,79
1492208427,35,2
1492209396,22,22
1492210345,42,49
1492211317,41,77
1492212279,27,40
1492213228,33,28
1492214200,11,2
1492215167,59,36
1492216105,55,42
1492217064,37,18
1492218108,79,56
1492219233,33,25
1492220193,17,46
1492221143,33,22
1492222118,32,54
1492223079,20,36
1492224039,27,27
1492224990,34,39
1492225969,22,41
1492226920,22,25
1492227867,24,36
1492228920,60,40
1492230028,45,29
1492230987,28,28
1492231942,34,28
1492232904,26,47
1492233863,30,35
1492235093,41,51
1492236140,40,34
1492237237,39,4
1492238193,23,54
1492239141,22,3
1492240099,29,47
1492241062,20,62
1492242017,23,4
1492242982,25,29
1492243953,37,74
1492244901,17,0
1492245849,26,20
1492246911,39,85
1492247815,32,35
1492248778,29,19
1492249707,25,4
1492250682,38,93
1492251650,53,5
1492252592,22,27
1492253557,37,47
1492254502,31,39
1492255456,59,32
1492256416,42,12
1492257399,21,46
1492258349,23,26
1492259306,30,47
1492260259,33,42
1492261297,46,29
1492262433,42,33
1492263387,18,20
1492264343,41,59
1492265334,27,36
1492266515,36,12
1492267475,55,44
1492268500,43,21
1492269657,38,38
1492270575,22,42
1492271546,49,33
