DateTime,Entries,UniqueIPs
1491921414,6086,6086
1491921878,6083,6083
1491922372,6067,6067
1491922959,6068,6068
1491923329,6059,6059
1491924019,6065,6065
1491924544,6080,6080
1491925017,6076,6076
1491925460,6070,6070
1491925968,6073,6073
1491926520,6072,6072
1491926948,6070,6070
1491927427,6051,6051
1491927905,6049,6049
1491928383,5970,5970
1491928863,5973,5973
1491929334,5959,5959
1491929832,5960,5960
1491930274,5932,5932
1491930767,5930,5930
1491931240,5925,5925
1491931735,5930,5930
1491932207,5935,5935
1491932670,5939,5939
1491933149,5934,5934
1491933737,5923,5923
1491934150,5952,5952
1491934825,5954,5954
1491935062,5979,5979
1491935795,5980,5980
1491936025,5988,5988
1491936732,5990,5990
1491937033,5998,5998
1491937722,5994,5994
1491937951,6018,6018
1491938650,6025,6025
1491938927,6044,6044
1491939613,6045,6045
1491939872,6037,6037
1491940600,6033,6033
1491940914,6035,6035
1491941534,6034,6034
1491941816,6021,6021
1491942513,6018,6018
1491942756,6017,6017
1491943460,6011,6011
1491944231,5970,5970
1491944698,5968,5968
1491945193,5975,5975
1491945656,5975,5975
1491946113,5985,5985
1491946594,5986,5986
1491947062,6006,6006
1491947583,6006,6006
1491948173,6037,6037
1491948506,6033,6033
1491949243,6044,6044
1491949470,6045,6045
1491950188,6050,6050
1491950447,6050,6050
1491951154,6060,6060
1491951383,6057,6057
1491952094,6057,6057
1491952375,6063,6063
1491953057,6057,6057
1491953304,6058,6058
1491954032,6059,6059
1491954261,6069,6069
1491954977,6059,6059
1491955333,6059,6059
1491955966,6070,6070
1491956437,6073,6073
1491956892,6099,6099
1491957382,6106,6106
1491957866,6088,6088
1491958353,6087,6087
1491958914,6089,6089
1491959318,6097,6097
1491960270,6093,6093
1491960784,6102,6102
1491961247,6114,6114
1491961719,6110,6110
1491962184,6107,6107
1491962923,6108,6108
1491963165,6103,6103
1491963885,6103,6103
1491964391,6105,6105
1491964847,6130,6130
1491965321,6124,6124
1491965785,6115,6115
1491966279,6122,6122
1491966777,6136,6136
1491967262,6142,6142
1491967702,6160,6160
1491968203,6161,6161
1491968659,6161,6161
1491969169,6161,6161
1491969731,6155,6155
1491970115,6155,6155
1491970839,6160,6160
1491971074,6162,6162
1491971785,6169,6169
1491972054,6174,6174
1491972753,6152,6152
1491972999,6150,6150
1491973694,6161,6161
1491973979,6161,6161
1491974658,6168,6168
1491974910,6172,6172
1491975636,6156,6156
1491975869,6161,6161
1491976571,6178,6178
1491976952,6183,6183
1491977563,6147,6147
1491978043,6154,6154
1491978493,6172,6172
1491978980,6173,6173
1491979455,6168,6168
1491979971,6167,6167
1491980524,6151,6151
1491980941,6156,6156
1491981641,6165,6165
1491981870,6155,6155
1491982581,6149,6149
1491982869,6144,6144
1491983565,6136,6136
1491983785,6126,6126
1491984512,6126,6126
1491984776,6122,6122
1491985469,6193,6193
1491985706,6190,6190
1491986436,6207,6207
1491986667,6216,6216
1491987385,6223,6223
1491987731,6225,6225
1491988367,6239,6239
1491988837,6243,6243
1491989300,6244,6244
1491989781,6242,6242
1491990251,6242,6242
1491990753,6242,6242
1491991358,6234,6234
1491991716,6232,6232
1491992422,6252,6252
1491992690,6253,6253
1491993382,6259,6259
1491993645,6254,6254
1491994359,6257,6257
1491994943,6259,6259
1491995321,6251,6251
1491996036,6247,6247
1491996274,6231,6231
1491996982,6232,6232
1491997246,6209,6209
1491997974,6210,6210
1491998176,6223,6223
1491998920,6220,6220
1491999172,6238,6238
1491999870,6244,6244
1492000107,6243,6243
1492000834,6243,6243
1492001066,6244,6244
1492002160,6218,6218
1492003248,6217,6217
1492004185,6212,6212
1492005159,6218,6218
1492006143,6188,6188
1492007058,6191,6191
1492008044,6195,6195
1492008994,6174,6174
1492009977,6167,6167
1492010926,6189,6189
1492011861,6168,6168
1492012962,6197,6197
1492014030,6193,6193
1492015017,6188,6188
1492015967,6211,6211
1492016899,6182,6182
1492017879,6197,6197
1492018846,6193,6193
1492019796,6164,6164
1492020785,6149,6149
1492021706,6144,6144
1492022663,6173,6173
1492023720,6195,6195
1492024838,6203,6203
1492025783,6192,6192
1492026753,6209,6209
1492027697,6220,6220
1492028659,6223,6223
1492029638,6235,6235
1492030584,6254,6254
1492031567,6250,6250
1492032514,6229,6229
1492033461,6233,6233
1492034505,6220,6220
1492035627,6214,6214
1492036601,6203,6203
1492037540,6244,6244
1492038524,6250,6250
1492039451,6280,6280
1492040440,6274,6274
1492041422,6272,6272
1492042371,6305,6305
1492043323,6314,6314
1492044272,6332,6332
1492045304,6370,6370
1492046430,6356,6356
1492047391,6359,6359
1492048341,6357,6357
1492049321,6372,6372
1492050290,6369,6369
1492051227,6394,6394
1492052210,6383,6383
1492053176,6400,6400
1492054112,6388,6388
1492055062,6385,6385
1492056123,6424,6424
1492057217,6407,6407
1492058200,6385,6385
1492059139,6437,6437
1492060119,6407,6407
1492061060,6407,6407
1492062032,6431,6431
1492062978,6414,6414
1492063966,6433,6433
1492064922,6443,6443
1492065855,6439,6439
1492066892,6469,6469
1492067809,6452,6452
1492068756,6487,6487
1492069736,6482,6482
1492070920,6462,6462
1492071875,6424,6424
1492072844,6416,6416
1492073790,6391,6391
1492074774,6370,6370
1492075708,6375,6375
1492076661,6366,6366
1492077756,6378,6378
1492078850,6364,6364
1492079787,6369,6369
1492080756,6407,6407
1492081717,6416,6416
1492082661,6433,6433
1492083661,6389,6389
1492084740,6366,6366
1492085783,6352,6352
1492086756,6361,6361
1492087697,6346,6346
1492088680,6337,6337
1492089628,6359,6359
1492090604,6315,6315
1492091562,6333,6333
1492092511,6363,6363
1492093452,6368,6368
1492094425,6372,6372
1492095404,6349,6349
1492096376,6388,6388
1492097321,6394,6394
1492098274,6364,6364
1492099514,6373,6373
1492100428,6419,6419
1492101407,6419,6419
1492102360,6431,6431
1492103348,6419,6419
1492104262,6441,6441
1492105229,6443,6443
1492106203,6439,6439
1492107165,6467,6467
1492108110,6420,6420
1492109074,6395,6395
1492110118,6425,6425
1492111257,6388,6388
1492112177,6409,6409
1492113147,6410,6410
1492114104,6373,6373
1492115050,6417,6417
1492116015,6418,6418
1492116998,6408,6408
1492117947,6431,6431
1492118895,6420,6420
1492119866,6387,6387
1492120919,6370,6370
1492122051,6386,6386
1492122997,6414,6414
1492123974,6276,6276
1492124905,6297,6297
1492125858,6175,6175
1492126826,6199,6199
1492127925,6149,6149
1492128975,6159,6159
1492129955,6161,6161
1492130920,6169,6169
1492132133,6194,6194
1492133071,6202,6202
1492134053,6205,6205
1492134990,6197,6197
1492135962,6227,6227
1492136915,6228,6228
1492137878,6194,6194
1492138921,6182,6182
1492140039,6183,6183
1492140976,6183,6183
1492141942,6184,6184
1492142903,6199,6199
1492143851,6202,6202
1492144825,6191,6191
1492145794,6211,6211
1492146750,6198,6198
1492147718,6203,6203
1492148688,6185,6185
1492149723,6191,6191
1492150845,6199,6199
1492151787,6208,6208
1492152764,6204,6204
1492153713,6212,6212
1492154652,6215,6215
1492155618,6207,6207
1492156594,6206,6206
1492157539,6214,6214
1492158510,6226,6226
1492159458,6223,6223
1492160484,6237,6237
1492161402,6222,6222
1492162365,6243,6243
1492163313,6223,6223
1492164275,6218,6218
1492165258,6230,6230
1492166193,6206,6206
1492167157,6208,6208
1492168639,6238,6238
1492169563,6233,6233
1492170516,6215,6215
1492171633,6227,6227
1492172649,6226,6226
1492173618,6254,6254
1492174593,6267,6267
1492175563,6259,6259
1492176509,6274,6274
1492177483,6265,6265
1492178507,6285,6285
