DateTime,AddedIPs,RemovedIPs
1491914214,4,2
1491914692,66,66
1491915179,7,7
1491915726,122,122
1491916144,8,7
1491916637,72,72
1491917083,5,1
1491917548,130,130
1491918031,6,1
1491918566,107,107
1491919012,6,2
1491919475,72,72
1491919956,6,10
1491920439,134,134
1491920930,7,4
1491921414,79,79
1491921878,6,12
1491922372,95,95
1491922959,7,11
1491923329,121,121
1491924019,6,7
1491924544,149,149
1491925017,2,6
1491925460,84,84
1491925968,8,2
1491926520,107,107
1491926948,5,1
1491927427,59,59
1491927905,6,3
1491928383,115,115
1491928863,7,12
1491929334,89,89
1491929832,5,6
1491930274,54,54
1491930767,9,9
1491931240,128,128
1491931735,5,4
1491932207,80,80
1491932670,5,9
1491933149,122,122
1491933737,1,6
1491934150,116,116
1491934825,7,9
1491935062,106,106
1491935795,6,2
1491936025,112,112
1491936732,3,5
1491937033,74,74
1491937722,2,1
1491937951,112,112
1491938650,8,10
1491938927,99,99
1491939613,5,10
1491939872,71,71
1491940600,3,5
1491940914,105,105
1491941534,6,4
1491941816,86,86
1491942513,6,3
1491942756,95,95
1491943460,3,6
1491944231,118,118
1491944698,2,4
1491945193,122,122
1491945656,6,3
1491946113,93,93
1491946594,5,1
1491947062,112,112
1491947583,1,11
1491948173,102,102
1491948506,5,4
1491949243,129,129
1491949470,8,8
1491950188,79,79
1491950447,11,23
1491951154,112,112
1491951383,7,11
1491952094,76,76
1491952375,11,14
1491953057,121,121
1491953304,6,4
1491954032,96,96
1491954261,13,11
1491954977,83,83
1491955333,6,11
1491955966,162,162
1491956437,9,6
1491956892,118,118
1491957382,9,4
1491957866,70,70
1491958353,13,9
1491958914,100,100
1491959318,8,4
1491960270,5,9
1491960784,186,186
1491961247,12,7
1491961719,56,56
1491962184,1,4
1491962923,129,129
1491963165,5,12
1491963885,103,103
1491964391,7,8
1491964847,100,100
1491965321,5,5
1491965785,50,50
1491966279,12,7
1491966777,145,145
1491967262,8,11
1491967702,116,116
1491968203,1,4
1491968659,77,77
1491969169,2,5
1491969731,93,93
1491970115,5,2
1491970839,151,151
1491971074,5,8
1491971785,89,89
1491972054,9,5
1491972753,84,84
1491972999,2,3
1491973694,68,68
1491973979,5,11
1491974658,107,107
1491974910,6,2
1491975636,96,96
1491975869,6,8
1491976571,78,78
1491976952,10,7
1491977563,94,94
1491978043,11,7
1491978493,101,101
1491978980,5,3
1491979455,90,90
1491979971,6,7
1491980524,99,99
1491980941,9,4
1491981641,141,141
1491981870,3,4
1491982581,58,58
1491982869,4,2
1491983565,128,128
1491983785,1,0
1491984512,81,81
1491984776,1,8
1491985469,118,118
1491985706,0,3
1491986436,200,200
1491986667,17,5
1491987385,99,99
1491987731,6,7
1491988367,184,184
1491988837,12,12
1491989300,134,134
1491989781,3,3
1491990251,99,99
1491990753,3,10
1491991358,115,115
1491991716,8,4
1491992422,143,143
1491992690,9,12
1491993382,82,82
1491993645,7,9
1491994359,114,114
1491994943,11,3
1491995321,98,98
1491996036,6,7
1491996274,46,46
1491996982,4,1
1491997246,130,130
1491997974,9,5
1491998176,79,79
1491998920,3,7
1491999172,158,158
1491999870,8,7
1492000107,111,111
1492000834,7,3
1492001066,97,97
1492002160,112,110
1492003248,111,113
1492004185,91,90
1492005159,121,131
1492006143,79,78
1492007058,106,111
1492008044,114,114
1492008994,67,69
1492009977,136,128
1492010926,120,119
1492011861,84,84
1492012962,138,135
1492014030,113,114
1492015017,73,71
1492015967,139,135
1492016899,76,77
1492017879,109,113
1492018846,112,107
1492019796,53,53
1492020785,103,110
1492021706,106,109
1492022663,145,136
1492023720,186,184
1492024838,164,166
1492025783,72,71
1492026753,138,131
1492027697,113,109
1492028659,96,96
1492029638,138,134
1492030584,62,62
1492031567,122,118
1492032514,105,102
1492033461,117,117
1492034505,154,157
1492035627,188,199
1492036601,105,109
1492037540,202,193
1492038524,206,203
1492039451,144,134
1492040440,195,192
1492041422,133,127
1492042371,183,177
1492043323,109,108
1492044272,131,134
1492045304,132,131
1492046430,79,80
1492047391,47,47
1492048341,125,121
1492049321,99,94
1492050290,108,93
1492051227,154,152
1492052210,131,129
1492053176,113,103
1492054112,101,97
1492055062,101,94
1492056123,138,129
1492057217,116,111
1492058200,68,61
1492059139,124,119
1492060119,61,60
1492061060,125,120
1492062032,123,117
1492062978,83,83
1492063966,163,156
1492064922,116,113
1492065855,82,74
1492066892,116,118
1492067809,77,80
1492068756,122,109
1492069736,120,119
1492070920,113,102
1492071875,88,83
1492072844,105,110
1492073790,75,75
1492074774,138,128
1492075708,125,127
1492076661,61,57
1492077756,114,122
1492078850,152,148
1492079787,103,104
1492080756,138,141
1492081717,119,117
1492082661,73,76
1492083661,114,118
1492084740,125,118
1492085783,76,73
1492086756,136,131
1492087697,53,50
1492088680,90,90
1492089628,125,127
1492090604,97,95
1492091562,147,154
1492092511,108,101
1492093452,151,152
1492094425,112,112
1492095404,73,70
1492096376,140,139
1492097321,113,118
1492098274,72,70
1492099514,105,110
1492100428,130,130
1492101407,74,76
1492102360,101,97
1492103348,105,112
1492104262,121,120
1492105229,110,124
1492106203,76,76
1492107165,137,134
1492108110,108,111
1492109074,76,86
1492110118,108,111
1492111257,130,144
1492112177,76,77
1492113147,130,133
1492114104,91,95
1492115050,118,119
1492116015,93,98
1492116998,91,95
1492117947,130,126
1492118895,100,100
1492119866,80,73
1492120919,99,96
1492122051,153,141
1492122997,105,104
1492123974,136,140
1492124905,108,114
1492125858,100,101
1492126826,115,124
1492127925,96,95
1492128975,88,92
1492129955,121,129
1492130920,97,93
1492132133,133,134
1492133071,103,103
1492134053,134,137
1492134990,58,63
1492135962,166,167
1492136915,125,122
1492137878,66,69
1492138921,124,127
1492140039,121,120
1492140976,86,84
1492141942,111,111
1492142903,118,124
1492143851,85,82
1492144825,99,101
1492145794,92,91
1492146750,139,143
1492147718,115,116
1492148688,58,64
1492149723,134,130
1492150845,97,96
1492151787,90,87
1492152764,104,103
1492153713,115,119
1492154652,89,89
1492155618,110,116
1492156594,76,78
1492157539,121,127
1492158510,130,130
1492159458,74,72
1492160484,141,141
1492161402,85,91
1492162365,100,97
1492163313,65,62
1492164275,121,119
1492165258,125,131
1492166193,87,96
1492167157,119,121
1492168639,126,124
1492169563,128,125
1492170516,63,60
1492171633,136,135
1492172649,91,80
1492173618,135,128
