DateTime,Entries,UniqueIPs
1491922959,2458,2458
1491923329,2458,2458
1491924019,2457,2457
1491924544,2457,2457
1491925017,2453,2453
1491925460,2453,2453
1491925968,2459,2459
1491926520,2459,2459
1491926948,2463,2463
1491927427,2463,2463
1491927905,2466,2466
1491928383,2466,2466
1491928863,2461,2461
1491929334,2461,2461
1491929832,2460,2460
1491930274,2460,2460
1491930767,2460,2460
1491931240,2460,2460
1491931735,2461,2461
1491932207,2461,2461
1491932670,2457,2457
1491933149,2457,2457
1491933737,2452,2452
1491934150,2452,2452
1491934825,2450,2450
1491935062,2450,2450
1491935795,2454,2454
1491936025,2454,2454
1491936732,2452,2452
1491937033,2452,2452
1491937722,2453,2453
1491937951,2453,2453
1491938650,2451,2451
1491938927,2451,2451
1491939613,2446,2446
1491939872,2446,2446
1491940600,2444,2444
1491940914,2444,2444
1491941534,2446,2446
1491941816,2446,2446
1491942513,2449,2449
1491942756,2449,2449
1491943460,2446,2446
1491944231,2446,2446
1491944698,2444,2444
1491945193,2444,2444
1491945656,2447,2447
1491946113,2447,2447
1491946594,2451,2451
1491947062,2451,2451
1491947583,2441,2441
1491948173,2441,2441
1491948506,2442,2442
1491949243,2442,2442
1491949470,2442,2442
1491950188,2442,2442
1491950447,2430,2430
1491951154,2430,2430
1491951383,2426,2426
1491952094,2426,2426
1491952375,2423,2423
1491953057,2423,2423
1491953304,2425,2425
1491954032,2425,2425
1491954261,2427,2427
1491954977,2427,2427
1491955333,2422,2422
1491955966,2422,2422
1491956437,2425,2425
1491956892,2425,2425
1491957382,2430,2430
1491957866,2430,2430
1491958353,2434,2434
1491958914,2434,2434
1491959318,2438,2438
1491960270,2434,2434
1491960784,2434,2434
1491961247,2439,2439
1491961719,2439,2439
1491962184,2436,2436
1491962923,2436,2436
1491963165,2429,2429
1491963885,2429,2429
1491964391,2428,2428
1491964847,2428,2428
1491965321,2428,2428
1491965785,2428,2428
1491966279,2433,2433
1491966777,2433,2433
1491967262,2430,2430
1491967702,2430,2430
1491968203,2427,2427
1491968659,2427,2427
1491969169,2424,2424
1491969731,2424,2424
1491970115,2427,2427
1491970839,2427,2427
1491971074,2424,2424
1491971785,2424,2424
1491972054,2428,2428
1491972753,2428,2428
1491972999,2427,2427
1491973694,2427,2427
1491973979,2421,2421
1491974658,2421,2421
1491974910,2425,2425
1491975636,2425,2425
1491975869,2423,2423
1491976571,2423,2423
1491976952,2426,2426
1491977563,2426,2426
1491978043,2430,2430
1491978493,2430,2430
1491978980,2432,2432
1491979455,2432,2432
1491979971,2431,2431
1491980524,2431,2431
1491980941,2436,2436
1491981641,2436,2436
1491981870,2435,2435
1491982581,2435,2435
1491982869,2437,2437
1491983565,2437,2437
1491983785,2438,2438
1491984512,2438,2438
1491984776,2431,2431
1491985469,2431,2431
1491985706,2428,2428
1491986436,2428,2428
1491986667,2440,2440
1491987385,2440,2440
