DateTime,AddedIPs,RemovedIPs
1491833535,6,9
1491834511,6,8
1491835456,8,1
1491836490,6,4
1491837643,14,6
1491838605,1,4
1491839565,1,7
1491840521,2,15
1491841465,4,8
1491842424,12,11
1491843415,5,14
1491844351,6,4
1491845372,5,8
1491846533,4,8
1491847739,8,5
1491848665,1,14
1491849636,6,19
1491850604,2,17
1491851554,5,5
1491852541,3,9
1491853475,7,11
1491854518,7,5
1491855625,9,4
1491856592,8,16
1491857542,4,5
1491858532,6,9
1491859459,7,1
1491860434,6,10
1491861408,3,6
1491862350,8,6
1491863351,1,5
1491864266,6,5
1491865299,16,3
1491866207,4,6
1491867159,11,7
1491868127,8,3
1491869069,14,10
1491870039,8,3
1491871007,4,10
1491871946,7,14
1491872924,6,6
1491873854,7,4
1491874857,6,9
1491875801,1,12
1491876758,7,9
1491877725,6,11
1491878670,7,5
1491879704,8,5
1491880607,3,1
1491881554,6,10
1491882527,3,4
1491883468,10,4
1491884439,12,0
1491885404,0,15
1491886344,6,0
1491887347,8,17
1491888260,5,7
1491889231,14,7
1491890212,8,6
1491891156,11,0
1491892127,4,10
1491893071,8,0
1491894097,4,8
1491895013,8,9
1491895954,5,2
1491896931,5,7
1491897867,2,4
1491898843,5,7
1491899803,1,8
1491900752,4,9
1491901723,2,9
1491902656,6,6
1491903611,6,9
1491904604,7,7
1491905554,9,2
1491906532,5,13
1491907467,11,6
1491908506,7,7
1491909407,7,8
1491910366,4,3
1491911339,1,2
1491912291,4,2
1491913257,11,3
1491914214,4,18
1491915179,7,3
1491916144,8,5
1491917083,5,4
1491918031,6,7
1491919012,6,1
1491919956,6,9
1491920930,7,5
1491921878,6,6
1491922959,7,6
1491924019,6,7
1491925017,2,6
1491925968,8,4
1491926948,5,10
1491927905,6,3
1491928863,7,5
1491929832,5,14
1491930767,9,41
1491931735,5,16
1491932670,5,24
1491933737,1,35
1491934825,7,8
1491935795,6,38
1491936732,3,16
1491937722,2,13
1491938650,8,7
1491939613,5,19
1491940600,3,9
1491941534,6,8
1491942513,6,2
1491943460,3,8
1491944698,2,11
1491945656,6,4
1491946594,5,9
1491947583,1,4
1491948506,5,3
1491949470,8,3
1491950447,11,8
1491951383,7,7
1491952375,11,8
1491953304,6,2
1491954261,13,7
1491955333,6,6
1491956437,9,2
1491957382,9,7
1491958353,13,5
1491959318,8,3
1491960270,5,1
1491961247,12,10
1491962184,1,3
1491963165,5,4
1491964391,7,5
1491965321,5,7
1491966279,12,2
1491967262,8,11
1491968203,1,6
1491969169,2,1
1491970115,5,3
1491971074,5,2
1491972054,9,13
1491972999,2,8
1491973979,5,7
1491974910,6,6
1491975869,6,6
1491976952,10,6
1491978043,11,6
1491978980,5,1
1491979971,6,8
1491980941,9,0
1491981870,3,2
1491982869,4,6
1491983785,1,7
1491984776,1,4
1491985706,0,5
1491986667,17,9
1491987731,6,4
1491988837,12,8
1491989781,3,6
1491990753,3,1
1491991716,8,7
1491992690,9,8
1491993645,7,7
1491994943,11,11
1491996036,6,0
1491996982,4,1
1491997974,9,23
1491998920,3,3
