DateTime,Entries,UniqueIPs
1491846533,19404,20243
1491847739,19409,20246
1491848665,19397,20233
1491849636,19384,20220
1491850604,19370,20205
1491851554,19370,20205
1491852541,19365,20199
1491853475,19361,20195
1491854518,19363,20197
1491855625,19367,20202
1491856592,19358,20194
1491857542,19358,20193
1491858532,19356,20190
1491859459,19361,20196
1491860434,19357,20192
1491861408,19354,20189
1491862350,19357,20191
1491863351,19354,20187
1491864266,19355,20188
1491865299,19365,20201
1491866207,19361,20199
1491867159,19364,20203
1491868127,19369,20208
1491869069,19372,20212
1491870039,19377,20217
1491871007,19371,20211
1491871946,19365,20204
1491872924,19366,20204
1491873854,19370,20207
1491874857,19368,20204
1491875801,19359,20193
1491876758,19357,20191
1491877725,19352,20186
1491878670,19354,20188
1491879704,19357,20191
1491880607,19359,20193
1491881554,19355,20189
1491882527,19354,20188
1491883468,19360,20194
1491884439,19372,20206
1491885404,19357,20191
1491886344,19362,20197
1491887347,19353,20188
1491888260,19351,20186
1491889231,19358,20193
1491890212,19360,20195
1491891156,19369,20206
1491892127,19362,20200
1491893071,19370,20208
1491894097,19367,20204
1491895013,19366,20203
1491895954,19369,20206
1491896931,19367,20204
1491897867,19365,20202
1491898843,19363,20200
1491899803,19357,20193
1491900752,19352,20188
1491901723,19345,20181
1491902656,19345,20181
1491903611,19342,20178
1491904604,19342,20178
1491905554,19349,20185
1491906532,19338,20177
1491907467,19343,20182
1491908506,19343,20182
1491909407,19342,20181
1491910366,19343,20182
1491911339,19342,20181
1491912291,19344,20183
1491913257,19352,20191
1491914214,19338,20177
1491915179,19342,20181
1491916144,19345,20184
1491917083,19346,20185
1491918031,19345,20184
1491919012,19350,20189
1491919956,19347,20186
1491920930,19350,20188
1491921878,19350,20188
1491922959,19350,20189
1491924019,19349,20188
1491925017,19346,20184
1491925968,19350,20188
1491926948,19344,20183
1491927905,19347,20186
1491928863,19349,20188
1491929832,19365,20179
1491930767,19403,20147
1491931735,19404,20136
1491932670,19392,20117
1491933737,19381,20083
1491934825,19382,20082
1491935795,19358,20050
1491936732,19346,20037
1491937722,19338,20026
1491938650,19339,20027
1491939613,19325,20013
1491940600,19319,20007
1491941534,19318,20005
1491942513,19322,20009
1491943460,19318,20004
1491944698,19309,19995
1491945656,19311,19997
1491946594,19308,19993
1491947583,19305,19990
1491948506,19307,19992
1491949470,19312,19997
1491950447,19315,20000
1491951383,19315,20000
1491952375,19317,20003
1491953304,19321,20007
1491954261,19327,20013
1491955333,19327,20013
1491956437,19332,20020
1491957382,19334,20022
1491958353,19342,20030
1491959318,19347,20035
1491960270,19352,20039
1491961247,19354,20041
1491962184,19352,20039
1491963165,19353,20040
1491964391,19355,20042
1491965321,19354,20040
1491966279,19363,20050
1491967262,19360,20047
1491968203,19355,20042
1491969169,19356,20043
1491970115,19358,20045
1491971074,19361,20048
1491972054,19357,20044
1491972999,19351,20038
1491973979,19349,20036
1491974910,19348,20036
1491975869,19349,20036
1491976952,19353,20040
1491978043,19358,20045
1491978980,19361,20049
1491979971,19359,20047
1491980941,19367,20056
1491981870,19368,20057
1491982869,19366,20055
1491983785,19360,20049
1491984776,19357,20046
1491985706,19352,20041
1491986667,19360,20049
1491987731,19362,20051
1491988837,19366,20055
1491989781,19363,20052
1491990753,19365,20054
1491991716,19368,20055
1491992690,19369,20056
1491993645,19369,20056
1491994943,19369,20056
1491996036,19375,20062
1491996982,19378,20065
1491997974,19363,20051
1491998920,19363,20051
1491999870,19368,20056
1492000834,19375,20063
1492002158,19372,20060
1492003246,19374,20062
1492004183,19373,20061
1492005156,19373,20061
1492006141,19368,20058
1492007056,19374,20064
1492008042,19376,20066
1492008992,19365,20055
1492009975,19373,20062
1492010923,19375,20064
1492011859,19381,20070
1492012960,19383,20072
1492014028,19382,20071
1492015015,19386,20075
1492015964,19391,20079
1492016897,19389,20077
1492017877,19389,20077
1492018844,19390,20078
1492019794,19390,20078
1492020783,19384,20072
1492021704,19379,20067
1492022660,19393,20081
1492023718,19397,20084
1492024836,19406,20093
1492025781,19398,20087
1492026751,19411,20097
1492027695,19417,20102
1492028657,19419,20104
1492029635,19424,20108
1492030582,19427,20108
1492031565,19432,20113
1492032512,19432,20113
1492033459,19435,20116
1492034503,19431,20112
1492035625,19425,20106
1492036599,19418,20099
1492037538,19430,20111
1492038522,19437,20118
1492039449,19449,20130
1492040433,19459,20140
1492041420,19466,20147
1492042368,19476,20157
1492043321,19473,20154
1492044269,19480,20161
1492045302,19486,20168
1492046428,19488,20171
1492047389,19484,20167
1492048338,19490,20175
1492049319,19500,20185
1492050287,19516,20201
1492051224,19527,20212
1492052208,19526,20211
1492053174,19537,20222
1492054110,19533,20217
1492055060,19541,20225
1492056121,19550,20234
1492057215,19558,20242
1492058198,19559,20243
1492059137,19562,20247
1492060117,19562,20247
1492061057,19572,20257
1492062030,19582,20267
1492062976,19569,20253
1492063964,19580,20264
1492064920,19581,20265
1492065853,19586,20270
1492066890,19587,20270
1492067807,19583,20266
1492068754,19588,20274
1492069734,19584,20270
1492070918,19594,20279
1492071872,19594,20279
1492072842,19594,20279
1492073788,19590,20275
1492074771,19593,20280
1492075706,19594,20281
1492076660,19599,20286
1492077754,19593,20280
1492078848,19608,20295
1492079786,19602,20289
1492080754,19601,20288
1492081715,19598,20284
1492082659,19597,20283
1492083659,19591,20277
1492084737,19592,20278
1492085781,19598,20284
1492086754,19603,20289
1492087695,19604,20290
1492088678,19602,20289
1492089627,19604,20290
1492090602,19604,20290
1492091559,19603,20289
1492092509,19606,20292
1492093450,19612,20299
1492094423,19610,20297
1492095402,19608,20295
1492096374,19612,20300
1492097319,19614,20302
1492098271,19614,20301
1492099512,19612,20298
1492100426,19620,20306
1492101406,19623,20309
1492102358,19639,20326
1492103346,19639,20327
1492104260,19640,20328
1492105227,19637,20325
1492106201,19637,20322
1492107162,19638,20323
1492108108,19643,20328
1492109072,19559,20244
1492110115,19559,20243
1492111255,19561,20245
1492112175,19569,20253
1492113145,19571,20253
1492114102,19562,20244
1492115048,19579,20261
1492116014,19579,20261
1492116996,19579,20261
1492117944,19581,20260
1492118892,19583,20261
1492119864,19589,20267
1492120917,19593,20270
1492122049,19595,20272
1492122995,19593,20270
1492123971,19590,20266
1492125856,19598,20274
1492126824,19599,20275
1492127923,19596,20273
1492128973,19600,20277
1492129953,19604,20281
1492130918,19601,20278
1492132131,19608,20283
1492133069,19605,20280
1492134051,19612,20287
1492134988,19612,20287
1492135960,19623,20298
1492136913,19627,20302
1492137875,19622,20298
1492138919,19620,20296
1492140036,19617,20293
1492140974,19621,20297
1492141941,19617,20292
1492142901,19614,20288
1492143848,19624,20298
1492144822,19620,20294
1492145792,19616,20290
1492146748,19621,20295
1492147715,19619,20293
1492148685,19622,20296
1492149720,19625,20299
1492150843,19631,20305
1492151785,19637,20312
1492152761,19626,20301
1492153711,19618,20292
1492154650,19626,20301
1492155616,19625,20300
1492156592,19618,20292
1492157537,19623,20298
1492158508,19623,20298
1492159455,19619,20294
1492160482,19622,20296
1492161400,19617,20291
1492162363,19620,20294
1492163311,19618,20292
1492164273,19609,20283
1492165256,19620,20294
1492166191,19612,20286
1492167155,19613,20287
1492168638,19615,20289
1492169561,19621,20295
1492170515,19623,20297
1492171631,19627,20301
1492172648,19637,20311
1492173616,19648,20322
1492174591,19644,20317
1492175561,19655,20328
1492176507,19655,20328
1492177481,19652,20326
1492178505,19657,20330
1492179634,19663,20336
1492180580,19656,20329
1492181547,19662,20335
1492182502,19656,20329
1492183449,19657,20330
1492184428,19657,20331
1492185392,19660,20334
1492186347,19664,20338
1492187317,19666,20340
1492188275,19666,20340
1492189313,19667,20343
1492190436,19669,20345
1492191377,19670,20346
1492192366,19676,20351
1492193300,19682,20357
1492194255,19680,20355
1492195224,19681,20356
1492196193,19678,20351
1492197158,19682,20355
1492198125,19681,20353
1492199072,19685,20357
1492200131,19686,20358
1492201498,19697,20369
1492202435,19712,20384
1492203401,19707,20379
1492204364,19710,20382
1492205316,19714,20386
1492206260,19705,20377
1492207328,19715,20388
1492208425,19714,20387
1492209394,19707,20380
1492210343,19713,20387
1492211315,19711,20384
1492212277,19715,20388
1492213226,19718,20391
1492214198,19716,20389
1492215164,19715,20388
1492216103,19723,20396
1492217062,19732,20405
1492218103,19741,20414
1492219231,19730,20402
1492220191,19723,20395
1492221141,19727,20399
1492222116,19733,20406
1492223077,19720,20392
1492224037,19720,20392
1492224988,19723,20395
1492225967,19717,20389
1492226918,19704,20375
1492227865,19709,20380
1492228918,19705,20375
1492230026,19712,20382
1492230985,19695,20365
1492231940,19703,20374
1492232902,19702,20373
1492233861,19695,20366
1492235090,19682,20353
1492236138,19686,20357
1492237235,19694,20365
1492238191,19689,20359
1492239139,19682,20350
1492240097,19679,20346
1492241060,19661,20328
1492242015,19649,20316
1492242980,19639,20306
1492243950,19635,20301
1492244899,19631,20296
1492245847,19614,20279
1492246909,19608,20272
1492247812,19604,20268
1492248776,19598,20261
1492249705,19599,20262
1492250680,19584,20247
1492251646,19585,20248
1492252590,19576,20240
1492253555,19582,20246
1492254500,19572,20236
1492255453,19602,20265
1492256413,19604,20267
1492257397,19604,20267
1492258346,19594,20257
1492259304,19596,20259
1492260257,19588,20250
1492261295,19594,20256
1492262431,19598,20260
1492263386,19595,20258
1492264340,19601,20264
1492265332,19593,20256
1492266513,19586,20248
1492267473,19599,20262
1492268498,19600,20263
1492269655,19590,20253
1492270574,19591,20254
1492271544,19601,20261
1492272501,19607,20268
1492273456,19604,20264
1492274420,19609,20269
1492275380,19606,20266
1492276345,19603,20263
1492277294,19603,20263
1492278259,19607,20266
1492279296,19598,20257
1492280445,19590,20248
1492281391,19586,20243
1492282358,19569,20226
1492283301,19553,20210
1492284253,19550,20207
1492285228,19538,20195
1492286185,19528,20185
1492287161,19525,20183
1492288109,19516,20171
1492289078,19516,20171
1492290129,19520,20176
1492291233,19529,20185
1492292440,19526,20182
1492293393,19520,20175
1492294358,19528,20183
1492295302,19525,20180
1492296269,19520,20173
1492297305,19513,20166
1492298450,19511,20164
1492299382,19499,20152
1492300337,19505,20160
1492301305,19496,20151
1492302254,19493,20148
1492303214,19485,20137
1492304188,19474,20126
1492305153,19462,20113
1492306139,19461,20111
1492307068,19465,20115
1492308105,19460,20110
1492309251,19459,20109
1492310185,19446,20096
1492311180,19445,20095
1492312121,19436,20085
1492313086,19440,20089
1492314034,19443,20092
1492315001,19443,20092
1492315957,19450,20099
1492316924,19447,20097
1492317860,19447,20097
1492318948,19443,20093
1492320024,19442,20093
1492321023,19440,20091
1492321953,19445,20096
1492322919,19444,20095
1492323869,19447,20098
1492324828,19444,20095
1492325802,19430,20081
1492326821,19423,20074
1492327957,19426,20077
1492328910,19426,20077
1492329869,19413,20063
1492330832,19420,20070
1492331797,19420,20070
1492332776,19422,20072
1492333713,19419,20069
1492334664,19420,20069
1492335640,19413,20060
1492336617,19406,20053
1492337554,19411,20057
1492338511,19413,20059
