DateTime,AddedIPs,RemovedIPs
1491833535,6,8
1491834511,6,3
1491835456,8,4
1491836490,6,9
1491837643,14,6
1491838605,1,2
1491839565,1,4
1491840521,2,5
1491841465,4,5
1491842424,12,8
1491843415,5,4
1491844351,6,4
1491845372,5,11
1491846533,4,1
1491847739,8,12
1491848665,1,5
1491849636,6,5
1491850604,2,1
1491851554,5,6
1491852541,3,1
1491853475,7,4
1491854518,7,7
1491855625,9,7
1491856592,8,9
1491857542,4,9
1491858532,6,4
1491859459,7,6
1491860434,6,4
1491861408,3,1
1491862350,8,9
1491863351,1,7
1491864266,6,11
1491865299,16,10
1491866207,4,3
1491867159,11,5
1491868127,8,3
1491869069,14,6
1491870039,8,6
1491871007,4,2
1491871946,7,13
1491872924,6,1
1491873854,7,7
1491874857,6,2
1491875801,1,4
1491876758,7,3
1491877725,6,9
1491878670,7,5
1491879704,8,11
1491880607,3,3
1491881554,6,2
1491882527,3,0
1491883468,10,2
1491884439,12,5
1491885404,0,3
1491886344,6,4
1491887347,8,4
1491888260,5,5
1491889231,14,2
1491890212,8,1
1491891156,11,5
1491892127,4,4
1491893071,8,4
1491894097,4,7
1491895013,8,4
1491895954,5,13
1491896931,5,11
1491897867,2,12
1491898843,5,5
1491899803,1,3
1491900752,4,8
1491901723,2,4
1491902656,6,8
1491903611,6,5
1491904604,7,3
1491905554,9,10
1491906532,5,8
1491907467,12,12
1491908506,7,6
1491909407,7,4
1491910366,4,12
1491911339,2,3
1491912291,4,6
1491913257,11,6
1491914214,4,2
1491915179,7,7
1491916144,8,7
1491917083,5,1
1491918031,6,1
1491919012,6,2
1491919956,6,10
1491920930,7,4
1491921878,6,12
1491922959,7,11
1491924019,6,7
1491925017,2,6
1491925968,8,2
1491926948,5,1
1491927905,6,3
1491928863,7,12
1491929832,5,6
1491930767,9,9
1491931735,5,4
1491932670,5,9
1491933737,1,6
1491934825,7,9
1491935795,6,2
1491936732,3,5
1491937722,2,1
1491938650,8,10
1491939613,5,10
1491940600,3,5
1491941534,6,4
1491942513,6,3
1491943460,3,6
1491944698,2,4
1491945656,6,3
1491946594,5,1
1491947583,1,11
1491948506,5,4
1491949470,8,8
1491950447,11,23
1491951383,7,11
1491952375,11,14
1491953304,6,4
1491954261,13,11
1491955333,6,11
1491956437,9,6
1491957382,9,4
1491958353,13,9
1491959318,8,4
1491960270,5,9
1491961247,12,7
1491962184,1,4
1491963165,5,12
1491964391,7,8
1491965321,5,5
1491966279,12,7
1491967262,8,11
1491968203,1,4
1491969169,2,5
1491970115,5,2
1491971074,5,8
1491972054,9,5
1491972999,2,3
1491973979,5,11
1491974910,6,2
1491975869,6,8
1491976952,10,7
1491978043,11,7
1491978980,5,3
1491979971,6,7
1491980941,9,4
1491981870,3,4
1491982869,4,2
1491983785,1,0
1491984776,1,8
1491985706,0,3
1491986667,17,5
1491987731,6,7
1491988837,12,12
1491989781,3,3
1491990753,3,10
1491991716,8,4
1491992690,9,12
1491993645,7,9
1491994943,11,3
1491996036,6,7
1491996982,4,1
1491997974,9,5
1491998920,3,7
1491999870,8,7
1492000834,7,3
1492002158,6,4
1492003246,5,7
1492004183,3,2
1492005156,6,16
1492006141,4,3
1492007056,7,12
1492008042,4,4
1492008992,2,4
1492009975,10,2
1492010923,4,3
1492011859,8,8
1492012960,6,3
1492014028,5,6
1492015015,6,4
1492015964,11,7
