DateTime,Entries,UniqueIPs
1491839565,414,414
1491840521,411,411
1491841465,410,410
1491842424,414,414
1491843415,415,415
1491844351,417,417
1491845372,411,411
1491846533,414,414
1491847739,410,410
1491848665,406,406
1491849636,407,407
1491850604,408,408
1491851554,407,407
1491852541,409,409
1491853475,412,412
1491854518,412,412
1491855625,414,414
1491856592,413,413
1491857542,408,408
1491858532,410,410
1491859459,411,411
1491860434,413,413
1491861408,415,415
1491862350,414,414
1491863351,408,408
1491864266,403,403
1491865299,409,409
1491866207,410,410
1491867159,416,416
1491868127,421,421
1491869069,429,429
1491870039,431,431
1491871007,433,433
1491871946,427,427
1491872924,432,432
1491873854,432,432
1491874857,436,436
1491875801,433,433
1491876758,437,437
1491877725,434,434
1491878670,436,436
1491879704,433,433
1491880607,433,433
1491881554,437,437
1491882527,440,440
1491883468,448,448
1491884439,455,455
1491885404,452,452
1491886344,454,454
1491887347,458,458
1491888260,458,458
1491889231,470,470
1491890212,477,477
1491891156,483,483
1491892127,483,483
1491893071,487,487
1491894097,484,484
1491895013,488,488
1491895954,480,480
1491896931,474,474
1491897867,464,464
1491898843,464,464
1491899803,462,462
1491900752,458,458
1491901723,456,456
1491902656,454,454
1491903611,455,455
1491904604,459,459
1491905554,458,458
1491906532,455,455
1491907467,455,455
1491908506,456,456
1491909407,459,459
1491910366,451,451
1491911339,450,450
1491912291,448,448
1491913257,453,453
1491914214,455,455
1491915179,455,455
1491916144,456,456
1491917083,460,460
1491918031,465,465
1491919012,469,469
1491919956,465,465
1491920930,468,468
1491921878,462,462
1491922959,458,458
1491924019,457,457
1491925017,453,453
1491925968,459,459
1491926948,463,463
1491927905,466,466
1491928863,461,461
1491929832,460,460
1491930767,460,460
1491931735,461,461
1491932670,457,457
1491933737,452,452
1491934825,450,450
1491935795,454,454
1491936732,452,452
1491937722,453,453
1491938650,451,451
1491939613,446,446
1491940600,444,444
1491941534,446,446
1491942513,449,449
1491943460,446,446
1491944698,444,444
1491945656,447,447
1491946594,451,451
1491947583,441,441
1491948506,442,442
1491949470,442,442
1491950447,430,430
1491951383,426,426
1491952375,423,423
1491953304,425,425
1491954261,427,427
1491955333,422,422
1491956437,425,425
1491957382,430,430
1491958353,434,434
1491959318,438,438
1491960270,434,434
1491961247,439,439
1491962184,436,436
1491963165,429,429
1491964391,428,428
1491965321,428,428
1491966279,433,433
1491967262,430,430
1491968203,427,427
1491969169,424,424
1491970115,427,427
1491971074,424,424
1491972054,428,428
1491972999,427,427
1491973979,421,421
1491974910,425,425
1491975869,423,423
1491976952,426,426
1491978043,430,430
1491978980,432,432
1491979971,431,431
1491980941,436,436
1491981870,435,435
1491982869,437,437
1491983785,438,438
1491984776,431,431
1491985706,428,428
1491986667,440,440
1491987731,439,439
1491988837,439,439
1491989781,439,439
1491990753,432,432
1491991716,436,436
1491992690,433,433
1491993645,431,431
1491994943,439,439
1491996036,438,438
1491996982,441,441
1491997974,445,445
1491998920,441,441
1491999870,442,442
1492000834,446,446
1492002158,448,448
1492003246,446,446
1492004183,447,447
1492005156,437,437
1492006141,438,438
1492007056,433,433
1492008042,433,433
1492008992,431,431
1492009975,439,439
1492010923,440,440
1492011859,440,440
1492012960,443,443
1492014028,442,442
1492015015,444,444
1492015964,448,448
1492016897,447,447
1492017877,443,443
1492018844,448,448
1492019794,448,448
1492020783,441,441
1492021704,438,438
1492022660,447,447
1492023718,449,449
1492024836,447,447
1492025781,448,448
1492026751,455,455
1492027695,459,459
1492028657,459,459
1492029635,463,463
1492030582,463,463
1492031565,467,467
1492032512,470,470
1492033459,470,470
1492034503,467,467
1492035625,456,456
1492036599,452,452
1492037538,461,461
1492038522,464,464
1492039449,474,474
1492040433,477,477
1492041420,483,483
1492042368,489,489
1492043321,490,490
1492044269,487,487
1492045302,488,488
1492046428,487,487
1492047389,487,487
1492048338,491,491
1492049319,496,496
1492050287,511,511
1492051224,513,513
1492052208,515,515
1492053174,525,525
1492054110,529,529
1492055060,536,536
1492056121,545,545
1492057215,550,550
1492058198,557,557
1492059137,562,562
1492060117,563,563
