DateTime,Entries,UniqueIPs
1491841467,5596,6026
1491842426,5607,6037
1491843417,5597,6028
1491844353,5602,6041
1491845375,5609,6049
1491846535,5607,6049
1491847741,5590,6038
1491848667,5570,6017
1491849638,5584,6031
1491850606,5571,6016
1491851556,5586,6028
1491852543,5575,6012
1491853478,5567,6003
1491854520,5567,6003
1491855626,5556,5996
1491856594,5542,5980
1491857544,5535,5978
1491858535,5541,5980
1491859461,5526,5963
1491860436,5532,5968
1491861410,5515,5948
1491862352,5511,5943
1491863353,5512,5947
1491864267,5499,5931
1491865301,5465,5893
1491866208,5469,5898
1491867161,5480,5912
1491868129,5482,5908
1491869071,5467,5891
1491870041,5452,5874
1491871009,5452,5876
1491871948,5468,5890
1491872926,5472,5895
1491873856,5485,5906
1491874859,5474,5894
1491875803,5456,5876
1491876761,5481,5904
1491877727,5496,5922
1491878673,5491,5918
1491879706,5484,5916
1491880608,5472,5907
1491881556,5487,5923
1491882528,5469,5905
1491883470,5460,5896
1491884441,5476,5913
1491885406,5417,5847
1491886346,5449,5882
1491887349,5433,5862
1491888263,5446,5878
1491889233,5416,5844
1491890214,5398,5828
1491891158,5418,5855
1491892129,5416,5851
1491893073,5414,5848
1491894099,5449,5888
1491895015,5451,5885
1491895956,5449,5883
1491896933,5435,5868
1491897869,5418,5851
1491898845,5444,5880
1491899806,5451,5885
1491900754,5473,5911
1491901724,5467,5907
1491902659,5463,5897
1491903613,5474,5905
1491904606,5485,5916
1491905556,5499,5931
1491906534,5500,5937
1491907469,5481,5920
1491908509,5483,5922
1491909622,5509,5955
1491910594,5503,5949
1491911839,5477,5916
1491912772,5489,5927
1491913746,5500,5935
1491914692,5499,5934
1491915726,5500,5934
1491916637,5501,5935
1491917548,5512,5948
1491918566,5515,5952
1491919475,5495,5928
1491920439,5510,5946
1491921414,5501,5940
1491922372,5483,5920
1491923329,5476,5915
1491924544,5491,5930
1491925460,5485,5924
1491926520,5484,5927
1491927427,5462,5902
1491928383,5376,5813
1491929334,5361,5797
1491930274,5333,5767
1491931240,5326,5758
1491932207,5329,5759
1491933149,5322,5748
1491934150,5355,5783
1491935062,5382,5812
1491936025,5389,5820
1491937033,5398,5830
1491937951,5425,5860
1491938927,5445,5879
1491939872,5435,5867
1491940914,5435,5869
1491941816,5423,5858
1491942756,5423,5859
1491944231,5382,5818
1491945193,5391,5831
1491946113,5399,5831
1491947062,5420,5853
1491948173,5454,5890
1491949243,5465,5901
1491950188,5473,5912
1491951154,5483,5924
1491952094,5483,5926
1491953057,5478,5922
1491954032,5479,5919
1491954977,5469,5909
1491955966,5487,5936
1491956892,5513,5960
1491957866,5490,5932
1491958914,5491,5930
1491960784,5502,5945
1491961719,5498,5941
1491962923,5498,5940
1491963885,5498,5940
1491964847,5524,5967
1491965785,5513,5952
1491966777,5524,5964
1491967702,5541,5980
1491968659,5540,5980
1491969731,5533,5974
1491970839,5537,5973
1491971785,5546,5984
1491972753,5523,5958
1491973694,5536,5973
1491974658,5544,5982
1491975636,5528,5964
1491976571,5547,5985
1491977563,5506,5939
1491978493,5523,5959
1491979455,5517,5952
1491980524,5499,5932
1491981641,5511,5947
1491982581,5500,5930
1491983565,5489,5918
1491984512,5489,5916
1491985469,5565,5997
1491986436,5585,6024
1491987385,5592,6033
1491988367,5611,6057
1491989300,5614,6062
1491990251,5617,6066
1491991358,5606,6052
1491992422,5625,6070
1491993382,5631,6076
1491994359,5637,6089
1491995321,5625,6071
1491996274,5608,6055
1491997246,5585,6032
1491998176,5602,6053
1491999172,5622,6075
1492000107,5621,6074
1492001066,5624,6079
1492002160,5601,6058
1492003248,5594,6053
1492004185,5584,6038
1492005159,5586,6044
1492006143,5563,6018
1492007058,5565,6022
1492008044,5581,6042
1492008994,5569,6026
1492009977,5557,6016
1492010926,5584,6046
1492011861,5554,6013
1492012962,5578,6037
1492014030,5575,6037
1492015017,5575,6036
1492015967,5597,6064
1492016899,5573,6038
1492017879,5585,6053
1492018846,5581,6049
1492019796,5559,6027
1492020785,5551,6020
1492021706,5550,6022
1492022663,5567,6040
1492023720,5578,6049
1492024838,5588,6065
1492025783,5584,6061
1492026753,5594,6074
1492027697,5596,6077
1492028659,5591,6069
1492029638,5600,6080
1492030584,5618,6098
1492031567,5607,6088
1492032514,5582,6065
1492033461,5595,6082
1492034505,5581,6070
1492035627,5584,6078
1492036601,5597,6086
1492037540,5636,6131
1492038524,5650,6144
1492039451,5670,6171
1492040440,5669,6174
1492041422,5667,6170
1492042371,5692,6199
1492043323,5694,6200
1492044272,5708,6213
1492045304,5744,6253
1492046430,5729,6228
1492047391,5733,6232
1492048341,5725,6226
1492049321,5743,6245
1492050290,5724,6221
1492051227,5746,6249
1492052210,5731,6226
1492053176,5747,6245
1492054112,5729,6223
1492055062,5719,6214
1492056123,5747,6245
1492057217,5725,6226
1492058200,5695,6193
1492059139,5738,6237
1492060119,5716,6217
1492061060,5706,6213
1492062032,5728,6237
1492062978,5712,6215
1492063966,5726,6233
1492064922,5733,6238
1492065855,5725,6230
1492066892,5756,6263
1492067809,5733,6231
1492068756,5749,6245
1492069736,5743,6241
1492070920,5718,6215
1492071875,5673,6161
1492072844,5664,6151
1492073790,5641,6125
1492074774,5625,6113
1492075708,5630,6121
1492076661,5623,6113
1492077756,5640,6131
1492078850,5618,6107
1492079787,5623,6110
1492080756,5658,6148
1492081717,5664,6156
1492082661,5684,6178
1492083661,5637,6127
1492084740,5610,6098
1492085783,5593,6081
1492086756,5593,6078
1492087697,5576,6061
1492088680,5569,6050
1492089628,5591,6077
1492090604,5556,6036
1492091562,5575,6052
1492092511,5596,6076
1492093452,5601,6083
1492094425,5602,6086
1492095404,5576,6053
1492096376,5608,6088
1492097321,5614,6093
1492098274,5581,6054
1492099514,5592,6064
1492100428,5635,6112
1492101407,5637,6116
1492102360,5639,6119
1492103348,5634,6113
1492104262,5651,6133
1492105229,5654,6138
1492106203,5645,6122
1492107165,5672,6155
1492108110,5635,6120
1492109074,5608,6086
1492110118,5628,6112
1492111257,5597,6080
1492112177,5611,6095
1492113147,5609,6094
1492114104,5580,6063
1492115050,5608,6092
1492116015,5603,6083
1492116998,5599,6080
1492117947,5616,6104
1492118895,5604,6093
1492119866,5563,6044
1492120919,5548,6020
1492122051,5557,6031
1492122997,5582,6057
1492123974,5446,5916
1492124905,5467,5937
1492125858,5340,5803
1492126826,5359,5828
1492127925,5315,5784
1492128975,5324,5793
1492129955,5336,5801
1492130920,5346,5807
1492132133,5365,5832
1492133071,5378,5846
1492134053,5379,5845
1492134990,5375,5842
1492135962,5398,5869
1492136915,5395,5862
1492137878,5355,5823
1492138921,5347,5824
1492140039,5343,5822
1492140976,5341,5819
1492141942,5334,5806
1492142903,5358,5832
1492143851,5352,5826
1492144825,5344,5822
1492145794,5361,5841
1492146750,5353,5832
1492147718,5359,5838
1492148688,5339,5818
1492149723,5345,5824
1492150845,5345,5823
1492151787,5351,5828
1492152764,5348,5821
1492153713,5362,5838
1492154652,5360,5836
1492155618,5347,5824
1492156594,5346,5824
1492157539,5354,5834
1492158510,5370,5848
1492159458,5361,5837
1492160484,5363,5830
1492161402,5354,5821
1492162365,5366,5832
1492163313,5349,5815
1492164275,5357,5827
1492165258,5363,5835
1492166193,5348,5816
1492167157,5348,5813
1492168639,5365,5827
1492169563,5361,5826
1492170516,5340,5806
1492171633,5355,5825
1492172649,5340,5808
1492173618,5354,5825
1492174593,5372,5846
1492175563,5356,5827
1492176509,5359,5828
1492177483,5353,5822
1492178507,5365,5833
1492179636,5349,5818
1492180583,5347,5809
1492181549,5347,5807
1492182505,5334,5791
1492183451,5336,5796
1492184430,5342,5805
1492185394,5342,5803
1492186350,5345,5806
1492187319,5358,5816
1492188277,5355,5812
1492189315,5352,5807
1492190437,5355,5808
1492191378,5333,5779
1492192368,5344,5793
1492193302,5340,5787
1492194257,5334,5777
1492195225,5345,5785
1492196195,5358,5802
1492197161,5360,5797
1492198128,5375,5813
1492199074,5359,5793
1492200133,5347,5776
1492201500,5369,5795
1492202437,5371,5802
1492203403,5372,5801
1492204367,5374,5800
1492205318,5381,5803
1492206263,5391,5815
1492207330,5352,5768
1492208427,5377,5796
1492209396,5375,5794
1492210345,5366,5776
1492211317,5344,5753
1492212279,5330,5734
1492213228,5336,5740
1492214200,5342,5751
1492215167,5379,5789
1492216105,5395,5802
1492217064,5409,5820
1492218108,5438,5847
1492219233,5436,5843
1492220193,5410,5814
1492221143,5417,5822
1492222118,5401,5803
1492223079,5388,5790
1492224039,5397,5801
1492224990,5396,5800
1492225969,5379,5781
1492226920,5375,5779
1492227867,5373,5782
1492228920,5390,5797
1492230028,5407,5813
1492230987,5411,5819
1492231942,5418,5826
1492232904,5402,5813
1492233863,5396,5807
1492235093,5394,5801
1492236140,5403,5810
1492237237,5433,5845
1492238193,5407,5815
1492239141,5421,5832
1492240099,5401,5808
1492241062,5377,5785
1492242017,5393,5805
1492242982,5386,5794
1492243953,5355,5763
1492244901,5368,5776
1492245849,5376,5784
1492246911,5343,5759
1492247815,5344,5763
1492248778,5350,5771
1492249707,5370,5795
1492250682,5326,5749
1492251650,5368,5796
1492252592,5367,5795
1492253557,5370,5800
1492254502,5357,5783
1492255456,5349,5774
1492256416,5374,5799
1492257399,5349,5772
1492258349,5347,5770
1492259306,5338,5761
1492260259,5325,5742
1492261297,5335,5756
1492262433,5333,5754
1492263387,5331,5755
1492264343,5316,5743
1492265334,5318,5752
1492266515,5335,5770
1492267475,5342,5776
1492268500,5357,5792
1492269657,5349,5785
1492270575,5336,5771
1492271546,5347,5782
1492272502,5347,5788
1492273458,5343,5783
1492274422,5354,5790
1492275382,5342,5777
1492276348,5344,5771
1492277296,5352,5781
1492278262,5358,5786
1492279298,5360,5791
1492280447,5373,5806
1492281393,5382,5821
1492282360,5397,5838
1492283303,5394,5828
1492284256,5393,5828
1492285230,5427,5871
1492286187,5427,5873
1492287163,5404,5853
1492288111,5413,5856
1492289080,5412,5849
1492290131,5429,5867
1492291235,5428,5862
1492292442,5444,5878
1492293395,5413,5849
1492294361,5417,5854
1492295304,5423,5861
1492296271,5449,5892
1492297307,5452,5897
1492298452,5468,5914
1492299384,5460,5905
1492300339,5473,5922
1492301307,5465,5909
1492302257,5422,5863
1492303216,5438,5878
1492304191,5422,5859
1492305155,5418,5846
1492306141,5423,5855
1492307070,5410,5842
1492308106,5429,5859
1492309253,5452,5880
1492310187,5469,5894
1492311182,5480,5908
1492312123,5513,5942
1492313088,5493,5928
1492314036,5502,5941
1492315003,5458,5894
1492315959,5460,5894
1492316926,5455,5888
1492317862,5442,5876
1492318950,5442,5880
1492320026,5450,5888
1492321025,5437,5876
1492321956,5434,5875
1492322921,5417,5861
1492323871,5416,5861
1492324830,5405,5850
1492325804,5408,5848
1492326823,5415,5859
1492327961,5429,5872
1492328912,5436,5878
1492329870,5441,5879
1492330834,5457,5898
1492331799,5470,5914
1492332778,5479,5927
1492333715,5478,5926
