DateTime,AddedIPs,RemovedIPs
1491843417,13,24
1491844353,16,0
1491845375,21,14
1491846535,9,15
1491847741,7,10
1491848667,13,9
1491849638,17,20
1491850606,10,7
1491851556,11,14
1491852543,10,11
1491853478,7,11
1491854520,9,12
1491855626,9,19
1491856594,4,23
1491857544,6,15
1491858535,13,24
1491859461,3,10
1491860436,12,26
1491861410,30,16
1491862352,9,15
1491863353,8,9
1491864267,8,6
1491865301,10,3
1491866208,10,12
1491867161,9,12
1491868129,9,14
1491869071,13,10
1491870041,8,16
1491871009,3,11
1491871948,9,0
1491872926,14,8
1491873856,9,4
1491874859,5,12
1491875803,4,16
1491876761,19,0
1491877727,8,14
1491878673,3,15
1491879706,15,9
1491880608,4,6
1491881556,11,0
1491882528,12,15
1491883470,6,8
1491884441,3,0
1491885406,3,23
1491886346,9,0
1491887349,19,15
1491888263,6,0
1491889233,16,19
1491890214,7,16
1491891158,5,11
1491892129,13,10
1491893073,4,9
1491894099,19,0
1491895015,4,14
1491895956,15,1
1491896933,6,20
1491897869,6,7
1491898845,22,5
1491899806,8,5
1491900754,12,3
1491901724,17,8
1491902659,3,9
1491903613,13,7
1491904606,7,14
1491905556,16,6
1491906534,10,9
1491907469,5,11
1491908509,14,12
1491909622,19,9
1491910594,3,14
1491911839,14,21
1491912772,18,10
1491913746,14,9
1491914692,6,24
1491915726,4,45
1491916637,7,0
1491917548,19,18
1491918566,4,17
1491919475,4,20
1491920439,16,59
1491921414,4,35
1491922372,8,18
1491923329,17,6
1491924544,13,7
1491925460,11,0
1491926520,19,13
1491927427,10,0
1491928383,9,14
1491929334,12,18
1491930274,9,8
1491931240,12,16
1491932207,5,25
1491933149,8,24
1491934150,14,12
1491935062,8,13
1491936025,12,9
1491937033,3,4
1491937951,9,13
1491938927,9,7
1491939872,7,33
1491940914,12,0
1491941816,3,0
1491942756,6,32
1491944231,10,0
1491945193,9,0
1491946113,12,27
1491947062,9,0
1491948173,9,7
1491949243,14,17
1491950188,13,0
1491951154,12,0
1491952094,6,0
1491953057,9,11
1491954032,5,0
1491954977,5,23
1491955966,13,0
1491956892,24,18
1491957866,8,18
1491958914,12,7
1491960784,35,15
1491961719,6,13
1491962923,21,16
1491963885,5,11
1491964847,20,15
1491965785,5,14
1491966777,14,4
1491967702,13,6
1491968659,4,6
1491969731,6,12
1491970839,19,14
1491971785,6,6
1491972753,8,3
1491973694,5,8
1491974658,13,13
1491975636,11,18
1491976571,5,9
1491977563,5,8
1491978493,7,20
1491979455,5,0
1491980524,5,16
1491981641,13,7
1491982581,5,10
1491983565,5,24
1491984512,8,8
1491985469,24,8
1491986436,19,3
1491987385,11,8
1491988367,12,18
1491989300,10,14
1491990251,12,12
1491991358,3,7
1491992422,17,17
1491993382,5,9
1491994359,10,8
1491995321,12,8
1491996274,4,9
1491997246,5,7
1491998176,9,13
1491999172,13,12
1492000107,5,6
1492001066,4,9
1492002160,13,8
1492003248,6,5
1492004185,6,8
1492005159,10,10
1492006143,4,12
1492007058,7,10
1492008044,10,8
1492008994,8,10
1492009977,18,19
1492010926,11,5
1492011861,11,9
1492012962,11,6
1492014030,10,7
1492015017,7,12
1492015967,14,1
1492016899,8,11
1492017879,12,15
1492018846,9,10
1492019796,5,13
1492020785,4,14
1492021706,20,21
1492022663,17,12
1492023720,14,11
1492024838,17,11
1492025783,3,21
1492026753,14,7
1492027697,9,13
1492028659,6,14
1492029638,4,2
1492030584,4,4
1492031567,13,12
1492032514,2,9
1492033461,6,14
1492034505,3,6
1492035627,4,10
1492036601,15,23
1492037540,9,7
1492038524,16,13
1492039451,11,9
1492040440,11,3
1492041422,8,11
1492042371,34,5
1492043323,6,6
1492044272,10,19
1492045304,13,7
1492046430,1,6
1492047391,4,8
1492048341,15,6
1492049321,6,7
1492050290,7,8
1492051227,6,4
1492052210,17,3
1492053176,5,17
1492054112,5,3
1492055062,3,11
1492056123,11,9
1492057217,7,13
1492058200,3,6
1492059139,11,14
1492060119,6,24
1492061060,6,40
1492062032,5,14
1492062978,7,149
1492063966,20,35
1492064922,6,24
1492065855,6,12
1492066892,14,2
1492067809,4,5
1492068756,12,2
1492069736,18,2
1492070920,5,8
1492071875,5,12
1492072844,4,2
1492073790,10,22
1492074774,10,13
1492075708,9,13
1492076661,5,9
1492077756,5,8
1492078850,19,15
1492079787,13,4
1492080756,15,6
1492081717,10,12
1492082661,7,14
1492083661,7,0
1492084740,10,26
1492085783,6,10
1492086756,13,5
