DateTime,AddedIPs,RemovedIPs
1491848667,85,85
1491849638,126,126
1491850606,50,50
1491851556,112,112
1491852543,93,93
1491853478,96,96
1491854520,141,141
1491855626,122,122
1491856594,72,72
1491857544,121,121
1491858535,105,105
1491859461,51,51
1491860436,103,103
1491861410,122,122
1491862352,96,96
1491863353,105,105
1491864267,55,55
1491865301,70,70
1491866208,73,73
1491867161,129,129
1491868129,118,118
1491869071,84,84
1491870041,101,101
1491871009,75,75
1491871948,129,129
1491872926,116,116
1491873856,86,86
1491874859,92,92
1491875803,69,69
1491876761,165,165
1491877727,109,109
1491878673,53,53
1491879706,126,126
1491880608,64,64
1491881556,99,99
1491882528,77,77
1491883470,99,99
1491884441,119,119
1491885406,63,63
1491886346,110,110
1491887349,136,136
1491888263,78,78
1491889233,115,115
1491890214,77,77
1491891158,150,150
1491892129,121,121
1491893073,65,65
1491894099,138,138
1491895015,64,64
1491895956,131,131
1491896933,121,121
1491897869,85,85
1491898845,137,137
1491899806,86,86
1491900754,127,127
1491901724,92,92
1491902659,74,74
1491903613,110,110
1491904606,67,67
1491905556,127,127
1491906534,110,110
1491907469,63,63
1491908509,110,110
1491909622,144,144
1491910594,72,72
1491911839,138,138
1491912772,128,128
1491913746,104,104
1491914692,66,66
1491915726,122,122
1491916637,72,72
1491917548,130,130
1491918566,107,107
1491919475,72,72
1491920439,134,134
1491921414,79,79
1491922372,95,95
1491923329,121,121
1491924544,149,149
1491925460,84,84
1491926520,107,107
1491927427,59,59
1491928383,115,115
1491929334,89,89
1491930274,54,54
1491931240,128,128
1491932207,80,80
1491933149,122,122
1491934150,116,116
1491935062,106,106
1491936025,112,112
1491937033,74,74
1491937951,112,112
1491938927,99,99
1491939872,71,71
1491940914,105,105
1491941816,86,86
1491942756,95,95
1491944231,118,118
1491945193,122,122
1491946113,93,93
1491947062,112,112
1491948173,102,102
1491949243,129,129
1491950188,79,79
1491951154,112,112
1491952094,76,76
1491953057,121,121
1491954032,96,96
1491954977,83,83
1491955966,162,162
1491956892,118,118
1491957866,70,70
1491958914,100,100
1491960784,186,186
1491961719,56,56
1491962923,129,129
1491963885,103,103
1491964847,100,100
1491965785,50,50
1491966777,145,145
1491967702,116,116
1491968659,77,77
1491969731,93,93
1491970839,151,151
1491971785,89,89
1491972753,84,84
1491973694,68,68
1491974658,107,107
1491975636,96,96
1491976571,78,78
1491977563,94,94
