DateTime,AddedIPs,RemovedIPs
1483621352,1,0
1483624804,1,0
1483635604,0,2
1483671604,1,0
1483675204,1,1
1483693205,1,1
1483747205,5,0
1483758004,0,1
1483772404,1,0
1483783205,1,0
1483790404,0,1
1483794004,1,0
1483830005,4,0
1483855204,1,0
1483869605,1,0
1483873205,1,0
1483894805,0,1
1483927204,1,0
1483930805,1,0
1484017204,0,1
1484020806,0,1
1484121605,0,1
1484143205,0,1
1484150404,1,0
1484157605,0,1
1484182805,0,1
1484204405,0,1
1484215205,1,1
1484222405,0,1
1484226004,1,1
1484229605,0,1
1484233205,1,0
1484240405,0,1
1484305205,0,1
1484312405,1,0
1484319606,1,0
1484330407,1,0
1484344805,2,0
1484380805,0,1
1484391605,2,0
1484398806,0,3
1484402406,0,1
1484406005,0,1
1484499605,1,0
1484539204,0,2
1484571605,1,0
1484589605,0,1
1484593205,1,0
1484611205,0,1
1484632805,0,3
1484636404,1,1
1484647204,0,1
1484686804,1,0
1484704805,1,0
1484733605,1,0
1484751605,4,0
1484755205,1,0
1484766005,0,1
1484773205,0,1
1484802005,0,4
1484805605,1,1
1484809204,0,4
1484812804,1,1
1484816405,0,1
1484820005,1,0
1484834405,1,0
1484845205,0,1
1484848804,1,0
1484881205,2,0
1484938805,1,0
1484956804,0,1
1484989205,0,1
1484996406,2,0
1485021605,0,1
1485036005,1,0
1485043207,1,0
1485050407,0,1
1485079206,1,0
1485100806,0,2
1485118807,1,0
1485198005,0,1
1485216004,1,0
1485230405,1,0
1485244805,1,0
1485248405,0,1
1485284405,1,0
1485288005,1,0
1485298804,0,1
1485313204,0,1
1485324005,1,0
1485349205,0,1
1485356406,0,1
1485360005,1,0
1485363605,1,0
1485367206,0,1
1485370805,1,0
1485385204,0,5
1485403204,0,1
1485439204,1,0
1485489605,0,1
1485493204,0,1
1485586804,1,0
1485604805,0,4
1485615604,0,1
1485619204,2,0
1485626404,4,0
1485640804,0,2
1485644406,1,0
1485723604,0,1
1485799205,0,1
1485820805,0,1
1485828004,2,0
1485849604,0,1
1485878404,1,0
1485921604,1,0
1485925205,0,1
1485961204,0,1
1485979204,0,1
1485982806,1,0
1485986405,1,1
1486004404,0,1
1486076405,1,0
1486080004,1,0
1486094405,0,1
1486159205,0,1
1486177205,0,1
1486180804,1,2
1486184405,0,1
1486227604,1,1
1486234804,0,2
1486249204,0,1
1486263605,1,0
1486278005,0,1
1486324804,0,1
1486332004,0,1
1486335605,1,0
1486396804,2,0
1486400405,5,0
1486404004,1,0
1486411204,3,0
1486414805,2,0
1486418405,2,0
1486422005,1,0
1486425604,2,0
1486429205,1,0
1486436405,1,3
1486440005,0,1
1486450805,1,0
1486483205,0,1
1486486805,1,0
1486497605,0,1
1486526404,0,1
1486569605,1,0
1486666806,1,0
1486677604,0,1
1486695604,0,2
1486699205,1,0
1486706404,2,0
1486717204,1,0
1486742404,1,0
1486753205,1,0
1486760405,1,0
1486764005,1,0
1486785605,0,1
1486814405,1,0
1486857605,2,0
1486861205,0,1
1486904405,1,0
1486908005,0,2
1486911605,0,1
1486944005,1,1
1486951204,0,1
1487001605,0,1
1487041205,0,1
1487063543,1,0
1487077274,1,0
1487116806,1,0
1487239205,1,0
