DateTime,AddedIPs,RemovedIPs
1490530812,131,99
1490534409,151,103
1490538044,140,91
1490541656,124,101
1490545253,116,85
1490548856,136,110
1490552457,139,155
1490556056,134,130
1490559664,145,122
1490563258,124,145
1490566855,117,112
1490570451,134,111
1490574057,112,102
1490577660,97,107
1490581258,115,102
1490584851,102,118
1490588458,88,115
1490592052,106,107
1490595654,99,92
1490599249,97,107
1490602851,102,115
1490606453,107,109
1490610048,110,112
1490613646,106,123
1490617247,112,111
1490620849,120,130
1490624447,93,117
1490628053,177,132
1490631648,146,120
1490635248,115,134
1490638847,122,147
1490642446,118,137
1490646042,128,136
1490649645,119,124
1490653246,104,121
1490656844,113,127
1490660439,88,138
1490664042,80,132
1490667636,101,127
1490671238,102,121
1490674836,85,130
1490678441,82,122
1490682041,98,112
1490685628,87,118
1490689230,99,117
1490692834,94,114
1490696429,99,135
1490700028,104,116
1490703627,111,121
1490707229,106,128
1490710830,102,153
1490714426,98,142
1490718027,126,95
1490721625,84,105
1490725225,102,116
1490728823,92,106
1490732424,98,108
1490736020,93,113
1490739621,84,124
1490743216,104,115
1490746820,105,119
1490750426,80,116
1490754024,82,122
1490757618,94,97
1490761212,74,125
1490764806,79,111
1490768411,90,114
1490772002,86,117
1490775601,106,121
1490779199,82,108
1490782798,99,116
1490786392,83,112
1490789990,59,101
1490793589,80,108
1490797189,85,131
1490800787,63,116
1490804390,62,111
1490807978,71,140
1490811572,63,130
1490815172,71,119
1490818769,66,127
1490822362,56,116
1490825954,85,121
1490829554,95,119
1490833156,129,124
1490836755,88,116
1490840354,102,123
1490843949,87,109
1490847547,79,91
1490851148,95,115
1490854748,95,113
1490858343,102,132
1490861951,88,89
1490865543,83,105
1490869146,81,126
1490872739,96,111
1490876341,81,104
1490880002,86,133
1490883542,114,132
1490887140,127,111
1490890748,133,124
1490894353,99,114
1490897954,112,133
1490901550,107,113
1490905142,93,207
1490908731,118,239
1490912316,102,222
1490915908,94,254
1490919509,106,108
1490923109,97,94
1490926706,72,95
1490930331,80,98
1490933897,85,94
1490937496,101,84
1490941096,71,92
1490944727,122,104
1490948310,97,97
1490951895,94,91
1490955498,85,113
1490959113,91,107
1490962711,116,104
1490966299,98,115
1490969896,100,112
1490973506,88,109
1490977115,107,102
1490980700,110,107
1490984291,87,139
1490987896,84,125
1490991506,69,92
1490995099,87,106
1490998685,72,120
1491002280,88,106
1491005890,88,102
1491009488,60,113
1491013081,94,104
1491016679,73,135
1491020279,74,101
1491023886,85,91
1491027475,89,94
1491031073,77,101
1491034668,82,116
1491038279,105,116
1491041874,78,121
1491045467,86,99
1491049069,89,102
1491052673,91,101
1491056275,85,100
1491059900,94,108
1491063458,68,108
1491067058,86,134
1491070654,78,142
1491074277,74,140
1491077860,67,113
1491081448,76,112
1491085045,80,110
1491088716,62,99
1491092262,66,100
1491095845,79,111
1491099439,64,112
1491103047,72,121
1491106654,52,147
1491110236,62,147
1491113826,43,116
1491117424,68,144
1491121033,59,145
1491124627,62,132
1491128213,55,122
1491131808,81,130
1491135415,58,126
1491139010,61,150
1491142598,85,141
1491146195,63,130
1491149797,74,126
1491153399,78,127
1491156990,69,152
1491160583,77,134
1491164178,78,141
1491167784,81,134
1491171381,66,118
1491174971,71,147
1491178566,63,107
1491182169,66,102
1491185772,67,122
1491189362,58,105
1491192956,53,106
1491196559,74,101
1491200161,71,91
1491203756,75,117
1491207352,110,102
1491210951,73,105
1491214557,68,110
1491218153,58,96
1491221753,58,103
1491225358,55,105
