DateTime,Entries,UniqueIPs
1490538044,22749,22749
1490541656,22772,22772
1490545253,22803,22803
1490548856,22829,22829
1490552457,22813,22813
1490556056,22817,22817
1490559664,22840,22840
1490563258,22819,22819
1490566855,22824,22824
1490570451,22847,22847
1490574057,22857,22857
1490577660,22847,22847
1490581258,22860,22860
1490584851,22844,22844
1490588458,22817,22817
1490592052,22816,22816
1490595654,22823,22823
1490599249,22813,22813
1490602851,22800,22800
1490606453,22798,22798
1490610048,22796,22796
1490613646,22779,22779
1490617247,22780,22780
1490620849,22770,22770
1490624447,22746,22746
1490628053,22791,22791
1490631648,22817,22817
1490635248,22798,22798
1490638847,22773,22773
1490642446,22754,22754
1490646042,22746,22746
1490649645,22741,22741
1490653246,22724,22724
1490656844,22710,22710
1490660439,22660,22660
1490664042,22608,22608
1490667636,22582,22582
1490671238,22563,22563
1490674836,22518,22518
1490678441,22478,22478
1490682041,22464,22464
1490685628,22433,22433
1490689230,22415,22415
1490692834,22395,22395
1490696429,22359,22359
1490700028,22347,22347
1490703627,22337,22337
1490707229,22315,22315
1490710830,22264,22264
1490714426,22220,22220
1490718027,22251,22251
1490721625,22230,22230
1490725225,22216,22216
1490728823,22202,22202
1490732424,22192,22192
1490736020,22172,22172
1490739621,22132,22132
1490743216,22121,22121
1490746820,22107,22107
1490750426,22071,22071
1490754024,22031,22031
1490757618,22028,22028
1490761212,21977,21977
1490764806,21945,21945
1490768411,21921,21921
1490772002,21890,21890
1490775601,21875,21875
1490779199,21849,21849
1490782798,21832,21832
1490786392,21803,21803
1490789990,21761,21761
1490793589,21733,21733
1490797189,21687,21687
1490800787,21634,21634
1490804390,21585,21585
1490807978,21516,21516
1490811572,21449,21449
1490815172,21401,21401
1490818769,21340,21340
1490822362,21280,21280
1490825954,21244,21244
1490829554,21220,21220
1490833156,21225,21225
1490836755,21197,21197
1490840354,21176,21176
1490843949,21154,21154
1490847547,21142,21142
1490851148,21122,21122
1490854748,21104,21104
1490858343,21074,21074
1490861951,21073,21073
1490865543,21051,21051
1490869146,21006,21006
1490872739,20991,20991
1490876341,20968,20968
1490880002,20921,20921
1490883542,20903,20903
1490887140,20919,20919
1490890748,20928,20928
1490894353,20913,20913
1490897954,20892,20892
1490901550,20886,20886
1490905142,20772,20772
1490908731,20651,20651
1490912316,20531,20531
1490915908,20371,20371
1490919509,20369,20369
1490923109,20372,20372
1490926706,20349,20349
1490930331,20331,20331
1490933897,20322,20322
1490937496,20339,20339
1490941096,20318,20318
1490944727,20336,20336
1490948310,20336,20336
1490951895,20339,20339
1490955498,20311,20311
1490959113,20295,20295
1490962711,20307,20307
1490966299,20290,20290
1490969896,20278,20278
1490973506,20257,20257
1490977115,20262,20262
1490980700,20265,20265
1490984291,20213,20213
1490987896,20172,20172
1490991506,20149,20149
1490995099,20130,20130
1490998685,20082,20082
1491002280,20064,20064
1491005890,20050,20050
1491009488,19997,19997
1491013081,19987,19987
1491016679,19925,19925
1491020279,19898,19898
1491023886,19892,19892
1491027475,19887,19887
1491031073,19863,19863
1491034668,19829,19829
1491038279,19818,19818
1491041874,19775,19775
1491045467,19762,19762
1491049069,19749,19749
1491052673,19739,19739
1491056275,19724,19724
1491059900,19710,19710
1491063458,19670,19670
1491067058,19622,19622
1491070654,19558,19558
1491074277,19492,19492
1491077860,19446,19446
1491081448,19410,19410
1491085045,19380,19380
1491088716,19343,19343
1491092262,19309,19309
1491095845,19277,19277
1491099439,19229,19229
1491103047,19180,19180
1491106654,19085,19085
1491110236,19000,19000
1491113826,18927,18927
1491117424,18851,18851
1491121033,18765,18765
1491124627,18695,18695
1491128213,18628,18628
1491131808,18579,18579
1491135415,18511,18511
1491139010,18422,18422
1491142598,18366,18366
1491146195,18299,18299
1491149797,18247,18247
1491153399,18198,18198
1491156990,18115,18115
1491160583,18058,18058
1491164178,17995,17995
1491167784,17942,17942
1491171381,17890,17890
1491174971,17814,17814
1491178566,17770,17770
1491182169,17734,17734
1491185772,17679,17679
1491189362,17632,17632
1491192956,17579,17579
1491196559,17552,17552
1491200161,17532,17532
1491203756,17490,17490
1491207352,17498,17498
1491210951,17466,17466
1491214557,17424,17424
1491218153,17386,17386
1491221753,17341,17341
1491225358,17291,17291
1491228962,17252,17252
1491232543,17184,17184
1491236142,17136,17136
1491239737,17124,17124
1491243342,17080,17080
1491246941,17043,17043
1491254154,16916,16916
1491257717,16884,16884
1491261312,16851,16851
1491264913,16795,16795
1491268533,16805,16805
1491272122,16785,16785
1491275709,16756,16756
1491279307,16724,16724
1491282918,16699,16699
1491286519,16642,16642
1491290103,16601,16601
1491293701,16551,16551
1491297305,16520,16520
1491300912,16498,16498
1491304503,16464,16464
1491308098,16463,16463
1491311699,16455,16455
1491315315,16458,16458
1491318904,16428,16428
1491322498,16409,16409
1491326093,16394,16394
1491329704,16381,16381
1491333304,16412,16412
1491336896,16395,16395
1491340498,16377,16377
1491344096,16350,16350
1491347697,16296,16296
1491351291,16259,16259
1491354888,16237,16237
1491358484,16190,16190
1491362090,16158,16158
1491365687,16167,16167
1491369280,16133,16133
1491372881,16131,16131
1491376483,16113,16113
1491380083,16064,16064
1491383678,16045,16045
1491387273,16001,16001
1491390875,15970,15970
1491394478,15944,15944
1491398076,15937,15937
1491401674,15946,15946
1491405277,15962,15962
1491408878,15972,15972
1491412480,15988,15988
1491416086,16016,16016
1491419680,16030,16030
1491423284,16016,16016
1491426894,16047,16047
1491430488,16037,16037
1491434079,16047,16047
1491437681,16037,16037
1491441282,16030,16030
1491444887,16015,16015
1491448477,16021,16021
1491452080,16051,16051
1491455690,16073,16073
1491459285,16081,16081
1491462880,16079,16079
1491466480,16093,16093
1491470086,16116,16116
1491473684,16131,16131
1491477283,16145,16145
1491480883,16178,16178
1491484485,16172,16172
1491488094,16208,16208
1491491692,16238,16238
1491495292,16239,16239
1491498890,16273,16273
1491502495,16289,16289
1491506094,16293,16293
1491509693,16295,16295
1491513293,16313,16313
1491516892,16290,16290
1491520493,16273,16273
1491524092,16277,16277
1491527691,16286,16286
1491531295,16301,16301
1491534895,16321,16321
1491538494,16322,16322
1491545715,16358,16358
1491549287,16333,16333
1491552899,16331,16331
1491556485,16330,16330
1491560109,16347,16347
1491563694,16369,16369
1491567290,16411,16411
1491570895,16471,16471
1491574511,16503,16503
1491578113,16536,16536
1491581703,16568,16568
1491585299,16585,16585
1491588940,16615,16615
1491592505,16655,16655
1491596105,16672,16672
1491599740,16716,16716
1491603309,16762,16762
1491606909,16798,16798
1491610510,16835,16835
