DateTime,AddedIPs,RemovedIPs
1490519927,112,103
1490523531,112,92
1490527132,110,93
1490530735,122,92
1490534331,137,93
1490537940,124,83
1490541536,115,93
1490545130,114,77
1490548734,120,103
1490552336,126,136
1490555939,113,99
1490559546,140,108
1490563151,110,115
1490566748,103,100
1490570349,124,85
1490573947,101,93
1490577546,90,99
1490581144,108,85
1490584744,90,106
1490588341,86,99
1490591943,93,89
1490595543,92,79
1490599139,86,102
1490602737,89,96
1490606341,94,95
1490609940,102,99
1490613540,97,115
1490617143,103,102
1490620749,109,122
1490624343,86,106
1490627949,139,109
1490631552,122,104
1490635167,100,122
1490638772,105,130
1490642378,114,126
1490645963,107,118
1490649562,102,121
1490653159,88,117
1490656757,98,123
1490660351,76,124
1490663953,71,121
1490667542,91,113
1490671140,98,113
1490674731,70,124
1490678327,69,102
1490681926,79,102
1490685530,81,100
1490689124,88,107
1490692724,87,100
1490696326,90,113
1490699922,91,113
1490703523,99,113
1490707129,102,109
1490710725,88,143
1490714325,89,124
1490717938,110,91
1490721532,76,97
1490725127,97,104
1490728731,79,94
1490732337,89,99
1490735934,79,112
1490739529,70,110
1490743125,88,100
1490746719,96,101
1490750317,73,110
1490753913,77,99
1490757512,76,83
1490761113,72,116
1490764708,71,104
1490768302,85,96
1490771903,84,99
1490775506,102,115
1490779099,75,97
1490782706,91,98
1490786302,81,111
1490789900,55,91
1490793495,66,102
1490797094,71,120
1490800694,50,93
1490804294,46,108
1490807900,56,103
1490811495,54,113
1490815095,52,107
1490818692,49,112
1490822282,50,109
1490825881,73,113
1490829477,91,104
1490833081,116,98
1490836677,71,94
1490840269,88,112
1490843870,84,99
1490847465,72,80
1490851072,83,106
1490854671,91,103
1490858270,88,115
1490861876,82,84
1490865479,77,97
1490869080,75,107
1490872672,93,102
1490876281,77,101
1490879863,82,118
1490883461,99,124
1490887059,111,96
1490890687,118,100
1490894286,93,103
1490897887,108,109
1490901485,98,101
1490905080,89,182
1490908659,94,228
1490912255,87,198
1490915854,80,234
1490919449,92,101
1490923049,89,90
1490926648,71,85
1490930264,69,87
1490933840,77,90
1490937441,92,80
1490941042,66,83
1490944674,97,93
1490948253,77,91
1490951859,78,85
1490955445,79,100
1490959060,86,86
1490962651,102,91
1490966240,91,102
1490969840,75,102
1490973448,85,102
1490977056,86,95
1490980652,94,97
1490984242,76,130
1490987844,69,104
1490991468,64,85
1490995054,80,98
1490998643,56,101
1491002240,82,89
1491005851,77,94
1491009449,57,105
1491013037,81,99
1491016633,66,107
1491020238,70,94
1491023846,73,79
1491027436,84,83
1491031032,69,87
1491034646,66,104
1491038234,88,110
1491041834,70,101
1491045430,76,87
1491049030,83,84
1491052628,76,85
1491056240,79,90
1491059853,66,97
1491063424,53,83
1491067027,67,126
1491070623,60,130
1491074251,56,129
1491077825,55,104
1491081418,68,103
1491085020,71,99
1491088696,52,93
1491092225,54,92
1491095812,61,102
1491099406,53,101
1491103005,55,113
1491106607,42,137
1491110194,44,131
1491113798,38,109
1491117393,58,136
1491120997,51,137
1491124594,54,116
1491128178,48,107
1491131774,69,122
1491135371,52,121
1491138959,51,137
1491142557,74,118
1491146150,55,122
1491149759,61,120
1491153364,69,116
1491156950,65,138
1491160555,60,118
1491164150,58,136
1491167744,66,112
1491171344,65,100
1491174938,64,128
1491178532,56,98
1491182136,55,91
1491185726,57,112
1491189331,56,96
1491192925,46,102
1491196534,55,90
1491200137,63,84
1491203731,66,101
1491207330,90,90
1491210924,60,95
1491214524,46,100
1491218126,43,86
1491221720,46,92
1491225328,47,98
1491228934,65,103
1491232526,54,113
1491236114,52,96
1491239714,64,89
1491243309,69,110
1491246913,66,116
1491254101,101,213
1491257670,56,85
1491261265,57,105
1491264860,42,95
1491268483,68,84
1491272061,55,85
1491275660,56,91
1491279255,46,68
1491282868,50,77
1491286472,39,91
1491290049,48,89
1491293655,48,91
1491297258,45,82
1491300866,62,84
1491304455,75,98
1491308056,89,87
1491311656,71,89
1491315266,77,91
1491318857,55,94
1491322450,74,93
1491326047,61,84
1491329649,69,93
1491333250,95,72
1491336840,58,80
1491340437,73,83
1491344039,60,86
1491347639,51,91
1491351237,63,100
1491354836,52,77
1491358433,39,93
1491362042,53,82
1491365643,72,73
