DateTime,Entries,UniqueIPs
1490537940,20181,20181
1490541536,20203,20203
1490545130,20240,20240
1490548734,20257,20257
1490552336,20247,20247
1490555939,20261,20261
1490559546,20293,20293
1490563151,20288,20288
1490566748,20291,20291
1490570349,20330,20330
1490573947,20338,20338
1490577546,20329,20329
1490581144,20352,20352
1490584744,20336,20336
1490588341,20323,20323
1490591943,20327,20327
1490595543,20340,20340
1490599139,20324,20324
1490602737,20317,20317
1490606341,20316,20316
1490609940,20319,20319
1490613540,20301,20301
1490617143,20302,20302
1490620749,20289,20289
1490624343,20269,20269
1490627949,20299,20299
1490631552,20317,20317
1490635167,20295,20295
1490638772,20270,20270
1490642378,20258,20258
1490645963,20247,20247
1490649562,20228,20228
1490653159,20199,20199
1490656757,20174,20174
1490660351,20126,20126
1490663953,20076,20076
1490667542,20054,20054
1490671140,20039,20039
1490674731,19985,19985
1490678327,19952,19952
1490681926,19929,19929
1490685530,19910,19910
1490689124,19891,19891
1490692724,19878,19878
1490696326,19855,19855
1490699922,19833,19833
1490703523,19819,19819
1490707129,19812,19812
1490710725,19757,19757
1490714325,19722,19722
1490717938,19741,19741
1490721532,19720,19720
1490725127,19713,19713
1490728731,19698,19698
1490732337,19688,19688
1490735934,19655,19655
1490739529,19615,19615
1490743125,19603,19603
1490746719,19598,19598
1490750317,19561,19561
1490753913,19539,19539
1490757512,19532,19532
1490761113,19488,19488
1490764708,19455,19455
1490768302,19444,19444
1490771903,19429,19429
1490775506,19416,19416
1490779099,19394,19394
1490782706,19387,19387
1490786302,19357,19357
1490789900,19321,19321
1490793495,19285,19285
1490797094,19236,19236
1490800694,19193,19193
1490804294,19131,19131
1490807900,19084,19084
1490811495,19025,19025
1490815095,18970,18970
1490818692,18907,18907
1490822282,18848,18848
1490825881,18808,18808
1490829477,18795,18795
1490833081,18813,18813
1490836677,18790,18790
1490840269,18766,18766
1490843870,18751,18751
1490847465,18743,18743
1490851072,18720,18720
1490854671,18708,18708
1490858270,18681,18681
1490861876,18679,18679
1490865479,18659,18659
1490869080,18627,18627
1490872672,18618,18618
1490876281,18594,18594
1490879863,18558,18558
1490883461,18533,18533
1490887059,18548,18548
1490890687,18566,18566
1490894286,18556,18556
1490897887,18555,18555
1490901485,18552,18552
1490905080,18459,18459
1490908659,18325,18325
1490912255,18214,18214
1490915854,18060,18060
1490919449,18051,18051
1490923049,18050,18050
1490926648,18036,18036
1490930264,18018,18018
1490933840,18005,18005
1490937441,18017,18017
1490941042,18000,18000
1490944674,18004,18004
1490948253,17990,17990
1490951859,17983,17983
1490955445,17962,17962
1490959060,17962,17962
1490962651,17973,17973
1490966240,17962,17962
1490969840,17935,17935
1490973448,17918,17918
1490977056,17909,17909
1490980652,17906,17906
1490984242,17852,17852
1490987844,17817,17817
1490991468,17796,17796
1490995054,17778,17778
1490998643,17733,17733
1491002240,17726,17726
1491005851,17709,17709
1491009449,17661,17661
1491013037,17643,17643
1491016633,17602,17602
1491020238,17578,17578
1491023846,17572,17572
1491027436,17573,17573
1491031032,17555,17555
1491034646,17517,17517
1491038234,17495,17495
1491041834,17464,17464
1491045430,17453,17453
1491049030,17452,17452
1491052628,17443,17443
1491056240,17432,17432
1491059853,17401,17401
1491063424,17371,17371
1491067027,17312,17312
1491070623,17242,17242
1491074251,17169,17169
1491077825,17120,17120
1491081418,17085,17085
1491085020,17057,17057
1491088696,17016,17016
1491092225,16978,16978
1491095812,16937,16937
1491099406,16889,16889
1491103005,16831,16831
1491106607,16736,16736
1491110194,16649,16649
1491113798,16578,16578
1491117393,16500,16500
1491120997,16414,16414
1491124594,16352,16352
1491128178,16293,16293
1491131774,16240,16240
1491135371,16171,16171
1491138959,16085,16085
1491142557,16041,16041
1491146150,15974,15974
1491149759,15915,15915
1491153364,15868,15868
1491156950,15795,15795
1491160555,15737,15737
1491164150,15659,15659
1491167744,15613,15613
1491171344,15578,15578
1491174938,15514,15514
1491178532,15472,15472
1491182136,15436,15436
1491185726,15381,15381
1491189331,15341,15341
1491192925,15285,15285
1491196534,15250,15250
1491200137,15229,15229
1491203731,15194,15194
1491207330,15194,15194
1491210924,15159,15159
1491214524,15105,15105
1491218126,15062,15062
1491221720,15016,15016
1491225328,14965,14965
1491228934,14927,14927
1491232526,14868,14868
