DateTime,Entries,UniqueIPs
1491343270,1353,1353
1491346869,1352,1352
1491350470,1357,1357
1491354070,1356,1356
1491357669,1365,1365
1491361270,1369,1369
1491364872,1373,1373
1491368472,1380,1380
1491372071,1385,1385
1491375672,1391,1391
1491379272,1396,1396
1491382874,1405,1405
1491386473,1416,1416
1491390074,1424,1424
1491393676,1452,1452
1491397276,1472,1472
1491400878,1483,1483
1491404477,1503,1503
1491408080,1543,1543
1491411681,1557,1557
1491415282,1567,1567
1491418882,1576,1576
1491422483,1582,1582
1491426085,1589,1589
1491429684,1601,1601
1491433285,1603,1603
1491436884,1607,1607
1491440485,1609,1609
1491444083,1613,1613
1491447684,1619,1619
1491451284,1622,1622
1491454884,1625,1625
1491458485,1629,1629
1491462085,1629,1629
1491465685,1633,1633
1491469285,1638,1638
1491472887,1649,1649
1491476486,1653,1653
1491480089,1659,1659
1491483686,1662,1662
1491487286,1664,1664
1491490886,1681,1681
1491494488,1693,1693
1491498088,1704,1704
1491501688,1714,1714
1491505288,1719,1719
1491508889,1721,1721
1491512490,1722,1722
1491516089,1725,1725
1491519689,1727,1727
1491523289,1730,1730
1491526889,1731,1731
1491530490,1734,1734
1491534090,1733,1733
1491537689,1733,1733
1491541290,1734,1734
1491544895,1736,1736
1491548489,1741,1741
1491552090,1740,1740
1491555689,1743,1743
1491559291,1746,1746
1491562891,1751,1751
1491566489,1757,1757
1491570090,1762,1762
1491573692,1765,1765
1491577292,1774,1774
1491580891,1766,1766
1491584490,1772,1772
1491588097,1773,1773
1491591691,1776,1776
1491595290,1780,1780
1491598898,1780,1780
1491602490,1776,1776
1491606091,1775,1775
1491609690,1774,1774
1491613292,1769,1769
1491616893,1767,1767
1491620490,1768,1768
1491624090,1765,1765
1491627691,1768,1768
1491631296,1770,1770
1491634896,1770,1770
1491638491,1769,1769
1491642092,1766,1766
1491645693,1757,1757
1491649291,1753,1753
1491652895,1750,1750
1491656490,1751,1751
1491660091,1747,1747
1491663692,1747,1747
1491667292,1750,1750
1491670889,1741,1741
1491674490,1737,1737
1491678090,1737,1737
1491681691,1735,1735
1491685291,1733,1733
1491688891,1732,1732
1491692490,1717,1717
1491696090,1715,1715
1491699689,1711,1711
1491703289,1708,1708
1491706889,1707,1707
1491710488,1705,1705
1491714088,1697,1697
1491717689,1693,1693
1491721289,1683,1683
1491724889,1677,1677
1491728489,1676,1676
1491732089,1672,1672
1491735692,1671,1671
1491739288,1672,1672
1491742888,1664,1664
1491746490,1658,1658
1491750091,1640,1640
1491753686,1627,1627
1491757285,1610,1610
1491760887,1592,1592
1491764485,1579,1579
1491768083,1553,1553
1491771683,1542,1542
1491775283,1540,1540
1491778883,1533,1533
1491782481,1524,1524
1491786081,1518,1518
1491789681,1514,1514
1491793280,1501,1501
1491796881,1499,1499
1491800480,1495,1495
1491804080,1493,1493
1491807679,1477,1477
1491811280,1470,1470
1491814879,1468,1468
1491818478,1463,1463
1491822078,1451,1451
1491825677,1436,1436
1491829275,1426,1426
1491832874,1423,1423
1491836474,1417,1417
1491840075,1413,1413
1491843675,1414,1414
1491847275,1412,1412
1491850875,1404,1404
1491854475,1407,1407
1491858074,1393,1393
1491861674,1394,1394
1491865275,1396,1396
1491868874,1394,1394
1491872473,1393,1393
1491876073,1383,1383
1491879673,1381,1381
1491883272,1375,1375
1491886872,1375,1375
1491890472,1367,1367
1491894072,1366,1366
1491897672,1356,1356
1491901272,1363,1363
1491904872,1357,1357
1491908472,1359,1359
1491912072,1359,1359
1491915672,1356,1356
1491919271,1350,1350
1491922872,1345,1345
1491926471,1337,1337
1491930071,1340,1340
1491933671,1330,1330
1491937271,1324,1324
1491940871,1321,1321
1491944473,1322,1322
1491948069,1317,1317
1491951669,1313,1313
1491955268,1307,1307
1491958868,1304,1304
1491962468,1298,1298
1491966068,1295,1295
1491969667,1292,1292
1491973268,1290,1290
1491976868,1289,1289
1491980468,1283,1283
1491984067,1281,1281
1491987668,1271,1271
1491991266,1269,1269
1491994866,1265,1265
1491998467,1258,1258
1492002066,1247,1247
1492005666,1233,1233
1492009264,1201,1201
1492012867,1186,1186
1492016462,1144,1144
1492020061,1133,1133
1492023662,1123,1123
1492027261,1119,1119
1492030862,1118,1118
1492034461,1117,1117
1492038060,1117,1117
1492041660,1112,1112
1492045263,1111,1111
1492048861,1112,1112
1492052460,1108,1108
1492056061,1107,1107
1492059660,1105,1105
1492063262,1100,1100
1492066860,1097,1097
1492070460,1092,1092
1492074062,1088,1088
1492077662,1079,1079
1492081262,1073,1073
1492084861,1067,1067
1492088459,1063,1063
1492092059,1057,1057
1492095659,1054,1054
1492099262,1043,1043
1492102860,1032,1032
1492106458,1023,1023
1492110057,1019,1019
1492113657,1021,1021
1492117260,1018,1018
1492120859,1018,1018
1492124456,1019,1019
1492128058,1012,1012
1492131660,1009,1009
1492135261,1006,1006
1492138859,1006,1006
1492142457,1003,1003
1492146055,1003,1003
1492149658,1003,1003
1492153260,1004,1004
1492156857,1004,1004
1492160461,1005,1005
1492164053,1003,1003
1492167659,996,996
1492171254,996,996
1492174858,991,991
1492178454,990,990
1492182054,983,983
1492185655,977,977
1492189259,974,974
1492192853,971,971
1492196456,968,968
1492200054,964,964
1492203653,959,959
1492207252,960,960
1492210860,953,953
1492214455,952,952
1492218053,934,934
1492221653,935,935
1492225253,932,932
1492228862,943,943
1492232453,947,947
1492236059,947,947
1492239658,947,947
1492243253,940,940
1492246854,949,949
1492250454,945,945
1492254054,942,942
1492257653,942,942
1492261260,937,937
1492264854,935,935
1492268459,929,929
1492272053,923,923
1492275654,917,917
1492279252,919,919
1492282853,914,914
1492286459,912,912
1492290052,912,912
1492293652,902,902
1492297251,903,903
1492300851,903,903
1492304452,901,901
1492308052,899,899
1492311650,895,895
1492315252,899,899
1492318852,897,897
