DateTime,AddedIPs,RemovedIPs
1490586963,92,93
1490590805,73,75
1490592723,74,53
1490596803,52,54
1490600643,60,36
1490604482,55,58
1490610243,41,44
1490612164,57,46
1490616007,49,56
1490617922,30,1568
1490619843,1534,0
1490621780,54,48
1490625602,55,56
1490631362,60,49
1490633282,67,54
1490639043,69,55
1490640963,62,61
1490644806,45,58
1490646722,14,6076
1490648642,6041,0
1490650578,51,68
1490654409,44,93
1490660162,81,50
1490662082,41,57
1490665930,58,54
1490669763,81,102
1490673606,105,111
1490675522,67,108
1490679602,82,51
1490685362,95,52
1490687282,56,45
1490691123,58,49
1490694963,46,40
1490698805,39,50
1490700722,42,924
1490702884,881,0
1490704809,52,42
1490708643,47,45
1490712483,59,51
1490716329,55,51
1490720162,68,61
1490724007,63,51
1490725922,56,53
1490728082,53,56
1490730003,93,90
1490734323,60,71
1490738163,54,75
1490742005,40,80
1490743922,82,62
1490747764,54,65
1490753525,60,53
1490757364,81,97
1490759283,90,89
1490763122,71,80
1490766962,83,57
1490770805,60,48
1490774882,63,55
1490776809,57,47
1490780646,41,46
1490784484,52,43
1490788331,45,45
1490792165,47,43
1490797922,85,71
1490802243,44,34
1490806083,60,94
1490809938,94,60
1490811844,96,91
1490813763,62,44
1490817607,47,57
1490819523,51,70
1490823364,47,75
1490829122,55,66
1490831044,68,61
1490832962,46,59
1490838740,59,64
1490842564,80,92
1490848322,151,167
1490852403,78,47
1490856244,57,49
1490860082,48,44
1490863923,41,39
1490867762,44,49
1490871605,41,42
1490873764,57,37
1490877609,40,35
1490883364,47,41
1490885282,49,40
1490889362,64,45
1490895138,89,94
1490899212,67,57
1490903042,60,61
1490907122,67,70
1490910963,52,87
1490912882,48,66
1490916722,71,58
1490920806,44,49
1490924642,65,76
1490930402,80,94
1490932329,107,105
1490936162,83,86
1490940007,75,60
1490941922,52,41
1490944082,41,40
1490949843,49,40
1490953682,40,49
1490955603,49,40
1490957523,79,74
1490963282,56,35
1490965205,49,61
1490967122,57,51
1490970962,51,53
1490974803,55,49
1490978883,57,61
1490982737,56,50
1490986563,49,62
1490990406,66,50
1490992323,66,80
1490994482,49,64
1491000243,52,74
1491006002,98,73
1491007923,58,75
1491011763,96,75
1491015604,82,103
1491017522,101,104
1491021363,68,83
1491025204,83,54
1491029043,53,43
1491032883,56,62
1491036723,73,37
1491040564,47,56
1491044404,58,48
1491046322,59,63
1491050408,63,44
1491054243,55,54
1491058322,66,40
1491064085,40,52
1491066005,55,53
1491067924,52,51
1491072014,61,56
1491075842,68,66
1491079682,69,66
1491083763,42,61
1491087605,52,71
1491089523,90,60
1491091443,39,70
1491097204,60,80
1491101053,79,90
1491104882,102,107
1491108783,64,67
1491112563,67,59
1491116643,52,45
1491118562,67,50
