DateTime,Entries,UniqueIPs
1490579282,7020,7020
1490583123,7004,7004
1490586963,7003,7003
1490590805,7001,7001
1490592723,7022,7022
1490596803,7020,7020
1490600643,7044,7044
1490604482,7041,7041
1490610243,7038,7038
1490612164,7049,7049
1490616007,7042,7042
1490617922,5504,5504
1490619843,7038,7038
1490621780,7044,7044
1490625602,7043,7043
1490631362,7054,7054
1490633282,7067,7067
1490639043,7081,7081
1490640963,7082,7082
1490644806,7069,7069
1490646722,1007,1007
1490648642,7048,7048
1490650578,7031,7031
1490654409,6982,6982
1490660162,7013,7013
1490662082,6997,6997
1490665930,7001,7001
1490669763,6980,6980
1490673606,6974,6974
1490675522,6933,6933
1490679602,6964,6964
1490685362,7007,7007
1490687282,7018,7018
1490691123,7027,7027
1490694963,7033,7033
1490698805,7022,7022
1490700722,6140,6140
1490702884,7021,7021
1490704809,7031,7031
1490708643,7033,7033
1490712483,7041,7041
1490716329,7045,7045
1490720162,7052,7052
1490724007,7064,7064
1490725922,7067,7067
1490728082,7064,7064
1490730003,7067,7067
1490734323,7056,7056
1490738163,7035,7035
1490742005,6995,6995
1490743922,7015,7015
1490747764,7004,7004
1490753525,7011,7011
1490757364,6995,6995
1490759283,6996,6996
1490763122,6987,6987
1490766962,7013,7013
1490770805,7025,7025
1490774882,7033,7033
1490776809,7043,7043
1490780646,7038,7038
1490784484,7047,7047
1490788331,7047,7047
1490792165,7051,7051
1490797922,7065,7065
1490802243,7075,7075
1490806083,7041,7041
1490809938,7075,7075
1490811844,7080,7080
1490813763,7098,7098
1490817607,7088,7088
1490819523,7069,7069
1490823364,7041,7041
1490829122,7030,7030
1490831044,7037,7037
1490832962,7024,7024
1490838740,7019,7019
1490842564,7007,7007
1490848322,6991,6991
1490852403,7022,7022
1490856244,7030,7030
1490860082,7034,7034
1490863923,7036,7036
1490867762,7031,7031
1490871605,7030,7030
1490873764,7050,7050
1490877609,7055,7055
1490883364,7061,7061
1490885282,7070,7070
1490889362,7089,7089
1490895138,7084,7084
1490899212,7094,7094
1490903042,7093,7093
1490907122,7090,7090
1490910963,7055,7055
1490912882,7037,7037
1490916722,7050,7050
1490920806,7045,7045
1490924642,7034,7034
1490930402,7020,7020
1490932329,7022,7022
1490936162,7019,7019
1490940007,7034,7034
1490941922,7045,7045
1490944082,7046,7046
1490949843,7055,7055
1490953682,7046,7046
1490955603,7055,7055
1490957523,7060,7060
1490963282,7081,7081
1490965205,7069,7069
1490967122,7075,7075
1490970962,7073,7073
1490974803,7079,7079
1490978883,7075,7075
1490982737,7081,7081
1490986563,7068,7068
1490990406,7084,7084
1490992323,7070,7070
1490994482,7055,7055
1491000243,7033,7033
1491006002,7058,7058
1491007923,7041,7041
1491011763,7062,7062
1491015604,7041,7041
1491017522,7038,7038
1491021363,7023,7023
1491025204,7052,7052
1491029043,7062,7062
1491032883,7056,7056
1491036723,7092,7092
1491040564,7083,7083
1491044404,7093,7093
1491046322,7089,7089
1491050408,7108,7108
1491054243,7109,7109
1491058322,7135,7135
1491064085,7123,7123
1491066005,7125,7125
1491067924,7126,7126
1491072014,7131,7131
1491075842,7133,7133
1491079682,7136,7136
1491083763,7117,7117
1491087605,7098,7098
1491089523,7128,7128
1491091443,7097,7097
1491097204,7077,7077
1491101053,7066,7066
1491104882,7061,7061
1491108783,7058,7058
1491112563,7066,7066
1491116643,7073,7073
1491118562,7090,7090
1491122403,7111,7111
1491126243,7106,7106
1491130322,7127,7127
1491134163,7148,7148
1491138005,7155,7155
1491139923,7147,7147
1491143766,7154,7154
1491147604,7156,7156
1491151443,7150,7150
1491155282,7155,7155
1491159123,7161,7161
1491162964,7144,7144
1491166805,7135,7135
1491168722,7112,7112
1491172562,7070,7070
1491176404,7068,7068
1491180257,7042,7042
1491184083,7046,7046
1491187922,7035,7035
1491191763,7018,7018
1491195605,7026,7026
1491197527,7051,7051
1491201603,7061,7061
1491205442,7059,7059
1491209283,7056,7056
1491211202,7061,7061
1491213122,7061,7061
1491217205,7075,7075
1491219132,7078,7078
1491223204,7087,7087
1491227043,7097,7097
1491231126,7111,7111
1491234964,7141,7141
1491240967,7168,7168
1491244802,7177,7177
1491248643,7192,7192
1491252482,7205,7205
1491256322,7166,7166
1491260163,7142,7142
1491264007,7148,7148
1491265923,7126,7126
1491270004,7115,7115
1491273842,7103,7103
1491277683,7095,7095
1491281536,7098,7098
1491285364,7131,7131
1491289206,7134,7134
1491291122,7136,7136
1491294968,7138,7138
1491298804,7162,7162
1491302643,7171,7171
1491306482,7182,7182
1491310337,7178,7178
1491314164,7185,7185
1491316324,7197,7197
1491320162,7197,7197
1491324004,7200,7200
1491327842,7207,7207
1491331683,7206,7206
1491337458,7197,7197
1491340584,7185,7185
1491342495,7154,7154
1491347310,7132,7132
1491349443,7135,7135
1491353523,7106,7106
1491357363,7135,7135
1491359283,7100,7100
1491361206,7089,7089
1491363129,7098,7098
1491365044,7091,7091
1491372723,7109,7109
1491374643,7105,7105
1491378483,7135,7135
1491382563,7124,7124
1491386405,7139,7139
1491388324,7142,7142
1491392404,7145,7145
1491396242,7152,7152
1491400082,7142,7142
1491403923,7153,7153
1491407763,7171,7171
1491411610,7165,7165
1491413523,7174,7174
1491417362,7184,7184
1491423123,7174,7174
1491425042,7177,7177
1491428882,7148,7148
1491430803,7112,7112
1491436563,7113,7113
1491440406,7101,7101
1491442322,7113,7113
1491444243,7102,7102
1491446163,7090,7090
1491450004,7077,7077
1491453843,7090,7090
1491455762,7074,7074
1491457683,7106,7106
1491461522,7107,7107
1491465364,7119,7119
1491469206,7107,7107
1491471123,7115,7115
1491474963,7109,7109
1491478805,7119,7119
1491482643,7137,7137
1491486484,7143,7143
1491488403,7115,7115
1491490323,7145,7145
1491494165,7132,7132
1491498008,7157,7157
1491499923,7153,7153
1491503762,7166,7166
1491507604,7164,7164
1491511443,7157,7157
1491515282,7131,7131
1491517203,7116,7116
1491522963,7109,7109
1491526809,7084,7084
1491530643,7091,7091
1491532564,7072,7072
1491536405,7073,7073
1491540243,7069,7069
1491544084,7095,7095
1491547924,7116,7116
1491551764,7095,7095
1491553685,7122,7122
1491557522,7120,7120
1491559685,7123,7123
1491561603,7137,7137
1491565442,7134,7134
1491569283,7134,7134
1491573127,7129,7129
1491576963,7135,7135
1491580805,7161,7161
1491582723,7164,7164
1491586568,7154,7154
1491590405,7154,7154
1491594244,7161,7161
1491598083,7157,7157
1491601927,7119,7119
1491605774,7095,7095
1491609614,7109,7109
1491611532,7089,7089
1491615614,7082,7082
1491619453,7076,7076
1491623292,7063,7063
1491627133,7067,7067
1491630963,7074,7074
1491634804,7100,7100
1491636743,7119,7119
1491640803,7123,7123
1491642723,7142,7142
1491648482,7159,7159
1491652322,7159,7159
1491656174,7156,7156
1491660006,7171,7171
1491661923,7157,7157
1491665763,7159,7159
1491667682,7162,7162
1491673443,7153,7153
1491677283,7160,7160
1491681122,7175,7175
1491684974,7173,7173
1491687123,7156,7156
1491690962,7124,7124
1491694804,7148,7148
1491698642,7132,7132
1491702723,7126,7126
1491706564,7109,7109
1491710405,7113,7113
1491712322,7100,7100
1491716643,7124,7124
1491720482,7126,7126
1491724323,7136,7136
1491728173,7152,7152
1491730324,7159,7159
1491734162,7148,7148
1491738003,7161,7161
1491741843,7159,7159
1491745682,7160,7160
1491749522,7172,7172
1491755284,7171,7171
1491757205,7186,7186
1491759122,7191,7191
1491762962,7170,7170
1491766803,7160,7160
1491770642,7148,7148
1491774483,7138,7138
1491778323,7085,7085
1491782164,7102,7102
1491786004,7089,7089
1491787923,7095,7095
1491791763,7077,7077
1491795604,7076,7076
1491799443,7067,7067
1491803302,7086,7086
1491807123,7085,7085
1491810963,7088,7088
1491814804,7104,7104
1491816722,7114,7114
1491818643,7112,7112
1491820562,7085,7085
1491822482,7112,7112
1491824643,7114,7114
1491828483,7122,7122
1491832322,7138,7138
1491836163,7129,7129
1491840005,7131,7131
1491841922,7149,7149
1491845762,7158,7158
1491849604,7150,7150
1491853453,7157,7157
1491859202,7151,7151
1491861122,7123,7123
1491864964,7101,7101
1491868806,7113,7113
1491870722,7091,7091
1491874563,7084,7084
1491878404,7065,7065
1491884162,7063,7063
1491886082,7071,7071
1491889923,7086,7086
1491893763,7097,7097
1491897605,7102,7102
1491899522,7091,7091
1491905283,7088,7088
1491907223,7088,7088
1491911283,7089,7089
1491915122,7107,7107
1491918964,7125,7125
1491922811,7112,7112
1491924963,7122,7122
1491928802,7130,7130
1491932642,7141,7141
1491936482,7150,7150
1491940323,7156,7156
1491944163,7141,7141
1491946083,7141,7141
1491948005,7124,7124
1491949922,7097,7097
1491953763,7105,7105
1491959523,7087,7087
1491963363,7061,7061
1491965282,7086,7086
1491967203,7061,7061
1491969122,7066,7066
1491972971,7056,7056
1491976806,7083,7083
1491978723,7082,7082
1491982804,7096,7096
1491986642,7089,7089
1491992402,7087,7087
1491994322,7105,7105
1491998164,7100,7100
