DateTime,AddedIPs,RemovedIPs
1489024509,0,1
1489033810,0,1
1489037109,0,1
1489039810,0,1
1489042208,0,1
1489048809,0,1
1489058711,0,1
1489067409,0,1
1489072508,0,1
1489077308,0,2
1489078809,0,1
1489082409,0,1
1489083009,0,1
1489083609,0,1
1489084508,0,2
1489084808,0,2
1489086608,0,1
1489086909,0,1
1489087508,1,0
1489107309,0,1
1489172708,0,1
1489174209,0,1
1489179909,0,1
1489183809,0,1
1489239008,0,1
1489239308,0,2
1489242310,0,1
1489250108,0,1
1489260009,59,0
1489266009,81,1
1489266309,60,0
1489269309,44,0
1489269608,7,0
1489269909,2,0
1489271410,0,1
1489275008,11,0
1489293308,0,1
1489333509,0,1
1489348508,0,1
1489349409,1,1
1489349708,43,0
1489350609,65,0
1489351509,3,0
1489351811,14,0
1489352109,3,0
1489352708,7,0
1489353608,13,0
1489353909,11,0
1489354209,25,1
1489355108,0,1
1489356309,0,1
1489356609,3,0
1489356908,0,2
1489360209,61,0
1489360509,25,0
1489360809,13,0
1489361109,13,0
1489361409,48,0
1489361708,39,0
1489362009,17,0
1489362308,13,0
1489362608,12,0
1489362908,6,0
1489363209,3,0
1489367109,0,1
1489367710,0,1
1489368908,0,1
1489380309,0,1
1489401609,0,1
1489404309,0,1
1489404908,0,1
1489408208,0,1
1489414809,0,1
1489429208,0,1
1489441509,37,0
1489441808,36,1
1489443009,29,0
1489443308,3,0
1489452308,15,0
1489468509,0,1
1489476908,0,1
1489479009,0,1
1489484409,0,1
1489487708,0,1
1489500008,0,1
1489514708,23,1
1489516509,1,0
1489521910,0,1
1489523709,1,0
1489525209,6,0
1489525808,9,0
1489526109,58,0
1489527608,20,0
1489528508,1,0
1489528809,8,0
1489529409,7,0
1489529708,17,0
1489532108,17,0
1489532710,10,0
1489533008,34,0
1489533610,0,1
1489534809,1,0
1489557608,0,1
1489566609,0,2
1489566908,0,2
1489567209,0,2
1489567509,0,2
1489567808,0,1
1489568109,0,2
1489568708,0,1
1489597208,0,1
1489609809,14,0
1489610708,0,1
1489611609,1,0
1489612209,10,0
1489612808,4,0
1489613109,3,0
1489614009,0,1
1489615209,2,0
1489616408,36,0
1489616709,5,0
1489618808,8,0
1489619409,6,0
1489619708,11,0
1489620909,0,1
1489623308,29,0
1489625408,0,1
1489631109,0,1
1489634409,0,1
1489639208,0,2
1489643708,0,1
1489644008,0,2
1489644308,0,1
1489646108,0,1
1489653908,0,1
1489666208,0,1
1489668609,0,1
1489676409,0,1
1489680908,0,4
1489681209,0,1
1489681510,0,1
1489685110,0,1
1489686608,0,2
1489687209,0,1
1489702809,0,1
1489710609,0,2
1489712108,0,1
1489712409,0,1
1489725009,0,2
1489755908,0,1
1489767009,0,1
1489771808,24,0
1489775409,12,2
1489775708,21,3
1489780209,51,0
1489780508,28,0
1489780809,10,0
1489781108,23,0
1489781413,19,0
1489781708,12,0
1489782009,10,0
1489784408,0,1
1489784709,0,1
1489792509,2,0
1489797910,0,1
1489807508,0,1
1489810809,0,1
1489817708,0,1
1489818008,0,3
1489818318,0,2
1489818609,0,3
1489820708,0,1
1489831508,0,1
1489831809,0,1
1489834508,0,1
1489837808,0,1
1489839009,6,0
1489839609,16,0
1489839909,0,1
1489840208,0,1
1489847709,0,2
1489852809,0,1
1489856408,0,1
1489858209,0,1
1489867510,0,1
1489869009,0,1
1489869308,0,3
1489869609,0,2
1489870208,36,0
1489870509,2,0
1489871408,0,3
1489872009,0,1
1489876809,0,1
1489877109,2,0
1489877409,3,0
1489878009,0,1
1489899609,0,1
1489899909,0,1
1489902309,0,1
1489903809,0,2
1489904409,0,1
1489911309,0,1
1489915210,0,1
1489921509,0,1
1489922709,0,1
1489934709,0,1
1489935308,1,0
1489941608,0,1
1489943709,0,1
1489950608,7,0
1489951209,6,0
1489952108,4,0
1489955110,12,0
1489956310,15,0
1489956608,0,1
1489957209,58,1
