DateTime,AddedIPs,RemovedIPs
1483356309,1,0
1483383909,1,0
1483385409,1,0
1483404309,0,1
1483419008,0,1
1483446608,0,1
1483458909,0,1
1483464608,1,0
1483474508,1,0
1483494009,1,0
1483498508,0,1
1483504209,1,0
1483506909,1,0
1483531209,1,0
1483531810,1,0
1483539909,0,1
1483543509,0,1
1483559709,1,0
1483560309,1,0
1483563909,0,1
1483565109,1,0
1483565409,1,0
1483581610,0,1
1483589109,1,0
1483599008,1,0
1483608009,1,0
1483623009,0,1
1483626008,1,0
1483639509,1,0
1483677309,0,1
1483699209,1,0
1483709409,1,0
1483713309,0,1
1483736409,1,0
1483737909,0,1
1483759809,1,0
1483763409,1,0
1483819815,1,0
1483824009,1,0
1483830008,1,0
1483848309,1,0
1483889709,1,0
1483895412,5,24
1483908609,1,0
1483925708,1,0
1483926009,1,0
1483965009,1,0
1483972808,1,0
1483978809,1,0
1484035208,0,1
1484035812,1,0
1484042409,1,0
1484059208,0,1
1484059509,1,0
1484064609,0,1
1484065208,1,0
1484066709,0,1
1484067309,1,0
1484068809,0,1
1484070309,1,0
1484071809,1,0
1484074509,1,1
1484147709,0,1
1484167209,0,1
1484227209,0,1
1484294409,0,1
1484296209,0,1
1484396708,0,1
1484406608,0,1
1484500508,0,1
1484582709,0,1
1484634008,0,1
1484645710,0,1
1484659209,0,1
1484707808,0,1
1484736008,0,1
1484755210,0,1
1484799009,1,0
1484808908,1,0
1484812508,0,1
1484814608,1,0
1484827810,1,0
1484829009,1,0
1484836210,1,0
1484836809,1,0
1484848808,1,0
1484857809,1,0
1484858108,1,0
1484858408,1,0
1484895909,0,1
1484896509,1,0
1484899509,0,1
1484903708,2,0
1484915709,1,0
1484916009,0,1
1484954408,1,0
1484991308,0,1
1484991608,1,0
1484996409,1,0
1485002708,0,1
1485003608,1,0
1485028509,1,0
1485034809,1,0
1485035409,1,0
1485041708,0,1
1485062409,1,0
1485073809,1,0
1485084909,0,1
1485092409,1,0
1485109508,0,1
1485145809,0,1
1485153909,1,0
1485155412,1,0
1485167408,0,1
1485179710,1,0
1485182108,0,1
1485184811,1,0
1485186309,2,0
1485187812,1,0
1485189308,0,1
1485189910,1,0
1485201008,0,1
1485202808,1,0
1485203708,1,0
1485205512,1,0
1485237008,1,0
1485238509,0,2
1485243909,1,0
1485244809,1,0
1485245418,0,1
1485252009,1,0
1485258911,0,1
1485270311,0,1
1485275108,0,1
1485383710,0,1
1485433509,0,1
1485462009,0,1
1485676809,0,1
1485739808,0,1
1485790809,0,1
1485867008,0,1
1485899708,0,1
1485945608,0,1
1485950709,0,1
1485964508,0,1
1486062309,0,1
1486063208,0,1
1486235409,0,1
1486272008,0,1
1486272608,0,1
1486368308,0,1
1486390209,0,1
1486394109,0,1
1486401609,1,0
1486402209,1,0
1486407308,1,0
1486408209,2,0
1486408808,3,0
1486409410,1,0
1486409709,2,0
1486413609,1,0
1486423509,1,0
1486431309,1,0
1486431608,1,0
1486432208,1,0
1486445708,2,0
1486462509,1,0
1486470009,0,1
1486477208,1,0
1486488908,1,0
1486497908,1,0
1486499409,1,0
1486516808,1,0
1486538108,1,0
1486543808,0,1
1486544709,1,0
1486553110,1,0
1486554908,0,1
1486560009,1,0
1486562408,1,1
1486578610,1,0
1486581609,1,0
1486582508,1,0
1486610108,1,0
1486623910,1,0
1486625408,0,1
1486633209,0,1
1486672809,1,0
1486678209,1,0
1486681209,1,0
1486705208,1,0
1486706110,0,1
1486712408,1,0
1486714808,1,0
1486717209,0,1
1486728009,1,0
1486736709,0,1
1486755308,1,0
1486763109,0,1
1486771811,1,0
1486781709,2,0
1486847108,1,0
1486888809,1,0
1486895409,1,0
1486911909,1,0
1486917009,1,0
1486934110,1,0
1486963210,1,0
1486978209,0,1
1486979708,1,0
1486980009,0,1
1486992609,1,0
1486994108,1,0
1486996508,0,1
1487009709,0,2
1487011210,1,0
1487014208,1,0
1487014508,1,0
1487031608,1,0
1487044809,1,0
1487058008,0,1
1487076008,1,0
1487085909,1,0
1487087110,0,1
1487089208,1,0
1487104508,0,1
1487110809,1,0
1487116209,1,0
1487143208,0,1
1487148608,0,1
1487151608,1,0
1487167208,1,0
1487184908,0,1
1487188809,1,0
1487209208,0,1
1487236209,0,1
1487240416,1,0
1487244009,1,0
1487252409,1,0
1487262311,0,1
1487265010,1,0
1487285108,1,0
1487286008,0,1
1487323509,1,0
1487326809,1,0
1487365208,1,0
1487365510,0,1
1487379609,1,0
1487407809,1,0
1487449509,1,0
1487469909,1,0
1487516409,1,0
1487546709,0,1
1487552408,1,0
1487564108,0,1
1487594409,0,1
1487615109,0,1
1487625308,1,0
1487641508,0,3
1487653509,0,1
1487659509,1,0
1487698529,0,1
1487713208,1,0
1487714409,1,0
1487715609,1,0
1487757608,0,1
1487759708,1,0
1487764508,1,0
1487773509,0,1
1487794508,1,0
1487805310,0,1
1487832609,0,1
1487844610,1,0
1487856009,0,1
1487857508,0,1
1487858708,1,0
1487867709,1,0
1487868909,1,0
1487878209,0,1
1487880008,1,0
1487903409,2,0
1487920508,0,1
1487922309,1,0
1487925909,1,0
1487931009,0,1
1487942108,0,1
1487950508,0,1
1487952908,1,0
1488023709,1,0
1488043509,1,0
1488089708,1,0
1488126309,1,0
1488143108,1,0
1488202808,1,0
1488221407,1,0
1488225909,1,0
1488228608,0,1
1488253809,1,0
1488258008,1,0
1488297308,0,1
1488306009,1,0
1488318009,1,0
1488356709,1,0
1488359408,1,0
1488381009,0,1
1488391209,0,1
1488397208,0,1
1488449109,0,1
1488462309,1,0
1488464409,0,1
1488486608,0,1
1488509408,1,0
1488525309,0,1
1488532208,1,0
1488538208,1,0
1488538509,1,0
1488548108,0,1
1488562508,1,0
1488564308,0,1
1488565808,2,0
1488614409,1,0
1488648909,1,0
1488653709,1,0
1488660309,1,0
1488687308,0,1
1488696309,1,0
1488717609,1,0
1488722108,1,0
1488741909,1,0
1488797409,2,0
1488809409,1,0
1488812709,1,0
1488867609,1,0
1488909609,0,1
1488954908,1,0
1488980108,0,1
1488994209,1,0
1489007708,1,0
1489013109,1,0
1489067708,1,0
1489068908,1,0
1489078209,0,1
1489080308,1,0
1489083309,0,1
1489129808,1,0
1489131010,1,0
1489154109,0,1
1489170309,1,0
1489261209,1,0
1489318208,1,0
1489348508,1,0
1489355409,1,0
1489361409,1,0
1489389608,1,0
1489395309,1,0
1489397410,1,0
1489434608,1,0
1489444809,0,1
1489470908,1,0
1489471510,1,0
1489471808,1,0
1489476610,1,0
1489488008,0,1
1489522208,0,1
1489524309,0,1
1489531509,1,0
1489538709,0,1
1489635909,0,1
1489686908,0,1
1489687209,0,1
1489767009,0,1
1489775109,0,1
1489784108,0,1
1489994409,0,1
1490023508,0,1
1490025009,0,1
1490044508,0,1
1490170209,1,0
1490170510,1,0
1490172008,1,0
1490175909,1,0
1490177109,1,0
1490178908,1,0
1490205308,1,0
1490210709,1,0
1490214909,1,0
1490216108,1,0
1490282709,0,1
1490369109,0,1
1490405708,0,1
1490433608,1,0
1490439611,1,0
1490440508,3,0
1490442309,0,1
1490442908,1,0
1490445308,0,1
1490450108,1,0
1490451908,0,1
1490457010,0,1
1490459411,1,0
1490465107,1,0
1490466908,1,0
1490469008,1,0
1490469609,1,0
1490472608,1,0
1490484308,1,0
1490532908,0,1
1490634008,0,1
1490648708,0,1
1490790909,0,1
1490805608,0,1
1490851514,2,0
1490857208,1,0
1490857509,1,0
1490858709,1,0
1490859009,1,0
1490860808,1,0
1490866509,1,0
1490876709,0,1
1490883308,1,0
1490895309,1,0
1490908208,1,0
1490909709,1,0
1490911809,1,0
1490912408,1,0
1490941510,1,0
1490948709,1,0
1490952009,1,0
1490952309,1,0
1490953808,1,0
1490959209,1,0
1490964908,1,0
1490969410,0,1
1490974809,1,0
1490980508,1,0
1490989209,0,1
1490991008,1,0
1490993109,1,0
1490996409,1,0
1491023408,1,0
1491036608,1,0
1491064508,1,0
1491067808,1,0
1491078009,1,0
1491081009,1,0
1491081610,1,0
1491095709,1,0
1491096009,1,0
1491096309,1,0
1491108609,1,0
1491108908,1,0
1491136209,0,1
1491150609,1,0
1491157808,1,0
1491165909,1,0
1491197410,1,0
1491217509,2,0
1491222608,0,1
1491224710,1,0
1491226809,0,1
1491231308,1,0
1491261909,1,0
1491272709,1,0
1491294009,0,2
1491300609,1,0
1491313809,1,0
1491314409,1,1
1491315909,2,0
1491378009,1,0
1491388509,1,0
1491398708,0,1
1491401408,0,1
1491403209,1,0
1491410709,0,1
1491411008,0,1
1491440108,1,0
1491509109,1,0
1491510609,1,0
1491530709,1,0
1491534009,0,1
1491557110,1,0
1491559809,1,0
1491562510,1,0
1491582608,1,0
1491635409,0,1
1491639309,0,1
1491793208,0,1
1491830708,0,1
1491836709,0,1
1491911110,0,1
1491915909,0,1
1491926708,0,1
1491932108,0,1
1491933908,0,1
1491939009,0,1
1492016109,0,1
1492027808,0,1
1492085109,0,1
1492087809,0,1
1492194008,0,1
