DateTime,Entries,UniqueIPs
1486607110,37977,38413
1486607409,37982,38418
1486607708,37984,38420
1486647308,37985,38421
1486650609,37987,38423
1486695608,37986,38422
1486698308,37987,38423
1486736709,37986,38422
1486740611,37988,38424
1486750810,37989,38425
1486752608,37990,38426
1486756508,37991,38427
1486757416,37992,38428
1486760108,37993,38429
1486762808,37994,38430
1486765508,37995,38431
1486791008,37997,38433
1486791308,38000,38436
1486830309,38001,38437
1486944308,38004,38440
1486961409,38003,38439
1486994409,38005,38441
1486994708,38013,38449
1486999510,38014,38450
1487013908,38015,38451
1487014208,38016,38452
1487016008,38017,38453
1487018408,38019,38455
1487022908,38021,38457
1487023208,38023,38459
1487028009,38026,38462
1487028308,38027,38463
1487028907,38028,38464
1487049908,38027,38463
1487086208,38031,38467
1487086509,38032,38468
1487098508,38033,38470
1487100909,38031,38468
1487101209,38028,38465
1487101510,38025,38462
1487101808,38024,38461
1487178908,38025,38462
1487287809,38026,38463
1487292309,38027,38464
1487364608,38026,38463
1487458809,38027,38464
1487461208,38033,38470
1487461508,38038,38475
1487466609,38045,38482
1487467509,38046,38483
1487467809,38061,38498
1487468108,38063,38500
1487472608,38062,38499
1487486409,38065,38501
1487486708,38134,38572
1487487008,38135,38573
1487534709,38136,38574
1487589910,38137,38575
1487595608,38137,38574
1487607310,38138,38575
1487611209,38139,38576
1487611808,38140,38577
1487614808,38142,38579
1487615108,38145,38582
1487615708,38150,38587
1487619609,38149,38586
1487633708,38151,38588
1487638209,38150,38587
1487646009,38170,38607
1487646308,38190,38627
1487646608,38192,38629
1487650808,38193,38630
1487689209,38192,38629
1487697008,38191,38628
1487729109,38193,38630
1487729409,38213,38650
1487729708,38221,38658
1487731208,38222,38659
1487734210,38229,38667
1487735708,38245,38683
1487736008,38249,38687
1487780108,38249,38688
1487790008,38260,38699
1487811008,38275,38714
1487811608,38287,38726
1487811908,38292,38731
1487812808,38293,38732
1487819409,38294,38733
1487820909,38295,38734
1487826608,38294,38733
1487860508,38293,38732
1487870108,38292,38731
1487947808,38289,38728
1487965208,38288,38727
1488000908,38287,38726
1488025809,38288,38727
1488026408,38289,38728
1488027308,38290,38729
1488027911,38291,38730
1488029108,38292,38731
1488043808,38294,38733
1488046211,38295,38734
1488058508,38296,38735
1488075009,38299,38738
1488075309,38301,38740
1488075608,38304,38743
1488075908,38306,38745
1488077108,38307,38746
1488077708,38310,38749
1488078309,38313,38752
1488078608,38314,38753
1488081909,38318,38757
1488082208,38319,38758
1488132308,38327,38766
1488132608,38328,38767
1488133209,38329,38768
1488136809,38330,38769
1488140409,38331,38770
1488155408,38334,38773
1488201308,38336,38775
1488201608,38337,38776
1488204309,38340,38779
1488204908,38341,38780
1488207908,38342,38781
1488213309,38341,38780
1488213609,38343,38782
1488214208,38344,38783
1488215110,38343,38782
1488239108,38345,38784
1488289809,38349,38788
1488308109,38361,38800
1488308413,38373,38812
1488308709,38380,38819
1488309009,38384,38823
1488317708,38383,38822
1488376208,38386,38825
1488376508,38391,38830
1488405008,38390,38829
1488456310,38389,38828
1488457209,38395,38834
1488457810,38399,38838
1488470408,38398,38837
