DateTime,AddedIPs,RemovedIPs
1489148108,6,0
1489148409,1,0
1489149009,0,1
1489162808,6,0
1489177208,19,0
1489191608,17,0
1489206009,11,0
1489219808,0,1
1489220409,6,0
1489234809,13,0
1489249208,16,3
1489249808,16,0
1489263608,20,0
1489278008,12,0
1489292409,3,0
1489306808,6,0
1489320908,3,0
1489321209,8,0
1489321509,0,1
1489335608,14,0
1489348810,0,1
1489350009,11,0
1489350908,1,0
1489351208,5,0
1489351509,3,0
1489351811,6,0
1489352109,1,0
1489364409,13,0
1489378809,6,0
1489393208,6,0
1489407608,15,0
1489422009,20,3
1489426208,13,0
1489426508,17,0
1489426809,7,0
1489427109,45,0
1489427408,8,0
1489428010,7,0
1489436409,21,0
1489450808,17,0
1489465208,4,0
1489479609,7,0
1489485308,0,1
1489493708,3,0
1489494008,0,1
1489508409,7,0
1489522808,12,0
1489537208,20,0
1489551608,9,0
1489566008,2,0
1489573808,217,0
1489574108,22,0
1489580409,9,0
1489594808,18,0
1489609208,7,0
1489617008,1,0
1489623608,8,0
1489635609,0,1
1489652408,5,0
1489666809,7,0
1489681208,15,253
1489695609,15,3
1489710008,8,0
1489724408,5,0
1489738808,6,0
1489740008,0,1
1489746908,14,0
1489747209,77,0
1489747509,46,0
1489753211,17,0
1489755608,0,1
1489764608,513,0
1489767609,29,0
1489770310,27,0
1489770908,73,0
1489771209,293,0
1489772408,1,0
1489780809,1,0
1489782008,17,4
1489796408,9,0
1489810809,9,0
1489825210,9,0
1489834508,6,0
1489835408,25,0
1489839609,9,0
1489848608,1,0
1489854009,11,0
1489859708,13,0
1489860910,0,1
1489868409,11,0
1489882809,2,3
1489897209,5,0
1489909209,0,1
1489911608,4,0
1489926009,7,0
1489940408,13,0
1489954815,11,0
1489969209,8,0
1489983608,8,0
1489997108,0,1
1489998008,3,0
1490001908,39,0
1490012408,9,0
1490016909,2,0
1490026808,11,6
1490030109,1,0
1490038208,47,0
1490041209,16,0
1490055609,18,3
1490064309,0,1
1490065209,44,0
1490070009,7,0
1490084708,7,0
1490089508,23,0
1490095809,0,1
1490098809,9,0
1490113209,22,6
1490127608,13,6
1490142009,24,0
1490156408,3,0
1490162708,0,1
1490170809,11,0
1490176208,0,2
1490181008,80,0
1490182208,6,0
1490185208,11,0
1490199608,26,0
1490199908,0,1
1490214008,21,0
1490228409,12,0
1490242809,13,0
1490249708,0,1
1490250009,0,1
1490271608,9,0
1490286009,21,3
1490300408,34,0
1490311808,0,1
1490314808,15,3
1490324411,0,1
1490329209,4,0
1490343609,24,0
1490346309,160,0
1490346609,61,0
1490346908,44,0
1490347208,240,0
1490347508,2,0
1490352608,0,1
1490358009,15,0
1490372408,25,0
1490386808,29,3
1490392809,18,0
1490393708,1,0
1490401208,22,0
1490401508,1,0
1490402408,1,0
1490415609,16,3
1490430009,14,1
1490436308,2,0
1490436609,1,0
1490437208,25,0
1490437512,46,0
1490437808,49,0
1490442009,12,0
1490442908,219,0
1490444408,12,1
1490453710,9,0
1490454008,1,0
1490454309,98,0
1490454608,5,0
1490458808,22,0
1490461209,1,0
1490473208,9,0
1490502008,28,0
1490515508,234,0
1490515809,334,0
1490516408,16,0
1490516709,14,0
1490517008,2,0
1490517608,1,0
1490519409,1,0
1490519708,1,0
1490520908,2,0
1490521208,1,0
1490523910,1,0
1490524209,0,1
1490530809,5,0
1490532308,1,0
1490532908,66,0
1490533208,4,0
1490534109,4,0
1490534408,8,0
1490535009,2,0
1490545208,7,0
1490555709,174,0
1490556008,0,1
1490559608,16,0
