DateTime,Entries,UniqueIPs
1489149009,38427,244144
1489162808,38433,244150
1489177208,38451,244169
1489191608,38466,244186
1489206009,38477,244197
1489219808,38477,244196
1489220409,38483,244202
1489234809,38495,244215
1489249208,38508,244228
1489249808,38524,244244
1489263608,38543,244264
1489278008,38554,244276
1489292409,38557,244279
1489306808,38563,244285
1489320908,38566,244288
1489321209,38574,244296
1489321509,38573,244295
1489335608,38586,244309
1489348810,38585,244308
1489350009,38596,244319
1489350908,38597,244320
1489351208,38602,244325
1489351509,38605,244328
1489351811,38611,244334
1489352109,38612,244335
1489364409,38624,244348
1489378809,38630,244354
1489393208,38636,244360
1489407608,38650,244375
1489422009,38665,244392
1489426208,38678,244405
1489426508,38695,244422
1489426809,38702,244429
1489427109,38747,244474
1489427408,38755,244482
1489428010,38762,244489
1489436409,38782,244510
1489450808,38794,244527
1489465208,38796,244531
1489479609,38803,244538
1489485308,38802,244537
1489493708,38804,244540
1489494008,38803,244539
1489508409,38810,244546
1489522808,38822,244558
1489537208,38842,244578
1489551608,38851,244587
1489566008,38853,244589
1489573808,39069,244806
1489574108,39091,244828
1489580409,39100,244837
1489594808,39118,244855
1489609208,39125,244862
1489617008,39126,244863
1489623608,39134,244871
1489635609,39133,244870
1489652408,39138,244875
1489666809,39144,244882
1489681208,39157,244644
1489695609,39169,244656
1489710008,39176,244664
1489724408,39181,244669
1489738808,39187,244675
1489740008,39186,244674
1489746908,39200,244688
1489747209,39277,244765
1489747509,39323,244811
1489753211,39339,244828
1489755608,39338,244827
1489764608,39341,245340
1489767609,39368,245369
1489770310,39395,245396
1489770908,39468,245469
1489771209,39760,245762
1489772408,39761,245763
1489780809,39762,245764
1489782008,39776,245777
1489796408,39785,245786
1489810809,39794,245795
1489825210,39803,245804
1489834508,39809,245810
1489835408,39834,245835
1489839609,39843,245844
1489848608,39844,245845
1489854009,39855,245856
1489859708,39868,245869
1489860910,39867,245868
1489868409,39877,245879
1489882809,39877,245878
1489897209,39882,245883
1489909209,39881,245882
1489911608,39885,245886
1489926009,39892,245893
1489940408,39904,245906
1489954815,39915,245917
1489969209,39923,245925
1489983608,39931,245933
1489997108,39930,245932
