DateTime,Entries,UniqueIPs
1482171483,164,43520
1482172936,163,43264
1482247533,161,42752
1482250309,160,42496
1482309799,161,42752
1482326832,164,43520
1482333108,163,43264
1482338519,164,43520
1482341698,165,43776
1482349043,164,43520
1482369140,165,43776
1482416247,164,43520
1482418576,164,43264
1482420548,166,44032
1482453299,167,44288
1482509551,166,43776
1482514035,167,44032
1482514927,168,44288
1482520317,169,44544
1482581515,165,43520
1482585113,165,43264
1482600475,168,44032
1482655309,169,44288
1482675415,167,43776
1482683271,168,44032
1482691294,169,44288
1482702099,170,44544
1482758570,168,44032
1482758866,166,43520
1482765797,168,44288
1482848879,170,44800
1482851497,166,43776
1482877642,165,43520
1482888800,166,43776
1482934660,165,43520
1482945144,166,43776
1482954088,165,43520
1483021631,162,42752
1483028865,164,43264
1483036059,163,43008
1483049974,164,43264
1483087321,165,43520
1483107116,164,43264
1483121492,165,43520
1483123306,164,43264
1483125111,165,43520
1483194455,163,43008
1483212502,162,42752
1483217773,161,42496
1483229502,162,42752
1483261901,161,42496
1483284133,164,43520
1483292490,165,43776
1483295537,166,44032
1483309579,165,43776
1483310500,164,43520
1483314135,165,43776
1483370462,161,42752
1483386100,162,43008
1483389697,161,42752
1483390576,160,42496
1483393297,161,42752
1483453117,159,42240
1483460332,162,43008
1483461717,163,43264
1483467086,162,43008
1483470697,163,43264
1483478900,163,43008
1483536039,168,44288
1483542694,169,44544
1483543619,165,43520
1483549897,166,43776
1483629167,163,43008
1483631803,162,42752
1483633022,163,43008
1483634529,164,43264
1483638140,165,43520
1483705263,162,42752
1483716168,163,43008
1483749078,164,43264
1483778545,163,43008
1483795306,164,43264
1483798333,163,43008
1483799334,162,42752
1483804610,161,42496
1483830761,162,42752
1483865002,163,43008
1483888355,159,41984
1483892854,160,42240
1483900941,161,42496
1483915420,162,42752
1483961313,159,41984
1483975715,162,42752
1483981782,161,42496
1483985354,162,42752
1484008450,163,43008
1484058258,167,44032
1484068153,168,44288
1484078966,169,44544
1484080333,170,44800
1484144675,170,44800
1484155139,171,45056
1484162250,172,45312
1484231060,174,45824
1484234214,172,45312
1484235548,171,45056
1484246381,171,45056
1484320653,169,44544
1484324776,170,44800
1484339482,169,44544
1484400249,172,45312
1484407385,169,44544
1484409218,168,44288
1484420968,169,44544
1484440821,170,44800
1484493875,172,45312
1484495619,169,44544
1484505572,170,44800
1484516486,169,44544
1484525376,170,44800
1484534354,171,45056
1484573058,169,44288
1484576668,170,44544
1484577541,171,44800
1484580261,170,44544
1484588364,171,44800
1484593767,172,45056
1484608715,173,45312
1484663055,175,45824
1484666645,174,45568
1484680166,173,45312
1484699581,174,45568
1484753049,172,45056
1484759372,173,45312
1484762026,172,45056
1484768373,173,45312
1484838569,172,45056
1484839479,173,45312
1484842149,174,45568
1484918655,172,45056
1484925878,173,45312
