DateTime,AddedIPs,RemovedIPs
1484580261,0,2048
1484585624,0,256
1484588364,256,0
1484590152,256,0
1484593767,256,0
1484598587,0,256
1484603625,0,256
1484608715,256,0
1484662173,0,1024
1484663055,512,0
1484673427,0,256
1484679226,0,256
1484682830,0,256
1484683843,0,256
1484698168,256,0
1484699581,256,0
1484748560,0,1280
1484753049,256,0
1484759372,256,0
1484766567,256,0
1484768373,256,0
1484782103,0,256
1484782786,256,0
1484783626,0,256
1484834948,0,1280
1484839479,256,0
1484842149,256,0
1484850278,0,256
1484859234,0,256
1484871834,0,256
1484925878,768,0
1484929059,0,768
1484950159,256,0
1485003230,0,768
1485014973,0,256
1485015717,1280,0
1485018542,256,0
1485032038,0,256
1485041956,256,0
1485044665,0,256
1485069443,256,0
1485087835,1024,0
1485098647,0,1280
1485099604,256,0
1485112727,0,256
1485131587,256,0
1485181291,0,1024
1485186005,0,256
1485192324,512,0
1485198576,0,256
1485206877,0,256
1485214035,0,256
1485214779,256,0
1485216604,256,0
1485218012,256,0
1485267831,0,768
1485272380,0,256
1485297001,0,256
1485299740,0,256
1485304203,0,256
1485357341,0,512
1485388843,256,0
1485443739,0,1024
1485448202,0,256
1485464401,0,256
1485536401,1280,512
1485549935,0,256
1485555335,0,256
1485578740,256,0
1485613801,512,0
1485614725,256,0
1485620120,0,512
1485623730,0,256
1485630930,256,0
1485637202,0,512
1485650743,256,0
1485678602,0,256
1485693001,0,1280
1485707488,0,256
1485711025,1024,0
1485714659,0,256
1485722210,0,256
1485753338,0,256
1485794000,1536,0
1485796521,0,768
1485808201,0,256
1485834327,256,0
1485854744,768,0
1485875727,256,0
1485906333,0,256
1485966243,256,0
1485977546,256,0
1485993602,0,1024
1486001732,256,0
1486049402,1280,0
1486080002,0,1536
1486095799,256,0
1486131849,1280,0
1486133116,256,0
1486140320,256,0
1486152001,0,256
1486156531,256,0
1486161928,256,0
1486183531,0,256
1486222202,512,0
1486224917,0,256
1486247758,256,0
1486269935,256,0
1486284335,256,0
1486301402,1024,0
1486314921,256,0
1486315531,0,512
1486316728,256,0
1486324802,0,256
1486334176,256,0
1486338334,256,0
1486397747,0,1024
1486398715,256,0
1486413194,256,0
1486422931,256,0
1486437333,0,256
1486438655,0,256
1486440002,0,256
1486459566,0,768
1486463402,0,256
1486465202,0,256
1486477802,768,0
1486557002,256,0
1486559717,256,0
1486570522,0,512
1486574128,256,0
1486581328,0,256
1486605603,0,256
1486654202,1536,512
1486683934,256,0
1486699201,0,256
1486733251,256,0
1486736805,0,768
1486745122,256,0
1486748725,256,0
1486752329,256,0
1486772135,256,0
1486827001,1024,1536
1486829724,256,0
1486840525,0,256
1486854931,0,256
1486905971,0,768
1486916611,1024,0
1486923327,256,0
1486934131,0,256
1486942323,256,0
1486949578,0,256
1486999801,768,0
1487002971,0,768
1487009718,0,256
1487022301,0,256
1487027728,256,0
1487038528,0,256
1487054729,256,0
1487078865,1024,0
1487079922,256,0
1487081718,256,0
1487082601,0,256
1487083523,256,0
1487099730,0,256
1487103330,256,0
1487161802,0,512
1487166325,256,0
1487172765,256,0
1487187169,256,0
1487193337,0,256
1487258144,0,1024
1487266202,512,0
1487267126,256,0
1487271602,256,0
1487277929,0,256
1487290532,256,0
1487337841,0,768
1487381043,1024,0
1487431802,0,2048
1487433602,0,256
1487443503,0,256
1487520904,0,256
1487522707,768,0
1487524515,768,0
1487525439,512,0
1487526310,256,0
1487528113,256,0
1487530522,256,0
1487531716,256,0
1487538921,256,0
