DateTime,AddedIPs,RemovedIPs
1487752943,256,256
1487777486,3072,3072
1487780121,256,256
1487783727,256,256
1487789127,256,256
1487792201,256,256
1487798131,256,256
1487801732,256,256
1487806711,256,256
1487832336,256,256
1487856714,2816,2816
1487859319,256,256
1487866522,256,256
1487871426,256,256
1487873736,256,256
1487875540,256,256
1487876803,256,256
1487879304,256,256
1487880934,512,512
1487882702,768,768
1487889937,512,512
1487891735,256,256
1487939430,3072,3072
1487940320,768,768
1487952931,256,256
1487957738,256,256
1487967336,256,256
1487968566,256,256
1487970938,256,256
1488036651,2816,2816
1488037522,256,256
1488039327,256,256
1488040326,256,256
1488046527,512,512
1488053732,256,256
1488055533,256,256
1488064538,256,256
1488069676,256,256
1488119540,2560,2560
1488122132,256,256
1488125732,256,256
1488129330,256,256
1488137701,256,256
1488143733,256,256
1488147341,256,256
1488150935,256,256
1488152391,256,256
1488209609,3328,3328
1488213188,256,256
1488220464,512,512
1488226534,256,256
1488228330,256,256
1488230133,256,256
1488231618,256,256
1488233737,256,256
1488235143,256,256
1488292967,3328,3328
1488294927,256,256
1488298529,256,256
1488306988,256,256
1488316530,256,256
1488318593,256,256
1488323736,256,256
1488325501,256,256
1488382328,3328,3328
1488384928,256,256
1488389813,256,256
1488399343,256,256
1488400895,256,256
1488402931,256,256
1488406536,256,256
1488415538,512,512
1488417338,256,256
1488422739,256,256
1488468784,3584,3584
1488473126,256,256
1488476083,256,256
1488482135,256,256
1488489332,256,256
1488492936,256,256
1488496537,256,256
1488498434,768,768
1488505385,256,256
1488523536,256,256
1488551154,3584,3584
1488552325,256,256
1488559528,256,256
1488569683,256,256
1488572132,256,256
1488573929,256,256
1488575732,256,256
1488576972,256,256
1488606341,256,256
1488613540,256,256
1488634238,3072,3072
1488638720,256,256
1488644637,256,256
1488645929,512,512
1488653151,256,256
1488654931,256,256
1488655961,256,256
1488660334,512,512
1488665745,256,256
1488667538,256,256
1488670647,256,256
1488673524,256,256
1488731119,2560,2560
1488732334,256,256
1488734129,256,256
1488737727,256,256
1488744929,256,256
1488748533,256,256
1488749889,256,256
1488753934,256,256
1488755734,256,256
1488761138,512,512
1488803402,2048,2048
1488804319,256,256
1488807126,256,256
1488821578,256,256
1488829072,256,256
1488833139,256,256
1488836433,768,768
1488838541,256,256
1488852945,256,256
1488893517,3328,3328
1488899730,256,256
1488900767,512,512
1488903329,256,256
1488906925,256,256
1488910532,256,256
1488912333,256,256
1488914131,256,256
1488919535,256,256
1488926738,256,256
1488930052,512,512
1488932139,256,256
1488997941,2304,2304
1489004866,256,256
1489005933,768,768
1489007722,256,256
1489016307,256,256
1489018534,512,512
1489066293,3328,3328
1489072529,256,256
1489079722,256,256
1489080753,256,256
1489083831,256,256
1489086929,256,256
1489088136,256,256
1489092331,256,256
1489094129,256,256
1489095103,256,256
1489102678,256,256
1489106301,256,256
1489110337,256,256
1489152375,3328,3328
1489155327,256,256
1489158926,256,256
1489160730,256,256
1489163604,512,512
1489166598,256,256
1489178293,256,256
1489180536,256,256
1489187738,256,256
1489193177,256,256
1489194944,256,256
1489212943,256,256
1489223746,256,256
1489246489,3072,3072
1489250730,256,256
1489253748,256,256
1489263334,512,512
1489266933,256,256
1489272302,256,256
1489275937,512,512
1489277736,256,256
1489308341,256,256
1489332637,3840,3840
1489336288,256,256
1489353333,256,256
1489356935,256,256
1489360539,256,256
1489362338,256,256
1489418859,2560,2560
1489419925,256,256
1489421719,256,256
1489422867,256,256
1489430328,256,256
1489432537,256,256
1489434331,256,256
1489451838,256,256
1489473982,256,256
1489501809,3840,3840
1489502717,256,256
1489504514,256,256
1489508118,256,256
1489515326,256,256
1489522526,256,256
1489523895,256,256
1489526130,256,256
1489533331,256,256
1489535131,256,256
1489538632,256,256
1489581001,2560,2560
1489583718,256,256
1489587323,256,256
1489588591,256,256
1489598121,256,256
1489601723,256,256
1489605330,256,256
1489606287,256,256
1489608928,256,256
1489616130,256,256
1489675138,2816,2816
1489677318,256,256
1489679122,256,256
1489685655,256,256
1489688119,256,256
1489692689,256,256
1489695332,512,512
1489696999,256,256
1489698931,256,256
1489706134,256,256
1489707932,256,256
1489742140,256,256
1489761274,2816,2816
1489768380,256,256
1489772729,256,256
1489775651,512,512
1489778129,256,256
1489781728,512,512
1489791082,256,256
1489792532,256,256
1489796131,256,256
1489797950,256,256
1489825923,256,256
1489854988,3328,3328
1489860925,256,256
1489863308,256,256
1489866325,256,256
1489868127,256,256
1489869317,256,256
1489871720,512,512
1489877102,256,256
1489884203,256,256
1489886133,256,256
1489944602,3584,3584
1489945517,256,256
1489947318,256,256
1489948368,256,256
1489950916,256,256
1489956155,256,256
1489958120,256,256
1489959924,256,256
1489961718,256,256
1489990532,256,256
1490023802,2304,2304
1490031653,256,256
1490033718,256,256
1490037319,256,256
1490044524,256,256
1490051733,256,256
1490052736,256,256
1490057379,256,256
1490099474,2304,2304
1490103917,256,256
1490105717,512,512
1490120118,256,256
1490121924,256,256
1490128497,256,256
1490130924,512,512
1490132724,512,512
1490136044,256,256
1490193180,2560,2560
1490195715,256,256
1490202918,256,256
1490211921,256,256
1490220923,256,256
1490251535,256,256
1490255132,256,256
1490290201,3584,3584
1490291117,256,256
1490292916,256,256
1490298319,256,256
1490309122,256,256
1490314526,256,256
1490318127,256,256
1490332532,256,256
1490334326,256,256
1490336126,256,256
1490337925,256,256
1490339732,256,256
1490369550,1280,1280
1490372116,256,256
1490373144,512,512
1490375716,512,512
1490379316,256,256
1490382918,256,256
1490386524,256,256
1490390119,256,256
1490406325,256,256
1490408128,256,256
1490411723,256,256
1490420726,256,256
1490427936,512,512
1490433330,256,256
1490459426,1536,1536
1490465720,512,512
1490472020,256,256
1490472926,512,512
1490478324,256,256
1490481543,256,256
1490483730,256,256
1490485523,512,512
1490488841,256,256
1490490927,256,256
1490505329,256,256
1490507131,256,256
1490508927,256,256
1490514037,512,512
1490545832,2048,2048
1490550320,256,256
1490559317,256,256
1490564260,256,256
1490571589,256,256
1490574673,256,256
1490577328,256,256
1490586203,256,256
1490593530,256,256
1490600731,256,256
1490602533,512,512
1490606128,256,256
1490625002,2304,2304
1490629516,512,512
1490635436,256,256
1490638523,512,512
1490645720,256,256
1490649326,256,256
1490651125,512,512
1490658335,256,256
1490679930,256,256
1490687101,256,256
1490694332,256,256
1490703330,256,256
1490705131,256,256
1490722005,2048,2048
1490730317,512,512
1490732118,512,512
1490733922,256,256
1490737522,256,256
1490744727,256,256
1490750126,256,256
1490766325,256,256
1490773523,256,256
1490797676,2304,2304
1490802316,256,256
1490997619,2048,2048
1490998531,512,512
1491000837,256,256
1491004805,256,256
1491005746,512,512
1491008421,256,256
1491025848,256,256
1491027335,256,256
1491029465,256,256
1491054758,768,768
1491058267,1536,1536
1491061879,256,256
1491066912,256,256
1491079902,256,256
1491084068,256,256
1491087149,512,512
1491100226,256,256
1491101479,256,256
1491105083,256,256
1491111927,256,256
1491117325,768,768
1491144698,1792,1792
1491149722,512,512
1491152466,256,256
1491154220,256,256
1491156920,512,512
1491157822,256,256
1491159669,512,512
1491171324,256,256
1491177679,256,256
1491202293,256,256
1491207321,256,256
1491234678,2048,2048
1491236117,256,256
1491243319,512,512
1491250522,256,256
1491261323,256,256
1491263482,256,256
1491276632,256,256
1491288641,256,256
1491293727,256,256
1491297327,256,256
1491299453,256,256
1491303102,256,256
1491313843,2816,2816
1491326120,256,256
1491329723,256,256
1491340506,256,256
1491346831,256,256
1491350437,256,256
1491353431,256,256
1491439914,1536,1536
1491442218,256,256
1491465011,1536,1536
1491468686,256,256
1491471013,256,256
1491474617,768,768
1491478214,256,256
1491481819,256,256
1491496218,256,256
1491504680,256,256
1491525016,256,256
1491533621,256,256
1491535831,512,512
1491573039,3072,3072
1491575421,256,256
1491576719,256,256
1491580239,256,256
1491582624,256,256
1491586225,256,256
1491589826,256,256
1491593426,256,256
1491597029,256,256
1491612679,256,256
1491670253,1024,1024
1491677419,256,256
1491688302,256,256
1491691925,256,256
1491745876,1024,1024
1491748218,256,256
1491749471,256,256
1491751820,256,256
1491760264,256,256
1491778248,256,256
1491798628,256,256
1491805828,256,256
1491810668,256,256
1491828629,1792,1792
1491834621,256,256
1491838221,256,256
1491839470,256,256
1491841822,256,256
1491845423,256,256
1491849024,256,256
1491852625,256,256
1491864703,256,256
1491868302,256,256
1491870627,256,256
1491871879,256,256
1491893439,256,256
1491922355,1792,1792
1491931822,256,256
1491933083,256,256
1491936704,256,256
1491939024,256,256
1491940269,256,256
1491942624,256,256
1491943872,256,256
1491947524,256,256
1491949826,256,256
1491957031,256,256
1492012812,1792,1792
1492016123,256,256
1492018221,256,256
1492026877,256,256
1492036227,256,256
1492037651,256,256
1492041221,256,256
1492043426,256,256
1492069965,256,256
1492091503,1280,1280
1492101019,256,256
1492102476,256,256
1492108222,256,256
1492109526,256,256
1492113157,256,256
1492116710,256,256
1492162230,256,256
1492163587,256,256
1492165828,256,256
1492177949,1280,1280
1492185128,256,256
1492199548,256,256
1492213997,256,256
1492221147,256,256
1492237833,256,256
1492242780,256,256
1492264329,2048,2048
1492267934,256,256
1492271555,256,256
1492296811,256,256
1492299027,256,256
1492303953,256,256
