DateTime,Entries,UniqueIPs
1492013576,13188,13732
1492014030,13186,13732
1492015017,13186,13731
1492015463,13188,13734
1492015967,13215,13764
1492016429,13309,13860
1492016899,13287,13839
1492017379,13294,13846
1492017879,13303,13861
1492018846,13300,13857
1492019311,13305,13861
1492019796,13280,13840
1492020029,13372,13933
1492020785,13358,13917
1492021255,13367,13926
1492021706,13367,13928
1492022663,13394,13956
1492023181,13389,13951
1492023720,13407,13970
1492024838,13511,14075
1492025062,13512,14076
1492025783,13504,14069
1492026753,13524,14092
1492026985,13528,14096
1492027230,13609,14178
1492027697,13620,14188
1492028659,13619,14182
1492028912,13620,14183
1492029638,13633,14198
1492030584,13653,14218
1492031111,13753,14317
1492031567,13751,14317
1492032514,13735,14303
1492033461,13745,14317
1492034505,13733,14303
1492034941,13818,14389
1492035627,13813,14386
1492036601,13800,14368
1492036827,13811,14381
1492037540,13875,14453
1492038030,13972,14555
1492038524,13979,14555
1492038748,13993,14569
1492039451,14019,14593
1492040440,14016,14595
1492040667,14017,14596
1492041422,13983,14561
1492041630,11304,11794
1492042371,11334,11825
1492042575,11340,11831
1492043323,11347,11836
1492044272,11368,11859
1492044513,11369,11860
1492045304,11386,11882
1492046430,11442,11927
1492047391,11448,11933
1492048341,11454,11938
1492048830,11515,12001
1492049321,11531,12018
1492050290,11523,12004
1492051227,11549,12033
1492052210,11532,12011
1492052429,11596,12076
1492053176,11616,12099
1492054112,11601,12080
1492055062,11597,12074
1492056123,11703,12185
1492057217,11686,12169
1492057946,11690,12173
1492058200,11663,12140
1492059139,11713,12192
1492059866,11809,12290
1492060119,11784,12267
1492061060,11783,12266
1492061800,11785,12268
1492062032,11807,12294
1492062978,11788,12261
1492063230,11866,12344
1492063710,11868,12347
1492063966,11891,12371
1492064922,11903,12384
1492065624,11904,12386
1492065855,11900,12382
1492066892,11932,12416
1492067532,12035,12522
1492067809,12013,12494
1492068756,12041,12518
1492069449,12050,12527
1492069736,12049,12528
1492070920,12215,12699
1492071382,12217,12699
1492071875,12182,12651
1492072844,12175,12643
1492073308,12190,12659
1492073790,12167,12632
1492074029,12282,12750
1492074774,12271,12745
1492075257,12278,12753
1492075708,12286,12764
1492076661,12278,12755
1492077170,12283,12760
1492077756,12407,12888
1492078850,12385,12861
1492079064,12392,12868
1492079787,12398,12873
1492080756,12436,12911
1492080994,12434,12910
1492081230,12582,13062
1492081717,12592,13071
1492082661,12611,13092
1492082914,12610,13091
1492083661,12565,13045
1492084740,12538,13015
1492084829,12686,13163
1492085783,12673,13151
1492086756,12675,13148
1492087697,12663,13136
1492088430,12754,13230
1492088680,12740,13215
1492089628,12767,13247
1492090604,12718,13195
1492091562,12738,13217
1492092030,12853,13334
1492092511,12892,13373
1492093452,12899,13379
1492094425,12914,13399
1492095404,12887,13368
1492095630,12990,13477
1492096376,13031,13517
1492097321,13035,13521
1492098274,13012,13492
1492099514,13117,13600
1492100188,13121,13604
1492100428,13170,13659
1492101407,13173,13664
1492102124,13171,13662
1492102360,13185,13677
1492102830,13302,13795
1492103348,13295,13790
1492104016,13295,13790
1492104262,13317,13812
1492105229,13317,13808
1492105931,13320,13815
1492106203,13310,13802
1492106430,13402,13897
1492107165,13434,13935
1492107847,13444,13945
1492108110,13401,13903
1492109074,13375,13873
1492109772,13382,13880
1492110118,13478,13984
1492111257,13444,13945
1492111691,13457,13958
1492112177,13477,13979
1492113147,13482,13985
1492113692,13478,13982
1492114104,13504,14006
1492115050,13543,14046
1492115540,13546,14050
1492116015,13544,14047
1492116998,13535,14035
1492117736,13543,14044
1492117947,13567,14069
1492118895,13558,14061
1492119030,13999,14516
1492119633,14006,14524
1492119866,13974,14486
1492120919,13956,14465
1492121541,13964,14473
1492122051,13983,14492
1492122515,13962,14470
1492122630,14065,14573
1492122997,14093,14602
1492123458,14100,14609
1492123974,13987,14487
1492124905,14008,14508
1492125378,14013,14512
1492125858,13913,14406
1492126337,14024,14517
1492126826,14045,14538
1492127294,14050,14543
1492127925,14001,14490
1492128975,14013,14502
1492129955,11873,12317
1492130184,11904,12348
1492130920,11912,12355
1492131159,11908,12351
1492132133,11936,12388
1492133071,11935,12388
1492133430,12051,12509
1492134053,12051,12507
1492134990,12039,12497
1492135962,12074,12535
1492136915,12070,12527
1492137878,12037,12496
1492138921,12026,12488
1492140039,12091,12557
1492140760,12092,12559
1492140976,12090,12556
1492141942,12090,12553
1492142673,12180,12647
1492142903,12195,12665
1492143851,12198,12668
1492144593,12197,12667
1492144825,12190,12658
1492145794,12212,12682
1492146029,12283,12753
1492146750,12273,12745
1492147718,12278,12750
1492148415,12268,12741
1492148688,12252,12728
1492149723,12330,12810
1492150350,12333,12813
1492150845,12339,12818
1492151787,12348,12827
1492152247,12350,12829
1492152764,12348,12829
1492153230,12660,13153
1492153713,12671,13167
1492154183,12671,13167
1492154652,12673,13169
1492155618,12663,13157
1492156108,12652,13145
1492156594,12654,13151
1492156830,12780,13279
1492157539,12795,13300
1492158014,12793,13298
1492158510,12804,13307
1492159458,12799,13300
1492159932,12785,13286
1492160484,12794,13289
1492161402,12878,13374
1492161865,12875,13371
1492162365,12894,13389
1492163313,12878,13373
1492163789,12878,13373
1492164275,12985,13484
1492165258,13000,13498
1492165703,12994,13492
1492166193,12979,13478
1492167157,12978,13477
1492167898,13091,13591
1492168639,13117,13614
1492169563,13115,13615
1492169774,13122,13622
1492170516,13108,13609
1492171230,13171,13674
1492171633,13203,13710
1492172649,13197,13700
1492173618,13225,13732
1492174593,13240,13747
1492174831,13367,13875
1492175563,13359,13866
1492176509,13369,13870
1492177483,13358,13856
1492178507,13464,13963
1492179401,13455,13955
1492179636,13434,13929
1492180583,13430,13924
1492181304,13431,13926
1492181549,13442,13935
1492182030,13522,14021
1492182505,13509,14008
1492183239,13517,14015
1492183451,13514,14012
1492184430,13527,14028
1492185143,13524,14025
1492185394,13522,14020
1492185630,13625,14124
1492186350,13627,14122
1492187050,13629,14124
1492187319,13645,14141
1492188277,13634,14129
1492188982,13631,14126
1492189315,13705,14198
1492190437,13713,14207
1492190896,13718,14212
1492191378,13694,14184
1492192368,13709,14202
1492192895,13705,14198
1492193302,13772,14266
1492194257,13768,14258
1492194744,13774,14264
1492195225,13778,14265
1492196195,13783,14271
1492196430,13869,14360
1492196668,13875,14366
1492197161,13873,14366
1492198128,13883,14374
1492198592,13883,14374
1492199074,13863,14353
1492200133,13920,14409
1492200517,13926,14414
1492201500,13930,14421
1492202437,13949,14451
1492203403,13955,14455
1492203630,14053,14558
1492204367,14060,14564
1492205318,14065,14564
1492206263,14089,14589
1492207330,14118,14620
1492208427,14150,14652
1492209396,14150,14652
1492210109,14144,14646
1492210345,14136,14632
1492211317,14245,14744
1492211543,14236,14737
1492212023,14234,14734
1492212279,14222,14720
1492213228,14229,14727
1492213949,14231,14733
1492214200,14240,14750
1492214430,11721,12150
1492215167,11739,12167
1492215370,11730,12158
1492215847,11744,12172
1492216105,11753,12181
1492217064,11777,12209
1492217784,11775,12207
1492218108,11797,12230
1492219233,11914,12351
1492219691,11920,12357
1492220193,11891,12325
1492221143,11900,12332
1492221712,11990,12423
1492222118,11973,12406
1492223079,11960,12393
1492224039,11960,12396
1492224990,11953,12386
1492225472,12003,12437
1492225969,11986,12413
1492226920,11985,12413
1492227393,11981,12409
1492227867,11972,12402
1492228920,12057,12482
1492229317,12043,12467
1492230028,12059,12486
1492230987,12061,12487
1492231234,12064,12491
1492231942,12074,12504
1492232430,12163,12597
1492232904,12144,12581
1492233146,12157,12594
1492233863,12151,12588
1492235093,12142,12571
1492236140,12248,12679
1492236996,12253,12685
1492237237,12290,12724
1492238193,12262,12695
1492238914,12266,12698
1492239141,12286,12721
1492239630,12381,12821
1492240099,12356,12792
1492241062,12315,12752
1492242017,12336,12777
1492242748,12330,12771
1492242982,12322,12758
1492243231,12410,12848
1492243953,12373,12809
1492244670,12386,12823
1492244901,12401,12839
1492245849,12407,12845
1492246599,12423,12861
1492246911,12483,12928
1492247815,12477,12919
1492248524,12478,12921
1492248778,12489,12934
1492249707,12514,12963
1492250525,12632,13084
1492250682,12572,13025
1492251650,12623,13081
1492252347,12627,13084
1492252592,12624,13082
1492253557,12619,13078
1492254030,12706,13167
1492254266,12717,13179
1492254502,12708,13169
1492255456,12739,13202
1492256197,12727,13191
1492256416,12759,13223
1492257399,12732,13194
1492257630,12832,13295
1492258105,12824,13287
1492258349,12826,13292
1492259306,12810,13276
1492260032,12805,13271
1492260259,12794,13256
1492261297,12811,13274
1492261942,12904,13368
1492262433,12912,13376
1492263387,12910,13374
1492263849,12913,13377
1492264343,12899,13366
1492264831,12974,13442
1492265334,12967,13436
1492266067,12970,13438
1492266515,12995,13464
1492267475,13006,13477
1492267963,13012,13483
1492268500,13035,13507
1492269657,13135,13606
1492269873,13137,13607
1492270575,13117,13586
1492271546,13135,13607
1492271790,13141,13613
1492272031,13238,13711
1492272502,13232,13705
1492273458,13218,13688
1492273714,13221,13691
1492274422,13235,13704
1492275382,13219,13687
1492275741,13329,13797
1492276348,13325,13789
1492277296,13339,13807
1492277564,13334,13802
1492278262,13350,13817
1492279298,13347,13814
1492279724,13420,13889
1492280447,13441,13912
1492281393,13449,13924
1492282360,13473,13950
1492282831,13571,14051
1492283303,13566,14042
1492283559,13551,14028
1492284256,13553,14031
1492285230,13586,14076
1492285484,13582,14073
1492286187,13575,14065
1492286431,13728,14225
1492287163,13705,14202
1492287375,13713,14210
1492288111,13721,14218
1492289080,13725,14218
1492289559,13720,14213
1492290131,13793,14289
1492291235,13805,14303
1492291974,13812,14311
1492292442,13829,14328
1492293395,13792,14291
1492293880,13860,14360
1492294361,13862,14358
1492295304,13868,14365
1492295796,13878,14375
1492296271,13896,14392
1492296749,13901,14400
1492297307,13907,14408
1492297723,13903,14405
1492298452,13918,14421
1492299384,13954,14461
1492300339,13974,14487
1492300590,13909,14421
1492301307,13908,14421
1492302257,13869,14380
