DateTime,AddedIPs,RemovedIPs
1491924019,6,5
1491924544,5,4
1491925017,2,3
1491925460,5,4
1491925968,8,4
1491926520,5,4
1491926948,5,4
1491927427,5,6
1491927905,6,0
1491928383,4,9
1491928863,7,3
1491929334,7,6
1491929832,5,15
1491930274,5,5
1491930767,1346,1780
1491931240,3,0
1491931735,11,6
1491932207,3,6
1491932670,7,12
1491933149,3,6
1491933737,14,17
1491934150,7,4
1491934825,7,5
1491935062,3,3
1491935795,5,27
1491936025,9,1
1491936732,3,12
1491937033,1,0
1491937722,2,9
1491937951,6,0
1491938650,8,6
1491938927,3,1
1491939613,5,14
1491939872,2,4
1491940600,3,6
1491940914,8,14
1491941534,6,5
1491941816,3,0
1491942513,6,1
1491942756,4,3
1491943460,3,6
1491944231,3,7
1491944698,2,7
1491945193,4,1
1491945656,6,2
1491946113,5,3
1491946594,5,6
1491947062,2,2
1491947583,1,1
1491948173,4,4
1491948506,5,3
1491949243,9,2
1491949470,8,0
1491950188,3,6
1491950447,11,4
1491951154,6,1
1491951383,7,3
1491952094,3,1
1491952375,11,7
1491952829,54,0
1491953057,3,2
1491953304,6,1
1491954032,5,7
1491954261,13,7
1491954977,0,2
1491955333,6,4
1491955966,5,1
1491956437,8,2
1491956664,20,0
1491956892,14,3
1491957382,9,4
1491957866,6,4
1491958353,12,2
1491958914,7,2
1491959318,8,2
1491960270,679,309
1491960784,16,5
1491961247,12,6
1491961719,3,4
1491962184,1,2
1491962923,11,5
1491963165,5,3
1491963885,4,2
1491964391,7,3
1491964847,13,4
1491965321,5,4
1491965785,2,6
1491966279,12,1
1491966777,6,7
1491967262,8,8
1491967702,4,5
1491968203,1,4
1491968659,2,5
1491969169,2,1
1491969731,5,8
1491970115,5,3
1491970839,8,13
1491971074,5,0
1491971785,4,17
1491972054,9,9
1491972753,3,16
1491972999,2,6
1491973694,2,9
1491973979,5,4
1491974658,4,5
1491974910,6,3
1491975636,3,6
1491975869,6,4
1491976571,3,8
1491976952,10,3
1491977563,3,0
1491978043,11,3
1491978493,1,8
1491978980,5,1
1491979455,3,5
1491979971,5,5
1491980524,0,7
1491980941,9,0
1491981641,5,6
1491981870,3,1
1491982581,2,4
1491982869,4,5
