DateTime,Entries,UniqueIPs
1492077121,35273,42256
1492077606,35316,42299
1492077770,35317,42300
1492078321,35324,42308
1492079043,35354,42338
1492079523,35337,42320
1492080122,35342,42326
1492080962,35348,42332
1492081322,35355,42340
1492081369,35353,42338
1492081921,35348,42333
1492082521,35356,42341
1492083121,35367,42352
1492083722,35375,42360
1492084321,35395,42380
1492085044,35422,42406
1492085525,35368,42352
1492086121,35379,42363
1492086722,35427,42411
1492087443,35488,42473
1492087923,35492,42477
1492088163,35493,42478
1492088521,35500,42485
1492089121,35501,42486
1492089722,35512,42497
1492090321,35505,42490
1492091043,35457,42442
1492091283,35510,42496
1492091763,35513,42500
1492092170,35549,42536
1492092723,35560,42546
1492093322,35572,42558
1492093922,35575,42561
1492094522,35572,42558
1492094882,35574,42560
1492095123,35544,42530
1492095362,35539,42525
1492095829,35545,42531
1492096321,35549,42536
1492096921,35553,42540
1492097522,35558,42545
1492098121,35551,42538
1492098722,35554,42541
1492099445,35619,42606
1492099922,35622,42609
1492100645,35592,42579
1492101363,35675,42663
1492101721,35676,42664
1492102321,35681,42669
1492102563,35672,42659
1492102969,35675,42662
1492103521,35679,42666
1492104122,35704,42691
1492104721,35710,42697
1492105204,35753,42740
1492105321,35756,42743
1492106162,35760,42747
1492106643,35661,42648
1492107122,35662,42649
1492107722,35671,42658
1492108322,35670,42657
1492109043,35721,42708
1492109523,35724,42711
1492109762,35715,42702
1492110169,35712,42699
1492110721,35709,42696
1492111321,35715,42702
1492111921,35718,42705
1492112522,35721,42708
1492112882,35763,42750
1492113122,35778,42764
1492113362,35782,42768
1492113722,35794,42781
1492113769,35793,42780
1492114323,35708,42694
1492114921,35712,42698
1492115522,35718,42704
1492116122,35724,42710
1492116722,35770,42757
1492116963,35767,42754
1492117380,35765,42752
1492117922,35774,42761
1492118521,35768,42755
1492119121,35771,42758
1492119721,35774,42761
1492120083,35725,42712
1492120563,35777,42764
1492120970,35766,42753
1492122122,35768,42755
1492122722,35776,42763
1492122781,35778,42765
1492123321,35775,42762
1492123921,35777,42764
1492124405,35807,42793
1492124522,35805,42791
1492125122,35798,42784
1492125843,35692,42678
1492126323,35769,42755
1492126921,35777,42763
1492127522,35777,42763
1492128243,35775,42762
1492129321,35769,42756
1492129682,35832,42819
1492130164,35747,42732
1492130522,35749,42734
1492131123,35751,42737
1492131363,35750,42736
1492131770,35748,42734
1492132322,35746,42732
1492132922,35733,42719
1492133526,35671,42657
1492134005,35732,42721
1492134122,35727,42714
1492134721,35729,42716
1492134962,35731,42718
1492135369,35725,42711
1492135922,35803,42789
1492136521,35814,42800
1492137122,35817,42803
1492137721,35820,42806
1492138562,35817,42803
1492139284,35677,42664
1492139521,35679,42666
1492139762,35777,42764
1492140122,35789,42776
1492140721,35790,42777
1492141321,35796,42783
1492141686,35802,42789
1492142162,35803,42790
1492142521,35803,42791
1492142570,35804,42792
1492143122,35806,42795
1492143721,35809,42798
1492144322,35809,42798
1492144921,35813,42802
1492145523,35871,42860
1492145763,35868,42857
1492146121,35865,42853
1492146170,35861,42849
1492146721,35865,42853
1492146962,35711,42698
1492147322,35718,42705
1492147922,35719,42706
1492148522,35701,42688
1492149365,35765,42752
1492149770,35752,42739
1492150322,35754,42741
1492151043,35689,42676
1492151521,35694,42681
1492152122,35698,42685
1492153206,35761,42749
1492153321,35759,42747
1492153370,35755,42743
1492153922,35741,42729
1492154522,35742,42730
1492155123,35783,42772
1492155721,35784,42772
1492156322,35784,42772
1492156563,35779,42767
1492156970,35779,42767
1492157522,35783,42771
1492158121,35781,42769
1492158723,35710,42698
1492159203,35765,42753
1492159922,35758,42746
1492160163,35761,42749
1492160572,35763,42751
1492161121,35770,42758
1492161721,35763,42748
1492162321,35758,42743
1492163042,35796,42781
1492163762,35804,42789
1492164171,35797,42782
1492164723,35726,42711
1492165322,35719,42704
1492166521,35719,42704
1492166882,35770,42755
1492167776,35745,42729
1492168321,35741,42725
1492168922,35742,42726
1492169521,35739,42723
1492169581,35740,42724
1492170121,35741,42725
1492170483,35744,42727
1492170721,35752,42735
1492170964,35701,42684
1492171371,35707,42690
1492171921,35708,42691
1492173181,35707,42690
1492173723,35701,42684
1492174321,35703,42686
1492174806,35759,42742
1492174922,35760,42743
1492174970,35758,42741
1492175522,35761,42744
1492176243,35748,42731
1492176729,35694,42677
1492177321,35688,42670
1492177922,35687,42668
1492178162,35689,42670
1492178571,35687,42668
1492179721,35686,42667
1492180381,35685,42666
1492180804,35743,42724
1492180921,35744,42725
1492181522,35743,42724
1492181762,35746,42727
1492182122,35752,42733
1492182722,35759,42741
1492183322,35760,42742
1492183921,35764,42746
1492184642,35797,42779
1492185122,35799,42782
1492185721,35802,42785
1492185844,35733,42716
1492186322,35732,42715
1492186921,35741,42724
1492187581,35742,42725
1492188121,35741,42724
1492188482,35803,42786
1492188722,35805,42788
1492188963,35803,42785
1492189683,35736,42719
1492190522,35737,42720
1492191121,35740,42723
1492191181,35741,42724
1492191722,35743,42726
1492192322,35800,42783
1492192562,35808,42792
1492192922,35807,42791
1492192971,35806,42790
1492193522,35816,42800
1492194122,35819,42803
1492194722,35819,42803
1492195443,35766,42750
1492195921,35767,42751
1492196163,35804,42788
1492196521,35801,42785
1492196570,35799,42783
1492197121,35795,42779
1492197721,35799,42783
1492198922,35798,42782
1492199282,35743,42726
1492199522,35741,42724
1492200006,35785,42766
1492200171,35784,42765
1492200722,35778,42759
1492201923,35829,42811
1492203363,35790,42772
1492203794,35797,42779
1492204321,35800,42782
1492204922,35801,42783
1492205283,35742,42724
1492205522,35741,42723
1492205766,35774,42756
