DateTime,AddedIPs,RemovedIPs
1491298801,80,0
1491300957,7,9
1491301201,4,0
1491303102,0,21
1491305822,17,27
1491306001,166,136
1491308401,2,0
1491309081,85,0
1491312004,6,9
1491312691,2,1
1491313843,1785,0
1491315601,11,0
1491316275,1,0
1491318601,1,0
1491319078,176,0
1491319683,0,1
1491320222,25,28
1491320401,568,0
1491322342,8,4
1491322631,10,769
1491322801,7,0
1491329874,139,0
1491330001,5,0
1491331912,1,0
1491333594,10,5
1491333601,1,0
1491337322,23,21
1491342494,150,0
1491344679,6,2
1491347309,8,836
1491349201,1,0
1491350483,250,0
1491351593,112,608
1491351722,19,26
1491352273,1,0
1491353431,0,255
1491354982,5,12
1491355686,6,5
1491356992,0,1
1491366046,4,3
1491366122,10,16
1491366674,7,4
1491370322,46,0
1491377485,41,0
1491377696,6,4
1491380822,18,34
1491384682,63,0
1491388772,14,9
1491391069,24,0
1491392902,143,168
1491395277,0,256
1491395522,16,19
1491398400,0,1
1491399783,8,10
1491399905,112,0
1491401751,1,0
1491402001,29,0
1491409053,140,0
1491409728,10,6
1491409921,21,26
1491410815,12,8
1491416401,2,0
1491419849,127,0
1491421759,5,9
1491423601,6,1
1491424322,20,47
1491428403,0,510
1491430652,123,0
1491430801,4,0
1491432716,8,5
1491434105,0,811
1491436083,1,1
1491438001,5,0
1491438722,14,40
1491441306,103,724
1491443763,9,9
1491445201,2,0
1491445883,0,255
1491453401,30,24
1491454460,9,5
1491455283,1,1
1491455705,84,0
1491456001,2,0
1491459601,11,1
1491463201,30,0
1491465357,10,2
1491466801,4,0
1491467523,17,27
1491471096,1,0
1491471601,28,0
1491474001,3,0
1491476426,254,4
1491476477,0,24
1491477305,44,0
1491479106,181,145
1491481201,4,0
1491481922,24,27
1491484506,0,256
1491484622,2,0
1491486482,60,0
1491487462,8,3
1491488401,4,0
1491490256,575,0
1491492001,2,0
1491493201,0,255
1491495601,222,0
1491496321,26,27
1491497067,9,8
1491498434,6,4
1491501842,0,1
1491502801,4,0
1491506185,138,0
1491506401,1,252
1491509522,8,3
1491510001,3,0
1491510722,25,27
1491511821,148,0
1491516985,136,0
1491517201,1,0
1491519687,0,904
1491520359,14,5
1491524401,3,0
1491525122,23,35
1491528001,47,613
1491528723,5,10
1491531610,13,2
1491535201,45,0
1491538801,9,0
1491539522,21,27
1491540001,1,0
1491540755,4,6
1491542527,5,6
1491545869,61,0
1491546001,3,0
1491553373,12,6
1491553877,3,0
1491553922,27,29
1491556635,16,0
1491556801,2,0
1491560401,1,0
1491563401,0,1
1491564449,6,5
1491565201,137,129
1491567439,65,0
1491567601,4,0
1491568321,31,36
1491571022,1,1
1491573039,764,0
1491575504,17,3
1491578187,224,0
1491581706,1,0
1491582076,5,0
1491583910,780,35
1491584499,13,10
1491586567,3,6
1491589139,82,0
1491589201,3,0
1491590705,0,1013
1491596401,1,0
1491597123,25,41
1491597592,8,6
1491599787,165,0
1491600687,1,0
1491603601,5,0
1491607201,0,927
1491608650,6,260
1491610644,109,719
1491610801,9,0
1491617533,5,9
1491618001,2,0
1491619611,5,4
1491621601,2,0
1491625884,6,0
1491630734,7,9
1491632285,82,0
1491636001,1,0
1491639601,3,0
1491641209,1,0
1491641684,35,100
1491643128,51,0
1491643201,1,0
1491646801,3,0
1491650401,1,50
1491651049,155,150
1491652809,10,2
1491654033,71,0
1491654632,6,0
1491655922,117,40
1491657422,1,1
1491658231,0,251
1491661201,2,0
1491663855,7,6
