DateTime,Entries,UniqueIPs
1491305822,42624,156678
1491306001,42625,156708
1491308401,42627,156710
1491309081,42712,156795
1491312004,42709,156792
1491312691,42710,156793
1491313843,42703,158578
1491315601,42714,158589
1491316275,42715,158590
1491318601,42716,158591
1491319078,42892,158767
1491319683,42891,158766
1491320222,42888,158763
1491320401,42993,159331
1491322342,42997,159335
1491322631,43003,158576
1491322801,43010,158583
1491329874,43149,158722
1491330001,43154,158727
1491331912,43155,158728
1491333594,43160,158733
1491333601,43161,158734
1491337322,43163,158736
1491342494,43312,158886
1491344679,43316,158890
1491347309,42968,158062
1491349201,42969,158063
1491350483,42962,158313
1491351593,42469,157817
1491351722,42462,157810
1491352273,42463,157811
1491353431,42463,157556
1491354982,42457,157549
1491355686,42458,157550
1491356992,42457,157549
1491366046,42458,157550
1491366122,42452,157544
1491366674,42455,157547
1491370322,42501,157593
1491377485,42542,157634
1491377696,42544,157636
1491380822,42528,157620
1491384682,42591,157683
1491388772,42596,157688
1491391069,42620,157712
1491392902,42596,157687
1491395277,42595,157431
1491395522,42592,157428
1491398400,42591,157427
1491399783,42589,157425
1491399905,42700,157537
1491401751,42701,157538
1491402001,42730,157567
1491409053,42870,157707
1491409728,42874,157711
1491409921,42869,157706
1491410815,42873,157710
1491416401,42875,157712
1491419849,43002,157839
1491421759,42998,157835
1491423601,43003,157840
1491424322,42977,157813
1491428403,42977,157303
1491430652,43100,157426
1491430801,43104,157430
1491432716,43107,157433
1491434105,42714,156622
1491436083,42714,156622
1491438001,42719,156627
1491438722,42693,156601
1491441306,42075,155980
1491443763,42072,155980
1491445201,42074,155982
1491445883,42074,155727
1491453401,42080,155733
1491454460,42084,155737
1491455283,42087,155737
1491455705,42170,155821
1491456001,42172,155823
1491459601,42182,155833
1491463201,42212,155863
1491465357,42220,155871
1491466801,42224,155875
1491467523,42214,155865
1491471096,42215,155866
1491471601,42242,155894
1491474001,42245,155897
1491476426,42241,156147
1491476477,42217,156123
1491477305,42261,156167
1491479106,42306,156203
1491481201,42310,156207
1491481922,42307,156204
1491484506,42306,155948
1491484622,42308,155950
1491486482,42367,156010
1491487462,42372,156015
1491488401,42376,156019
1491490256,42521,156594
1491492001,42523,156596
1491493201,42523,156341
1491495601,42743,156563
1491496321,42742,156562
1491497067,42743,156563
1491498434,42745,156565
1491501842,42747,156564
1491502801,42751,156568
1491506185,42886,156706
1491506401,42890,156455
1491509522,42895,156460
1491510001,42898,156463
1491510722,42896,156461
1491511821,42940,156609
1491516985,43076,156745
1491517201,43077,156746
1491519687,42611,155842
1491520359,42620,155851
1491524401,42623,155854
1491525122,42611,155842
1491528001,42050,155276
1491528723,42046,155271
1491531610,42057,155282
1491535201,42102,155327
1491538801,42111,155336
1491539522,42106,155330
1491540001,42107,155331
1491540755,42105,155329
1491542527,42104,155328
1491545869,42165,155389
1491546001,42168,155392
1491553373,42175,155398
1491553877,42178,155401
1491553922,42175,155399
1491556635,42191,155415
1491556801,42193,155417
1491560401,42194,155418
1491563401,42193,155417
1491564449,42193,155418
1491565201,42204,155426
1491567439,42269,155491
1491567601,42273,155495
1491568321,42268,155490
1491571022,42268,155490
1491573039,42267,156254
1491575504,42279,156268
1491578187,42502,156492
1491581706,42503,156493
1491582076,42508,156498
1491583910,42665,157243
1491584499,42668,157246
1491586567,42665,157243
1491589139,42746,157325
1491589201,42749,157328
1491590705,42758,156315
1491596401,42759,156316
1491597123,42743,156300
1491597592,42745,156302
1491599787,42909,156467
1491600687,42910,156468
1491603601,42915,156473
1491607201,42431,155546
1491608650,42432,155292
1491610644,41823,154682
1491610801,41832,154691
1491617533,41826,154687
1491618001,41828,154689
1491619611,41829,154690
1491621601,41831,154692
1491625884,41837,154698
1491630734,41835,154696
1491632285,41915,154778
1491636001,41916,154779
1491639601,41919,154782
1491641209,41920,154783
1491641684,41855,154718
1491643128,41904,154769
1491643201,41905,154770
1491646801,41908,154773
1491650401,41861,154724
1491651049,41861,154729
1491652809,41869,154737
1491654033,41940,154808
1491654632,41946,154814
1491655922,42023,154891
1491657422,42023,154891
1491658231,42027,154640
1491661201,42029,154642
1491663855,42030,154643
1491665435,42244,154859
1491668401,42405,155442
1491670322,42441,155479
1491674808,42450,155488
1491675386,42578,155616
1491675601,42582,155620
1491678001,42599,155694
1491678601,42610,155715
1491679201,42610,155716
1491683428,42615,155721
1491684721,42636,155742
1491685829,42641,155747
1491686187,42788,155895
1491687023,42789,155896
1491693601,42339,154980
1491694225,42340,154726
1491696582,42345,154731
1491697019,41669,154044
1491697201,41672,154047
1491699122,41667,154038
1491700801,41669,154040
1491704401,41671,154042
1491705842,41671,154042
1491707476,41670,154041
1491711601,41673,154044
1491713192,41674,154045
1491714017,41670,154041
1491715706,41671,154042
1491718266,41670,154041
1491718603,41760,154132
1491718801,41763,154135
1491726001,41766,154138
1491727923,41769,154142
1491729287,41768,154141
1491729394,41793,154166
1491733201,41800,154173
1491736801,41787,154158
1491737457,41753,154122
1491740401,41820,154189
1491742321,41809,154177
1491743822,41810,154178
1491744627,41824,153175
1491745876,41821,153682
1491747601,41822,153428
1491750987,42060,153669
1491751200,42060,153670
1491754801,42062,153672
1491756722,42039,153649
1491757211,42038,153393
1491759388,42039,153394
1491761787,42178,153533
1491762228,42182,153537
1491762621,42184,153539
1491765306,42351,154066
1491769201,42355,154070
1491771374,42341,154056
1491772588,42495,154210
1491773299,42496,154211
1491776401,42501,154216
1491780001,42281,153451
1491783601,41193,152351
1491784258,41194,152351
1491789077,41195,152352
1491790803,41193,152350
1491791428,41195,152352
1491794407,41253,152410
1491795099,41256,152413
1491798484,41262,152419
1491805087,41313,152470
1491805201,41315,152472
1491806162,41318,152475
1491812401,41319,152476
1491816001,41434,152591
1491817203,41439,152596
1491819601,41440,152597
1491823201,41412,152569
1491823862,41375,152528
1491826746,41409,152563
1491826801,41411,152565
1491828194,41413,152566
1491828629,41409,153072
1491830222,41409,153072
1491834001,41414,153077
1491834621,41414,153332
1491837389,41711,152099
1491839287,41720,152108
1491841201,41724,152112
1491842771,41885,152574
1491846747,41892,152581
1491848187,42040,152729
1491849024,42042,152731
1491850287,42043,152733
1491855601,42047,152737
1491858988,42209,152903
1491861242,42209,152903
1491862801,42214,152908
1491866401,42008,152209
1491868302,42013,151965
1491869879,41455,151405
1491870001,41458,151408
1491871682,41453,151406
1491872140,41450,151403
1491877201,41451,151404
1491880655,41504,151458
1491883116,41511,151465
1491884401,41517,151472
1491888001,41518,151473
1491891514,41554,151510
1491891601,41555,151511
1491894090,41559,151515
1491898801,41563,151519
1491902643,41629,151585
1491905061,41640,151596
1491906001,41645,151601
1491909601,41620,151576
1491911180,41633,151594
1491913066,41755,151717
1491913201,41756,151718
1491916019,41754,151717
1491916622,41754,151717
1491920401,41761,151724
1491922355,41760,151978
1491923401,41761,151979
1491923789,41996,152219
1491924622,41994,150177
1491927305,41997,150180
1491928222,42002,150185
1491934140,42010,150193
1491934588,42171,150357
1491934801,42177,150363
1491938167,42181,150368
1491942001,42189,150376
1491943872,42317,150921
1491945388,42461,151066
1491949106,42468,151073
1491949201,42472,151077
1491953428,42163,150366
1491955801,42183,150449
1491956317,41658,149916
1491956401,41663,149921
1491959773,41664,149922
1491960481,41660,149917
1491964277,41662,149919
1491970350,41665,149922
1491970801,41668,149925
1491977823,41735,149992
1491978001,41740,149997
1491981356,41746,150004
1491985201,41748,150006
1491988642,41795,150053
1491988801,41796,150054
1491992387,41798,150056
1491992401,41799,150057
1491996704,41785,150041
1491997883,41844,150096
1491999601,41918,150170
1492003416,41921,150173
1492003886,41920,150172
1492006801,41922,150174
1492010401,42149,150403
1492010644,42155,149645
1492012812,42255,149950
1492014472,42266,149961
1492016123,42265,149705
1492021201,42447,149890
1492021457,42455,149898
1492024801,42456,149899
1492025471,42450,149893
1492028401,42455,149898
1492031789,42628,150071
1492035601,42631,150074
1492036589,42641,150084
1492037651,42637,150334
1492040401,42475,149679
1492042505,42625,149829
1492042801,42626,149830
1492045801,42751,150109
1492047604,42755,150113
1492049043,42750,150111
1492049829,42065,149418
1492050671,42071,149424
1492057201,42077,149430
1492058471,42079,149432
1492060801,42155,149508
1492064401,42157,149510
1492069340,42263,149618
1492071601,42266,149621
1492075201,42267,149622
