DateTime,AddedIPs,RemovedIPs
1492033921,18,1
1492034162,8,0
1492034522,2,1
1492035122,4,0
1492035722,31,3
1492036321,9,2
1492036922,1,5
1492037762,5,0
1492038122,3,1
1492038723,1,1
1492039321,56,7
1492039922,2,2
1492040521,5,13
1492041121,50,10
1492041722,8,11
1492042322,38,0
1492042922,12,1
1492043523,5,1
1492044121,7,2
1492044962,3,0
1492045321,4,2
1492045921,32,0
1492046521,11,2
1492047122,7,5
1492047722,25,0
1492048321,0,3
1492048563,1,0
1492048922,0,11
1492049522,0,3
1492050122,26,0
1492050721,23,0
1492051321,3,2
1492051921,2,8
1492052163,6,3
1492052521,4,0
1492053121,18,2
1492053723,5,4
1492054322,5,0
1492054922,18,4
1492055521,4,2
1492056122,16,2
1492056723,1,0
1492057322,36,7
1492057922,4,0
1492058522,25,0
1492059363,3,0
1492059722,5,1
1492060322,2,0
1492060922,41,0
1492061042,5,6
1492061521,30,0
1492062122,0,5
1492062722,3,0
1492062962,1,3
1492063322,2,14
1492064521,11,4
1492065121,9,6
1492065721,8,2
1492066322,5,0
1492066563,7,0
1492066922,3,3
1492068121,5,0
1492068722,11,2
1492069322,6,0
1492069922,9,1
1492070162,2,0
1492070522,3,7
1492071721,6,7
1492072322,2,5
1492072922,4,0
1492073522,21,2
1492073763,1,0
1492074122,10,2
1492074721,7,0
1492075323,2,4
1492075922,3,0
1492076521,3,0
1492077121,9,0
1492077721,4,2
1492078321,6,0
1492078921,3,0
1492079522,8,3
1492080122,8,2
1492080962,8,2
1492081322,8,0
1492081921,1,6
1492082521,8,0
1492083121,11,0
1492083722,11,3
1492084321,20,0
1492084922,18,7
1492085525,9,6
1492086121,11,0
1492086722,48,0
1492087322,14,5
1492087923,4,0
1492088163,2,1
1492088521,7,0
1492089121,6,5
1492089722,11,0
1492090321,2,9
1492090921,1,2
1492091763,36,32
1492092122,38,1
1492092723,13,3
1492093322,12,0
1492093922,3,0
1492094522,4,7
1492095122,12,0
1492095362,6,11
1492095722,10,0
1492096321,5,0
1492096921,5,1
1492097522,9,4
1492098121,1,8
1492098722,4,1
1492099321,8,1
1492099922,6,3
1492100521,8,0
1492101181,2,1
1492101721,2,1
1492102321,5,0
1492102563,6,16
1492102921,6,2
1492103521,4,0
1492104122,26,1
1492104721,7,1
1492105321,3,0
1492106162,4,0
1492106522,6,4
1492107122,2,1
1492107722,9,0
1492108322,1,2
1492108922,3,4
1492109523,3,0
1492109762,0,9
1492110122,1,0
1492110721,0,3
1492111321,6,0
1492111921,5,2
1492112522,7,4
1492113122,19,1
1492113362,4,0
1492113722,19,6
1492114921,4,0
1492115522,6,0
1492116122,7,1
1492116721,3,1
1492116963,2,5
1492117321,4,3
1492117922,9,0
1492118521,1,7
1492119121,3,0
1492119721,3,0
1492120562,6,0
1492120922,1,13
1492122122,5,3
1492122722,8,0
1492122781,2,0
1492123321,4,7
1492123921,2,0
1492124162,6,7
1492124522,3,5
1492125122,2,9
1492125722,18,8
1492126322,2,0
1492126921,8,0
1492127522,1,1
1492128122,3,3
1492129321,2,8
1492130522,12,10
1492131123,3,0
1492131363,0,1
1492131722,8,9
1492132322,3,5
1492132922,0,13
1492133522,4,2
1492134122,3,10
1492134721,2,0
1492134962,4,2
1492135321,1,5
1492135922,1,0
1492136521,11,0
1492137122,3,0
1492137721,3,0
1492138562,2,5
1492138921,3,3
1492139521,2,0
1492140122,12,0
1492140721,1,0
1492141321,6,0
1492142162,1,0
1492142521,8,7
1492143122,5,2
1492143721,3,0
1492144322,1,1
1492144921,4,0
1492145521,2,5
1492145763,0,3
1492146121,4,8
1492146721,4,0
1492147322,7,0
1492147922,3,2
1492148522,2,20
1492149363,5,5
1492149721,6,18
1492150322,2,0
1492150922,1,0
1492151521,11,6
1492152122,4,0
1492152962,3,0
1492153321,0,2
1492153922,7,21
1492154522,1,0
1492155121,4,0
1492155721,3,3
1492156322,3,3
1492156563,4,9
1492156922,2,2
1492157522,4,0
1492158121,1,3
1492159922,0,7
1492160163,3,0
1492160522,5,2
1492161121,8,1
1492161721,0,10
1492162321,5,10
1492162922,2,0
1492163762,10,2
1492164121,1,3
1492165322,2,9
1492166521,2,2
1492167722,11,36
1492168321,1,5
1492168922,1,0
1492169521,0,3
1492169581,1,0
1492170121,1,0
1492170721,8,0
1492170962,14,10
1492171323,4,2
1492171921,1,0
1492173181,0,1
1492173723,1,7
1492174321,2,0
1492174563,9,3
1492174922,1,0
1492175522,3,0
1492176123,6,34
1492176722,3,6
1492177321,11,18
1492177922,1,3
1492178162,4,2
1492178521,3,1
1492179721,0,1
1492180381,0,1
1492180921,1,0
1492181522,0,1
1492181762,3,0
1492182122,8,2
1492182722,8,0
1492183322,1,0
1492183921,4,0
1492184521,2,0
1492185122,4,1
1492185721,11,8
1492186322,2,1
1492186921,10,1
1492187581,1,0
1492188121,3,4
1492188722,2,0
1492188963,6,9
1492189321,4,6
1492190522,5,4
1492191121,3,0
1492191181,1,0
1492191722,2,0
1492192322,0,1
1492192562,9,0
1492192922,1,2
1492193522,10,0
1492194122,3,0
1492194722,1,1
1492195321,4,8
1492195921,1,0
1492196162,3,6
1492197121,1,5
1492197721,4,0
1492198922,4,5
1492199522,0,2
1492199763,1,5
1492200722,2,8
1492201921,1,0
1492203363,7,0
1492203722,1,0
1492204321,3,0
1492204922,2,1
1492205522,2,3
1492206121,1,1
1492206722,3,0
1492206963,5,8
1492207322,0,1
1492208522,1,8
1492209121,3,2
1492210322,0,3
1492210563,2,4
1492210921,1,0
1492212122,0,2
1492212722,3,0
1492212781,0,1
1492213321,5,0
1492213921,4,0
1492214162,2,0
1492214522,3,3
1492215721,4,0
1492216921,15,17
1492217521,8,9
1492217763,3,2
1492218122,4,5
1492218722,3,0
1492219321,3,5
1492219922,2,0
1492219981,2,0
1492220522,0,1
1492221122,3,0
1492221363,4,21
1492221722,4,0
1492222322,2,0
1492222922,3,1
1492224121,3,0
1492224722,2,0
1492224963,4,0
1492225321,6,0
1492225922,0,6
1492226521,2,0
1492227722,2,3
1492228321,0,3
1492228563,7,6
1492228922,1,1
1492230122,2,0
1492230722,0,1
1492230781,0,1
1492231321,1,0
1492232162,2,4
